* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -10,7 dBFS, measurement signal peak level -9,4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:11:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0192 ms (-6,6 mm, -0,26 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,2 ppm
* Measurement: 711
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.860	-127.4542
20.299999	99.926	-128.0566
20.600000	99.989	-128.6554
20.900000	100.049	-129.2405
21.200001	100.105	-129.8017
21.400000	100.142	-130.1607
21.799999	100.216	-130.8500
22.000000	100.254	-131.1867
22.400000	100.331	-131.8615
22.700001	100.390	-132.3785
23.000000	100.445	-132.9062
23.299999	100.498	-133.4360
23.600000	100.546	-133.9567
24.000000	100.606	-134.6215
24.299999	100.650	-135.0933
24.700001	100.709	-135.6949
25.000000	100.755	-136.1389
25.400000	100.817	-136.7396
25.799999	100.876	-137.3571
26.200001	100.928	-137.9768
26.500000	100.963	-138.4248
26.900000	101.006	-138.9795
27.200001	101.037	-139.3600
27.600000	101.084	-139.8350
28.000000	101.136	-140.3107
28.500000	101.204	-140.9574
29.000000	101.262	-141.6569
29.500000	101.306	-142.3367
30.000000	101.344	-142.9298
30.400000	101.379	-143.3541
30.700001	101.410	-143.6715
31.100000	101.454	-144.1302
31.500000	101.494	-144.6357
32.000000	101.531	-145.2832
32.500000	101.556	-145.8597
33.000000	101.583	-146.3301
33.500000	101.623	-146.7538
34.000000	101.674	-147.2243
34.500000	101.724	-147.7782
35.000000	101.763	-148.3782
35.500000	101.790	-148.9574
36.000000	101.812	-149.4786
36.500000	101.832	-149.9474
37.000000	101.855	-150.3878
37.500000	101.878	-150.8103
38.200001	101.913	-151.3681
38.700001	101.941	-151.7586
39.500000	101.989	-152.4439
40.000000	102.012	-152.8988
40.599998	102.033	-153.4125
41.200001	102.056	-153.8934
41.799999	102.081	-154.4064
42.500000	102.096	-155.0219
43.099998	102.102	-155.4449
43.700001	102.122	-155.7908
44.400002	102.163	-156.2757
45.000000	102.190	-156.7837
45.500000	102.203	-157.1791
46.200001	102.223	-157.6512
46.799999	102.248	-158.0673
47.500000	102.268	-158.5894
48.200001	102.279	-159.0399
48.700001	102.290	-159.3145
49.400002	102.313	-159.7149
50.000000	102.330	-160.0881
50.799999	102.347	-160.5772
51.500000	102.359	-160.9994
52.200001	102.367	-161.4092
53.000000	102.378	-161.8311
53.799999	102.395	-162.2786
54.500000	102.404	-162.6968
55.200001	102.412	-163.0582
56.000000	102.431	-163.4770
57.000000	102.441	-164.0634
58.000000	102.459	-164.4741
59.000000	102.493	-165.1170
60.000000	102.472	-165.6965
60.799999	102.474	-165.9417
61.500000	102.488	-166.2753
62.200001	102.486	-166.6189
63.000000	102.490	-166.9159
64.000000	102.502	-167.4157
65.000000	102.495	-167.8367
66.000000	102.507	-168.2379
67.000000	102.510	-168.6691
68.000000	102.523	-169.0789
69.000000	102.522	-169.5538
70.000000	102.517	-169.9014
71.000000	102.518	-170.2721
72.000000	102.515	-170.5907
73.000000	102.522	-170.9412
74.000000	102.522	-171.3197
75.000000	102.523	-171.7078
76.199997	102.518	-172.1690
77.500000	102.509	-172.6282
78.800003	102.516	-173.0067
80.000000	102.506	-173.4715
81.199997	102.510	-173.7088
82.500000	102.512	-174.3057
83.800003	102.486	-174.6293
85.000000	102.489	-175.0126
86.199997	102.479	-175.4030
87.500000	102.474	-175.8235
88.500000	102.459	-176.1318
90.000000	102.447	-176.4554
91.199997	102.443	-176.7809
92.500000	102.437	-177.1427
93.800003	102.420	-177.5108
95.000000	102.417	-177.7747
96.199997	102.413	-178.1226
97.500000	102.404	-178.4615
98.800003	102.381	-178.8273
100.000000	102.355	-179.0316
101.500000	102.354	-179.3581
103.000000	102.333	-179.7929
104.400002	102.330	179.9051
106.000000	102.315	179.5164
107.500000	102.301	179.2341
109.000000	102.280	178.9325
110.599998	102.250	178.5545
112.000000	102.241	178.1674
113.800003	102.247	177.8226
115.000000	102.233	177.6157
117.199997	102.167	177.7298
118.000000	102.169	178.3297
120.599998	102.291	177.0808
122.000000	102.127	176.4404
124.099998	102.086	175.9534
125.000000	102.075	175.7436
126.500000	102.066	175.4113
128.000000	102.056	175.2124
131.500000	102.004	174.7754
132.000000	101.995	174.6404
134.000000	101.956	174.2820
136.000000	101.938	173.9233
138.000000	101.912	173.6568
140.000000	101.877	173.3872
143.000000	101.827	172.9407
145.000000	101.802	172.6293
147.500000	101.770	172.3051
150.000000	101.731	172.0053
152.500000	101.693	171.6865
155.000000	101.650	171.4031
157.500000	101.626	171.1113
160.000000	101.590	170.8156
162.500000	101.541	170.3921
165.000000	101.493	170.3849
167.500000	101.464	170.0392
170.000000	101.423	169.7086
172.500000	101.370	169.4572
175.000000	101.314	169.1225
177.500000	101.294	169.0177
180.000000	101.262	168.8189
182.500000	101.213	168.5100
185.000000	101.170	168.3105
187.500000	101.134	168.0699
190.000000	101.098	167.8344
192.500000	101.049	167.6900
195.000000	101.009	167.5060
197.500000	100.969	167.3408
200.000000	100.914	167.0949
203.000000	100.879	166.9221
206.000000	100.827	166.6785
209.000000	100.783	166.5239
212.000000	100.738	166.3942
214.000000	100.698	166.2165
218.000000	100.625	165.9794
220.000000	100.590	165.8502
224.000000	100.524	165.5497
227.000000	100.476	165.4973
230.000000	100.411	165.4045
233.000000	100.356	165.2266
236.000000	100.324	165.1303
240.000000	100.241	164.8351
243.000000	100.158	164.9615
247.000000	100.075	164.7104
250.000000	100.011	164.7330
254.000000	99.942	164.8029
258.000000	99.876	164.9928
262.000000	99.843	165.0913
265.000000	99.810	165.2689
269.000000	99.798	165.1885
272.000000	99.769	165.2030
276.000000	99.697	165.0110
280.000000	99.657	164.8892
285.000000	99.608	164.7753
290.000000	99.522	164.6182
295.000000	99.455	164.4566
300.000000	99.380	164.4241
304.000000	99.311	164.3878
307.000000	99.272	164.3230
311.000000	99.204	164.2381
315.000000	99.155	164.2750
320.000000	99.086	164.2860
325.000000	99.030	164.3875
330.000000	98.938	164.4159
335.000000	98.867	164.4254
340.000000	98.808	164.3622
345.000000	98.734	164.4571
350.000000	98.642	164.5909
355.000000	98.564	164.8556
360.000000	98.501	164.8060
365.000000	98.450	164.8772
370.000000	98.373	165.0529
375.000000	98.323	165.0531
382.000000	98.214	165.1557
387.000000	98.144	165.2851
395.000000	98.062	165.6840
400.000000	97.999	165.8560
406.000000	97.927	165.9286
412.000000	97.856	166.2662
418.000000	97.773	166.4488
425.000000	97.692	166.5572
431.000000	97.621	166.8226
437.000000	97.560	167.0535
444.000000	97.483	167.2882
450.000000	97.423	167.4774
455.000000	97.344	167.7440
462.000000	97.276	167.9383
468.000000	97.203	168.3767
475.000000	97.142	168.7323
482.000000	97.068	168.9841
487.000000	97.000	169.3581
494.000000	96.951	169.5451
500.000000	96.872	169.8610
508.000000	96.785	170.2053
515.000000	96.725	170.5786
522.000000	96.656	170.8717
530.000000	96.563	171.4424
538.000000	96.487	172.0491
545.000000	96.445	172.3555
552.000000	96.389	172.8152
560.000000	96.327	173.2910
570.000000	96.219	173.8971
580.000000	96.142	174.4537
590.000000	96.080	175.2116
600.000000	95.980	175.7716
608.000000	95.936	176.3098
615.000000	95.901	176.8158
622.000000	95.814	177.1853
630.000000	95.767	177.8375
640.000000	95.685	178.5466
650.000000	95.620	179.2101
660.000000	95.558	179.9290
670.000000	95.474	-179.4431
680.000000	95.411	-178.4899
690.000000	95.357	-177.8342
700.000000	95.312	-176.9649
710.000000	95.252	-176.3680
720.000000	95.209	-175.4187
730.000000	95.138	-174.6831
740.000000	95.090	-173.7999
750.000000	95.047	-173.0426
762.000000	94.995	-171.8813
775.000000	94.918	-170.9392
788.000000	94.861	-169.5764
800.000000	94.836	-168.5725
812.000000	94.807	-167.5371
825.000000	94.764	-166.1602
838.000000	94.703	-164.8806
850.000000	94.688	-163.7000
862.000000	94.661	-162.4461
875.000000	94.602	-161.2559
885.000000	94.608	-160.0514
900.000000	94.613	-158.3219
912.000000	94.609	-157.0042
925.000000	94.609	-155.3788
938.000000	94.632	-153.9485
950.000000	94.667	-152.1680
962.000000	94.723	-150.9834
975.000000	94.792	-149.1341
988.000000	94.899	-147.6209
1000.000000	94.998	-145.9178
1015.000000	95.158	-144.1711
1030.000000	95.306	-142.2948
1044.000000	95.505	-140.8610
1060.000000	95.742	-139.0956
1075.000000	95.987	-137.6966
1090.000000	96.243	-136.3875
1106.000000	96.542	-135.5213
1120.000000	96.827	-134.8524
1138.000000	97.153	-134.4437
1150.000000	97.367	-134.3736
1172.000000	97.674	-134.3359
1180.000000	97.784	-134.4139
1206.000000	98.110	-134.6415
1220.000000	98.250	-134.8387
1241.000000	98.440	-134.9250
1250.000000	98.500	-135.0527
1265.000000	98.615	-135.1509
1280.000000	98.721	-135.2658
1315.000000	98.935	-135.4063
1320.000000	98.961	-135.5024
1340.000000	99.073	-135.4219
1360.000000	99.167	-135.3934
1380.000000	99.265	-135.1926
1400.000000	99.360	-135.1127
1430.000000	99.502	-134.7553
1450.000000	99.605	-134.6478
1475.000000	99.713	-134.3071
1500.000000	99.824	-134.1507
1525.000000	99.957	-133.7736
1550.000000	100.073	-133.4227
1575.000000	100.196	-133.0483
1600.000000	100.315	-132.7498
1625.000000	100.460	-132.4671
1650.000000	100.580	-132.0085
1675.000000	100.731	-131.6805
1700.000000	100.868	-131.3069
1725.000000	101.012	-130.9969
1750.000000	101.159	-130.7501
1775.000000	101.314	-130.2977
1800.000000	101.475	-130.0716
1825.000000	101.623	-129.8629
1850.000000	101.786	-129.6378
1875.000000	101.957	-129.4456
1900.000000	102.117	-129.1909
1925.000000	102.293	-129.1048
1950.000000	102.481	-129.0484
1975.000000	102.653	-128.9367
2000.000000	102.831	-128.9769
2030.000000	103.063	-129.0066
2060.000000	103.284	-129.0939
2090.000000	103.506	-129.3264
2120.000000	103.739	-129.6324
2140.000000	103.886	-129.8384
2180.000000	104.196	-130.3908
2200.000000	104.350	-130.7263
2240.000000	104.641	-131.5106
2270.000000	104.868	-132.2171
2300.000000	105.095	-133.0546
2330.000000	105.299	-134.0126
2360.000000	105.500	-134.9931
2400.000000	105.752	-136.5392
2430.000000	105.929	-137.8195
2470.000000	106.136	-139.5392
2500.000000	106.269	-140.9965
2540.000000	106.432	-142.9490
2580.000000	106.547	-145.0337
2620.000000	106.638	-147.1216
2650.000000	106.689	-148.6727
2690.000000	106.704	-150.7832
2720.000000	106.694	-152.2839
2760.000000	106.667	-154.2502
2800.000000	106.597	-156.1463
2850.000000	106.489	-158.2179
2900.000000	106.340	-160.1991
2950.000000	106.164	-161.8055
3000.000000	105.961	-163.2478
3040.000000	105.797	-164.1775
3070.000000	105.673	-164.7596
3110.000000	105.489	-165.4477
3150.000000	105.326	-165.9693
3200.000000	105.105	-166.4194
3250.000000	104.902	-166.7501
3300.000000	104.716	-166.7800
3350.000000	104.522	-166.7262
3400.000000	104.344	-166.4627
3450.000000	104.189	-166.1955
3500.000000	104.045	-165.6774
3550.000000	103.912	-165.2007
3600.000000	103.801	-164.5504
3650.000000	103.708	-163.8059
3700.000000	103.630	-163.0653
3750.000000	103.570	-162.2539
3820.000000	103.513	-161.0773
3870.000000	103.492	-160.0739
3950.000000	103.509	-158.6150
4000.000000	103.533	-157.6437
4060.000000	103.581	-156.5360
4120.000000	103.677	-155.4500
4180.000000	103.795	-154.3766
4250.000000	103.965	-153.0605
4310.000000	104.152	-152.1165
4370.000000	104.374	-151.3065
4440.000000	104.686	-150.4788
4500.000000	104.985	-149.9308
4550.000000	105.267	-149.7880
4620.000000	105.696	-149.7907
4680.000000	106.096	-150.2143
4750.000000	106.590	-151.2772
4820.000000	107.105	-152.9782
4870.000000	107.492	-154.7670
4940.000000	108.010	-157.9611
5000.000000	108.396	-161.6972
5080.000000	108.760	-167.7642
5150.000000	108.854	-173.8906
5220.000000	108.685	-179.8598
5300.000000	108.268	174.5974
5380.000000	107.874	170.4870
5450.000000	107.603	166.5585
5520.000000	107.215	162.1549
5600.000000	106.552	157.3174
5700.000000	105.498	153.0808
5800.000000	104.386	150.6843
5900.000000	103.328	149.8297
6000.000000	102.348	150.0824
6080.000000	101.607	150.9888
6150.000000	101.020	151.9802
6220.000000	100.472	153.3066
6300.000000	99.907	155.0364
6400.000000	99.242	157.3438
6500.000000	98.649	160.0719
6600.000000	98.133	162.6656
6700.000000	97.613	165.6763
6800.000000	97.192	168.8671
6900.000000	96.790	172.1005
7000.000000	96.437	175.8044
7100.000000	96.142	179.5284
7200.000000	95.942	-176.5966
7300.000000	95.772	-172.6210
7400.000000	95.663	-168.7540
7500.000000	95.576	-165.0538
7620.000000	95.781	-159.3921
7750.000000	95.861	-155.9677
7880.000000	96.037	-151.4640
8000.000000	96.192	-146.6714
8120.000000	96.715	-142.9872
8250.000000	97.401	-138.8296
8380.000000	98.000	-135.4965
8500.000000	98.728	-132.7654
8620.000000	99.672	-130.5875
8750.000000	100.874	-129.2860
8850.000000	102.027	-129.5614
9000.000000	104.054	-133.6599
9120.000000	105.846	-142.3120
9250.000000	107.335	-159.9575
9380.000000	107.147	177.1932
9500.000000	105.464	160.7105
9620.000000	103.352	151.7554
9750.000000	101.207	147.7883
9880.000000	99.373	146.9980
10000.000000	97.960	148.4434
10150.000000	96.440	150.9769
10300.000000	95.200	154.5535
10440.000000	94.183	158.4666
10600.000000	93.207	163.1272
10750.000000	92.490	168.1339
10900.000000	91.873	172.9568
11060.000000	91.343	177.9626
11200.000000	90.911	-177.5895
11380.000000	90.593	-171.5414
11500.000000	90.375	-167.4446
11720.000000	90.192	-160.3583
11800.000000	90.210	-158.1381
12060.000000	90.375	-149.5287
12200.000000	90.594	-145.4017
12410.000000	91.198	-139.4457
12500.000000	91.600	-137.0180
12650.000000	92.294	-133.6232
12800.000000	93.067	-131.1490
13150.000000	95.970	-130.0497
13200.000000	96.493	-131.2943
13400.000000	98.768	-139.7763
13600.000000	100.588	-160.3469
13800.000000	99.991	172.3293
14000.000000	97.435	155.1730
14300.000000	93.554	146.8019
14500.000000	91.583	146.8650
14750.000000	89.484	149.4896
15000.000000	87.842	152.8150
15250.000000	86.405	157.3647
15500.000000	85.347	162.8651
15750.000000	84.360	169.0247
16000.000000	83.814	175.2777
16250.000000	83.539	-178.5434
16500.000000	83.589	-172.4178
16750.000000	83.930	-168.6602
17000.000000	84.709	-164.5308
17250.000000	85.787	-162.3530
17500.000000	87.039	-163.2705
17750.000000	88.933	-168.1312
18000.000000	90.662	175.9374
18250.000000	90.864	153.0053
18500.000000	89.118	130.6739
18750.000000	84.854	124.5960
19000.000000	86.678	132.8346
19250.000000	85.836	119.0914
19500.000000	84.908	111.4718
19750.000000	83.960	107.4482
