* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -12,1 dBFS, measurement signal peak level -11,2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 14/09/2024 12:50:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0654 ms (-22 mm, -0,88 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,0 ppm
* Measurement: 712 V10 d97 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.636	101.5581
20.299999	92.790	100.3306
20.600000	92.926	99.0811
20.900000	93.042	97.8665
21.200001	93.140	96.7496
21.400000	93.199	96.0811
21.799999	93.314	94.9189
22.000000	93.374	94.4081
22.400000	93.503	93.4606
22.700001	93.606	92.7600
23.000000	93.708	92.0389
23.299999	93.805	91.3081
23.600000	93.895	90.5892
24.000000	94.009	89.6763
24.299999	94.096	89.0189
24.700001	94.217	88.1246
25.000000	94.311	87.3914
25.400000	94.427	86.3011
25.799999	94.520	85.1368
26.200001	94.590	84.0245
26.500000	94.635	83.2870
26.900000	94.704	82.4326
27.200001	94.770	81.8253
27.600000	94.875	80.9495
28.000000	94.980	79.9440
28.500000	95.082	78.6518
29.000000	95.165	77.6092
29.500000	95.277	76.8218
30.000000	95.432	75.9028
30.400000	95.546	74.8919
30.700001	95.600	74.0438
31.100000	95.622	73.0570
31.500000	95.618	72.4562
32.000000	95.657	72.1819
32.500000	95.780	71.8073
33.000000	95.909	70.8309
33.500000	95.956	69.5536
34.000000	95.937	68.6167
34.500000	95.954	68.0667
35.000000	96.035	67.3105
35.500000	96.096	66.0572
36.000000	96.077	64.8745
36.500000	96.064	64.3318
37.000000	96.183	63.9016
37.500000	96.378	62.4467
38.200001	96.363	58.9289
38.700001	96.040	57.5988
