* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,7 dBFS, measurement signal peak level -10,4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17/09/2024 12:21:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0654 ms (-22 mm, -0,88 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,5 ppm
* Measurement: 712 V11 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.419	101.5009
20.299999	92.479	100.5474
20.600000	92.542	99.8440
20.900000	92.631	99.3436
21.200001	92.760	98.9018
21.400000	92.866	98.5342
21.799999	93.104	97.5109
22.000000	93.220	96.8351
22.400000	93.418	95.2376
22.700001	93.526	93.9835
23.000000	93.604	92.8348
23.299999	93.668	91.8559
23.600000	93.734	91.0296
24.000000	93.840	90.0583
24.299999	93.932	89.3234
24.700001	94.057	88.2693
25.000000	94.142	87.4496
25.400000	94.242	86.3990
25.799999	94.338	85.4480
26.200001	94.444	84.5416
26.500000	94.528	83.8258
26.900000	94.634	82.7859
27.200001	94.700	81.9785
27.600000	94.768	80.9711
28.000000	94.831	80.1405
28.500000	94.940	79.2733
29.000000	95.088	78.2490
29.500000	95.225	76.8694
30.000000	95.294	75.4218
30.400000	95.309	74.5653
30.700001	95.323	74.1906
31.100000	95.386	73.9167
31.500000	95.509	73.5924
32.000000	95.698	72.6975
32.500000	95.834	71.3020
33.000000	95.876	69.9475
33.500000	95.869	69.0776
34.000000	95.889	68.6378
34.500000	95.960	68.2076
35.000000	96.046	67.5346
35.500000	96.112	66.7030
36.000000	96.161	65.8858
36.500000	96.213	65.0866
37.000000	96.270	64.2006
37.500000	96.315	63.2243
38.200001	96.351	61.9730
38.700001	96.382	61.2901
39.500000	96.490	60.3197
40.000000	96.573	59.6031
40.599998	96.651	58.6732
41.200001	96.692	57.9348
41.799999	96.731	57.5378
42.500000	96.821	57.1835
43.099998	96.899	56.5807
43.700001	96.924	55.8782
44.400002	96.936	55.3079
45.000000	96.991	54.6278
45.500000	97.013	53.6151
