* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -9,6 dBFS, measurement signal peak level -8,2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17/09/2024 12:29:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,0107 ms (3,7 mm, 0,14 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,6 ppm
* Measurement: 712 V11 mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.254	96.3832
20.299999	92.160	96.7502
20.600000	92.209	97.7129
20.900000	92.439	98.5859
21.200001	92.804	98.5974
21.400000	93.059	97.9750
21.799999	93.501	95.5189
22.000000	93.651	93.9380
22.400000	93.787	90.7614
22.700001	93.784	88.8260
23.000000	93.756	87.5048
23.299999	93.759	86.6677
23.600000	93.814	86.0446
24.000000	93.955	85.1257
24.299999	94.073	84.2300
24.700001	94.203	82.9028
25.000000	94.276	82.0011
25.400000	94.371	81.0556
25.799999	94.492	80.2679
26.200001	94.634	79.3821
26.500000	94.730	78.6113
26.900000	94.823	77.5769
27.200001	94.872	76.9368
27.600000	94.937	76.3356
28.000000	95.033	75.8455
28.500000	95.179	74.9627
29.000000	95.274	73.7374
29.500000	95.288	72.6829
30.000000	95.299	72.1486
30.400000	95.361	71.8305
30.700001	95.433	71.4192
31.100000	95.518	70.5448
31.500000	95.554	69.5151
32.000000	95.549	68.5682
32.500000	95.585	68.1675
33.000000	95.742	67.6149
33.500000	95.938	66.2322
34.000000	96.039	64.2754
34.500000	96.021	62.6581
35.000000	95.990	61.8881
35.500000	96.055	61.5511
36.000000	96.192	60.8965
36.500000	96.300	59.8129
37.000000	96.330	58.8172
37.500000	96.331	58.2945
38.200001	96.390	57.9817
38.700001	96.459	57.5930
39.500000	96.527	56.7351
40.000000	96.554	56.2013
40.599998	96.585	55.4578
41.200001	96.597	54.6157
41.799999	96.604	53.8357
42.500000	96.639	52.9622
43.099998	96.687	52.1876
43.700001	96.758	51.4484
44.400002	96.861	50.4779
45.000000	96.916	49.6525
45.500000	96.949	49.3109
46.200001	97.070	49.0399
46.799999	97.181	48.0836
47.500000	97.080	46.7619
48.200001	96.871	47.1583
48.700001	96.873	48.0419
49.400002	97.041	48.0071
50.000000	97.114	46.8145
50.799999	97.081	45.0965
51.500000	97.042	44.0083
52.200001	97.119	43.3342
53.000000	97.339	41.7319
53.799999	97.348	40.3776
54.500000	97.499	41.4197
55.200001	97.898	40.7233
56.000000	97.663	39.1607
57.000000	97.723	45.1949
58.000000	97.794	40.1434
59.000000	95.398	55.1625
60.000000	99.382	64.6919
60.799999	100.153	46.4477
61.500000	98.457	36.2071
62.200001	97.129	40.4753
63.000000	97.679	41.0595
64.000000	97.350	34.7193
65.000000	97.379	35.0555
66.000000	97.618	32.3666
67.000000	97.709	32.5902
68.000000	97.876	31.8948
69.000000	97.805	32.6427
70.000000	97.902	33.0007
71.000000	97.829	32.2275
72.000000	97.701	31.8533
73.000000	97.718	31.4351
74.000000	97.754	30.2231
75.000000	97.781	29.7142
76.199997	97.903	28.9602
77.500000	97.912	28.7473
78.800003	97.936	28.7436
80.000000	97.930	28.4637
81.199997	97.881	28.0444
82.500000	97.947	27.6343
83.800003	97.985	26.3365
85.000000	97.982	25.8875
86.199997	97.978	25.5512
87.500000	98.018	25.6157
88.500000	98.016	25.1012
90.000000	97.997	24.8145
91.199997	97.997	24.1642
92.500000	98.011	23.6609
93.800003	98.026	23.1079
95.000000	98.069	22.7866
96.199997	98.038	22.1422
97.500000	98.019	22.6449
98.800003	98.109	21.8649
100.000000	98.034	21.6139
101.500000	98.086	21.2230
103.000000	98.080	20.7179
104.400002	98.081	20.4290
106.000000	98.092	19.9974
107.500000	98.108	19.6968
109.000000	98.057	19.3728
110.599998	98.126	19.3232
112.000000	98.123	18.6079
113.800003	98.111	18.3409
115.000000	98.118	17.9633
117.199997	98.131	17.8223
118.000000	98.151	17.5349
120.599998	98.142	16.8793
122.000000	98.129	16.6802
124.099998	98.119	16.2111
125.000000	98.116	15.9257
126.500000	98.091	15.9170
128.000000	98.148	15.4440
131.500000	98.164	14.7092
132.000000	98.159	14.6257
134.000000	98.153	14.4451
136.000000	98.153	14.3116
138.000000	98.110	13.9647
140.000000	98.112	13.5936
143.000000	98.125	13.0759
145.000000	98.141	12.6400
147.500000	98.119	12.5801
150.000000	98.079	12.1428
152.500000	98.087	11.6699
155.000000	98.118	11.0746
157.500000	98.062	11.3229
160.000000	98.161	10.7252
162.500000	97.986	10.3587
165.000000	98.044	9.9290
167.500000	98.043	9.5220
170.000000	98.084	9.4550
172.500000	97.976	9.4637
175.000000	97.866	8.4348
177.500000	97.982	9.7308
180.000000	97.851	9.3976
182.500000	97.892	7.8780
185.000000	97.964	7.8311
187.500000	98.097	9.3907
190.000000	98.052	8.8553
192.500000	97.886	8.3737
195.000000	97.946	7.8390
197.500000	97.974	8.0703
200.000000	97.982	7.8031
203.000000	97.988	7.4545
206.000000	98.027	7.0222
209.000000	97.996	7.3102
212.000000	97.982	6.3550
214.000000	97.991	6.4453
218.000000	97.956	6.3940
220.000000	97.911	5.9696
224.000000	97.952	5.6993
227.000000	97.954	5.5792
230.000000	97.912	5.3827
233.000000	97.915	5.3641
236.000000	97.888	5.0645
240.000000	97.909	5.0397
243.000000	97.894	4.7615
247.000000	97.825	4.4616
250.000000	97.831	4.2283
254.000000	97.834	4.1044
258.000000	97.831	4.1847
262.000000	97.836	3.7659
265.000000	97.813	3.4772
269.000000	97.772	3.4576
272.000000	97.747	3.1838
276.000000	97.758	3.0880
280.000000	97.719	3.1050
285.000000	97.731	2.7916
290.000000	97.730	2.8793
295.000000	97.631	2.6556
300.000000	97.522	1.8233
304.000000	97.645	2.3422
307.000000	97.639	2.0994
311.000000	97.606	2.1001
315.000000	97.601	1.9291
320.000000	97.516	1.6573
325.000000	97.512	1.6349
330.000000	97.504	1.5564
335.000000	97.486	1.4248
340.000000	97.436	1.3257
345.000000	97.418	1.3635
350.000000	97.395	1.3365
355.000000	97.370	1.3143
360.000000	97.347	1.1148
365.000000	97.346	1.2371
370.000000	97.329	1.2562
375.000000	97.298	1.1294
382.000000	97.299	0.9223
387.000000	97.262	0.8241
395.000000	97.229	0.8320
400.000000	97.228	0.6287
406.000000	97.177	0.6954
412.000000	97.143	0.4438
418.000000	97.098	0.4257
425.000000	97.062	0.6248
431.000000	97.017	0.8042
437.000000	96.990	1.0802
444.000000	96.980	1.1580
450.000000	96.968	1.5224
455.000000	96.982	1.5755
462.000000	97.012	1.4114
468.000000	96.981	1.4730
475.000000	96.981	1.3365
482.000000	96.973	1.4967
487.000000	96.983	1.3334
494.000000	96.961	1.3785
500.000000	96.960	1.4899
508.000000	96.917	1.4490
515.000000	96.919	1.3062
522.000000	96.890	1.3602
530.000000	96.842	1.4368
538.000000	96.865	1.4869
545.000000	96.803	1.6177
552.000000	96.790	1.5980
560.000000	96.776	1.8839
570.000000	96.747	1.8497
580.000000	96.752	1.8674
590.000000	96.724	2.0376
600.000000	96.678	1.9585
608.000000	96.665	2.0071
615.000000	96.655	2.0693
622.000000	96.655	2.1371
630.000000	96.634	2.4281
640.000000	96.598	2.2551
650.000000	96.568	2.5602
660.000000	96.569	2.2161
670.000000	96.517	2.9974
680.000000	96.525	2.8705
690.000000	96.491	3.1453
700.000000	96.449	3.1630
710.000000	96.428	3.3558
720.000000	96.409	3.5776
730.000000	96.380	3.6499
740.000000	96.367	4.0556
750.000000	96.336	4.3580
762.000000	96.308	4.6803
775.000000	96.248	4.8578
788.000000	96.247	5.1978
800.000000	96.198	5.4260
812.000000	96.160	5.7220
825.000000	96.138	5.9789
838.000000	96.089	6.6000
850.000000	96.060	6.9016
862.000000	96.005	7.4454
875.000000	95.967	8.1608
885.000000	95.973	8.3174
900.000000	95.914	8.9256
912.000000	95.882	9.5031
925.000000	95.862	10.6232
938.000000	95.844	11.4197
950.000000	95.853	12.0869
962.000000	95.830	13.0322
975.000000	95.846	13.9099
988.000000	95.866	14.9858
1000.000000	95.867	16.0010
1015.000000	95.962	17.2202
1030.000000	96.044	18.5443
1044.000000	96.142	19.7557
1060.000000	96.317	21.0453
1075.000000	96.521	22.2355
1090.000000	96.732	23.1942
1106.000000	96.989	23.6730
1120.000000	97.212	23.9581
1138.000000	97.452	23.9581
1150.000000	97.625	23.7939
1172.000000	97.872	23.4187
1180.000000	97.947	23.4354
1206.000000	98.195	22.7458
1220.000000	98.292	22.2342
1241.000000	98.429	21.9473
1250.000000	98.462	21.7047
1265.000000	98.526	21.4613
1280.000000	98.599	21.1277
1315.000000	98.758	20.6802
1320.000000	98.759	20.6870
1340.000000	98.822	20.4331
1360.000000	98.901	20.5214
1380.000000	98.957	20.2820
1400.000000	99.054	20.3336
1430.000000	99.110	20.1102
1450.000000	99.218	20.1645
1475.000000	99.297	20.4857
1500.000000	99.406	20.5471
1525.000000	99.525	20.4741
1550.000000	99.615	20.7415
1575.000000	99.743	20.9464
1600.000000	99.844	20.9719
1625.000000	99.983	21.0573
1650.000000	100.113	21.2998
1675.000000	100.252	21.4652
1700.000000	100.399	21.3837
1725.000000	100.550	21.4787
1750.000000	100.696	21.6525
1775.000000	100.862	21.5664
1800.000000	101.040	21.5840
1825.000000	101.214	21.6487
1850.000000	101.370	21.5660
1875.000000	101.561	21.5876
1900.000000	101.731	21.4172
1925.000000	101.915	21.2422
1950.000000	102.117	21.1013
1975.000000	102.333	20.7710
2000.000000	102.530	20.5270
2030.000000	102.791	20.0460
2060.000000	103.047	19.5401
2090.000000	103.305	18.9567
2120.000000	103.552	18.2809
2140.000000	103.727	17.6683
2180.000000	104.084	16.6133
2200.000000	104.268	15.8707
2240.000000	104.601	14.4064
2270.000000	104.866	13.0996
2300.000000	105.130	11.7357
2330.000000	105.370	10.2941
2360.000000	105.619	8.6565
2400.000000	105.915	6.2952
2430.000000	106.133	4.3094
2470.000000	106.367	1.6481
2500.000000	106.541	-0.4725
2540.000000	106.726	-3.4624
2580.000000	106.868	-6.5404
2620.000000	106.960	-9.6387
2650.000000	107.011	-12.0764
2690.000000	107.020	-15.1645
2720.000000	107.017	-17.3196
2760.000000	106.966	-20.1726
2800.000000	106.878	-22.8577
2850.000000	106.741	-26.0909
2900.000000	106.560	-28.9066
2950.000000	106.363	-31.3965
3000.000000	106.141	-33.5675
3040.000000	105.966	-35.1871
3070.000000	105.838	-36.2529
3110.000000	105.657	-37.4415
3150.000000	105.501	-38.4030
3200.000000	105.300	-39.5366
3250.000000	105.126	-40.6333
3300.000000	104.932	-41.4131
3350.000000	104.778	-42.0995
3400.000000	104.649	-42.5566
3450.000000	104.524	-43.1602
3500.000000	104.427	-43.4897
3550.000000	104.345	-43.7306
3600.000000	104.299	-43.9253
3650.000000	104.265	-44.1605
3700.000000	104.254	-44.2160
3750.000000	104.258	-44.4335
3820.000000	104.280	-44.5500
3870.000000	104.344	-44.7666
3950.000000	104.444	-44.8348
4000.000000	104.547	-45.1241
4060.000000	104.690	-45.3153
4120.000000	104.870	-45.5941
4180.000000	105.072	-46.1715
4250.000000	105.382	-46.7738
4310.000000	105.646	-47.5413
4370.000000	105.940	-48.6299
4440.000000	106.331	-49.9725
4500.000000	106.688	-51.3725
4550.000000	107.000	-52.7362
4620.000000	107.472	-55.0846
4680.000000	107.912	-57.6094
4750.000000	108.437	-61.0416
4820.000000	108.977	-65.3056
4870.000000	109.359	-68.9281
4940.000000	109.837	-74.8533
5000.000000	110.168	-80.8288
5080.000000	110.366	-89.7402
5150.000000	110.276	-97.7100
5220.000000	109.969	-104.5096
5300.000000	109.680	-110.6881
5380.000000	109.560	-117.6769
5450.000000	109.333	-125.0767
5520.000000	108.866	-132.6238
5600.000000	108.104	-140.6096
5700.000000	106.936	-148.7001
5800.000000	105.652	-154.8564
5900.000000	104.402	-159.4247
6000.000000	103.168	-162.8431
6080.000000	102.251	-164.7979
6150.000000	101.432	-166.2493
6220.000000	100.688	-167.3577
6300.000000	99.882	-168.0078
6400.000000	98.875	-168.8597
6500.000000	97.978	-168.8256
6600.000000	97.112	-168.4496
6700.000000	96.347	-168.2661
6800.000000	95.554	-167.2585
6900.000000	94.785	-166.8889
7000.000000	94.171	-165.3915
7100.000000	93.577	-163.7870
7200.000000	92.960	-162.9766
7300.000000	92.527	-160.5736
7400.000000	91.997	-159.2784
7500.000000	91.523	-156.5435
7620.000000	91.363	-154.4190
7750.000000	90.889	-152.9370
7880.000000	90.526	-150.1552
8000.000000	90.192	-147.0269
8120.000000	90.344	-145.2093
8250.000000	90.502	-141.9944
8380.000000	90.542	-141.0842
8500.000000	90.761	-139.3554
8620.000000	91.072	-137.8176
8750.000000	91.581	-136.9983
8850.000000	92.176	-137.1071
9000.000000	93.249	-138.2607
9120.000000	94.389	-142.0012
9250.000000	95.901	-150.0795
9380.000000	97.305	-165.6819
9500.000000	97.529	172.3110
9620.000000	95.988	150.7407
9750.000000	93.256	136.3641
9880.000000	90.486	129.3489
10000.000000	88.176	126.6045
10150.000000	85.452	126.0261
10300.000000	83.159	128.1324
10440.000000	81.311	133.0113
10600.000000	79.539	136.7188
10750.000000	77.488	141.8209
10900.000000	75.413	150.0144
11060.000000	73.342	158.5172
11200.000000	71.644	178.4484
11380.000000	71.193	-152.2354
11500.000000	71.829	-139.4961
11720.000000	74.437	-118.8742
11800.000000	75.433	-113.6826
12060.000000	80.014	-112.1510
12200.000000	81.757	-118.0764
12410.000000	81.558	-128.4415
12500.000000	81.766	-123.0232
12650.000000	83.548	-122.2174
12800.000000	84.894	-128.9625
13150.000000	87.161	-142.6751
13200.000000	87.562	-144.0637
13400.000000	89.110	-155.9998
13600.000000	90.948	-173.8303
13800.000000	91.359	158.0953
14000.000000	89.492	130.3671
14300.000000	85.348	111.0629
14500.000000	82.898	105.9045
14750.000000	80.436	100.9752
15000.000000	78.354	101.6679
15250.000000	76.583	100.2836
15500.000000	74.791	99.6100
15750.000000	74.419	110.5046
16000.000000	72.881	107.1608
16250.000000	72.117	108.9562
16500.000000	72.134	110.1498
16750.000000	71.796	115.7065
17000.000000	73.015	113.5474
17250.000000	72.132	109.3885
17500.000000	73.395	107.3937
17750.000000	75.167	101.1395
18000.000000	76.070	83.2104
18250.000000	77.186	67.6608
18500.000000	76.848	31.8868
18750.000000	69.018	8.7634
19000.000000	70.121	25.8022
19250.000000	70.040	24.0652
19500.000000	69.492	9.4269
19750.000000	69.956	-5.2915
