* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,8 dBFS, measurement signal peak level -10,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 29/09/2024 09:23:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0328 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 20,1 ppm
* Measurement: V13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.627	84.1839
20.299999	88.681	83.9045
20.600000	88.778	83.7244
20.900000	88.919	83.4435
21.200001	89.085	82.8920
21.400000	89.192	82.3553
21.799999	89.374	80.9827
22.000000	89.441	80.2255
22.400000	89.527	78.7618
22.700001	89.564	77.8094
23.000000	89.596	77.0029
23.299999	89.633	76.2876
23.600000	89.676	75.6077
24.000000	89.736	74.7019
24.299999	89.780	74.0308
24.700001	89.834	73.1956
25.000000	89.880	72.6275
25.400000	89.956	71.9012
25.799999	90.048	71.1023
26.200001	90.138	70.1708
26.500000	90.194	69.4253
26.900000	90.246	68.4828
27.200001	90.276	67.8919
27.600000	90.323	67.2865
28.000000	90.397	66.7942
28.500000	90.525	66.1026
29.000000	90.658	65.2000
29.500000	90.769	64.1893
30.000000	90.862	63.2004
30.400000	90.928	62.4127
30.700001	90.971	61.7973
31.100000	91.008	60.9602
31.500000	91.019	60.1910
32.000000	91.007	59.4918
32.500000	91.008	59.1124
33.000000	91.048	58.8298
33.500000	91.113	58.4154
34.000000	91.174	57.8691
34.500000	91.225	57.3520
35.000000	91.288	56.9214
35.500000	91.379	56.4432
36.000000	91.482	55.7560
36.500000	91.568	54.8605
37.000000	91.613	53.9416
37.500000	91.625	53.2240
38.200001	91.648	52.7089
38.700001	91.705	52.4810
39.500000	91.824	51.7581
40.000000	91.862	51.1440
40.599998	91.866	50.5581
41.200001	91.870	50.1986
41.799999	91.891	49.8629
42.500000	91.925	49.3701
43.099998	91.963	48.8169
43.700001	91.990	48.0699
44.400002	91.981	47.2538
45.000000	91.987	46.9283
45.500000	92.047	46.6987
46.200001	92.165	45.9136
46.799999	92.204	45.0445
47.500000	92.197	44.5794
48.200001	92.238	44.5966
48.700001	92.299	44.5435
49.400002	92.370	44.2017
50.000000	92.384	43.8199
50.799999	92.364	43.5439
51.500000	92.381	43.2822
52.200001	92.386	42.5529
53.000000	92.343	41.8625
53.799999	92.419	41.1251
54.500000	92.441	39.7166
55.200001	92.375	39.5005
56.000000	92.673	40.0763
57.000000	92.880	37.4752
58.000000	92.881	41.4258
59.000000	94.282	40.1607
60.000000	93.907	30.9576
60.799999	92.802	33.3518
61.500000	92.892	37.9837
62.200001	93.106	37.6638
63.000000	92.852	37.3452
64.000000	92.849	38.3570
65.000000	92.824	36.9020
66.000000	92.767	36.2752
67.000000	92.818	35.2753
68.000000	92.866	34.5570
69.000000	92.896	34.1168
70.000000	92.957	34.3820
71.000000	93.032	34.1027
72.000000	92.990	34.0892
73.000000	93.023	34.1184
74.000000	93.010	33.4225
75.000000	92.959	33.1273
76.199997	93.013	32.7005
77.500000	93.061	32.0495
78.800003	93.086	31.5737
80.000000	93.119	31.8611
81.199997	93.212	31.3931
82.500000	93.152	30.9559
83.800003	93.139	30.7289
85.000000	93.129	30.4910
86.199997	93.159	30.1582
87.500000	93.174	29.7873
88.500000	93.194	29.6790
90.000000	93.248	29.3367
91.199997	93.225	29.0374
92.500000	93.235	29.0696
93.800003	93.257	28.8075
95.000000	93.281	28.5100
96.199997	93.261	28.1456
97.500000	93.273	28.2094
98.800003	93.294	27.9713
100.000000	93.325	27.9646
101.500000	93.350	27.4485
103.000000	93.331	27.2045
104.400002	93.340	27.1558
106.000000	93.364	26.9517
107.500000	93.380	26.6346
109.000000	93.366	26.7850
110.599998	93.413	26.6866
112.000000	93.437	26.2841
113.800003	93.422	26.1396
115.000000	93.443	25.8428
117.199997	93.484	25.8656
118.000000	93.447	25.8220
120.599998	93.593	25.5267
122.000000	93.507	25.5024
124.099998	93.488	25.1382
125.000000	93.482	24.7952
126.500000	93.452	25.0425
128.000000	93.527	24.8467
131.500000	93.551	24.7239
132.000000	93.552	24.6396
134.000000	93.532	24.6871
136.000000	93.537	24.3783
138.000000	93.586	24.0566
140.000000	93.577	24.2211
143.000000	93.660	24.0724
145.000000	93.597	23.8605
147.500000	93.595	23.9087
150.000000	93.645	23.6178
152.500000	93.630	23.5072
155.000000	93.660	23.5909
157.500000	93.680	23.4170
160.000000	93.696	23.4362
162.500000	93.631	23.4989
165.000000	93.690	23.2452
167.500000	93.700	23.2547
170.000000	93.703	23.3433
172.500000	93.725	23.1034
175.000000	93.749	22.8109
177.500000	93.668	22.8641
180.000000	93.824	22.8084
182.500000	93.749	22.4805
185.000000	93.772	22.5538
187.500000	93.785	22.4302
190.000000	93.779	23.0791
192.500000	93.801	22.7476
195.000000	93.796	23.0172
197.500000	93.824	22.7542
200.000000	93.819	22.7185
203.000000	93.808	22.8248
206.000000	93.833	22.5635
209.000000	93.889	21.9656
212.000000	93.827	22.1663
214.000000	93.808	22.5854
218.000000	93.778	22.7567
220.000000	93.747	23.0635
224.000000	93.778	23.2705
227.000000	93.789	23.2787
230.000000	93.901	23.8397
233.000000	93.938	23.5463
236.000000	93.968	24.0634
240.000000	93.983	24.0685
243.000000	93.975	23.9144
247.000000	94.004	23.5847
250.000000	94.007	23.7195
254.000000	94.020	24.0178
258.000000	94.037	24.0919
262.000000	94.048	24.0405
265.000000	94.043	23.9578
269.000000	94.099	24.2907
272.000000	94.134	24.0981
276.000000	94.171	24.5026
280.000000	94.265	24.2236
285.000000	94.176	24.1851
290.000000	94.236	24.5762
295.000000	94.220	24.1371
300.000000	94.393	24.0216
304.000000	94.303	24.5107
307.000000	94.331	24.5427
311.000000	94.361	24.7192
315.000000	94.291	24.8513
320.000000	94.331	24.7816
325.000000	94.396	24.9854
330.000000	94.403	24.8817
335.000000	94.420	24.9689
340.000000	94.477	25.3589
345.000000	94.462	25.0703
350.000000	94.491	25.2379
355.000000	94.505	25.6165
360.000000	94.498	25.4087
365.000000	94.545	25.3294
370.000000	94.572	25.4283
375.000000	94.584	25.3464
382.000000	94.623	25.7020
387.000000	94.570	25.8170
395.000000	94.614	25.8945
400.000000	94.645	26.2174
406.000000	94.687	26.3104
412.000000	94.735	26.2805
418.000000	94.704	26.6205
425.000000	94.756	26.6014
431.000000	94.756	26.8792
437.000000	94.798	26.8309
