* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,9 dBFS, measurement signal peak level -10,6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 5/10/2024 01:55:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0324 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,1 ppm
* Measurement: V15 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.915	81.7828
20.299999	89.012	81.1342
20.600000	89.114	80.4004
20.900000	89.209	79.5835
21.200001	89.291	78.7295
21.400000	89.338	78.1766
21.799999	89.422	77.1552
22.000000	89.463	76.6969
22.400000	89.554	75.8623
22.700001	89.634	75.2520
23.000000	89.721	74.6002
23.299999	89.808	73.8892
23.600000	89.889	73.1353
24.000000	89.983	72.1239
24.299999	90.044	71.4146
24.700001	90.123	70.5663
25.000000	90.187	69.9803
25.400000	90.283	69.1958
25.799999	90.380	68.3378
26.200001	90.464	67.4127
26.500000	90.513	66.7274
26.900000	90.562	65.9010
27.200001	90.594	65.3732
27.600000	90.643	64.7685
28.000000	90.701	64.1978
28.500000	90.777	63.4462
29.000000	90.841	62.6949
29.500000	90.901	62.0389
30.000000	90.973	61.4471
30.400000	91.041	60.9239
30.700001	91.092	60.4720
31.100000	91.150	59.8184
31.500000	91.195	59.1741
32.000000	91.241	58.4622
32.500000	91.293	57.8319
33.000000	91.352	57.2019
33.500000	91.411	56.5600
34.000000	91.470	55.9379
34.500000	91.534	55.3052
35.000000	91.598	54.5940
35.500000	91.644	53.8263
36.000000	91.667	53.1314
36.500000	91.683	52.5994
37.000000	91.711	52.1837
37.500000	91.753	51.7776
38.200001	91.817	51.1563
38.700001	91.862	50.7079
39.500000	91.939	49.9920
40.000000	91.990	49.5102
40.599998	92.049	48.8507
41.200001	92.087	48.1061
41.799999	92.093	47.4554
42.500000	92.100	47.0517
43.099998	92.154	46.7650
43.700001	92.218	46.1792
44.400002	92.234	45.4177
45.000000	92.239	45.1402
45.500000	92.291	44.9714
46.200001	92.394	44.2347
46.799999	92.413	43.3218
47.500000	92.378	42.7687
48.200001	92.406	42.6821
48.700001	92.472	42.4669
49.400002	92.552	41.8034
50.000000	92.580	41.1947
50.799999	92.592	40.6299
51.500000	92.614	40.2754
52.200001	92.637	39.8676
53.000000	92.642	39.4472
53.799999	92.662	39.1806
54.500000	92.698	38.7558
55.200001	92.705	38.2653
56.000000	92.733	37.8804
57.000000	92.781	36.8696
58.000000	92.759	36.5474
59.000000	92.981	35.8383
60.000000	92.902	33.4935
60.799999	92.695	34.0315
61.500000	92.808	35.0623
62.200001	92.978	34.5572
63.000000	92.966	33.7108
64.000000	92.965	33.7762
65.000000	93.000	33.2281
66.000000	92.966	33.0284
67.000000	93.014	32.8103
68.000000	93.031	32.2010
69.000000	93.025	31.8142
70.000000	93.049	31.5623
71.000000	93.084	31.1659
72.000000	93.096	30.8266
73.000000	93.117	30.5444
74.000000	93.116	30.2540
75.000000	93.132	30.1447
76.199997	93.167	29.7216
77.500000	93.182	29.2682
78.800003	93.178	28.7289
80.000000	93.187	28.6024
81.199997	93.227	28.1455
82.500000	93.210	27.8634
83.800003	93.246	27.8128
85.000000	93.293	27.3525
86.199997	93.248	26.8489
87.500000	93.235	26.8965
88.500000	93.261	26.6611
90.000000	93.279	26.1956
91.199997	93.285	25.8635
92.500000	93.304	25.5683
93.800003	93.303	25.3977
95.000000	93.339	25.4039
96.199997	93.367	25.0333
97.500000	93.335	24.8131
98.800003	93.345	24.6688
100.000000	93.348	24.3225
101.500000	93.337	23.9121
103.000000	93.327	23.7998
104.400002	93.365	23.5969
106.000000	93.362	23.4268
107.500000	93.367	23.1906
109.000000	93.375	22.9757
110.599998	93.378	22.7512
112.000000	93.371	22.4863
113.800003	93.399	22.3604
115.000000	93.374	22.2953
117.199997	93.394	22.1007
118.000000	93.393	22.0675
120.599998	93.375	21.6772
122.000000	93.381	21.4708
124.099998	93.414	21.1571
125.000000	93.363	21.0664
126.500000	93.403	21.3087
128.000000	93.404	21.0153
131.500000	93.437	20.6860
132.000000	93.419	20.5629
134.000000	93.380	20.5919
136.000000	93.407	20.5382
138.000000	93.397	20.2822
140.000000	93.419	20.0428
143.000000	93.405	20.1854
145.000000	93.399	19.8958
147.500000	93.413	19.5684
150.000000	93.358	19.5681
152.500000	93.383	19.5129
155.000000	93.418	19.4944
157.500000	93.386	19.3978
160.000000	93.372	19.2111
162.500000	93.379	19.2517
165.000000	93.407	19.0424
167.500000	93.368	19.0283
170.000000	93.410	18.6808
172.500000	93.346	18.9480
175.000000	93.390	18.8492
177.500000	93.363	18.6144
180.000000	93.280	18.8150
182.500000	93.291	18.5680
185.000000	93.348	18.9056
187.500000	93.263	18.7782
190.000000	93.268	18.7198
192.500000	93.209	19.2098
195.000000	93.183	19.0250
197.500000	93.204	19.2032
200.000000	93.278	19.5437
203.000000	93.270	19.6303
206.000000	93.284	19.4581
209.000000	93.280	19.6301
212.000000	93.306	19.6115
214.000000	93.302	19.9678
218.000000	93.358	19.9468
220.000000	93.311	20.0689
224.000000	93.329	19.8710
227.000000	93.320	19.9658
230.000000	93.348	19.9733
233.000000	93.317	19.7701
236.000000	93.297	19.9451
240.000000	93.315	20.1399
243.000000	93.286	20.4456
247.000000	93.300	20.3663
250.000000	93.288	20.3171
254.000000	93.328	20.7595
258.000000	93.300	20.8673
262.000000	93.301	20.6505
265.000000	93.278	20.6471
269.000000	93.326	20.9509
272.000000	93.335	21.2770
276.000000	93.319	21.4885
280.000000	93.315	21.7382
285.000000	93.335	22.0619
290.000000	93.345	22.0636
295.000000	93.327	22.1659
300.000000	93.393	22.3118
304.000000	93.339	22.7559
307.000000	93.371	22.9798
311.000000	93.379	22.9418
315.000000	93.396	23.1302
320.000000	93.404	23.4493
325.000000	93.406	23.7369
330.000000	93.442	23.7074
335.000000	93.442	23.9896
340.000000	93.450	24.2899
345.000000	93.456	24.7595
350.000000	93.475	24.8094
355.000000	93.519	25.0870
360.000000	93.481	25.2980
365.000000	93.493	25.5935
370.000000	93.469	25.7046
375.000000	93.541	25.9468
382.000000	93.547	26.0568
387.000000	93.548	26.4391
395.000000	93.551	26.8579
400.000000	93.529	26.9385
406.000000	93.624	27.4935
412.000000	93.604	27.8159
418.000000	93.645	28.1622
425.000000	93.674	28.3109
431.000000	93.727	28.5994
437.000000	93.750	28.7819
444.000000	93.724	29.3570
450.000000	93.756	29.4505
455.000000	93.783	29.7443
462.000000	93.788	30.0040
468.000000	93.851	30.2818
475.000000	93.851	30.6982
482.000000	93.868	31.1101
487.000000	93.855	31.1860
494.000000	93.907	31.5720
500.000000	93.912	32.0656
508.000000	93.907	32.0212
515.000000	93.960	32.7300
522.000000	93.993	33.0215
530.000000	94.006	33.5178
538.000000	94.024	33.8786
545.000000	94.062	34.5024
552.000000	94.097	34.9200
560.000000	94.122	35.1239
570.000000	94.158	35.5347
580.000000	94.195	36.0607
590.000000	94.234	36.6584
600.000000	94.272	37.0974
608.000000	94.318	37.6641
615.000000	94.359	37.9925
622.000000	94.403	38.2109
630.000000	94.436	38.8378
640.000000	94.476	39.2923
650.000000	94.517	39.6412
660.000000	94.568	40.2818
670.000000	94.617	41.0005
680.000000	94.663	41.4132
690.000000	94.712	42.0843
700.000000	94.779	42.4699
710.000000	94.812	43.3840
720.000000	94.869	43.7651
730.000000	94.993	44.1811
740.000000	94.996	44.5627
750.000000	95.055	45.3286
762.000000	95.124	45.7989
775.000000	95.239	46.7131
788.000000	95.317	47.3144
800.000000	95.375	47.9966
812.000000	95.484	48.4834
825.000000	95.566	49.0470
838.000000	95.639	49.9513
850.000000	95.746	50.4761
862.000000	95.829	51.0877
875.000000	95.906	51.9062
885.000000	95.979	52.3187
900.000000	96.138	52.8548
912.000000	96.195	53.7274
925.000000	96.290	54.5341
938.000000	96.407	55.2990
950.000000	96.501	56.0488
962.000000	96.629	56.7180
975.000000	96.786	57.7066
988.000000	96.908	58.4439
1000.000000	97.073	59.1046
1015.000000	97.302	60.1448
1030.000000	97.503	60.7397
1044.000000	97.751	61.3089
1060.000000	98.017	62.1162
1075.000000	98.296	62.4754
1090.000000	98.574	62.6719
1106.000000	98.893	62.6392
1120.000000	99.120	62.4016
1138.000000	99.435	61.8309
