* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -12,0 dBFS, measurement signal peak level -10,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 5/10/2024 01:57:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0326 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,6 ppm
* Measurement: V15f mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.652	84.4053
20.299999	84.750	83.5827
20.600000	84.833	82.7655
20.900000	84.905	82.0150
21.200001	84.975	81.3651
21.400000	85.028	80.9685
21.799999	85.154	80.1666
22.000000	85.224	79.7085
22.400000	85.366	78.5921
22.700001	85.453	77.5969
23.000000	85.511	76.5591
23.299999	85.540	75.6054
23.600000	85.553	74.8243
24.000000	85.574	74.0959
24.299999	85.612	73.7039
24.700001	85.703	73.1853
25.000000	85.787	72.6815
25.400000	85.893	71.8403
25.799999	85.970	70.9685
26.200001	86.031	70.2608
26.500000	86.083	69.8575
26.900000	86.179	69.3692
27.200001	86.265	68.9139
27.600000	86.375	68.1055
28.000000	86.445	67.1833
28.500000	86.475	66.2693
29.000000	86.507	65.8669
29.500000	86.607	65.6417
30.000000	86.752	65.0269
30.400000	86.843	64.2009
30.700001	86.877	63.5298
31.100000	86.888	62.7924
31.500000	86.895	62.3118
32.000000	86.939	61.8668
32.500000	87.011	61.2448
33.000000	87.060	60.4346
33.500000	87.077	59.7465
34.000000	87.106	59.3225
34.500000	87.182	58.9050
35.000000	87.276	58.2323
35.500000	87.344	57.3979
36.000000	87.384	56.6920
36.500000	87.433	56.1829
37.000000	87.508	55.6652
37.500000	87.581	55.0145
38.200001	87.644	54.1807
38.700001	87.693	53.7999
39.500000	87.814	52.9957
40.000000	87.852	52.2255
40.599998	87.820	51.5230
41.200001	87.787	51.4575
41.799999	87.833	51.5654
42.500000	87.926	51.1877
43.099998	87.965	50.7150
43.700001	88.016	50.3910
44.400002	88.120	49.6708
45.000000	88.159	48.5870
45.500000	88.123	47.8698
46.200001	88.087	47.6238
46.799999	88.161	47.5146
47.500000	88.262	46.7475
48.200001	88.275	45.9867
48.700001	88.280	45.8159
49.400002	88.349	45.6415
50.000000	88.401	45.2078
50.799999	88.407	44.8041
51.500000	88.436	44.7178
52.200001	88.477	44.3154
53.000000	88.462	43.8573
53.799999	88.495	43.5271
54.500000	88.514	42.6550
55.200001	88.440	42.1068
56.000000	88.502	42.2520
57.000000	88.660	40.5504
58.000000	88.576	40.5764
59.000000	89.090	40.1895
60.000000	89.010	35.7449
60.799999	88.528	36.6687
61.500000	88.611	39.2598
62.200001	88.874	39.4620
63.000000	88.910	38.7650
64.000000	88.879	38.8307
65.000000	88.860	38.7755
66.000000	88.887	38.7192
67.000000	88.924	38.0488
68.000000	88.930	37.3392
69.000000	88.921	36.8225
70.000000	88.977	36.6342
71.000000	89.044	35.9797
72.000000	89.032	35.5457
73.000000	89.032	35.4392
74.000000	89.037	35.3491
75.000000	89.050	35.3376
76.199997	89.122	34.9758
77.500000	89.064	34.2048
78.800003	89.080	34.5042
80.000000	89.142	34.0260
81.199997	89.160	33.7657
82.500000	89.175	33.2438
83.800003	89.158	33.2328
85.000000	89.220	32.9320
86.199997	89.224	32.4650
87.500000	89.220	32.0415
88.500000	89.193	31.9789
90.000000	89.270	31.9432
91.199997	89.264	31.3503
92.500000	89.260	31.5228
93.800003	89.300	31.3137
95.000000	89.343	31.1779
96.199997	89.320	30.8242
97.500000	89.355	30.8920
98.800003	89.319	30.5483
100.000000	89.363	30.7087
101.500000	89.363	30.1731
103.000000	89.404	30.1984
104.400002	89.407	29.6122
106.000000	89.392	29.9417
107.500000	89.427	29.9257
109.000000	89.484	29.6658
110.599998	89.468	29.5905
112.000000	89.501	29.3228
113.800003	89.480	28.9498
115.000000	89.442	28.8248
117.199997	89.501	28.8975
118.000000	89.470	28.5655
120.599998	89.532	28.2885
122.000000	89.531	28.3356
124.099998	89.528	28.7182
125.000000	89.583	28.3990
126.500000	89.514	28.5546
128.000000	89.608	28.4862
131.500000	89.523	28.0822
132.000000	89.520	28.2625
134.000000	89.575	27.9093
136.000000	89.609	27.9200
138.000000	89.638	27.7371
140.000000	89.605	27.9847
143.000000	89.598	28.2262
145.000000	89.598	27.5594
147.500000	89.598	27.4520
150.000000	89.632	27.5896
152.500000	89.678	27.6052
155.000000	89.671	27.8152
157.500000	89.701	28.0251
160.000000	89.680	27.7322
162.500000	89.671	27.6680
165.000000	89.767	27.6771
167.500000	89.792	27.9495
170.000000	89.737	27.6768
172.500000	89.722	27.7971
175.000000	89.791	27.4410
177.500000	89.741	27.7361
180.000000	89.748	27.0586
182.500000	89.806	27.5227
185.000000	89.818	27.7203
187.500000	89.807	27.9363
190.000000	89.733	28.0572
192.500000	89.787	27.8891
195.000000	89.840	28.1224
197.500000	89.871	28.4089
200.000000	89.881	28.5599
203.000000	89.815	28.5120
206.000000	89.849	28.4250
209.000000	89.827	28.5522
212.000000	89.800	28.9078
214.000000	89.710	27.9200
218.000000	89.777	28.6998
220.000000	89.803	29.0170
224.000000	89.945	29.5521
227.000000	89.868	29.8694
230.000000	89.842	30.0367
233.000000	89.896	30.6175
236.000000	89.905	30.0745
240.000000	89.966	30.1884
243.000000	90.020	30.8116
247.000000	89.971	30.7311
250.000000	89.969	30.8862
254.000000	90.036	31.0920
258.000000	90.078	31.1398
262.000000	90.132	31.3640
265.000000	90.135	31.5558
269.000000	90.085	32.0718
272.000000	90.131	31.8949
276.000000	90.144	32.5576
280.000000	90.167	32.6124
285.000000	90.236	32.8203
290.000000	90.214	33.4211
295.000000	90.269	33.4135
300.000000	90.312	33.5571
304.000000	90.305	33.8799
307.000000	90.348	34.2999
311.000000	90.398	34.4249
315.000000	90.362	34.4547
320.000000	90.405	35.1819
325.000000	90.430	34.9261
330.000000	90.477	35.7782
335.000000	90.468	35.6624
340.000000	90.528	36.1010
345.000000	90.578	36.7520
350.000000	90.572	36.7376
355.000000	90.608	36.8004
360.000000	90.701	36.8732
365.000000	90.669	37.2333
370.000000	90.739	37.8320
375.000000	90.736	38.1490
382.000000	90.780	38.3326
387.000000	90.773	38.4960
395.000000	90.818	39.1583
400.000000	90.859	39.3657
406.000000	90.872	39.9846
412.000000	90.960	40.2114
418.000000	90.995	40.5188
425.000000	91.028	40.8295
431.000000	91.080	40.9025
437.000000	91.144	41.5719
444.000000	91.197	42.0374
450.000000	91.184	42.1512
455.000000	91.268	42.4186
462.000000	91.217	43.0162
468.000000	91.298	43.1296
475.000000	91.353	43.7308
482.000000	91.407	43.9795
487.000000	91.383	44.2491
494.000000	91.392	44.7507
500.000000	91.427	44.8874
508.000000	91.496	45.3172
515.000000	91.535	45.7482
522.000000	91.554	46.2992
530.000000	91.596	46.9700
538.000000	91.587	47.2284
545.000000	91.656	47.2437
552.000000	91.704	48.3447
560.000000	91.723	48.8674
570.000000	91.780	49.6271
580.000000	91.841	50.2678
590.000000	91.895	50.9194
600.000000	91.907	51.8510
608.000000	91.979	52.1278
615.000000	92.025	52.7203
622.000000	92.035	53.3309
630.000000	92.152	53.9355
640.000000	92.231	55.1768
650.000000	92.300	55.6527
660.000000	92.350	57.0969
670.000000	92.434	57.7458
680.000000	92.504	58.3094
690.000000	92.640	59.2800
700.000000	92.743	60.1826
710.000000	92.837	60.9875
720.000000	92.927	61.7723
730.000000	93.092	62.5649
740.000000	93.201	63.3320
750.000000	93.313	64.2361
762.000000	93.492	65.0073
775.000000	93.672	65.6935
788.000000	93.846	66.5273
800.000000	94.016	67.0134
812.000000	94.172	67.6899
825.000000	94.338	68.4664
838.000000	94.528	69.1136
850.000000	94.673	69.6057
862.000000	94.842	70.3571
875.000000	95.007	70.7484
885.000000	95.146	71.3002
900.000000	95.336	71.6764
912.000000	95.502	72.6212
925.000000	95.677	73.2631
938.000000	95.847	73.6464
950.000000	96.030	74.3522
962.000000	96.207	74.9951
975.000000	96.432	75.4713
988.000000	96.636	76.1731
1000.000000	96.844	76.8010
1015.000000	97.111	77.2437
1030.000000	97.422	77.8112
1044.000000	97.685	78.1453
1060.000000	98.021	78.4398
1075.000000	98.366	78.4482
1090.000000	98.716	78.2960
1106.000000	99.087	77.9318
1120.000000	99.379	77.2498
1138.000000	99.745	76.1515
1150.000000	99.963	75.3224
1172.000000	100.291	73.8626
1180.000000	100.390	73.2358
1206.000000	100.716	71.3182
1220.000000	100.839	70.2631
1241.000000	101.010	68.9343
1250.000000	101.076	68.3453
1265.000000	101.191	67.4191
1280.000000	101.283	66.5880
1315.000000	101.437	64.8109
1320.000000	101.486	64.5934
1340.000000	101.561	63.6433
1360.000000	101.648	63.0108
1380.000000	101.701	62.2299
1400.000000	101.772	61.5425
1430.000000	101.875	60.6567
1450.000000	101.943	60.2042
1475.000000	102.012	59.5533
1500.000000	102.080	59.0931
1525.000000	102.174	58.6538
1550.000000	102.242	58.2849
1575.000000	102.310	58.0057
1600.000000	102.387	57.6710
1625.000000	102.497	57.4268
1650.000000	102.574	57.3245
1675.000000	102.669	57.1509
1700.000000	102.753	56.9079
1725.000000	102.855	56.7181
1750.000000	102.945	56.6354
1775.000000	103.052	56.5516
1800.000000	103.160	56.4425
1825.000000	103.267	56.3469
1850.000000	103.398	56.2847
1875.000000	103.537	56.1525
1900.000000	103.652	56.0431
1925.000000	103.798	55.9370
1950.000000	103.939	55.8269
1975.000000	104.084	55.6318
2000.000000	104.239	55.5131
2030.000000	104.421	55.2109
2060.000000	104.605	54.9031
2090.000000	104.806	54.5064
2120.000000	105.012	54.0613
2140.000000	105.151	53.7730
2180.000000	105.436	53.0059
2200.000000	105.575	52.6349
2240.000000	105.856	51.5732
2270.000000	106.074	50.7290
2300.000000	106.298	49.7897
2330.000000	106.509	48.6291
2360.000000	106.717	47.5087
2400.000000	106.984	45.6633
2430.000000	107.155	44.2382
2470.000000	107.390	42.1714
2500.000000	107.543	40.4200
2540.000000	107.719	37.9974
2580.000000	107.845	35.4259
2620.000000	107.942	32.8852
2650.000000	107.977	30.8427
2690.000000	108.001	28.1562
2720.000000	107.990	26.0824
2760.000000	107.920	23.5228
2800.000000	107.830	20.9149
2850.000000	107.632	17.9937
2900.000000	107.396	15.3393
2950.000000	107.124	13.0717
3000.000000	106.823	11.1367
3040.000000	106.562	9.8245
3070.000000	106.371	9.0199
3110.000000	106.111	8.0527
3150.000000	105.846	7.3275
3200.000000	105.524	6.5480
3250.000000	105.207	6.1831
3300.000000	104.908	6.0093
3350.000000	104.611	6.0790
3400.000000	104.347	6.2128
3450.000000	104.113	6.5616
3500.000000	103.876	7.1395
3550.000000	103.654	7.8391
3600.000000	103.462	8.4667
3650.000000	103.309	9.2505
3700.000000	103.158	10.1870
3750.000000	103.031	11.2698
3820.000000	102.897	12.6555
3870.000000	102.817	13.7361
3950.000000	102.760	15.5147
4000.000000	102.726	16.7232
4060.000000	102.753	17.9868
4120.000000	102.795	19.3477
4180.000000	102.887	20.5853
4250.000000	103.020	22.0531
4310.000000	103.170	23.1530
4370.000000	103.353	24.0541
4440.000000	103.623	25.2047
4500.000000	103.874	25.8674
4550.000000	104.129	26.3381
4620.000000	104.515	26.6874
4680.000000	104.904	26.6074
4750.000000	105.403	25.9833
4820.000000	105.942	24.7136
4870.000000	106.349	23.2780
4940.000000	106.917	20.2302
5000.000000	107.364	16.7593
