* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,2 dBFS, measurement signal peak level -10,5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13/09/2024 09:59:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0326 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,6 ppm
* Measurement: V8 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.391	80.9456
20.299999	92.488	79.8676
20.600000	92.574	78.8316
20.900000	92.652	77.8531
21.200001	92.725	76.9268
21.400000	92.771	76.3289
21.799999	92.854	75.1811
22.000000	92.891	74.6401
22.400000	92.953	73.6640
22.700001	92.996	73.0568
23.000000	93.046	72.5582
23.299999	93.112	72.1149
23.600000	93.193	71.6536
24.000000	93.316	70.9009
24.299999	93.405	70.1978
24.700001	93.500	69.1297
25.000000	93.548	68.3211
25.400000	93.588	67.3521
25.799999	93.621	66.5637
26.200001	93.666	65.9020
26.500000	93.712	65.4192
26.900000	93.785	64.7212
27.200001	93.842	64.1365
27.600000	93.911	63.2899
28.000000	93.967	62.4188
28.500000	94.020	61.3989
29.000000	94.068	60.5578
29.500000	94.135	59.8868
30.000000	94.238	59.1949
30.400000	94.332	58.4724
30.700001	94.394	57.8129
31.100000	94.446	56.8764
31.500000	94.463	56.0453
32.000000	94.464	55.3669
32.500000	94.496	55.0206
33.000000	94.579	54.6336
33.500000	94.673	53.9547
34.000000	94.732	53.0951
34.500000	94.753	52.3458
35.000000	94.770	51.8187
35.500000	94.812	51.3616
36.000000	94.868	50.7781
36.500000	94.911	50.0643
37.000000	94.927	49.3978
37.500000	94.937	48.9289
38.200001	94.995	48.4864
38.700001	95.072	48.0454
39.500000	95.168	46.9624
40.000000	95.191	46.3302
40.599998	95.215	45.8011
41.200001	95.263	45.2925
41.799999	95.301	44.6324
42.500000	95.307	43.9449
43.099998	95.321	43.5638
43.700001	95.361	43.1001
44.400002	95.394	42.3592
45.000000	95.406	41.7915
45.500000	95.428	41.3729
46.200001	95.467	40.6884
46.799999	95.483	40.1196
47.500000	95.510	39.7328
48.200001	95.587	39.3596
48.700001	95.646	38.8748
49.400002	95.666	38.0555
50.000000	95.629	37.6962
50.799999	95.634	37.7747
51.500000	95.701	37.3896
52.200001	95.674	36.6558
53.000000	95.635	36.6634
53.799999	95.769	35.9897
54.500000	95.727	34.5284
55.200001	95.641	34.6824
56.000000	95.940	34.4426
57.000000	95.881	31.6081
58.000000	96.161	34.9665
59.000000	97.167	28.8710
60.000000	95.950	22.6384
60.799999	95.404	30.0968
61.500000	96.106	32.3540
62.200001	96.244	30.0269
63.000000	95.974	30.5522
64.000000	96.169	31.1883
65.000000	96.031	29.9790
66.000000	96.006	30.2887
67.000000	96.033	29.3143
68.000000	96.036	28.6908
69.000000	96.042	27.8972
70.000000	96.048	27.7335
71.000000	96.124	27.4189
72.000000	96.143	26.9552
73.000000	96.145	26.7211
74.000000	96.151	26.3574
75.000000	96.125	26.0900
76.199997	96.155	25.7996
77.500000	96.196	25.2764
78.800003	96.189	24.4832
80.000000	96.243	24.6948
81.199997	96.232	23.3941
82.500000	96.149	24.7081
83.800003	96.335	23.8829
85.000000	96.309	23.5897
86.199997	96.301	22.6968
87.500000	96.255	22.7507
88.500000	96.268	22.2471
90.000000	96.264	22.0717
91.199997	96.270	21.5049
92.500000	96.262	21.3021
93.800003	96.296	21.0782
95.000000	96.312	20.5895
96.199997	96.301	20.4502
97.500000	96.316	20.1633
98.800003	96.323	19.9286
100.000000	96.303	19.6222
101.500000	96.295	19.4224
103.000000	96.288	19.3337
104.400002	96.311	18.9203
106.000000	96.319	18.4996
107.500000	96.293	18.1407
109.000000	96.305	18.0320
110.599998	96.335	17.7737
112.000000	96.326	17.5577
113.800003	96.339	17.2452
115.000000	96.321	17.1353
117.199997	96.278	16.9472
118.000000	96.367	17.3723
120.599998	96.287	15.7886
122.000000	96.319	16.2341
124.099998	96.340	15.9154
125.000000	96.296	15.7542
126.500000	96.316	15.8114
128.000000	96.301	15.4557
131.500000	96.332	15.0198
132.000000	96.326	14.9991
134.000000	96.327	14.9276
136.000000	96.296	14.7372
138.000000	96.314	14.4401
140.000000	96.315	14.3405
143.000000	96.332	14.1096
145.000000	96.318	13.5944
147.500000	96.314	13.5972
150.000000	96.274	13.4865
152.500000	96.287	13.3534
155.000000	96.243	12.9811
157.500000	96.295	12.6433
160.000000	96.294	12.5994
162.500000	96.250	12.4218
165.000000	96.257	12.4657
167.500000	96.237	12.0284
170.000000	96.234	12.0762
172.500000	96.181	11.7086
175.000000	96.233	11.9468
177.500000	96.244	11.4819
180.000000	96.222	11.2249
182.500000	96.226	11.1497
185.000000	96.197	10.8506
187.500000	96.203	10.8070
190.000000	96.162	11.0529
192.500000	96.142	10.8582
195.000000	96.111	10.6917
197.500000	96.056	10.7151
200.000000	96.082	10.5754
203.000000	96.054	10.3612
206.000000	96.010	10.6808
209.000000	96.004	10.6289
212.000000	95.937	10.2029
214.000000	95.987	10.5504
218.000000	95.951	10.7312
220.000000	95.968	10.6079
224.000000	95.961	10.7399
227.000000	95.983	10.8269
230.000000	95.982	10.8147
233.000000	95.984	10.5527
236.000000	95.989	10.6321
240.000000	95.997	10.3256
243.000000	95.954	10.4930
247.000000	95.978	10.3312
250.000000	95.995	10.0826
254.000000	95.957	10.3434
258.000000	95.928	10.2110
262.000000	95.917	10.3855
265.000000	95.911	10.4449
269.000000	95.922	10.0509
272.000000	95.879	10.1671
276.000000	95.833	10.5536
280.000000	95.855	10.2980
285.000000	95.833	10.4331
