* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,7 dBFS, measurement signal peak level -14,9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 06:49:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0335 ms (-11 mm, -0,45 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,8 ppm
* Measurement: 712 d6 mic 2 v 1-3
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.166	91.0967
20.299999	96.236	90.6470
20.600000	96.352	90.6689
20.900000	96.558	90.8423
21.200001	96.857	90.6274
21.400000	97.070	90.0463
21.799999	97.440	87.8860
22.000000	97.557	86.4561
22.400000	97.601	83.5012
22.700001	97.491	81.7752
23.000000	97.324	80.8970
23.299999	97.192	80.8432
23.600000	97.156	81.2250
24.000000	97.273	81.5540
24.299999	97.423	81.1598
24.700001	97.591	79.7649
25.000000	97.646	78.4283
25.400000	97.636	76.8136
25.799999	97.602	75.7106
26.200001	97.620	74.9598
26.500000	97.678	74.3833
26.900000	97.793	73.3945
27.200001	97.884	72.4877
27.600000	97.992	71.1764
28.000000	98.083	69.8928
28.500000	98.180	68.4834
29.000000	98.278	67.4770
29.500000	98.434	66.9042
30.000000	98.699	66.1955
30.400000	98.944	64.9554
30.700001	99.089	63.5295
31.100000	99.153	61.2975
31.500000	99.042	59.3581
32.000000	98.749	58.4840
32.500000	98.548	59.6142
33.000000	98.641	61.1816
33.500000	98.918	61.4323
34.000000	99.132	60.2350
34.500000	99.180	58.6636
35.000000	99.131	57.5474
35.500000	99.097	56.9374
36.000000	99.119	56.3829
36.500000	99.166	55.6155
37.000000	99.206	54.7251
37.500000	99.242	53.8779
38.200001	99.314	52.7399
38.700001	99.373	51.8321
39.500000	99.419	50.3903
40.000000	99.426	49.7522
40.599998	99.455	49.2394
41.200001	99.507	48.7086
41.799999	99.546	48.1298
42.500000	99.589	47.6232
43.099998	99.666	47.0739
43.700001	99.724	46.0681
44.400002	99.687	44.8706
45.000000	99.642	44.4647
45.500000	99.679	44.2446
46.200001	99.775	43.2746
46.799999	99.768	42.1934
47.500000	99.730	41.7909
48.200001	99.839	41.6505
48.700001	99.946	40.9838
49.400002	99.975	39.7717
50.000000	99.946	39.3832
50.799999	100.020	39.1872
51.500000	100.086	38.3694
52.200001	100.060	37.6430
53.000000	100.054	37.2645
53.799999	100.076	36.5646
54.500000	100.066	35.9294
55.200001	100.074	35.2789
56.000000	100.048	34.3883
57.000000	100.054	34.0200
58.000000	100.128	32.5250
59.000000	99.906	32.3887
60.000000	100.188	33.7174
60.799999	100.386	31.8685
61.500000	100.264	30.9894
62.200001	100.294	31.4551
63.000000	100.474	30.3126
64.000000	100.269	28.5009
65.000000	100.201	29.2279
66.000000	100.308	28.3817
67.000000	100.250	27.6755
68.000000	100.285	27.4119
69.000000	100.336	26.7878
70.000000	100.366	26.0936
71.000000	100.364	25.4274
72.000000	100.349	25.0137
73.000000	100.366	24.6096
74.000000	100.350	24.0258
75.000000	100.332	23.8436
76.199997	100.366	23.2932
77.500000	100.350	22.8762
78.800003	100.381	22.2595
80.000000	100.366	21.7616
81.199997	100.360	21.2277
82.500000	100.357	20.7468
83.800003	100.343	20.1467
85.000000	100.351	19.8901
86.199997	100.375	19.3583
87.500000	100.367	19.1121
88.500000	100.418	18.8484
90.000000	100.401	18.0389
91.199997	100.392	17.7632
92.500000	100.368	17.2387
93.800003	100.361	16.9761
95.000000	100.360	16.6499
96.199997	100.383	16.2474
97.500000	100.342	15.9159
98.800003	100.401	15.6849
100.000000	100.361	15.0998
101.500000	100.392	14.9567
103.000000	100.367	14.3441
104.400002	100.364	14.1152
106.000000	100.370	13.7578
107.500000	100.333	13.2806
109.000000	100.349	12.9738
110.599998	100.280	12.6235
112.000000	100.364	12.3490
113.800003	100.309	11.9409
115.000000	100.321	11.6483
117.199997	100.282	11.4493
118.000000	100.309	11.4849
120.599998	100.291	11.1471
122.000000	100.340	9.8048
124.099998	100.258	9.7509
125.000000	100.251	9.9211
126.500000	100.277	9.3368
128.000000	100.246	9.5514
131.500000	100.223	8.6816
132.000000	100.214	8.5806
134.000000	100.210	8.0480
136.000000	100.185	7.4847
138.000000	100.227	7.7018
140.000000	100.133	7.0023
143.000000	100.151	6.9349
145.000000	100.194	6.5571
147.500000	100.157	6.3309
150.000000	100.127	5.9532
152.500000	100.114	5.7015
155.000000	100.078	5.1749
157.500000	100.117	4.6890
160.000000	100.066	4.5638
162.500000	100.066	4.6027
165.000000	99.983	4.4359
167.500000	99.966	4.2437
170.000000	99.989	3.9007
172.500000	99.973	3.2523
175.000000	99.966	2.9840
177.500000	99.942	2.7603
180.000000	99.886	2.5305
182.500000	99.894	2.5108
185.000000	99.861	1.8651
187.500000	99.859	1.6668
190.000000	99.837	1.5439
192.500000	99.842	1.2102
195.000000	99.810	1.0972
197.500000	99.795	0.8775
200.000000	99.753	0.8248
203.000000	99.780	0.7054
206.000000	99.703	0.0085
209.000000	99.683	-0.2075
212.000000	99.662	-0.2109
214.000000	99.652	-0.3083
218.000000	99.617	-0.8010
220.000000	99.596	-0.7912
224.000000	99.557	-0.9001
227.000000	99.539	-0.9386
230.000000	99.475	-0.8633
233.000000	99.431	-1.2355
236.000000	99.404	-1.3546
240.000000	99.410	-1.6239
243.000000	99.368	-1.9125
247.000000	99.359	-2.2282
250.000000	99.322	-2.3514
254.000000	99.209	-2.4385
258.000000	99.256	-2.8469
262.000000	99.189	-2.5894
265.000000	99.191	-2.7394
269.000000	99.124	-2.8440
272.000000	99.143	-2.8463
276.000000	99.084	-2.7750
280.000000	99.001	-3.0967
285.000000	99.021	-3.0278
290.000000	98.993	-3.3594
295.000000	98.973	-3.6185
300.000000	98.956	-3.5638
304.000000	98.889	-3.6671
307.000000	98.839	-3.8586
311.000000	98.826	-4.1645
315.000000	98.781	-4.2060
320.000000	98.787	-4.2009
325.000000	98.757	-4.4506
330.000000	98.681	-4.5686
335.000000	98.627	-4.7215
340.000000	98.555	-4.7227
345.000000	98.533	-4.6432
350.000000	98.469	-4.4772
355.000000	98.395	-4.6940
360.000000	98.375	-4.7833
365.000000	98.277	-4.8140
370.000000	98.247	-5.0305
375.000000	98.249	-4.8283
382.000000	98.133	-4.8664
387.000000	98.070	-4.7477
395.000000	97.997	-4.6730
400.000000	97.946	-4.4005
406.000000	97.924	-4.3049
412.000000	97.881	-4.0696
418.000000	97.864	-4.2178
425.000000	97.842	-4.2710
431.000000	97.785	-4.0978
437.000000	97.729	-4.2087
444.000000	97.703	-4.0579
450.000000	97.651	-4.0147
