* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,9 dBFS, measurement signal peak level -15,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:22:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0324 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,5 ppm
* Measurement: 712 d6 mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.661	89.9255
20.299999	92.757	88.8117
20.600000	92.835	87.7794
20.900000	92.905	86.8826
21.200001	92.982	86.1194
21.400000	93.043	85.6432
21.799999	93.185	84.6695
22.000000	93.262	84.1306
22.400000	93.409	82.9154
22.700001	93.504	81.9355
23.000000	93.580	80.9804
23.299999	93.645	80.1103
23.600000	93.707	79.3373
24.000000	93.799	78.4152
24.299999	93.877	77.7372
24.700001	93.986	76.7838
25.000000	94.063	76.0315
25.400000	94.152	75.0334
25.799999	94.231	74.1157
26.200001	94.312	73.2942
26.500000	94.379	72.7041
26.900000	94.478	71.8847
27.200001	94.554	71.2119
27.600000	94.647	70.2369
28.000000	94.721	69.2272
28.500000	94.788	68.0343
29.000000	94.842	67.0103
29.500000	94.903	66.1382
30.000000	94.980	65.3018
30.400000	95.047	64.5826
30.700001	95.093	64.0071
31.100000	95.143	63.2372
31.500000	95.182	62.5362
32.000000	95.230	61.8239
32.500000	95.303	61.2017
33.000000	95.399	60.4444
33.500000	95.482	59.4620
34.000000	95.524	58.4377
34.500000	95.538	57.6464
35.000000	95.570	57.1236
35.500000	95.644	56.5927
36.000000	95.734	55.7849
36.500000	95.792	54.7534
37.000000	95.804	53.8047
37.500000	95.801	53.1456
38.200001	95.840	52.5151
38.700001	95.897	51.9937
39.500000	95.978	50.9995
40.000000	96.020	50.4155
40.599998	96.077	49.7189
41.200001	96.127	48.9282
41.799999	96.150	48.1349
42.500000	96.157	47.4131
43.099998	96.175	46.9519
43.700001	96.212	46.4858
44.400002	96.267	45.8170
45.000000	96.306	45.1372
45.500000	96.327	44.5682
46.200001	96.350	43.8913
46.799999	96.385	43.3872
47.500000	96.434	42.7103
48.200001	96.465	42.0274
48.700001	96.484	41.6349
49.400002	96.524	41.0796
50.000000	96.543	40.4978
50.799999	96.531	39.8977
51.500000	96.540	39.5320
52.200001	96.555	38.9857
53.000000	96.551	38.4080
53.799999	96.590	37.7657
54.500000	96.599	36.9343
55.200001	96.599	36.5726
56.000000	96.747	36.0301
57.000000	96.757	34.3189
58.000000	96.870	35.8060
59.000000	97.524	33.4464
60.000000	97.141	28.9511
60.799999	96.715	30.9828
61.500000	96.883	32.6810
62.200001	96.988	32.0518
63.000000	96.873	31.9147
64.000000	96.919	32.1139
65.000000	96.862	31.1024
66.000000	96.815	30.9065
67.000000	96.851	30.0294
68.000000	96.824	29.4012
69.000000	96.884	29.0114
70.000000	96.924	28.2968
71.000000	96.919	27.9698
72.000000	96.945	27.7390
73.000000	96.943	27.3807
74.000000	96.945	27.1873
75.000000	96.978	26.7341
76.199997	96.982	25.9799
77.500000	96.978	25.3311
78.800003	96.987	24.9775
80.000000	97.013	24.5523
81.199997	97.005	24.2916
82.500000	96.982	23.9319
83.800003	96.999	24.0482
85.000000	97.044	23.1230
86.199997	96.980	22.7656
87.500000	97.021	22.2949
88.500000	97.005	21.9689
90.000000	97.035	21.5488
91.199997	97.019	21.3315
92.500000	97.052	20.9589
93.800003	97.013	20.5991
95.000000	97.039	20.4418
96.199997	97.046	19.9436
97.500000	97.033	19.6472
98.800003	97.033	19.3403
100.000000	97.024	19.2709
101.500000	97.054	18.8168
103.000000	97.024	18.6585
104.400002	97.051	18.1493
106.000000	97.029	17.8358
107.500000	97.034	17.4760
109.000000	97.032	17.2460
110.599998	97.021	17.0807
112.000000	97.019	16.7191
113.800003	97.014	16.6196
115.000000	97.023	16.1824
117.199997	97.045	16.0305
118.000000	97.089	15.7501
120.599998	96.999	15.2190
122.000000	97.013	15.2411
124.099998	96.969	14.8733
125.000000	96.995	14.8208
126.500000	96.971	14.3559
128.000000	96.989	14.3158
131.500000	97.002	13.9009
132.000000	96.999	13.7832
134.000000	96.976	13.7423
136.000000	96.977	13.4080
138.000000	96.970	12.9629
140.000000	96.953	12.8817
143.000000	96.959	12.5433
145.000000	96.961	12.4609
147.500000	96.946	12.1379
150.000000	96.905	11.9760
152.500000	96.886	11.3564
155.000000	96.857	11.0942
157.500000	96.890	11.1150
160.000000	96.922	11.0919
162.500000	96.917	10.7725
165.000000	96.924	10.5220
167.500000	96.803	10.8463
170.000000	96.864	10.1781
172.500000	96.823	9.8503
175.000000	96.849	10.2310
177.500000	96.836	9.9529
180.000000	96.881	9.8149
182.500000	96.845	9.8125
185.000000	96.807	9.7620
187.500000	96.764	9.7827
190.000000	96.726	9.5930
192.500000	96.788	9.5975
195.000000	96.738	9.4971
197.500000	96.723	9.3519
200.000000	96.758	9.1133
203.000000	96.780	9.0082
206.000000	96.777	9.0193
209.000000	96.754	8.7767
212.000000	96.746	8.4484
214.000000	96.778	8.4474
218.000000	96.660	9.5902
220.000000	96.731	8.7007
224.000000	96.728	8.1933
227.000000	96.749	8.0445
230.000000	96.700	8.1432
233.000000	96.730	7.9384
236.000000	96.697	7.7232
240.000000	96.680	7.7198
243.000000	96.674	7.6389
247.000000	96.666	7.4053
250.000000	96.667	7.5999
254.000000	96.678	7.3505
258.000000	96.636	7.1608
262.000000	96.609	7.2103
265.000000	96.644	7.0170
269.000000	96.636	7.0659
272.000000	96.601	6.9443
276.000000	96.589	7.0411
280.000000	96.568	7.0240
285.000000	96.591	6.7548
290.000000	96.584	7.2287
295.000000	96.546	6.9154
300.000000	96.562	6.9676
304.000000	96.541	6.6711
307.000000	96.534	6.5001
311.000000	96.524	6.7827
315.000000	96.497	6.5898
320.000000	96.483	6.4952
325.000000	96.488	6.5750
330.000000	96.439	6.4974
335.000000	96.435	6.5624
340.000000	96.420	6.8111
345.000000	96.393	6.4518
350.000000	96.384	6.7604
355.000000	96.390	6.7359
360.000000	96.381	6.7695
365.000000	96.387	6.7651
370.000000	96.408	6.8452
375.000000	96.370	6.9285
382.000000	96.350	6.9852
387.000000	96.353	6.8359
395.000000	96.347	6.8811
400.000000	96.352	6.8501
406.000000	96.309	6.7936
412.000000	96.327	6.8763
418.000000	96.284	6.8589
425.000000	96.286	7.0753
431.000000	96.263	6.8651
437.000000	96.272	7.0593
444.000000	96.225	6.9578
450.000000	96.220	7.0039
455.000000	96.210	7.1986
462.000000	96.214	7.1321
468.000000	96.149	7.3569
475.000000	96.162	7.3843
482.000000	96.145	7.2098
487.000000	96.159	7.3080
494.000000	96.124	7.5314
500.000000	96.099	7.7643
508.000000	96.088	7.7224
515.000000	96.068	7.6646
522.000000	96.067	7.9008
530.000000	96.043	7.9380
538.000000	96.040	8.1760
545.000000	96.007	7.9744
552.000000	96.004	8.1453
560.000000	95.978	8.2662
570.000000	95.934	8.4427
580.000000	95.972	8.6960
590.000000	95.911	8.8364
600.000000	95.916	8.8330
608.000000	95.894	9.0432
615.000000	95.828	9.3157
622.000000	95.827	9.4300
630.000000	95.835	9.4182
640.000000	95.773	9.6508
650.000000	95.786	9.8173
660.000000	95.725	10.2532
670.000000	95.752	10.3138
680.000000	95.689	10.5549
690.000000	95.657	10.7719
700.000000	95.624	11.0875
710.000000	95.600	11.2683
720.000000	95.567	11.5554
730.000000	95.569	11.7308
740.000000	95.525	11.9104
750.000000	95.493	12.4915
762.000000	95.456	12.6415
775.000000	95.448	12.9578
788.000000	95.352	13.6512
800.000000	95.338	13.9577
812.000000	95.312	14.3547
825.000000	95.275	14.9929
838.000000	95.212	15.5126
850.000000	95.160	16.1489
862.000000	95.157	16.7066
875.000000	95.101	17.3261
885.000000	95.063	17.8927
900.000000	95.015	18.6431
912.000000	95.006	19.4426
925.000000	95.003	20.4214
938.000000	94.967	21.2178
950.000000	94.949	22.2454
