* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -12,9 dBFS, measurement signal peak level -11,6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:24:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0653 ms (-22 mm, -0,88 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,6 ppm
* Measurement: 712 flaco mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.919	100.1201
20.299999	94.048	99.0125
20.600000	94.162	97.8966
20.900000	94.259	96.8239
21.200001	94.347	95.8393
21.400000	94.404	95.2382
21.799999	94.526	94.1340
22.000000	94.594	93.6035
22.400000	94.739	92.5139
22.700001	94.852	91.6352
23.000000	94.959	90.7040
23.299999	95.057	89.7578
23.600000	95.144	88.8366
24.000000	95.252	87.6936
24.299999	95.332	86.9031
24.700001	95.445	85.8983
25.000000	95.532	85.1458
25.400000	95.647	84.1223
25.799999	95.753	83.0960
26.200001	95.851	82.1023
26.500000	95.921	81.3827
26.900000	96.014	80.4383
27.200001	96.080	79.7257
27.600000	96.161	78.7701
28.000000	96.231	77.8414
28.500000	96.311	76.7672
29.000000	96.397	75.7590
29.500000	96.489	74.7263
30.000000	96.577	73.6453
30.400000	96.641	72.7936
30.700001	96.688	72.1837
31.100000	96.754	71.3973
31.500000	96.825	70.6071
32.000000	96.908	69.5961
32.500000	96.979	68.6361
33.000000	97.046	67.8211
33.500000	97.126	67.1103
34.000000	97.217	66.3628
34.500000	97.297	65.5319
35.000000	97.350	64.7267
35.500000	97.390	64.0635
36.000000	97.438	63.4973
36.500000	97.495	62.8789
37.000000	97.546	62.1414
37.500000	97.578	61.3726
38.200001	97.616	60.4091
38.700001	97.663	59.7187
39.500000	97.746	58.3585
40.000000	97.782	57.4908
40.599998	97.824	56.6480
41.200001	97.900	55.9341
41.799999	97.996	55.1407
42.500000	98.085	54.1677
43.099998	98.137	53.4884
43.700001	98.179	52.9679
44.400002	98.222	52.4653
45.000000	98.251	52.0378
45.500000	98.267	51.6317
46.200001	98.274	51.0076
46.799999	98.282	50.4077
47.500000	98.295	49.4665
48.200001	98.290	48.4510
48.700001	98.303	47.8519
49.400002	98.376	46.9261
50.000000	98.432	45.9915
50.799999	98.497	45.3482
51.500000	98.638	44.9452
52.200001	98.708	44.2281
53.000000	98.706	44.5616
53.799999	98.856	44.5503
54.500000	98.736	43.4541
55.200001	98.496	44.4175
56.000000	98.704	44.3322
