* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,6 dBFS, measurement signal peak level -14,6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:44:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0312 ms (-11 mm, -0,42 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,7 ppm
* Measurement: 712 gordo mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.452	80.9516
20.299999	93.558	79.9893
20.600000	93.653	79.0543
20.900000	93.742	78.1822
21.200001	93.834	77.3721
21.400000	93.898	76.8417
21.799999	94.031	75.7561
22.000000	94.096	75.1857
22.400000	94.214	73.9972
22.700001	94.287	73.1160
23.000000	94.348	72.3026
23.299999	94.404	71.5806
23.600000	94.463	70.9335
24.000000	94.552	70.1229
24.299999	94.623	69.4966
24.700001	94.714	68.6078
25.000000	94.773	67.9257
25.400000	94.837	67.0576
25.799999	94.894	66.2848
26.200001	94.953	65.5880
26.500000	95.002	65.0755
26.900000	95.069	64.3649
27.200001	95.116	63.8072
27.600000	95.172	63.0546
28.000000	95.220	62.3276
28.500000	95.280	61.4664
29.000000	95.342	60.6176
29.500000	95.405	59.7591
30.000000	95.469	58.9301
30.400000	95.527	58.3051
30.700001	95.580	57.8358
31.100000	95.665	57.1320
31.500000	95.754	56.2654
32.000000	95.837	54.9578
32.500000	95.859	53.6515
33.000000	95.836	52.7369
33.500000	95.829	52.3408
34.000000	95.890	52.1325
34.500000	95.995	51.6489
35.000000	96.074	50.8320
35.500000	96.091	50.0577
36.000000	96.084	49.6570
36.500000	96.114	49.5165
37.000000	96.186	49.2181
37.500000	96.250	48.5748
38.200001	96.258	47.5876
38.700001	96.246	47.2223
39.500000	96.335	46.7596
40.000000	96.422	45.9712
40.599998	96.451	44.6647
41.200001	96.392	43.8721
41.799999	96.388	43.9186
42.500000	96.558	43.8643
43.099998	96.710	42.9352
43.700001	96.745	41.8639
44.400002	96.717	41.3217
45.000000	96.733	41.1613
45.500000	96.750	40.8734
46.200001	96.728	40.4347
46.799999	96.707	40.2624
47.500000	96.737	39.8556
48.200001	96.754	38.8436
48.700001	96.719	38.0684
49.400002	96.681	37.4719
50.000000	96.749	37.0089
50.799999	96.848	35.6419
51.500000	96.832	35.0552
52.200001	96.962	35.4117
53.000000	97.179	34.4521
53.799999	97.042	34.1681
54.500000	97.107	35.7918
55.200001	97.271	34.9356
56.000000	96.784	34.2227
57.000000	96.920	37.3189
58.000000	96.258	27.2500
59.000000	93.036	42.0606
60.000000	96.900	52.5685
60.799999	97.774	36.7492
61.500000	96.782	29.7362
62.200001	96.455	32.0176
63.000000	97.032	30.4660
64.000000	96.953	27.8429
65.000000	97.249	28.3809
66.000000	97.285	27.2549
67.000000	97.318	28.3839
68.000000	97.369	27.8785
69.000000	97.265	27.7519
70.000000	97.235	27.3834
71.000000	97.221	26.6578
72.000000	97.211	25.8718
73.000000	97.251	25.4260
74.000000	97.304	24.9175
75.000000	97.343	24.7649
76.199997	97.371	24.4952
77.500000	97.381	24.3922
78.800003	97.373	23.8049
80.000000	97.372	23.2305
81.199997	97.342	22.6335
82.500000	97.389	22.5491
83.800003	97.443	21.9060
85.000000	97.417	21.6168
86.199997	97.420	21.5577
87.500000	97.436	20.9888
88.500000	97.402	20.6823
90.000000	97.421	20.3291
91.199997	97.435	20.2419
92.500000	97.495	19.9125
93.800003	97.477	19.6130
95.000000	97.477	19.5176
96.199997	97.488	19.1448
97.500000	97.470	18.7466
98.800003	97.484	18.2985
100.000000	97.453	18.0856
101.500000	97.512	18.0172
103.000000	97.508	17.6107
104.400002	97.507	17.6084
106.000000	97.536	17.3035
107.500000	97.540	16.9154
109.000000	97.504	16.8868
110.599998	97.532	16.3506
112.000000	97.505	16.3119
113.800003	97.503	15.3416
115.000000	97.517	15.4128
117.199997	97.570	15.9124
118.000000	97.691	15.8307
120.599998	97.771	14.1412
122.000000	97.576	14.5698
124.099998	97.508	14.5746
125.000000	97.566	14.4731
126.500000	97.520	13.8220
128.000000	97.550	13.6911
131.500000	97.525	13.0536
132.000000	97.536	12.8923
134.000000	97.550	11.7854
136.000000	97.476	13.0590
138.000000	97.571	12.9985
140.000000	97.488	11.7904
143.000000	97.503	11.8304
145.000000	97.480	11.3070
147.500000	97.519	10.9542
150.000000	97.607	10.9533
152.500000	97.595	11.1495
155.000000	97.561	11.1630
157.500000	97.618	10.5541
160.000000	97.553	10.9191
162.500000	97.514	9.8925
165.000000	97.414	9.9522
167.500000	97.209	10.3858
170.000000	97.371	9.5902
172.500000	97.913	11.9241
175.000000	97.234	9.8612
177.500000	97.349	8.8152
180.000000	97.467	11.7390
182.500000	97.525	9.8966
185.000000	97.276	9.9854
187.500000	97.361	8.2538
190.000000	97.452	8.2357
192.500000	97.464	8.6106
195.000000	97.568	9.9485
197.500000	97.457	8.5104
200.000000	97.407	7.9013
203.000000	97.463	8.1447
206.000000	97.492	8.3353
209.000000	97.404	8.0363
212.000000	97.457	7.8882
214.000000	97.357	7.4368
218.000000	97.778	10.7505
220.000000	97.465	8.2142
224.000000	97.374	6.7936
227.000000	97.368	6.3944
230.000000	97.347	7.1100
233.000000	97.438	6.4735
236.000000	97.255	5.8463
240.000000	97.321	6.4680
243.000000	97.358	5.8787
247.000000	97.326	6.0665
250.000000	97.346	5.6260
254.000000	97.335	5.6666
258.000000	97.315	5.6749
262.000000	97.331	5.7457
265.000000	97.323	5.0181
269.000000	97.279	5.0745
272.000000	97.267	4.9384
276.000000	97.275	5.0031
280.000000	97.274	4.3640
285.000000	97.277	4.8010
290.000000	97.230	4.9978
295.000000	97.214	3.8558
300.000000	97.118	4.0426
304.000000	97.173	4.2612
307.000000	97.112	4.3260
311.000000	97.103	4.4479
315.000000	97.117	4.0861
320.000000	97.104	4.4192
325.000000	97.028	3.8699
330.000000	96.973	4.0385
335.000000	96.973	4.3888
340.000000	97.027	4.0111
345.000000	96.951	4.1950
350.000000	96.980	4.6101
355.000000	96.930	4.2940
360.000000	96.925	4.1879
365.000000	96.974	3.9810
370.000000	96.963	4.0038
375.000000	96.935	3.6713
382.000000	96.915	4.1123
387.000000	96.823	3.8126
395.000000	96.820	3.9920
400.000000	96.850	3.4291
406.000000	96.848	3.9161
412.000000	96.816	3.9857
418.000000	96.704	3.9778
425.000000	96.772	3.9512
431.000000	96.748	3.6173
437.000000	96.676	3.7310
444.000000	96.696	3.8180
450.000000	96.687	3.8658
455.000000	96.710	3.5622
462.000000	96.634	4.0696
468.000000	96.619	3.9852
475.000000	96.534	3.6619
482.000000	96.538	4.0086
