* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -10,3 dBFS, measurement signal peak level -7,9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26/09/2024 02:31:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0310 ms (-11 mm, -0,42 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,8 ppm
* Measurement: hc1 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.100	84.7479
20.299999	86.203	83.8617
20.600000	86.284	83.0148
20.900000	86.351	82.2957
21.200001	86.420	81.7528
21.400000	86.478	81.4568
21.799999	86.628	80.8690
22.000000	86.717	80.4944
22.400000	86.898	79.4492
22.700001	87.009	78.4350
23.000000	87.076	77.3620
23.299999	87.103	76.4146
23.600000	87.107	75.7177
24.000000	87.118	75.2319
24.299999	87.163	75.0687
24.700001	87.280	74.8009
25.000000	87.392	74.3705
25.400000	87.525	73.4382
25.799999	87.602	72.3144
26.200001	87.623	71.3298
26.500000	87.623	70.8066
26.900000	87.638	70.3717
27.200001	87.675	70.1182
27.600000	87.753	69.6888
28.000000	87.841	69.0535
28.500000	87.932	68.0640
29.000000	88.001	67.0404
29.500000	88.061	65.9750
30.000000	88.093	64.8011
30.400000	88.072	63.9314
30.700001	88.030	63.4883
31.100000	87.972	63.3715
31.500000	87.968	63.7652
32.000000	88.102	64.4319
32.500000	88.354	64.4972
33.000000	88.603	63.7254
33.500000	88.777	62.5404
34.000000	88.888	61.3806
34.500000	88.969	60.2768
35.000000	89.012	59.1222
35.500000	88.988	58.1073
36.000000	88.925	57.6202
36.500000	88.905	57.7084
37.000000	88.983	57.8487
37.500000	89.115	57.5092
38.200001	89.246	56.3478
38.700001	89.280	55.5824
39.500000	89.353	54.7927
40.000000	89.429	54.2113
40.599998	89.495	53.3017
41.200001	89.503	52.5482
41.799999	89.502	52.2481
42.500000	89.566	52.1124
43.099998	89.636	51.6503
43.700001	89.642	51.0450
44.400002	89.604	50.7794
45.000000	89.627	50.6965
45.500000	89.659	50.2371
46.200001	89.607	49.3279
46.799999	89.516	49.2243
47.500000	89.574	49.5570
48.200001	89.749	48.8513
48.700001	89.812	47.8476
49.400002	89.815	46.8877
50.000000	89.858	46.5865
50.799999	89.985	45.9656
51.500000	90.033	45.1586
52.200001	89.987	44.8504
53.000000	89.972	45.4968
53.799999	90.094	45.7621
54.500000	90.113	45.1505
55.200001	90.050	45.0703
56.000000	90.142	44.7641
57.000000	90.071	42.5531
58.000000	90.106	42.5735
59.000000	90.424	38.1571
60.000000	89.652	35.3571
60.799999	89.490	39.6697
61.500000	89.943	41.4521
62.200001	90.249	41.3023
63.000000	90.465	41.3673
64.000000	90.667	41.5192
65.000000	90.955	40.9327
66.000000	90.742	38.0889
67.000000	90.363	40.5767
68.000000	90.785	40.0894
69.000000	90.476	37.9244
70.000000	90.493	39.4493
71.000000	90.602	38.0941
72.000000	90.500	38.2990
73.000000	90.519	38.8795
74.000000	90.688	39.8714
75.000000	90.897	38.2074
76.199997	90.663	37.4076
77.500000	90.752	37.0350
78.800003	90.731	36.7006
80.000000	90.819	35.9759
81.199997	90.818	36.3572
82.500000	90.907	35.8701
83.800003	90.821	36.6367
85.000000	90.879	36.1853
86.199997	90.735	36.4242
87.500000	90.840	36.0663
88.500000	90.808	35.6355
90.000000	90.930	34.7043
91.199997	90.876	34.6246
92.500000	91.071	34.3282
93.800003	90.953	33.8130
95.000000	91.068	34.6010
96.199997	91.083	33.5507
97.500000	90.991	33.9637
98.800003	91.086	34.1483
100.000000	91.136	33.3374
101.500000	91.055	33.6491
103.000000	91.197	33.2731
104.400002	91.122	32.8025
106.000000	91.119	33.6174
107.500000	91.210	33.3705
109.000000	91.293	33.0410
110.599998	91.236	32.3189
112.000000	91.179	32.5998
113.800003	91.283	33.1640
115.000000	91.306	32.9095
117.199997	91.306	32.2405
118.000000	91.237	32.4989
120.599998	91.351	32.2484
122.000000	91.320	31.9726
124.099998	91.336	31.7726
125.000000	91.311	32.1397
126.500000	91.408	32.1756
128.000000	91.375	32.3229
131.500000	91.446	31.9597
132.000000	91.467	31.9881
134.000000	91.460	31.9749
136.000000	91.475	32.0720
138.000000	91.524	32.2521
140.000000	91.514	32.3764
143.000000	91.534	31.9727
145.000000	91.542	31.5565
147.500000	91.549	31.1134
150.000000	91.601	32.1291
152.500000	91.628	31.9778
155.000000	91.577	31.7615
157.500000	91.668	31.2049
160.000000	91.707	31.1463
162.500000	91.781	32.5713
165.000000	91.756	32.2494
167.500000	91.774	32.3452
170.000000	91.816	32.3482
172.500000	91.835	32.4755
175.000000	91.883	33.2516
177.500000	91.821	32.1162
180.000000	91.861	32.1385
182.500000	91.954	32.0119
185.000000	91.963	32.5820
187.500000	91.997	32.8065
190.000000	92.047	32.5928
192.500000	92.015	32.9196
195.000000	92.008	32.9960
197.500000	92.056	32.8965
200.000000	92.027	33.2564
203.000000	92.096	33.0060
206.000000	92.130	33.6871
209.000000	92.166	33.6108
212.000000	92.131	33.8345
214.000000	92.183	33.6077
218.000000	92.206	34.1295
220.000000	92.322	33.7782
224.000000	92.339	34.0734
227.000000	92.354	34.2382
230.000000	92.346	34.5235
233.000000	92.413	34.3868
236.000000	92.451	34.3372
240.000000	92.369	35.3533
243.000000	92.451	34.9523
247.000000	92.516	35.5902
250.000000	92.555	35.0172
254.000000	92.558	35.8213
258.000000	92.616	35.7720
262.000000	92.701	35.2609
265.000000	92.700	36.0527
269.000000	92.680	36.3697
272.000000	92.650	35.9365
276.000000	92.801	36.3720
280.000000	92.806	36.5916
285.000000	92.786	36.9054
290.000000	92.895	36.9978
295.000000	92.857	38.1645
300.000000	92.957	37.6964
304.000000	93.104	37.8398
