* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -14,6 dBFS, measurement signal peak level -13,4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26/09/2024 02:37:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0349 ms (-12 mm, -0,47 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 20,3 ppm
* Measurement: hc2 mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.759	90.4628
20.299999	86.776	88.6882
20.600000	86.737	87.2631
20.900000	86.672	86.3638
21.200001	86.629	86.0480
21.400000	86.639	86.0681
21.799999	86.770	86.2912
22.000000	86.888	86.2915
22.400000	87.184	85.7209
22.700001	87.403	84.7639
23.000000	87.577	83.5120
23.299999	87.695	82.2137
23.600000	87.766	81.0660
24.000000	87.828	79.9562
24.299999	87.883	79.4146
24.700001	87.992	78.8661
25.000000	88.094	78.4152
25.400000	88.231	77.6614
25.799999	88.340	76.8194
26.200001	88.417	76.0601
26.500000	88.464	75.6083
26.900000	88.527	75.1568
27.200001	88.584	74.8831
27.600000	88.678	74.5154
28.000000	88.790	74.0156
28.500000	88.934	72.9938
29.000000	89.016	71.4941
29.500000	88.976	69.9706
30.000000	88.855	69.2251
30.400000	88.806	69.3636
30.700001	88.848	69.6299
31.100000	88.999	69.5858
31.500000	89.174	68.7582
32.000000	89.282	67.0390
32.500000	89.250	65.7451
33.000000	89.251	65.4641
33.500000	89.412	65.2884
34.000000	89.624	64.1328
34.500000	89.699	62.4312
35.000000	89.637	61.4624
35.500000	89.638	61.6288
36.000000	89.811	61.7357
36.500000	90.013	60.7743
37.000000	90.059	59.3640
37.500000	89.983	58.7904
38.200001	90.042	59.4065
38.700001	90.251	59.1515
39.500000	90.389	56.9562
40.000000	90.307	56.1360
40.599998	90.276	56.2170
41.200001	90.395	55.9390
41.799999	90.465	54.8378
42.500000	90.412	54.0704
43.099998	90.459	54.0970
43.700001	90.603	53.4935
44.400002	90.633	51.8563
45.000000	90.508	51.2249
45.500000	90.461	51.5847
46.200001	90.597	51.9420
46.799999	90.736	51.1940
47.500000	90.759	50.0511
48.200001	90.734	49.5372
48.700001	90.752	49.3492
49.400002	90.811	48.9250
50.000000	90.860	48.4302
50.799999	90.910	47.6633
51.500000	90.921	47.0624
52.200001	90.930	46.7510
53.000000	90.984	46.5010
53.799999	91.049	46.0916
54.500000	91.100	45.6784
55.200001	91.143	45.1747
56.000000	91.160	44.5549
57.000000	91.163	44.0645
58.000000	91.242	43.6241
59.000000	91.329	42.0642
60.000000	91.110	40.5529
60.799999	90.955	41.5738
61.500000	91.134	42.4521
62.200001	91.344	41.2965
63.000000	91.213	39.4972
64.000000	90.986	41.0273
65.000000	91.364	41.8671
66.000000	91.488	39.8611
67.000000	91.421	39.5520
68.000000	91.503	39.1854
69.000000	91.506	38.7881
70.000000	91.569	38.5423
71.000000	91.557	38.0370
72.000000	91.568	38.2137
73.000000	91.640	37.8646
74.000000	91.629	37.4043
75.000000	91.647	37.1975
76.199997	91.665	36.5857
77.500000	91.672	36.1831
78.800003	91.702	35.9541
80.000000	91.851	35.6397
81.199997	91.860	34.3243
82.500000	91.805	34.4908
83.800003	91.873	34.1813
85.000000	91.839	33.9688
86.199997	91.875	34.2949
87.500000	91.978	33.5820
88.500000	91.913	33.0761
90.000000	91.924	33.1997
91.199997	91.946	32.8406
92.500000	91.963	32.6392
93.800003	91.964	32.2081
95.000000	91.964	32.3409
96.199997	92.032	31.8307
97.500000	91.957	31.5874
98.800003	92.013	31.7422
100.000000	92.027	31.3568
101.500000	92.031	31.3330
103.000000	92.067	31.0755
104.400002	92.086	30.8595
106.000000	92.095	30.6060
107.500000	92.129	30.3779
109.000000	92.125	30.3725
110.599998	92.173	30.2368
112.000000	92.184	30.0563
113.800003	92.145	29.9728
115.000000	92.205	29.5918
117.199997	92.135	29.1956
118.000000	92.162	29.0967
120.599998	92.236	29.1553
122.000000	92.280	28.7050
124.099998	92.226	29.0130
125.000000	92.263	29.0941
126.500000	92.293	28.5676
128.000000	92.254	28.5129
131.500000	92.314	28.2362
132.000000	92.330	28.3089
134.000000	92.368	27.9132
136.000000	92.335	27.8164
138.000000	92.318	27.7763
140.000000	92.384	27.4539
143.000000	92.408	27.5651
145.000000	92.476	27.4897
147.500000	92.458	27.4104
150.000000	92.499	26.8744
152.500000	92.499	27.0461
155.000000	92.483	27.4129
157.500000	92.478	27.0864
160.000000	92.483	26.8492
162.500000	92.553	26.8156
165.000000	92.557	26.3347
167.500000	92.599	26.5705
170.000000	92.612	26.6406
172.500000	92.616	26.5127
175.000000	92.622	26.5777
177.500000	92.604	26.4895
180.000000	92.583	26.7429
182.500000	92.653	26.3760
185.000000	92.671	25.9839
187.500000	92.717	26.1261
190.000000	92.730	26.2008
192.500000	92.670	26.4341
195.000000	92.641	26.4780
197.500000	92.660	26.7266
200.000000	92.718	26.4506
203.000000	92.763	27.2490
206.000000	92.739	26.8715
209.000000	92.776	26.7104
212.000000	92.832	25.9880
214.000000	92.914	26.6272
218.000000	92.847	27.4830
220.000000	92.864	27.2535
224.000000	92.908	27.2583
227.000000	92.957	27.1491
230.000000	92.954	27.2412
233.000000	92.975	27.2335
236.000000	93.032	27.2843
240.000000	93.065	27.0120
243.000000	93.035	27.6644
247.000000	93.065	27.2264
250.000000	93.131	27.4207
254.000000	93.123	27.8495
258.000000	93.156	27.4155
262.000000	93.256	27.7134
265.000000	93.200	27.6816
269.000000	93.170	27.9178
272.000000	93.215	27.7695
276.000000	93.252	28.0768
280.000000	93.244	27.9144
285.000000	93.279	27.5715
290.000000	93.404	27.7050
295.000000	93.411	28.4949
300.000000	93.445	28.1071
304.000000	93.455	28.3843
307.000000	93.528	28.6150
311.000000	93.489	28.6264
315.000000	93.529	28.4139
320.000000	93.567	29.1280
325.000000	93.648	28.7250
330.000000	93.675	29.2238
335.000000	93.708	28.7957
340.000000	93.748	29.0926
345.000000	93.736	28.8950
350.000000	93.865	29.2457
355.000000	93.848	29.2647
360.000000	93.866	29.5452
365.000000	93.883	29.7365
370.000000	93.932	29.2555
375.000000	93.978	29.6149
382.000000	94.036	29.7995
387.000000	94.059	29.9109
395.000000	94.153	29.7776
400.000000	94.139	29.8733
406.000000	94.200	29.7010
412.000000	94.202	30.2587
418.000000	94.214	30.3062
425.000000	94.275	30.2960
431.000000	94.334	30.4868
437.000000	94.332	30.3414
444.000000	94.426	30.9391
450.000000	94.481	30.8889
455.000000	94.507	30.9332
462.000000	94.498	31.2468
468.000000	94.579	30.8537
475.000000	94.646	31.5299
482.000000	94.649	31.3354
487.000000	94.684	31.2958
494.000000	94.755	31.7032
500.000000	94.766	31.7969
508.000000	94.849	31.5067
515.000000	94.901	31.6241
522.000000	94.946	31.8393
530.000000	94.981	31.7122
