* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -7,0 dBFS, measurement signal peak level -7,0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 14/08/2024 02:30:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0309 ms (-11 mm, -0,42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L 408
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.737	-14.1036
20.299999	62.593	-18.0413
20.600000	62.188	-20.3408
20.900000	61.704	-20.3116
21.200001	61.386	-18.1249
21.400000	61.371	-16.2054
21.799999	61.690	-13.6057
22.000000	61.903	-13.3813
22.400000	62.199	-14.5294
22.700001	62.214	-15.5564
23.000000	62.118	-15.7046
23.299999	62.053	-14.5825
23.600000	62.173	-12.5911
24.000000	62.704	-10.5068
24.299999	63.245	-10.4330
24.700001	63.900	-12.3511
25.000000	64.244	-14.5884
25.400000	64.495	-17.6094
25.799999	64.589	-19.9530
26.200001	64.620	-21.4958
26.500000	64.625	-22.2424
26.900000	64.599	-22.6663
27.200001	64.561	-22.3611
27.600000	64.570	-20.8574
28.000000	64.782	-18.4873
28.500000	65.401	-16.2574
29.000000	66.117	-16.5785
29.500000	66.578	-18.6517
30.000000	66.729	-20.1729
30.400000	66.793	-20.0729
30.700001	66.921	-19.4792
31.100000	67.231	-18.9253
31.500000	67.578	-19.4102
32.000000	67.816	-20.9387
32.500000	67.784	-21.4611
33.000000	67.812	-19.6293
33.500000	68.242	-17.2319
34.000000	68.892	-17.1886
34.500000	69.315	-19.4337
35.000000	69.341	-21.4375
35.500000	69.200	-20.9517
36.000000	69.336	-18.3870
36.500000	69.880	-16.6528
37.000000	70.504	-17.4564
37.500000	70.890	-19.9637
38.200001	70.943	-23.1208
38.700001	70.828	-23.5604
39.500000	70.975	-21.7795
40.000000	71.343	-21.4049
40.599998	71.730	-22.9148
41.200001	71.809	-24.7296
41.799999	71.759	-24.6136
42.500000	72.029	-23.1356
43.099998	72.410	-23.4978
43.700001	72.559	-24.5226
44.400002	72.650	-23.6567
45.000000	73.036	-22.5149
45.500000	73.431	-23.0894
46.200001	73.698	-25.0524
46.799999	73.754	-25.4742
47.500000	74.014	-25.0079
48.200001	74.358	-25.7328
48.700001	74.500	-26.4343
49.400002	74.687	-26.5935
50.000000	74.930	-26.8052
50.799999	75.156	-27.4983
51.500000	75.333	-27.0056
52.200001	75.730	-26.7224
53.000000	76.080	-28.5093
53.799999	76.064	-29.3353
54.500000	76.197	-28.0930
55.200001	76.595	-27.8079
56.000000	76.926	-29.3027
57.000000	77.086	-30.3859
58.000000	77.339	-30.5266
59.000000	77.680	-30.8801
60.000000	77.957	-31.7537
60.799999	78.077	-31.5275
61.500000	78.339	-30.6110
62.200001	78.720	-30.8340
63.000000	78.936	-32.1390
64.000000	79.068	-31.7544
65.000000	79.523	-32.2135
66.000000	79.609	-34.1714
67.000000	79.716	-33.3148
68.000000	80.134	-34.1475
69.000000	80.234	-35.1903
70.000000	80.550	-34.7338
71.000000	80.873	-36.1383
72.000000	80.993	-36.4310
73.000000	81.291	-36.4119
74.000000	81.534	-36.9578
75.000000	81.806	-37.4264
76.199997	82.033	-38.7659
77.500000	82.225	-38.9385
78.800003	82.614	-39.6162
80.000000	82.850	-40.6539
81.199997	83.152	-41.2422
82.500000	83.400	-42.5681
83.800003	83.603	-42.9954
85.000000	83.892	-43.8713
86.199997	83.987	-44.8309
87.500000	84.413	-44.5590
88.500000	84.702	-47.2771
90.000000	84.604	-47.9097
91.199997	84.948	-47.6868
92.500000	85.240	-48.0186
93.800003	85.593	-49.0209
95.000000	85.718	-49.5439
96.199997	86.034	-50.0181
97.500000	86.169	-51.4534
98.800003	86.386	-52.0708
100.000000	86.532	-53.1361
101.500000	86.769	-54.1965
103.000000	86.897	-54.8262
104.400002	87.165	-55.6426
106.000000	87.327	-56.6879
107.500000	87.591	-57.5166
109.000000	87.800	-59.2806
110.599998	88.012	-59.6271
112.000000	88.281	-60.7656
113.800003	88.467	-62.1854
115.000000	88.589	-62.4098
117.199997	88.852	-64.1654
118.000000	88.972	-64.6791
120.599998	89.292	-66.7908
122.000000	89.416	-67.8643
124.099998	89.685	-68.7023
125.000000	89.737	-69.3762
126.500000	89.936	-70.0728
128.000000	90.035	-71.6401
131.500000	90.348	-74.0922
132.000000	90.377	-74.3719
134.000000	90.619	-75.3746
136.000000	90.791	-77.0078
138.000000	90.921	-78.3883
140.000000	91.113	-79.6781
143.000000	91.334	-81.6212
145.000000	91.453	-82.9655
147.500000	91.666	-84.6489
