* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 903, L 904, L 905, L 906
* Dated: 6/08/2025 01:14:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 903, L 904, L 905, L 906
* Measurement: L C1 AVG 100PT
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	83.769
20.299999	83.928
20.600000	84.094
20.900000	84.260
21.200001	84.418
21.400000	84.515
21.799999	84.694
22.000000	84.779
22.400000	84.947
22.700001	85.078
23.000000	85.216
23.299999	85.357
23.600000	85.495
24.000000	85.668
24.299999	85.790
24.700001	85.946
25.000000	86.065
25.400000	86.229
25.799999	86.396
26.200001	86.558
26.500000	86.672
26.900000	86.818
27.200001	86.928
27.600000	87.083
28.000000	87.249
28.500000	87.464
29.000000	87.662
29.500000	87.830
30.000000	87.979
30.400000	88.103
30.700001	88.209
31.100000	88.366
31.500000	88.531
32.000000	88.720
32.500000	88.878
33.000000	89.024
33.500000	89.184
34.000000	89.361
34.500000	89.528
35.000000	89.674
35.500000	89.819
36.000000	89.986
36.500000	90.170
37.000000	90.342
37.500000	90.491
38.200001	90.694
38.700001	90.850
39.500000	91.082
40.000000	91.203
40.599998	91.346
41.200001	91.500
41.799999	91.657
42.500000	91.837
43.099998	91.993
43.700001	92.148
44.400002	92.321
45.000000	92.460
45.500000	92.570
46.200001	92.729
46.799999	92.881
47.500000	93.053
48.200001	93.191
48.700001	93.281
49.400002	93.427
50.000000	93.561
50.799999	93.719
51.500000	93.842
52.200001	93.967
53.000000	94.096
53.799999	94.183
54.500000	94.255
55.200001	94.346
56.000000	94.414
57.000000	94.497
58.000000	94.666
59.000000	94.672
60.000000	94.794
60.799999	95.009
61.500000	95.120
62.200001	95.205
63.000000	95.301
64.000000	95.351
65.000000	95.419
66.000000	95.438
67.000000	95.428
68.000000	95.401
69.000000	95.341
70.000000	95.303
71.000000	95.249
72.000000	95.249
73.000000	95.268
74.000000	95.340
75.000000	95.439
76.199997	95.544
77.500000	95.620
78.800003	95.629
80.000000	95.611
81.199997	95.557
82.500000	95.571
83.800003	95.595
85.000000	95.637
86.199997	95.641
87.500000	95.625
88.500000	95.649
90.000000	95.665
91.199997	95.629
92.500000	95.607
93.800003	95.569
95.000000	95.528
96.199997	95.498
97.500000	95.451
98.800003	95.406
100.000000	95.370
101.500000	95.318
103.000000	95.267
104.400002	95.200
106.000000	95.153
107.500000	95.107
109.000000	95.052
110.599998	95.004
112.000000	94.948
113.800003	94.901
115.000000	94.844
117.199997	94.738
118.000000	94.685
120.599998	94.653
122.000000	94.620
124.099998	94.554
125.000000	94.533
126.500000	94.495
128.000000	94.449
131.500000	94.359
132.000000	94.356
134.000000	94.268
136.000000	94.214
138.000000	94.121
140.000000	94.037
143.000000	93.950
145.000000	93.896
147.500000	93.828
150.000000	93.772
152.500000	93.725
155.000000	93.669
157.500000	93.616
160.000000	93.569
162.500000	93.536
165.000000	93.513
167.500000	93.487
170.000000	93.490
172.500000	93.468
175.000000	93.485
177.500000	93.479
180.000000	93.464
182.500000	93.440
185.000000	93.399
187.500000	93.384
190.000000	93.351
192.500000	93.319
195.000000	93.300
197.500000	93.253
200.000000	93.242
203.000000	93.214
206.000000	93.198
209.000000	93.169
212.000000	93.111
214.000000	93.092
218.000000	93.065
220.000000	93.046
224.000000	93.048
227.000000	93.066
230.000000	93.070
233.000000	93.093
236.000000	93.124
240.000000	93.162
243.000000	93.179
247.000000	93.230
250.000000	93.259
254.000000	93.355
258.000000	93.459
262.000000	93.541
265.000000	93.612
269.000000	93.708
272.000000	93.735
276.000000	93.759
280.000000	93.770
285.000000	93.770
290.000000	93.769
295.000000	93.774
300.000000	93.756
304.000000	93.695
307.000000	93.689
311.000000	93.661
315.000000	93.644
320.000000	93.610
325.000000	93.553
330.000000	93.581
335.000000	93.527
340.000000	93.552
345.000000	93.559
350.000000	93.581
355.000000	93.570
360.000000	93.565
365.000000	93.553
370.000000	93.530
375.000000	93.526
382.000000	93.525
387.000000	93.515
395.000000	93.507
400.000000	93.511
406.000000	93.511
412.000000	93.523
418.000000	93.550
425.000000	93.590
431.000000	93.635
437.000000	93.672
444.000000	93.704
450.000000	93.740
455.000000	93.753
462.000000	93.799
468.000000	93.847
475.000000	93.865
482.000000	93.876
487.000000	93.905
494.000000	93.971
500.000000	93.964
508.000000	93.993
515.000000	94.051
522.000000	94.079
530.000000	94.121
538.000000	94.149
545.000000	94.179
552.000000	94.189
560.000000	94.236
570.000000	94.277
580.000000	94.325
590.000000	94.325
600.000000	94.326
608.000000	94.388
615.000000	94.409
622.000000	94.423
630.000000	94.425
640.000000	94.493
650.000000	94.552
660.000000	94.597
670.000000	94.678
680.000000	94.748
690.000000	94.801
700.000000	94.879
710.000000	94.916
720.000000	94.949
730.000000	95.024
740.000000	95.080
750.000000	95.169
762.000000	95.235
775.000000	95.348
788.000000	95.486
800.000000	95.528
812.000000	95.587
825.000000	95.602
838.000000	95.626
850.000000	95.676
862.000000	95.770
875.000000	95.880
885.000000	95.877
900.000000	95.899
912.000000	95.942
925.000000	95.943
938.000000	95.894
950.000000	95.891
962.000000	95.958
975.000000	96.130
988.000000	96.144
1000.000000	96.078
1015.000000	96.081
1030.000000	95.943
1044.000000	95.953
1060.000000	96.077
1075.000000	96.109
1090.000000	96.168
1106.000000	96.088
1120.000000	95.924
1138.000000	96.011
1150.000000	95.951
1172.000000	96.075
1180.000000	96.071
1206.000000	96.071
1220.000000	96.167
1241.000000	96.251
1250.000000	96.191
1265.000000	96.270
1280.000000	96.419
1315.000000	96.704
1320.000000	96.693
1340.000000	96.630
1360.000000	96.541
1380.000000	96.313
1400.000000	96.383
1430.000000	96.366
1450.000000	96.104
1475.000000	96.317
1500.000000	96.508
1525.000000	95.847
1550.000000	95.729
1575.000000	95.945
1600.000000	96.211
1625.000000	96.165
1650.000000	96.290
1675.000000	96.666
1700.000000	96.414
1725.000000	97.023
1750.000000	96.870
1775.000000	96.974
1800.000000	96.882
1825.000000	97.643
1850.000000	97.779
1875.000000	97.918
1900.000000	97.809
1925.000000	98.421
1950.000000	98.563
1975.000000	98.913
2000.000000	99.549
2030.000000	99.992
2060.000000	100.778
2090.000000	101.157
2120.000000	101.122
2140.000000	101.814
2180.000000	102.133
2200.000000	102.378
2240.000000	103.053
2270.000000	103.666
2300.000000	103.774
