* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 911, R 912, R 913, R 914
* Dated: 6/08/2025 01:23:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 911, R 912, R 913, R 914
* Measurement: R AVG 110
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	80.955
20.299999	81.136
20.600000	81.328
20.900000	81.515
21.200001	81.683
21.400000	81.781
21.799999	81.945
22.000000	82.016
22.400000	82.149
22.700001	82.254
23.000000	82.373
23.299999	82.510
23.600000	82.663
24.000000	82.883
24.299999	83.046
24.700001	83.244
25.000000	83.371
25.400000	83.515
25.799999	83.646
26.200001	83.789
26.500000	83.912
26.900000	84.090
27.200001	84.225
27.600000	84.391
28.000000	84.535
28.500000	84.696
29.000000	84.859
29.500000	85.041
30.000000	85.232
30.400000	85.380
30.700001	85.482
31.100000	85.609
31.500000	85.726
32.000000	85.869
32.500000	86.022
33.000000	86.196
33.500000	86.391
34.000000	86.585
34.500000	86.757
35.000000	86.899
35.500000	87.027
36.000000	87.167
36.500000	87.325
37.000000	87.484
37.500000	87.629
38.200001	87.814
38.700001	87.953
39.500000	88.182
40.000000	88.313
40.599998	88.462
41.200001	88.615
41.799999	88.774
42.500000	88.953
43.099998	89.105
43.700001	89.263
44.400002	89.443
45.000000	89.584
45.500000	89.695
46.200001	89.838
46.799999	89.935
47.500000	90.035
48.200001	90.184
48.700001	90.322
49.400002	90.501
50.000000	90.612
50.799999	90.752
51.500000	90.890
52.200001	91.024
53.000000	91.173
53.799999	91.298
54.500000	91.403
55.200001	91.525
56.000000	91.603
57.000000	91.693
58.000000	91.910
59.000000	91.838
60.000000	91.902
60.799999	92.165
61.500000	92.269
62.200001	92.322
63.000000	92.444
64.000000	92.528
65.000000	92.598
66.000000	92.676
67.000000	92.719
68.000000	92.765
69.000000	92.808
70.000000	92.864
71.000000	92.877
72.000000	92.895
73.000000	92.881
74.000000	92.801
75.000000	92.722
76.199997	92.576
77.500000	92.440
78.800003	92.395
80.000000	92.342
81.199997	92.281
82.500000	92.216
83.800003	92.184
85.000000	92.132
86.199997	92.128
87.500000	92.091
88.500000	92.103
90.000000	92.112
91.199997	92.106
92.500000	92.037
93.800003	92.039
95.000000	91.961
96.199997	91.898
97.500000	91.840
98.800003	91.717
100.000000	91.705
101.500000	91.558
103.000000	91.496
104.400002	91.422
106.000000	91.318
107.500000	91.244
109.000000	91.150
110.599998	91.088
112.000000	91.081
113.800003	91.051
115.000000	91.075
117.199997	91.008
118.000000	90.680
120.599998	91.176
122.000000	91.099
124.099998	91.245
125.000000	91.330
126.500000	91.341
128.000000	91.403
131.500000	91.404
132.000000	91.418
134.000000	91.402
136.000000	91.398
