* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 899, L 900, L 901, L 902
* Dated: 6/08/2025 01:08:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 899, L 900, L 901, L 902
* Measurement: L C1 AVG 100 T
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	85.012
20.299999	85.200
20.600000	85.388
20.900000	85.569
21.200001	85.739
21.400000	85.844
21.799999	86.037
22.000000	86.124
22.400000	86.283
22.700001	86.395
23.000000	86.508
23.299999	86.626
23.600000	86.751
24.000000	86.929
24.299999	87.068
24.700001	87.255
25.000000	87.391
25.400000	87.567
25.799999	87.736
26.200001	87.897
26.500000	88.013
26.900000	88.163
27.200001	88.274
27.600000	88.425
28.000000	88.582
28.500000	88.786
29.000000	88.985
29.500000	89.166
30.000000	89.332
30.400000	89.460
30.700001	89.559
31.100000	89.697
31.500000	89.839
32.000000	90.018
32.500000	90.189
33.000000	90.351
33.500000	90.508
34.000000	90.661
34.500000	90.813
35.000000	90.966
35.500000	91.134
36.000000	91.322
36.500000	91.513
37.000000	91.672
37.500000	91.781
38.200001	91.906
38.700001	92.041
39.500000	92.336
40.000000	92.500
40.599998	92.650
41.200001	92.793
41.799999	92.960
42.500000	93.154
43.099998	93.299
43.700001	93.445
44.400002	93.632
45.000000	93.798
45.500000	93.929
46.200001	94.097
46.799999	94.221
47.500000	94.348
48.200001	94.480
48.700001	94.583
49.400002	94.730
50.000000	94.842
50.799999	94.972
51.500000	95.093
52.200001	95.226
53.000000	95.372
53.799999	95.498
54.500000	95.603
55.200001	95.702
56.000000	95.809
57.000000	95.940
58.000000	96.074
59.000000	96.213
60.000000	96.331
60.799999	96.442
61.500000	96.565
62.200001	96.665
63.000000	96.712
64.000000	96.749
65.000000	96.828
66.000000	96.849
67.000000	96.846
68.000000	96.874
69.000000	96.873
70.000000	96.857
71.000000	96.828
72.000000	96.790
73.000000	96.756
74.000000	96.736
75.000000	96.748
76.199997	96.790
77.500000	96.910
78.800003	96.963
80.000000	96.978
81.199997	96.889
82.500000	96.814
83.800003	96.789
85.000000	96.808
86.199997	96.841
87.500000	96.892
88.500000	96.908
90.000000	96.898
91.199997	96.918
92.500000	96.904
93.800003	96.881
95.000000	96.855
96.199997	96.830
97.500000	96.790
98.800003	96.774
100.000000	96.734
101.500000	96.719
103.000000	96.644
104.400002	96.596
106.000000	96.543
107.500000	96.501
109.000000	96.457
110.599998	96.415
112.000000	96.363
113.800003	96.308
115.000000	96.284
117.199997	96.200
118.000000	96.178
120.599998	96.106
122.000000	96.061
124.099998	96.006
125.000000	95.981
126.500000	95.948
128.000000	95.907
131.500000	95.747
132.000000	95.725
134.000000	95.633
136.000000	95.603
138.000000	95.571
140.000000	95.531
143.000000	95.471
145.000000	95.408
147.500000	95.364
150.000000	95.316
152.500000	95.249
155.000000	95.198
157.500000	95.123
160.000000	95.055
162.500000	95.013
165.000000	94.948
167.500000	94.890
170.000000	94.836
172.500000	94.777
175.000000	94.722
177.500000	94.664
180.000000	94.632
182.500000	94.525
185.000000	94.463
187.500000	94.404
190.000000	94.360
192.500000	94.280
195.000000	94.234
197.500000	94.166
200.000000	94.097
203.000000	94.020
206.000000	93.922
209.000000	93.843
212.000000	93.784
214.000000	93.715
218.000000	93.620
220.000000	93.594
224.000000	93.538
227.000000	93.503
230.000000	93.480
233.000000	93.492
236.000000	93.506
240.000000	93.533
243.000000	93.584
247.000000	93.666
250.000000	93.709
254.000000	93.773
258.000000	93.851
262.000000	93.989
265.000000	94.085
269.000000	94.181
272.000000	94.243
276.000000	94.287
280.000000	94.303
285.000000	94.265
290.000000	94.238
295.000000	94.194
300.000000	94.122
304.000000	94.063
307.000000	94.026
311.000000	93.993
315.000000	93.942
320.000000	93.879
325.000000	93.821
330.000000	93.780
335.000000	93.711
340.000000	93.675
345.000000	93.626
350.000000	93.589
355.000000	93.531
360.000000	93.463
365.000000	93.427
370.000000	93.391
375.000000	93.373
382.000000	93.339
387.000000	93.331
395.000000	93.317
400.000000	93.297
406.000000	93.248
412.000000	93.209
418.000000	93.196
425.000000	93.162
431.000000	93.144
437.000000	93.114
444.000000	93.080
450.000000	93.066
455.000000	93.048
462.000000	93.035
468.000000	93.015
475.000000	92.976
482.000000	92.942
487.000000	92.933
494.000000	92.894
500.000000	92.869
508.000000	92.818
515.000000	92.833
522.000000	92.802
530.000000	92.781
538.000000	92.768
545.000000	92.737
552.000000	92.743
560.000000	92.762
570.000000	92.752
580.000000	92.767
590.000000	92.746
600.000000	92.718
608.000000	92.730
615.000000	92.689
622.000000	92.711
630.000000	92.653
640.000000	92.706
650.000000	92.676
660.000000	92.709
670.000000	92.742
680.000000	92.732
690.000000	92.778
700.000000	92.853
710.000000	92.865
720.000000	92.898
730.000000	92.975
740.000000	93.058
750.000000	93.145
762.000000	93.178
775.000000	93.279
788.000000	93.346
800.000000	93.374
