* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -22,8 dBFS, measurement signal peak level -22,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 1/08/2025 05:06:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0221 ms (-7,6 mm, -0,3 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,4 ppm
* Measurement: L AVG C2 110
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.718	-78.8461
20.299999	69.818	-68.9376
20.600000	70.778	-61.8174
20.900000	72.004	-60.3636
21.200001	72.944	-62.8885
21.400000	73.352	-65.5206
21.799999	73.695	-71.4659
22.000000	73.687	-74.0366
22.400000	73.497	-77.4064
22.700001	73.389	-78.3724
23.000000	73.453	-78.7139
23.299999	73.669	-79.3737
23.600000	73.947	-80.7192
24.000000	74.261	-83.3878
24.299999	74.399	-85.3992
24.700001	74.501	-87.3160
25.000000	74.590	-88.0597
25.400000	74.794	-88.5720
25.799999	75.051	-89.1916
26.200001	75.260	-89.8914
26.500000	75.374	-90.1019
26.900000	75.546	-89.7627
27.200001	75.748	-89.4569
27.600000	76.084	-90.0207
28.000000	76.263	-92.3943
28.500000	75.802	-96.4762
29.000000	74.302	-95.9165
29.500000	72.864	-81.3743
30.000000	74.288	-62.5210
30.400000	76.481	-59.1988
30.700001	77.802	-62.2446
31.100000	78.886	-69.5810
31.500000	79.242	-77.9994
32.000000	78.865	-87.1080
32.500000	77.946	-92.2239
33.000000	77.075	-92.6484
33.500000	76.677	-90.6862
34.000000	76.672	-89.2035
34.500000	76.808	-88.4791
35.000000	77.062	-87.8434
35.500000	77.487	-87.6476
36.000000	77.982	-88.5804
36.500000	78.380	-90.3527
37.000000	78.626	-91.9090
37.500000	78.813	-92.5691
38.200001	79.179	-92.6373
38.700001	79.493	-93.0512
39.500000	79.822	-94.5298
40.000000	79.870	-95.1673
40.599998	79.861	-94.9547
41.200001	79.943	-93.9904
41.799999	80.139	-93.4425
42.500000	80.314	-93.7135
43.099998	80.417	-93.5515
43.700001	80.701	-93.5308
44.400002	81.062	-96.2642
45.000000	80.881	-99.8032
45.500000	80.397	-100.0643
46.200001	80.268	-94.7988
46.799999	81.128	-92.5078
47.500000	81.905	-96.2653
48.200001	81.912	-99.7907
48.700001	81.877	-99.8694
49.400002	82.209	-99.7824
50.000000	82.464	-101.4550
50.799999	82.473	-102.8717
51.500000	82.599	-102.5311
52.200001	82.840	-103.0629
53.000000	82.939	-103.8168
53.799999	83.142	-103.3798
54.500000	83.475	-104.2970
55.200001	83.558	-106.3860
56.000000	83.407	-106.5750
57.000000	83.647	-105.4369
58.000000	83.728	-103.7747
59.000000	84.938	-99.8749
60.000000	86.027	-107.6347
60.799999	85.763	-111.4160
61.500000	85.976	-111.8206
62.200001	86.114	-116.8781
63.000000	84.903	-119.4343
64.000000	85.193	-107.6707
65.000000	86.516	-115.3621
66.000000	85.472	-120.4814
67.000000	85.524	-118.1074
68.000000	85.405	-121.2618
69.000000	85.413	-120.3488
70.000000	85.726	-123.4533
71.000000	85.573	-125.6455
72.000000	85.614	-126.7568
73.000000	85.625	-128.0565
74.000000	85.639	-129.2263
75.000000	85.598	-130.4839
76.199997	85.365	-131.7803
77.500000	85.209	-130.3754
78.800003	85.538	-130.3393
80.000000	85.794	-133.0250
81.199997	85.768	-135.5615
82.500000	85.549	-137.8061
83.800003	85.531	-135.9272
85.000000	85.614	-137.5807
86.199997	85.578	-135.0732
87.500000	85.874	-137.1420
88.500000	85.633	-136.4329
90.000000	86.001	-137.1701
91.199997	85.857	-138.5169
92.500000	85.943	-138.9950
93.800003	85.947	-139.7871
95.000000	86.069	-140.3834
96.199997	86.062	-141.2609
97.500000	86.144	-142.2624
98.800003	86.070	-143.0710
100.000000	86.175	-143.9533
101.500000	86.178	-144.4701
103.000000	86.377	-145.4299
104.400002	86.340	-146.9177
106.000000	86.360	-146.7943
107.500000	86.329	-148.1830
109.000000	86.525	-149.9754
110.599998	86.400	-151.3270
112.000000	86.403	-151.9037
113.800003	86.258	-152.2527
115.000000	86.189	-153.8469
117.199997	86.249	-157.4759
118.000000	85.624	-161.2864
120.599998	85.711	-162.7187
122.000000	85.832	-158.4447
124.099998	85.811	-158.3974
125.000000	85.880	-158.8140
126.500000	85.655	-158.6487
128.000000	85.340	-158.6349
131.500000	85.359	-159.4412
132.000000	85.429	-160.1124
134.000000	85.207	-159.4268
136.000000	85.230	-158.3492
138.000000	85.161	-158.8177
140.000000	85.316	-159.6163
143.000000	85.209	-158.9957
145.000000	85.257	-159.2439
147.500000	85.086	-159.4659
150.000000	85.220	-159.4371
152.500000	85.285	-159.0806
155.000000	85.314	-158.3428
157.500000	85.341	-158.1149
160.000000	85.309	-159.7321
162.500000	85.297	-160.4709
165.000000	85.534	-161.2813
167.500000	85.324	-160.9725
170.000000	84.913	-162.1139
172.500000	85.429	-160.1355
175.000000	85.290	-161.7989
177.500000	85.373	-163.4240
180.000000	85.231	-161.8327
182.500000	85.182	-162.2247
185.000000	85.248	-161.7097
187.500000	85.109	-162.4977
190.000000	85.268	-162.3711
192.500000	85.191	-162.3329
195.000000	85.208	-162.7641
197.500000	85.238	-163.2159
200.000000	85.193	-162.5293
203.000000	85.215	-162.7517
206.000000	85.210	-163.4429
209.000000	85.300	-163.1972
212.000000	85.208	-163.9165
214.000000	85.142	-163.4183
218.000000	85.084	-163.8177
220.000000	85.093	-162.7401
224.000000	85.085	-163.3253
227.000000	85.116	-163.4280
230.000000	85.043	-163.4413
233.000000	84.874	-164.4944
236.000000	85.064	-162.7707
240.000000	85.171	-164.0040
243.000000	84.934	-164.2061
247.000000	84.726	-163.7672
250.000000	84.848	-164.3122
254.000000	84.736	-164.4473
258.000000	84.817	-163.0336
262.000000	84.586	-162.2117
265.000000	84.792	-162.2516
269.000000	85.024	-162.6005
272.000000	84.907	-163.3378
276.000000	84.910	-163.0320
280.000000	84.842	-163.3184
285.000000	84.956	-162.8924
290.000000	84.948	-162.4313
295.000000	84.794	-162.3015
300.000000	85.045	-162.7186
304.000000	84.860	-163.2216
307.000000	84.856	-163.0420
311.000000	84.880	-162.9473
315.000000	84.809	-162.6398
320.000000	84.770	-162.2856
325.000000	84.805	-162.6094
330.000000	84.924	-162.1185
335.000000	84.983	-161.8521
340.000000	84.879	-161.9196
345.000000	85.048	-163.1084
350.000000	85.099	-161.2950
355.000000	84.826	-164.1587
360.000000	84.906	-162.4878
365.000000	84.615	-162.6458
370.000000	84.875	-161.6071
375.000000	84.624	-161.7327
382.000000	84.798	-161.6218
387.000000	84.848	-159.9194
395.000000	84.760	-160.3165
400.000000	84.770	-159.4034
406.000000	84.833	-160.3442
412.000000	84.708	-159.6400
418.000000	84.810	-159.2787
425.000000	84.721	-159.1389
431.000000	84.855	-158.9109
437.000000	84.855	-158.4517
444.000000	84.858	-158.2562
450.000000	84.930	-157.7312
455.000000	84.878	-157.9490
462.000000	84.979	-157.7400
468.000000	84.994	-156.8456
475.000000	85.039	-156.3783
482.000000	84.864	-156.4474
487.000000	85.056	-157.1884
494.000000	85.057	-157.3705
500.000000	85.037	-156.5213
508.000000	85.058	-155.7516
515.000000	85.057	-155.6433
522.000000	85.086	-155.1866
530.000000	85.143	-155.0488
538.000000	85.088	-154.5068
545.000000	85.112	-155.1981
552.000000	85.156	-154.2299
560.000000	85.246	-153.5498
570.000000	85.287	-154.1206
580.000000	85.490	-153.0326
590.000000	85.362	-153.1917
600.000000	85.488	-152.7075
608.000000	85.460	-152.7981
615.000000	85.609	-152.5077
622.000000	85.617	-152.3858
630.000000	85.512	-152.3371
640.000000	85.591	-151.0647
650.000000	85.613	-151.6364
660.000000	85.791	-151.3545
670.000000	85.770	-150.5948
680.000000	85.939	-150.7668
690.000000	85.890	-149.8987
700.000000	85.927	-149.8536
710.000000	85.728	-151.8876
720.000000	86.070	-149.9898
730.000000	86.102	-150.0456
740.000000	86.082	-149.5536
750.000000	86.096	-149.3861
762.000000	86.266	-149.3493
775.000000	86.386	-149.0473
788.000000	86.380	-149.4769
800.000000	86.410	-149.3709
812.000000	86.415	-149.0247
825.000000	86.441	-148.7968
838.000000	86.397	-148.4094
850.000000	86.543	-147.2669
862.000000	86.540	-147.2193
875.000000	86.720	-147.2130
885.000000	86.656	-147.5463
900.000000	86.709	-147.3261
912.000000	86.856	-147.3713
925.000000	86.796	-147.2056
938.000000	86.992	-147.1912
950.000000	86.882	-145.7605
962.000000	86.868	-145.0858
975.000000	87.099	-144.4849
988.000000	87.104	-145.9643
1000.000000	87.096	-145.8683
1015.000000	87.162	-145.3604
1030.000000	87.157	-145.6638
1044.000000	87.239	-144.6059
1060.000000	87.372	-143.9555
1075.000000	87.245	-143.3704
1090.000000	87.517	-143.1506
1106.000000	87.581	-142.8549
1120.000000	87.592	-143.3222
1138.000000	87.782	-141.8790
1150.000000	87.736	-141.9624
1172.000000	88.064	-142.5333
1180.000000	87.962	-141.8817
1206.000000	88.111	-143.2465
1220.000000	88.127	-142.2469
1241.000000	88.348	-143.2322
1250.000000	88.311	-142.7255
1265.000000	88.224	-142.2265
1280.000000	88.518	-142.4937
1315.000000	88.883	-142.2612
1320.000000	88.806	-142.1458
1340.000000	89.072	-143.8182
1360.000000	88.882	-146.2368
1380.000000	88.764	-145.9792
1400.000000	88.678	-143.7319
1430.000000	89.261	-146.3661
1450.000000	88.834	-147.2468
1475.000000	88.715	-145.0370
1500.000000	89.021	-150.1487
1525.000000	88.229	-147.4673
1550.000000	87.993	-144.9651
1575.000000	88.407	-144.3069
1600.000000	88.541	-143.5497
1625.000000	88.300	-144.1472
1650.000000	88.223	-142.3893
1675.000000	88.596	-140.5421
1700.000000	88.245	-140.2707
1725.000000	88.668	-140.2431
1750.000000	88.489	-137.3202
1775.000000	88.806	-138.3046
1800.000000	88.478	-136.1226
1825.000000	89.015	-131.2840
1850.000000	89.330	-137.3600
1875.000000	88.992	-131.7420
1900.000000	88.870	-133.6012
1925.000000	89.333	-129.3043
1950.000000	89.316	-128.3040
1975.000000	89.329	-124.9407
2000.000000	90.195	-126.2199
2030.000000	90.687	-125.4477
2060.000000	91.391	-122.5302
2090.000000	91.217	-130.1004
2120.000000	91.321	-127.7654
2140.000000	92.542	-125.4409
2180.000000	92.285	-129.8269
2200.000000	92.265	-127.5931
2240.000000	92.914	-129.2227
2270.000000	93.842	-132.7618
2300.000000	94.085	-135.2394
2330.000000	93.935	-137.7477
2360.000000	94.132	-137.2119
2400.000000	94.126	-142.1364
2430.000000	94.279	-143.0727
2470.000000	94.150	-143.7214
2500.000000	94.482	-145.9532
2540.000000	94.772	-147.8559
2580.000000	94.750	-150.0337
2620.000000	94.743	-154.0003
2650.000000	94.859	-159.2289
2690.000000	94.537	-161.0963
2720.000000	94.457	-163.3066
2760.000000	93.898	-168.0907
2800.000000	92.837	-169.5000
2850.000000	91.798	-170.8326
2900.000000	91.066	-166.6933
2950.000000	90.823	-161.7434
3000.000000	90.960	-161.6112
3040.000000	90.621	-155.7742
3070.000000	90.727	-158.7654
3110.000000	90.574	-153.3791
3150.000000	90.233	-151.2164
3200.000000	90.460	-148.1461
3250.000000	90.139	-143.6299
3300.000000	91.255	-140.8335
3350.000000	91.563	-139.3633
3400.000000	92.318	-140.0337
3450.000000	92.598	-142.7878
3500.000000	92.700	-144.3680
3550.000000	93.210	-140.9948
3600.000000	93.438	-143.1451
3650.000000	93.816	-146.4477
3700.000000	93.948	-147.6281
3750.000000	93.783	-149.7507
3820.000000	93.767	-151.3038
3870.000000	93.700	-152.8020
3950.000000	93.877	-154.1827
4000.000000	93.536	-156.2374
4060.000000	93.270	-155.8064
4120.000000	93.268	-154.9854
4180.000000	93.242	-155.5509
4250.000000	93.087	-156.6154
4310.000000	93.045	-155.5065
4370.000000	93.036	-155.4311
4440.000000	92.988	-155.0516
4500.000000	93.064	-155.1186
4550.000000	92.982	-155.4895
4620.000000	93.006	-155.0558
4680.000000	92.874	-155.1411
4750.000000	92.840	-154.3874
4820.000000	92.891	-153.8247
4870.000000	92.869	-152.2628
4940.000000	92.866	-150.8217
5000.000000	92.912	-148.8181
5080.000000	93.430	-147.1322
5150.000000	93.706	-146.8985
5220.000000	93.995	-144.8906
5300.000000	94.503	-143.1864
5380.000000	95.359	-142.3499
5450.000000	96.218	-144.5758
5520.000000	97.071	-146.0407
5600.000000	98.064	-151.7720
5700.000000	99.058	-161.7108
5800.000000	99.130	-174.8896
5900.000000	98.726	173.3700
6000.000000	97.559	163.8359
6080.000000	96.479	158.8993
6150.000000	95.382	156.5661
6220.000000	94.517	155.5953
6300.000000	93.515	155.3936
6400.000000	92.594	157.5812
6500.000000	91.723	160.7589
6600.000000	91.292	162.6750
6700.000000	90.908	165.8461
6800.000000	90.809	168.3279
6900.000000	90.684	170.8544
7000.000000	90.674	172.1656
7100.000000	90.921	172.5880
7200.000000	90.834	171.3823
7300.000000	90.696	171.1489
7400.000000	90.645	170.8227
7500.000000	90.499	169.5262
7620.000000	90.472	168.9411
7750.000000	90.391	168.1422
7880.000000	90.552	166.4962
8000.000000	90.781	162.6554
8120.000000	90.812	155.6380
8250.000000	90.225	145.8092
8380.000000	88.609	136.3177
