* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 110, R 879, R 880, R 881
* Dated: 1/08/2025 04:53:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 110, R 879, R 880, R 881
* Measurement: R AVG 110
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.062
20.299999	72.221
20.600000	72.415
20.900000	72.637
21.200001	72.874
21.400000	73.025
21.799999	73.291
22.000000	73.403
22.400000	73.606
22.700001	73.786
23.000000	74.028
23.299999	74.312
23.600000	74.588
24.000000	74.848
24.299999	74.926
24.700001	74.925
25.000000	74.948
25.400000	75.131
25.799999	75.466
26.200001	75.768
26.500000	75.879
26.900000	75.880
27.200001	75.868
27.600000	75.995
28.000000	76.311
28.500000	76.648
29.000000	76.566
29.500000	76.262
30.000000	76.535
30.400000	77.317
30.700001	77.960
31.100000	78.527
31.500000	78.618
32.000000	78.193
32.500000	77.810
33.000000	78.114
33.500000	78.770
34.000000	79.083
34.500000	78.886
35.000000	78.540
35.500000	78.586
36.000000	79.059
36.500000	79.573
37.000000	79.900
37.500000	80.064
38.200001	80.104
38.700001	80.018
39.500000	80.070
40.000000	80.408
40.599998	80.877
41.200001	81.080
41.799999	81.050
42.500000	81.067
43.099998	81.280
43.700001	81.610
44.400002	82.017
45.000000	82.267
45.500000	82.389
46.200001	82.584
46.799999	82.827
47.500000	82.945
48.200001	82.848
48.700001	82.895
49.400002	83.285
50.000000	83.640
50.799999	83.861
51.500000	83.992
52.200001	84.199
53.000000	84.420
53.799999	84.569
54.500000	84.734
55.200001	84.964
56.000000	85.217
57.000000	85.448
58.000000	85.647
59.000000	86.099
60.000000	86.379
60.799999	86.273
61.500000	86.345
62.200001	86.611
63.000000	86.710
64.000000	86.563
65.000000	86.772
66.000000	87.134
67.000000	87.278
68.000000	87.331
69.000000	87.352
70.000000	87.299
71.000000	87.253
72.000000	87.190
73.000000	87.122
74.000000	87.234
75.000000	87.418
76.199997	87.516
77.500000	87.693
78.800003	87.655
80.000000	87.662
81.199997	87.705
82.500000	87.911
83.800003	87.972
85.000000	87.930
86.199997	88.155
87.500000	88.297
88.500000	88.381
90.000000	88.214
91.199997	88.266
92.500000	88.246
93.800003	88.201
95.000000	88.224
96.199997	88.206
97.500000	88.199
98.800003	88.160
100.000000	88.085
101.500000	88.083
103.000000	87.935
104.400002	87.765
106.000000	87.781
107.500000	87.803
109.000000	87.714
110.599998	87.732
112.000000	87.621
113.800003	87.484
115.000000	87.356
117.199997	87.350
118.000000	87.365
120.599998	87.295
122.000000	87.136
124.099998	87.044
125.000000	86.982
126.500000	86.892
128.000000	86.890
131.500000	86.697
132.000000	86.650
134.000000	86.635
136.000000	86.493
138.000000	86.357
140.000000	86.316
143.000000	86.184
145.000000	86.038
147.500000	85.992
