* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 861, R 863, R 864, R 865
* Dated: 1/08/2025 04:43:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 861, R 863, R 864, R 865
* Measurement: R AVG 100
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.221
20.299999	79.260
20.600000	79.139
20.900000	78.956
21.200001	78.845
21.400000	78.866
21.799999	79.097
22.000000	79.266
22.400000	79.568
22.700001	79.697
23.000000	79.743
23.299999	79.759
23.600000	79.802
24.000000	79.950
24.299999	80.115
24.700001	80.339
25.000000	80.471
25.400000	80.595
25.799999	80.712
26.200001	80.887
26.500000	81.064
26.900000	81.331
27.200001	81.516
27.600000	81.702
28.000000	81.821
28.500000	81.977
29.000000	82.332
29.500000	82.936
30.000000	83.570
30.400000	83.900
30.700001	83.985
31.100000	83.886
31.500000	83.635
32.000000	83.377
32.500000	83.431
33.000000	83.716
33.500000	83.947
34.000000	83.972
34.500000	83.887
35.000000	83.899
35.500000	84.111
36.000000	84.407
36.500000	84.626
37.000000	84.739
37.500000	84.848
38.200001	85.149
38.700001	85.403
39.500000	85.634
40.000000	85.699
40.599998	85.816
41.200001	86.011
41.799999	86.246
42.500000	86.537
43.099998	86.751
43.700001	86.865
44.400002	86.907
45.000000	86.993
45.500000	87.136
46.200001	87.373
46.799999	87.556
47.500000	87.761
48.200001	87.972
48.700001	88.111
49.400002	88.277
50.000000	88.408
50.799999	88.599
51.500000	88.766
52.200001	88.895
53.000000	89.006
53.799999	89.110
54.500000	89.230
55.200001	89.420
56.000000	89.629
57.000000	89.765
58.000000	90.106
59.000000	90.340
60.000000	90.277
60.799999	90.519
61.500000	90.743
62.200001	90.762
63.000000	90.851
64.000000	91.220
65.000000	91.238
66.000000	91.188
67.000000	91.350
68.000000	91.341
69.000000	91.276
70.000000	91.199
71.000000	91.118
72.000000	91.210
73.000000	91.373
74.000000	91.563
75.000000	91.676
76.199997	91.616
77.500000	91.392
78.800003	91.285
80.000000	91.466
81.199997	91.608
82.500000	91.825
83.800003	91.881
85.000000	92.043
86.199997	92.039
87.500000	92.146
88.500000	92.061
90.000000	92.188
91.199997	92.153
92.500000	92.145
93.800003	92.091
95.000000	92.122
96.199997	92.093
97.500000	92.059
98.800003	92.014
100.000000	91.999
101.500000	91.939
103.000000	91.871
104.400002	91.882
106.000000	91.761
107.500000	91.726
109.000000	91.681
110.599998	91.575
112.000000	91.505
113.800003	91.441
115.000000	91.361
117.199997	91.318
118.000000	91.152
120.599998	91.419
122.000000	91.066
124.099998	90.877
125.000000	90.804
126.500000	90.780
128.000000	90.657
131.500000	90.499
132.000000	90.452
134.000000	90.366
136.000000	90.305
138.000000	90.186
140.000000	90.096
143.000000	89.940
145.000000	89.859
147.500000	89.713
150.000000	89.578
152.500000	89.382
155.000000	89.345
157.500000	89.239
160.000000	89.171
162.500000	89.056
165.000000	88.892
167.500000	88.820
170.000000	88.693
172.500000	88.669
