* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 251, R 253, R 254, R 255
* Dated: 3/08/2024 03:46:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 251, R 253, R 254, R 255
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.660
20.299999	65.860
20.600000	66.124
20.900000	66.442
21.200001	66.775
21.400000	66.980
21.799999	67.316
22.000000	67.442
22.400000	67.632
22.700001	67.761
23.000000	67.913
23.299999	68.108
23.600000	68.343
24.000000	68.678
24.299999	68.909
24.700001	69.157
25.000000	69.307
25.400000	69.508
25.799999	69.773
26.200001	70.108
26.500000	70.361
26.900000	70.636
27.200001	70.783
27.600000	70.971
28.000000	71.280
28.500000	71.930
29.000000	72.634
29.500000	73.056
30.000000	73.094
30.400000	72.976
30.700001	72.918
31.100000	72.977
31.500000	73.172
32.000000	73.441
32.500000	73.629
33.000000	73.798
33.500000	74.043
34.000000	74.338
34.500000	74.601
35.000000	74.806
35.500000	74.998
36.000000	75.230
36.500000	75.502
37.000000	75.773
37.500000	76.007
38.200001	76.290
38.700001	76.518
39.500000	76.941
40.000000	77.165
40.599998	77.369
41.200001	77.591
41.799999	77.877
42.500000	78.194
43.099998	78.406
43.700001	78.620
44.400002	78.893
45.000000	79.107
45.500000	79.281
46.200001	79.532
46.799999	79.711
47.500000	79.874
48.200001	80.090
48.700001	80.285
49.400002	80.531
50.000000	80.704
50.799999	80.948
51.500000	81.165
52.200001	81.357
53.000000	81.568
53.799999	81.786
54.500000	81.990
55.200001	82.199
56.000000	82.412
57.000000	82.696
58.000000	83.031
59.000000	83.295
60.000000	83.556
60.799999	83.814
61.500000	83.993
62.200001	84.151
63.000000	84.414
64.000000	84.669
65.000000	84.773
66.000000	85.042
67.000000	85.234
68.000000	85.395
69.000000	85.603
70.000000	85.816
71.000000	86.126
72.000000	86.372
73.000000	86.569
74.000000	86.786
75.000000	86.989
