* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 228, R 229, R 231, R 232, R 233
* Dated: 3/08/2024 03:55:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 228, R 229, R 231, R 232, R 233
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.532
20.299999	68.693
20.600000	68.835
20.900000	68.979
21.200001	69.142
21.400000	69.267
21.799999	69.545
22.000000	69.691
22.400000	69.980
22.700001	70.185
23.000000	70.379
23.299999	70.568
23.600000	70.758
24.000000	71.018
24.299999	71.215
24.700001	71.465
25.000000	71.633
25.400000	71.830
25.799999	72.012
26.200001	72.212
26.500000	72.390
26.900000	72.664
27.200001	72.880
27.600000	73.148
28.000000	73.369
28.500000	73.585
29.000000	73.792
29.500000	74.030
30.000000	74.292
30.400000	74.498
30.700001	74.649
31.100000	74.850
31.500000	75.054
32.000000	75.297
32.500000	75.503
33.000000	75.671
33.500000	75.841
34.000000	76.052
34.500000	76.309
35.000000	76.585
35.500000	76.853
36.000000	77.092
36.500000	77.287
37.000000	77.445
37.500000	77.604
38.200001	77.901
38.700001	78.144
39.500000	78.460
40.000000	78.611
40.599998	78.816
41.200001	79.059
41.799999	79.283
42.500000	79.473
43.099998	79.612
43.700001	79.770
44.400002	79.990
45.000000	80.202
45.500000	80.383
46.200001	80.623
46.799999	80.807
47.500000	80.997
48.200001	81.169
48.700001	81.289
49.400002	81.460
50.000000	81.601
50.799999	81.784
51.500000	81.951
52.200001	82.099
53.000000	82.252
53.799999	82.457
54.500000	82.637
55.200001	82.785
56.000000	83.000
57.000000	83.218
58.000000	83.365
59.000000	83.803
60.000000	84.015
60.799999	84.025
61.500000	84.137
62.200001	84.285
63.000000	84.402
64.000000	84.544
65.000000	84.713
66.000000	84.895
67.000000	85.076
68.000000	85.236
69.000000	85.423
70.000000	85.631
71.000000	85.794
72.000000	85.964
73.000000	86.123
74.000000	86.265
75.000000	86.396
76.199997	86.536
77.500000	86.711
78.800003	86.868
80.000000	87.040
81.199997	87.180
82.500000	87.376
83.800003	87.553
85.000000	87.697
86.199997	87.857
87.500000	87.988
88.500000	88.111
90.000000	88.233
91.199997	88.397
92.500000	88.497
93.800003	88.645
95.000000	88.768
96.199997	88.892
97.500000	88.992
98.800003	89.110
100.000000	89.215
101.500000	89.347
103.000000	89.477
104.400002	89.583
106.000000	89.714
107.500000	89.816
109.000000	89.931
110.599998	90.018
112.000000	90.117
113.800003	90.245
115.000000	90.322
117.199997	90.448
118.000000	90.457
120.599998	90.732
122.000000	90.755
124.099998	90.832
125.000000	90.892
126.500000	90.973
128.000000	91.043
131.500000	91.197
132.000000	91.216
134.000000	91.327
136.000000	91.390
138.000000	91.466
140.000000	91.565
143.000000	91.660
145.000000	91.730
147.500000	91.818
150.000000	91.884
152.500000	91.968
155.000000	92.052
157.500000	92.117
160.000000	92.186
162.500000	92.282
165.000000	92.323
167.500000	92.373
170.000000	92.429
172.500000	92.480
175.000000	92.509
177.500000	92.562
180.000000	92.598
182.500000	92.650
185.000000	92.652
187.500000	92.744
190.000000	92.760
192.500000	92.792
195.000000	92.831
197.500000	92.864
200.000000	92.900
203.000000	92.968
206.000000	93.023
209.000000	93.049
212.000000	93.132
214.000000	93.162
218.000000	93.192
220.000000	93.266
224.000000	93.294
227.000000	93.324
230.000000	93.356
233.000000	93.412
236.000000	93.489
240.000000	93.545
243.000000	93.555
247.000000	93.620
250.000000	93.664
254.000000	93.683
258.000000	93.740
262.000000	93.803
265.000000	93.820
269.000000	93.860
272.000000	93.881
276.000000	93.920
280.000000	93.980
285.000000	94.028
290.000000	94.053
295.000000	94.125
300.000000	94.182
304.000000	94.221
307.000000	94.247
311.000000	94.274
315.000000	94.321
320.000000	94.368
325.000000	94.398
330.000000	94.425
335.000000	94.449
340.000000	94.463
345.000000	94.490
350.000000	94.481
355.000000	94.502
360.000000	94.487
365.000000	94.485
370.000000	94.482
375.000000	94.464
382.000000	94.437
387.000000	94.398
395.000000	94.342
400.000000	94.287
406.000000	94.199
412.000000	94.045
418.000000	93.905
425.000000	93.777
431.000000	93.759
437.000000	93.837
444.000000	94.101
450.000000	94.376
455.000000	94.605
462.000000	94.836
468.000000	94.942
475.000000	94.942
482.000000	95.061
487.000000	95.097
494.000000	95.132
500.000000	95.125
508.000000	95.111
515.000000	95.160
522.000000	95.158
530.000000	95.197
538.000000	95.228
545.000000	95.231
552.000000	95.207
560.000000	95.206
570.000000	95.279
580.000000	95.348
590.000000	95.384
600.000000	95.378
608.000000	95.427
615.000000	95.451
622.000000	95.511
630.000000	95.550
640.000000	95.558
650.000000	95.606
660.000000	95.615
670.000000	95.653
680.000000	95.661
690.000000	95.747
700.000000	95.793
710.000000	95.618
720.000000	95.763
730.000000	95.813
740.000000	95.758
750.000000	95.739
762.000000	95.696
775.000000	95.637
788.000000	95.547
800.000000	95.407
812.000000	95.369
825.000000	95.304
838.000000	95.364
850.000000	95.292
862.000000	95.310
875.000000	95.241
885.000000	95.096
900.000000	95.060
912.000000	95.157
925.000000	95.101
938.000000	95.068
950.000000	95.083
962.000000	94.939
975.000000	94.925
988.000000	95.019
1000.000000	95.131
1015.000000	95.074
1030.000000	95.146
1044.000000	95.108
1060.000000	94.904
1075.000000	94.670
1090.000000	94.438
1106.000000	94.432
1120.000000	94.278
1138.000000	94.462
1150.000000	94.531
1172.000000	94.562
1180.000000	94.742
1206.000000	95.017
1220.000000	95.034
1241.000000	95.153
1250.000000	95.199
1265.000000	95.349
1280.000000	95.335
1315.000000	95.663
1320.000000	95.681
1340.000000	95.817
1360.000000	95.982
1380.000000	95.968
1400.000000	96.225
1430.000000	96.360
1450.000000	96.382
1475.000000	96.646
1500.000000	96.759
1525.000000	96.893
1550.000000	96.901
1575.000000	97.087
1600.000000	97.255
1625.000000	97.176
1650.000000	97.535
1675.000000	97.730
1700.000000	97.736
1725.000000	97.862
1750.000000	98.222
1775.000000	98.358
1800.000000	98.556
1825.000000	99.033
1850.000000	99.087
1875.000000	99.232
1900.000000	99.523
1925.000000	99.617
1950.000000	99.852
1975.000000	100.211
2000.000000	100.381
2030.000000	100.663
2060.000000	100.970
2090.000000	101.250
2120.000000	101.724
2140.000000	101.959
2180.000000	102.558
2200.000000	102.776
2240.000000	103.240
2270.000000	103.742
2300.000000	104.000
2330.000000	104.545
2360.000000	104.733
2400.000000	105.577
2430.000000	106.079
2470.000000	106.613
2500.000000	106.985
2540.000000	107.464
2580.000000	108.136
2620.000000	108.445
2650.000000	108.871
2690.000000	109.468
2720.000000	109.875
2760.000000	110.361
2800.000000	110.861
2850.000000	111.389
2900.000000	112.031
2950.000000	112.333
3000.000000	112.733
3040.000000	112.704
3070.000000	112.718
3110.000000	112.759
3150.000000	113.009
3200.000000	112.962
3250.000000	112.490
3300.000000	112.220
3350.000000	111.714
3400.000000	110.999
3450.000000	110.235
3500.000000	109.694
3550.000000	108.893
3600.000000	108.087
3650.000000	107.569
3700.000000	106.958
3750.000000	106.559
3820.000000	106.039
3870.000000	105.899
3950.000000	105.453
4000.000000	105.176
4060.000000	104.921
4120.000000	104.407
4180.000000	104.014
4250.000000	103.807
4310.000000	104.031
4370.000000	104.394
4440.000000	104.742
4500.000000	105.195
4550.000000	105.318
4620.000000	105.204
4680.000000	105.439
4750.000000	105.592
4820.000000	105.752
4870.000000	106.191
4940.000000	106.519
5000.000000	106.753
5080.000000	107.038
5150.000000	107.277
5220.000000	108.100
5300.000000	109.232
5380.000000	110.153
5450.000000	110.811
5520.000000	110.574
5600.000000	109.465
5700.000000	107.037
5800.000000	104.444
5900.000000	101.955
6000.000000	99.674
6080.000000	97.649
6150.000000	95.929
6220.000000	94.038
6300.000000	92.729
6400.000000	93.731
6500.000000	95.889
6600.000000	97.801
6700.000000	99.672
6800.000000	101.556
6900.000000	103.330
7000.000000	104.692
7100.000000	105.648
7200.000000	106.132
7300.000000	106.271
7400.000000	106.265
7500.000000	106.364
7620.000000	106.714
7750.000000	107.327
7880.000000	108.086
8000.000000	108.327
8120.000000	107.949
8250.000000	107.002
8380.000000	105.139
8500.000000	102.978
8620.000000	100.833
8750.000000	98.725
8850.000000	98.095
9000.000000	100.529
9120.000000	102.542
9250.000000	102.752
9380.000000	100.092
9500.000000	95.955
9620.000000	91.955
9750.000000	90.487
9880.000000	90.431
10000.000000	89.979
10150.000000	88.926
10300.000000	89.228
10440.000000	90.311
10600.000000	92.687
10750.000000	96.172
10900.000000	99.498
11060.000000	101.367
11200.000000	102.116
11380.000000	102.888
11500.000000	102.775
11720.000000	100.483
11800.000000	99.390
12060.000000	97.836
12200.000000	97.674
12410.000000	98.165
12500.000000	98.648
12650.000000	99.164
12800.000000	100.290
13150.000000	100.893
13200.000000	100.130
13400.000000	96.567
13600.000000	94.343
13800.000000	93.517
14000.000000	93.857
14300.000000	95.295
14500.000000	95.676
14750.000000	95.057
15000.000000	93.373
15250.000000	91.467
15500.000000	89.349
15750.000000	85.448
16000.000000	85.059
16250.000000	88.954
16500.000000	90.368
16750.000000	90.925
17000.000000	92.365
17250.000000	94.869
17500.000000	96.572
17750.000000	96.035
18000.000000	92.146
18250.000000	90.229
18500.000000	91.845
18750.000000	93.923
