* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 541, L 542, L 543, L 544, L 545
* Dated: 22-ago-2024 0:45:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 541, L 542, L 543, L 544, L 545
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.824
20.299999	79.882
20.600000	79.935
20.900000	79.992
21.200001	80.063
21.400000	80.120
21.799999	80.246
22.000000	80.310
22.400000	80.424
22.700001	80.493
23.000000	80.549
23.299999	80.600
23.600000	80.652
24.000000	80.730
24.299999	80.790
24.700001	80.862
25.000000	80.903
25.400000	80.946
25.799999	80.987
26.200001	81.042
26.500000	81.094
26.900000	81.173
27.200001	81.232
27.600000	81.303
28.000000	81.365
28.500000	81.434
29.000000	81.494
29.500000	81.537
30.000000	81.567
30.400000	81.592
30.700001	81.620
31.100000	81.673
31.500000	81.740
32.000000	81.827
32.500000	81.899
33.000000	81.959
33.500000	82.019
34.000000	82.087
34.500000	82.155
35.000000	82.209
35.500000	82.248
36.000000	82.278
36.500000	82.305
37.000000	82.336
37.500000	82.375
38.200001	82.450
38.700001	82.507
39.500000	82.572
40.000000	82.598
40.599998	82.639
41.200001	82.698
41.799999	82.753
42.500000	82.788
43.099998	82.805
43.700001	82.842
44.400002	82.915
45.000000	82.965
45.500000	82.980
46.200001	82.995
46.799999	83.051
47.500000	83.155
48.200001	83.223
48.700001	83.246
49.400002	83.296
50.000000	83.365
50.799999	83.425
51.500000	83.432
52.200001	83.439
53.000000	83.453
53.799999	83.464
54.500000	83.483
55.200001	83.509
56.000000	83.553
57.000000	83.604
58.000000	83.622
59.000000	83.731
60.000000	83.822
60.799999	83.802
61.500000	83.781
62.200001	83.739
63.000000	83.617
64.000000	83.514
65.000000	83.607
66.000000	83.758
67.000000	83.886
68.000000	83.883
69.000000	83.796
70.000000	83.705
71.000000	83.604
72.000000	83.640
73.000000	83.776
74.000000	83.926
75.000000	84.044
76.199997	84.130
77.500000	84.021
78.800003	83.650
80.000000	83.436
81.199997	83.571
82.500000	83.731
83.800003	83.930
85.000000	84.057
86.199997	84.168
87.500000	84.295
88.500000	84.396
90.000000	84.500
91.199997	84.517
92.500000	84.621
93.800003	84.705
95.000000	84.734
96.199997	84.818
97.500000	84.852
98.800003	84.889
100.000000	84.965
101.500000	85.008
103.000000	85.046
104.400002	85.121
106.000000	85.170
107.500000	85.189
109.000000	85.276
110.599998	85.318
112.000000	85.363
113.800003	85.435
115.000000	85.454
117.199997	85.555
118.000000	85.588
120.599998	85.679
122.000000	85.701
124.099998	85.769
125.000000	85.772
126.500000	85.843
128.000000	85.863
131.500000	85.921
132.000000	85.926
134.000000	85.979
136.000000	86.011
138.000000	86.067
140.000000	86.092
143.000000	86.197
145.000000	86.200
147.500000	86.281
150.000000	86.287
152.500000	86.327
155.000000	86.334
157.500000	86.382
160.000000	86.484
162.500000	86.490
165.000000	86.602
167.500000	86.625
170.000000	86.631
172.500000	86.798
175.000000	86.883
177.500000	86.923
180.000000	86.960
182.500000	87.043
185.000000	87.059
187.500000	87.090
190.000000	87.134
192.500000	87.161
195.000000	87.200
197.500000	87.221
200.000000	87.248
203.000000	87.256
206.000000	87.296
209.000000	87.363
212.000000	87.403
214.000000	87.418
218.000000	87.427
220.000000	87.512
224.000000	87.514
227.000000	87.565
230.000000	87.582
233.000000	87.647
236.000000	87.704
240.000000	87.740
243.000000	87.787
247.000000	87.846
250.000000	87.849
254.000000	87.872
258.000000	87.930
262.000000	87.960
265.000000	87.975
269.000000	88.039
272.000000	88.071
276.000000	88.099
280.000000	88.156
285.000000	88.223
290.000000	88.260
295.000000	88.367
300.000000	88.432
304.000000	88.497
307.000000	88.534
311.000000	88.584
