* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 821, L 822, L 823, L 824, L 825
* Dated: 14/09/2024 02:17:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 821, L 822, L 823, L 824, L 825
* Measurement: L o1 c1 AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	86.979
20.299999	86.954
20.600000	86.926
20.900000	86.968
21.200001	87.144
21.400000	87.336
21.799999	87.826
22.000000	88.072
22.400000	88.462
22.700001	88.622
23.000000	88.671
23.299999	88.656
23.600000	88.637
24.000000	88.689
24.299999	88.810
24.700001	89.041
25.000000	89.217
25.400000	89.411
25.799999	89.565
26.200001	89.717
26.500000	89.844
26.900000	90.027
27.200001	90.157
27.600000	90.306
28.000000	90.434
28.500000	90.603
29.000000	90.804
29.500000	91.011
30.000000	91.192
30.400000	91.328
30.700001	91.441
31.100000	91.612
31.500000	91.798
32.000000	92.005
32.500000	92.154
33.000000	92.258
33.500000	92.359
34.000000	92.487
34.500000	92.636
35.000000	92.784
35.500000	92.920
36.000000	93.048
36.500000	93.181
37.000000	93.325
37.500000	93.469
38.200001	93.677
38.700001	93.840
39.500000	94.050
40.000000	94.110
40.599998	94.227
41.200001	94.531
41.799999	94.852
42.500000	94.913
43.099998	94.835
43.700001	95.010
44.400002	95.436
45.000000	95.658
45.500000	95.746
46.200001	95.889
46.799999	95.986
47.500000	96.000
48.200001	96.130
48.700001	96.328
49.400002	96.524
50.000000	96.536
50.799999	96.576
51.500000	96.730
52.200001	96.847
53.000000	96.948
53.799999	97.094
54.500000	97.160
55.200001	97.183
56.000000	97.298
57.000000	97.392
58.000000	97.452
59.000000	97.810
60.000000	97.800
60.799999	97.760
61.500000	97.885
62.200001	97.873
63.000000	97.784
64.000000	97.856
65.000000	97.731
66.000000	98.019
67.000000	98.293
68.000000	98.138
69.000000	98.243
70.000000	98.208
71.000000	98.122
72.000000	98.116
73.000000	98.012
74.000000	97.927
75.000000	97.818
76.199997	97.708
77.500000	97.640
78.800003	97.728
80.000000	97.824
81.199997	97.886
82.500000	98.006
83.800003	98.053
85.000000	98.101
86.199997	98.191
87.500000	98.143
88.500000	97.883
90.000000	97.944
91.199997	98.066
92.500000	97.984
93.800003	97.987
95.000000	97.938
96.199997	97.946
97.500000	97.962
98.800003	97.876
100.000000	97.831
101.500000	97.713
103.000000	97.711
104.400002	97.674
106.000000	97.666
107.500000	97.549
109.000000	97.521
110.599998	97.458
112.000000	97.423
113.800003	97.361
115.000000	97.325
117.199997	97.293
118.000000	97.165
120.599998	97.183
122.000000	97.104
124.099998	97.079
125.000000	97.076
126.500000	97.021
128.000000	96.998
131.500000	96.880
132.000000	96.848
134.000000	96.806
136.000000	96.744
138.000000	96.697
140.000000	96.643
143.000000	96.593
145.000000	96.532
147.500000	96.500
150.000000	96.396
152.500000	96.355
155.000000	96.337
157.500000	96.292
160.000000	96.229
162.500000	96.194
165.000000	96.098
167.500000	96.071
170.000000	96.010
172.500000	95.982
175.000000	95.939
177.500000	95.885
180.000000	95.872
182.500000	95.845
185.000000	95.829
187.500000	95.802
190.000000	95.786
192.500000	95.780
195.000000	95.765
197.500000	95.735
200.000000	95.695
203.000000	95.645
206.000000	95.604
209.000000	95.573
212.000000	95.557
214.000000	95.556
218.000000	95.534
220.000000	95.546
224.000000	95.516
227.000000	95.504
230.000000	95.460
233.000000	95.419
236.000000	95.389
240.000000	95.308
243.000000	95.262
247.000000	95.174
250.000000	95.118
254.000000	95.032
258.000000	94.980
262.000000	94.923
265.000000	94.881
269.000000	94.824
272.000000	94.788
276.000000	94.744
280.000000	94.693
285.000000	94.645
290.000000	94.588
295.000000	94.539
300.000000	94.481
304.000000	94.467
307.000000	94.430
311.000000	94.406
315.000000	94.366
320.000000	94.336
325.000000	94.287
330.000000	94.255
335.000000	94.241
340.000000	94.174
345.000000	94.141
350.000000	94.108
355.000000	94.075
360.000000	94.030
365.000000	94.009
370.000000	94.000
375.000000	93.980
382.000000	93.950
387.000000	93.928
395.000000	93.940
400.000000	93.907
406.000000	93.890
412.000000	93.863
418.000000	93.824
425.000000	93.806
431.000000	93.800
437.000000	93.759
444.000000	93.751
450.000000	93.692
455.000000	93.666
462.000000	93.678
468.000000	93.652
475.000000	93.659
482.000000	93.657
487.000000	93.643
494.000000	93.612
500.000000	93.609
508.000000	93.607
515.000000	93.616
522.000000	93.596
530.000000	93.579
538.000000	93.593
545.000000	93.618
552.000000	93.621
560.000000	93.592
570.000000	93.609
580.000000	93.635
590.000000	93.618
600.000000	93.624
608.000000	93.633
615.000000	93.652
622.000000	93.630
630.000000	93.642
640.000000	93.658
650.000000	93.675
660.000000	93.702
670.000000	93.712
680.000000	93.712
690.000000	93.709
700.000000	93.751
710.000000	93.755
720.000000	93.759
730.000000	93.765
740.000000	93.790
750.000000	93.839
762.000000	93.857
775.000000	93.959
788.000000	94.048
800.000000	94.055
812.000000	94.113
825.000000	94.125
838.000000	94.221
850.000000	94.266
862.000000	94.388
875.000000	94.460
885.000000	94.440
900.000000	94.467
912.000000	94.563
925.000000	94.628
938.000000	94.688
950.000000	94.815
962.000000	94.986
975.000000	95.088
988.000000	95.114
1000.000000	95.141
1015.000000	95.229
1030.000000	95.326
1044.000000	95.486
1060.000000	95.673
1075.000000	95.721
1090.000000	95.943
1106.000000	95.997
1120.000000	96.086
1138.000000	96.302
1150.000000	96.383
1172.000000	96.501
1180.000000	96.453
1206.000000	96.525
1220.000000	96.739
1241.000000	96.883
1250.000000	96.841
1265.000000	96.933
1280.000000	97.106
1315.000000	97.383
1320.000000	97.395
1340.000000	97.516
1360.000000	97.720
1380.000000	97.801
1400.000000	98.046
1430.000000	98.089
1450.000000	98.196
1475.000000	98.597
1500.000000	98.660
1525.000000	98.591
1550.000000	98.938
1575.000000	99.396
1600.000000	99.747
1625.000000	99.642
1650.000000	99.823
1675.000000	100.052
1700.000000	100.067
1725.000000	100.088
1750.000000	100.048
1775.000000	99.923
1800.000000	99.778
1825.000000	100.371
1850.000000	100.100
1875.000000	100.387
1900.000000	100.648
1925.000000	100.794
1950.000000	101.069
1975.000000	101.021
2000.000000	101.333
2030.000000	102.166
2060.000000	102.575
2090.000000	101.564
2120.000000	101.893
2140.000000	102.952
2180.000000	102.816
2200.000000	103.158
2240.000000	103.523
2270.000000	103.487
2300.000000	103.671
2330.000000	104.046
2360.000000	104.267
2400.000000	104.195
2430.000000	104.508
2470.000000	104.493
2500.000000	104.434
2540.000000	104.227
2580.000000	103.863
2620.000000	103.897
