* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 797, L 798, R 800, R 801, L 802, R 803
* Dated: 14/09/2024 03:04:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 797, L 798, R 800, R 801, L 802, R 803
* Measurement: R NEW AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	84.769
20.299999	84.834
20.600000	84.830
20.900000	84.782
21.200001	84.741
21.400000	84.750
21.799999	84.875
22.000000	84.988
22.400000	85.260
22.700001	85.447
23.000000	85.580
23.299999	85.656
23.600000	85.691
24.000000	85.720
24.299999	85.760
24.700001	85.851
25.000000	85.935
25.400000	86.041
25.799999	86.127
26.200001	86.200
26.500000	86.258
26.900000	86.348
27.200001	86.418
27.600000	86.505
28.000000	86.576
28.500000	86.649
29.000000	86.726
29.500000	86.802
30.000000	86.861
30.400000	86.896
30.700001	86.926
31.100000	86.979
31.500000	87.045
32.000000	87.119
32.500000	87.161
33.000000	87.198
33.500000	87.277
34.000000	87.393
34.500000	87.486
35.000000	87.527
35.500000	87.557
36.000000	87.638
36.500000	87.771
37.000000	87.896
37.500000	87.962
38.200001	87.962
38.700001	87.940
39.500000	87.969
40.000000	88.050
40.599998	88.167
41.200001	88.235
41.799999	88.268
42.500000	88.365
43.099998	88.460
43.700001	88.454
44.400002	88.390
45.000000	88.430
45.500000	88.503
46.200001	88.562
46.799999	88.611
47.500000	88.688
48.200001	88.684
48.700001	88.702
49.400002	88.930
50.000000	89.117
50.799999	89.002
51.500000	89.002
52.200001	89.389
53.000000	89.516
53.799999	89.161
54.500000	89.142
55.200001	89.308
56.000000	89.272
57.000000	89.316
58.000000	89.164
59.000000	89.024
60.000000	89.464
60.799999	89.361
61.500000	89.120
62.200001	89.184
63.000000	89.393
64.000000	89.442
65.000000	89.467
66.000000	89.523
67.000000	89.721
68.000000	89.756
69.000000	89.770
70.000000	89.865
71.000000	89.801
72.000000	89.800
73.000000	89.697
74.000000	89.537
75.000000	89.365
76.199997	89.104
77.500000	89.136
78.800003	89.211
80.000000	89.344
81.199997	89.537
82.500000	89.581
83.800003	89.866
85.000000	89.841
86.199997	89.779
87.500000	89.939
88.500000	89.896
90.000000	89.904
91.199997	90.023
92.500000	90.095
93.800003	90.205
95.000000	90.252
96.199997	90.316
97.500000	90.374
98.800003	90.423
100.000000	90.456
101.500000	90.511
103.000000	90.556
104.400002	90.627
106.000000	90.587
107.500000	90.674
109.000000	90.689
110.599998	90.753
112.000000	90.781
113.800003	90.803
115.000000	90.830
117.199997	90.923
118.000000	90.699
120.599998	90.920
122.000000	90.925
124.099998	91.005
125.000000	90.915
126.500000	91.240
128.000000	91.035
131.500000	91.130
132.000000	91.126
134.000000	91.129
136.000000	91.129
138.000000	91.147
140.000000	91.177
143.000000	91.228
145.000000	91.238
147.500000	91.229
150.000000	91.253
152.500000	91.280
155.000000	91.269
157.500000	91.289
160.000000	91.296
162.500000	91.252
165.000000	91.270
167.500000	91.296
170.000000	91.349
172.500000	91.360
175.000000	91.344
177.500000	91.350
180.000000	91.343
182.500000	91.345
185.000000	91.351
187.500000	91.332
190.000000	91.367
192.500000	91.361
195.000000	91.345
197.500000	91.338
200.000000	91.295
203.000000	91.301
206.000000	91.270
209.000000	91.245
212.000000	91.190
214.000000	91.185
218.000000	91.136
220.000000	91.109
224.000000	91.060
227.000000	91.067
230.000000	91.072
233.000000	91.051
236.000000	91.016
240.000000	91.018
243.000000	91.018
247.000000	91.019
250.000000	90.977
254.000000	90.963
258.000000	90.940
262.000000	90.960
265.000000	90.955
269.000000	90.940
272.000000	90.920
276.000000	90.924
280.000000	90.904
285.000000	90.891
290.000000	90.879
295.000000	90.877
300.000000	90.844
304.000000	90.833
307.000000	90.846
311.000000	90.816
315.000000	90.817
320.000000	90.822
325.000000	90.793
330.000000	90.783
335.000000	90.791
340.000000	90.760
345.000000	90.730
350.000000	90.713
355.000000	90.686
360.000000	90.691
365.000000	90.689
370.000000	90.714
375.000000	90.724
382.000000	90.696
387.000000	90.674
395.000000	90.670
400.000000	90.645
406.000000	90.651
412.000000	90.600
418.000000	90.629
425.000000	90.610
431.000000	90.637
437.000000	90.650
444.000000	90.662
450.000000	90.680
455.000000	90.689
462.000000	90.684
468.000000	90.729
475.000000	90.741
482.000000	90.768
487.000000	90.799
494.000000	90.816
500.000000	90.826
508.000000	90.831
515.000000	90.874
522.000000	90.900
530.000000	90.902
538.000000	90.951
545.000000	90.974
552.000000	91.053
560.000000	91.055
570.000000	91.091
580.000000	91.162
590.000000	91.163
600.000000	91.255
608.000000	91.267
615.000000	91.297
622.000000	91.307
630.000000	91.343
640.000000	91.432
650.000000	91.464
660.000000	91.545
670.000000	91.580
680.000000	91.640
690.000000	91.711
700.000000	91.807
710.000000	91.893
720.000000	91.993
730.000000	92.067
740.000000	92.212
