* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 804, R 805, R 806, R 807, R 808, R 809
* Dated: 14/09/2024 01:38:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 804, R 805, R 806, R 807, R 808, R 809
* Measurement: R o1 AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	87.021
20.299999	87.270
20.600000	87.456
20.900000	87.570
21.200001	87.622
21.400000	87.641
21.799999	87.678
22.000000	87.715
22.400000	87.845
22.700001	87.985
23.000000	88.143
23.299999	88.301
23.600000	88.450
24.000000	88.627
24.299999	88.747
24.700001	88.897
25.000000	89.005
25.400000	89.150
25.799999	89.304
26.200001	89.470
26.500000	89.600
26.900000	89.769
27.200001	89.886
27.600000	90.029
28.000000	90.170
28.500000	90.367
29.000000	90.571
29.500000	90.734
30.000000	90.842
30.400000	90.940
30.700001	91.052
31.100000	91.264
31.500000	91.517
32.000000	91.804
32.500000	92.008
33.000000	92.144
33.500000	92.236
34.000000	92.281
34.500000	92.306
35.000000	92.403
35.500000	92.648
36.000000	92.961
36.500000	93.189
37.000000	93.276
37.500000	93.321
38.200001	93.536
38.700001	93.740
39.500000	93.845
40.000000	93.838
40.599998	93.959
41.200001	94.218
41.799999	94.447
42.500000	94.616
43.099998	94.759
43.700001	94.910
44.400002	95.068
45.000000	95.219
45.500000	95.353
46.200001	95.488
46.799999	95.550
47.500000	95.671
48.200001	95.867
48.700001	95.985
49.400002	96.077
50.000000	96.149
50.799999	96.300
51.500000	96.419
52.200001	96.503
53.000000	96.622
53.799999	96.747
54.500000	96.832
55.200001	96.924
56.000000	97.017
57.000000	97.129
58.000000	97.250
59.000000	97.214
60.000000	97.359
60.799999	97.494
61.500000	97.481
62.200001	97.549
63.000000	97.747
64.000000	97.724
65.000000	97.670
66.000000	97.869
67.000000	97.939
68.000000	97.945
69.000000	97.955
70.000000	97.896
71.000000	97.815
72.000000	97.707
73.000000	97.595
74.000000	97.487
75.000000	97.464
76.199997	97.595
77.500000	97.702
78.800003	97.812
80.000000	97.890
81.199997	97.935
82.500000	97.956
83.800003	97.958
85.000000	97.993
86.199997	97.893
87.500000	97.800
88.500000	97.819
90.000000	97.861
91.199997	97.871
92.500000	97.842
93.800003	97.840
95.000000	97.814
96.199997	97.807
97.500000	97.749
98.800003	97.713
100.000000	97.670
101.500000	97.622
103.000000	97.613
104.400002	97.478
106.000000	97.588
107.500000	97.426
109.000000	97.395
110.599998	97.321
112.000000	97.291
113.800003	97.266
115.000000	97.216
117.199997	97.155
118.000000	97.083
120.599998	97.080
122.000000	97.036
124.099998	96.994
125.000000	96.990
126.500000	96.921
128.000000	96.885
131.500000	96.786
132.000000	96.778
134.000000	96.701
136.000000	96.632
138.000000	96.538
140.000000	96.560
143.000000	96.455
145.000000	96.423
147.500000	96.335
150.000000	96.217
152.500000	96.250
155.000000	96.165
157.500000	96.117
160.000000	96.091
162.500000	96.046
165.000000	95.965
167.500000	95.907
170.000000	95.863
172.500000	95.835
175.000000	95.807
177.500000	95.764
180.000000	95.727
182.500000	95.715
185.000000	95.676
187.500000	95.661
190.000000	95.662
192.500000	95.614
195.000000	95.599
197.500000	95.573
200.000000	95.544
203.000000	95.506
206.000000	95.493
209.000000	95.475
212.000000	95.449
214.000000	95.456
218.000000	95.479
220.000000	95.467
224.000000	95.467
227.000000	95.473
230.000000	95.433
233.000000	95.406
236.000000	95.356
240.000000	95.302
243.000000	95.239
247.000000	95.117
250.000000	95.067
254.000000	94.988
258.000000	94.953
262.000000	94.861
265.000000	94.835
269.000000	94.781
272.000000	94.734
276.000000	94.671
280.000000	94.627
285.000000	94.564
290.000000	94.509
295.000000	94.477
300.000000	94.433
304.000000	94.387
307.000000	94.368
311.000000	94.337
315.000000	94.292
320.000000	94.273
325.000000	94.233
330.000000	94.223
335.000000	94.163
340.000000	94.128
345.000000	94.107
350.000000	94.081
355.000000	94.072
360.000000	94.021
365.000000	93.972
370.000000	93.972
375.000000	93.942
382.000000	93.908
387.000000	93.884
