* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 810, R 811, R 812, R 813, R 814
* Dated: 14/09/2024 01:46:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 810, R 811, R 812, R 813, R 814
* Measurement: R o1 c2 AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	85.352
20.299999	85.498
20.600000	85.658
20.900000	85.839
21.200001	86.040
21.400000	86.177
21.799999	86.432
22.000000	86.542
22.400000	86.713
22.700001	86.811
23.000000	86.906
23.299999	87.016
23.600000	87.146
24.000000	87.341
24.299999	87.483
24.700001	87.646
25.000000	87.749
25.400000	87.882
25.799999	88.039
26.200001	88.227
26.500000	88.375
26.900000	88.558
27.200001	88.679
27.600000	88.824
28.000000	88.976
28.500000	89.193
29.000000	89.423
29.500000	89.650
30.000000	89.893
30.400000	90.112
30.700001	90.278
31.100000	90.457
31.500000	90.548
32.000000	90.534
32.500000	90.483
33.000000	90.557
33.500000	90.797
34.000000	91.077
34.500000	91.260
35.000000	91.333
35.500000	91.416
36.000000	91.622
36.500000	91.917
37.000000	92.140
37.500000	92.200
38.200001	92.242
38.700001	92.506
39.500000	93.138
40.000000	93.301
40.599998	93.213
41.200001	93.162
41.799999	93.340
42.500000	93.531
43.099998	93.527
43.700001	93.608
44.400002	93.949
45.000000	94.166
45.500000	94.130
46.200001	93.916
46.799999	93.962
47.500000	94.445
48.200001	94.953
48.700001	95.099
49.400002	95.025
50.000000	94.972
50.799999	95.169
51.500000	95.367
52.200001	95.428
53.000000	95.500
53.799999	95.634
54.500000	95.706
55.200001	95.755
56.000000	95.807
57.000000	95.879
58.000000	96.008
59.000000	96.064
60.000000	96.360
60.799999	96.579
61.500000	96.528
62.200001	96.490
63.000000	96.629
64.000000	96.688
65.000000	96.607
66.000000	96.543
67.000000	96.633
68.000000	96.696
69.000000	96.588
70.000000	96.488
71.000000	96.303
72.000000	96.258
73.000000	96.090
74.000000	96.220
75.000000	96.444
76.199997	96.095
77.500000	96.438
78.800003	96.598
80.000000	96.752
81.199997	96.803
82.500000	96.829
83.800003	96.754
85.000000	96.770
86.199997	96.710
87.500000	96.700
88.500000	96.819
90.000000	96.687
91.199997	96.679
92.500000	96.733
93.800003	96.634
95.000000	96.682
96.199997	96.636
97.500000	96.556
98.800003	96.503
100.000000	96.494
101.500000	96.431
103.000000	96.396
104.400002	96.227
106.000000	96.285
107.500000	96.205
109.000000	96.175
110.599998	96.053
112.000000	96.094
113.800003	96.014
115.000000	96.038
117.199997	95.897
118.000000	95.899
120.599998	95.789
122.000000	95.786
124.099998	95.767
125.000000	95.700
126.500000	95.724
128.000000	95.614
131.500000	95.517
132.000000	95.518
134.000000	95.483
136.000000	95.398
138.000000	95.341
140.000000	95.289
143.000000	95.209
145.000000	95.167
147.500000	95.111
150.000000	95.025
152.500000	94.975
155.000000	94.931
157.500000	94.865
160.000000	94.826
162.500000	94.749
165.000000	94.739
167.500000	94.689
170.000000	94.649
172.500000	94.656
175.000000	94.590
177.500000	94.578
180.000000	94.535
182.500000	94.491
185.000000	94.497
187.500000	94.484
190.000000	94.451
192.500000	94.435
195.000000	94.425
197.500000	94.424
200.000000	94.396
203.000000	94.366
206.000000	94.369
209.000000	94.390
212.000000	94.402
214.000000	94.398
218.000000	94.381
220.000000	94.435
224.000000	94.365
227.000000	94.394
230.000000	94.378
233.000000	94.322
236.000000	94.289
240.000000	94.181
243.000000	94.117
247.000000	94.021
250.000000	93.951
254.000000	93.864
258.000000	93.725
262.000000	93.516
265.000000	93.322
269.000000	93.130
272.000000	93.092
276.000000	93.072
280.000000	93.070
285.000000	93.035
290.000000	93.003
295.000000	93.004
300.000000	92.972
304.000000	92.951
307.000000	92.943
311.000000	92.916
315.000000	92.875
320.000000	92.867
325.000000	92.848
330.000000	92.842
335.000000	92.805
340.000000	92.761
345.000000	92.744
350.000000	92.743
355.000000	92.720
360.000000	92.665
365.000000	92.616
370.000000	92.609
375.000000	92.597
382.000000	92.561
387.000000	92.531
395.000000	92.493
400.000000	92.477
406.000000	92.441
412.000000	92.398
418.000000	92.380
425.000000	92.337
431.000000	92.306
437.000000	92.279
444.000000	92.265
450.000000	92.197
455.000000	92.167
462.000000	92.154
468.000000	92.158
475.000000	92.175
482.000000	92.165
487.000000	92.156
494.000000	92.147
500.000000	92.156
508.000000	92.134
515.000000	92.132
522.000000	92.127
530.000000	92.104
538.000000	92.114
545.000000	92.119
552.000000	92.126
560.000000	92.144
570.000000	92.161
580.000000	92.146
590.000000	92.119
600.000000	92.113
608.000000	92.130
615.000000	92.111
622.000000	92.099
630.000000	92.097
640.000000	92.076
650.000000	92.120
660.000000	92.083
670.000000	92.089
680.000000	92.090
690.000000	92.077
700.000000	92.158
710.000000	92.118
720.000000	92.196
730.000000	92.225
740.000000	92.301
750.000000	92.361
762.000000	92.383
775.000000	92.472
788.000000	92.547
800.000000	92.557
812.000000	92.586
825.000000	92.578
838.000000	92.660
850.000000	92.714
862.000000	92.764
875.000000	92.849
885.000000	92.788
900.000000	92.800
912.000000	92.882
925.000000	92.899
938.000000	92.964
950.000000	93.022
962.000000	93.176
975.000000	93.259
988.000000	93.215
1000.000000	93.222
1015.000000	93.284
1030.000000	93.361
1044.000000	93.499
1060.000000	93.654
1075.000000	93.659
1090.000000	93.869
1106.000000	93.873
1120.000000	93.929
1138.000000	94.174
1150.000000	94.261
1172.000000	94.330
1180.000000	94.342
1206.000000	94.482
1220.000000	94.712
1241.000000	94.830
1250.000000	94.812
1265.000000	94.987
1280.000000	95.173
1315.000000	95.559
1320.000000	95.543
1340.000000	95.675
1360.000000	95.877
1380.000000	96.044
1400.000000	96.313
1430.000000	96.403
1450.000000	96.596
1475.000000	97.136
1500.000000	97.116
1525.000000	97.325
1550.000000	97.690
1575.000000	98.087
1600.000000	98.432
1625.000000	98.309
1650.000000	98.616
1675.000000	98.847
1700.000000	98.884
1725.000000	98.858
1750.000000	98.910
1775.000000	98.792
1800.000000	98.958
1825.000000	99.470
1850.000000	99.236
1875.000000	99.619
1900.000000	99.966
1925.000000	100.364
1950.000000	100.819
1975.000000	100.882
2000.000000	101.138
2030.000000	101.937
2060.000000	102.388
2090.000000	101.851
2120.000000	102.703
2140.000000	103.745
2180.000000	103.930
2200.000000	104.202
2240.000000	104.343
2270.000000	104.563
2300.000000	104.787
2330.000000	105.320
2360.000000	105.528
2400.000000	105.419
2430.000000	105.622
2470.000000	105.504
2500.000000	105.538
2540.000000	105.332
2580.000000	105.057
2620.000000	105.007
2650.000000	104.740
2690.000000	104.549
2720.000000	104.871
2760.000000	104.270
2800.000000	104.674
2850.000000	104.919
2900.000000	105.277
2950.000000	105.907
3000.000000	106.333
3040.000000	106.779
3070.000000	107.225
3110.000000	107.616
3150.000000	107.634
3200.000000	107.517
3250.000000	107.514
3300.000000	107.977
3350.000000	107.877
3400.000000	107.710
3450.000000	107.487
3500.000000	107.126
3550.000000	106.763
3600.000000	106.169
3650.000000	105.726
3700.000000	105.124
3750.000000	104.556
3820.000000	103.725
3870.000000	103.106
3950.000000	102.213
4000.000000	101.724
4060.000000	101.026
4120.000000	100.475
4180.000000	99.970
4250.000000	99.465
4310.000000	99.026
4370.000000	98.795
4440.000000	98.551
4500.000000	98.218
4550.000000	98.043
4620.000000	97.853
4680.000000	97.815
4750.000000	97.733
4820.000000	97.830
4870.000000	97.851
4940.000000	97.907
5000.000000	98.021
5080.000000	98.218
5150.000000	98.580
5220.000000	99.049
5300.000000	99.678
5380.000000	100.367
5450.000000	101.271
5520.000000	102.170
5600.000000	103.055
5700.000000	103.906
5800.000000	103.875
5900.000000	103.128
6000.000000	101.839
6080.000000	100.637
6150.000000	99.806
6220.000000	99.204
6300.000000	98.683
6400.000000	98.148
6500.000000	98.064
6600.000000	97.973
6700.000000	98.213
6800.000000	98.669
6900.000000	99.047
7000.000000	99.741
7100.000000	100.374
7200.000000	100.931
7300.000000	101.262
7400.000000	101.467
7500.000000	101.638
7620.000000	101.771
7750.000000	101.869
7880.000000	102.020
8000.000000	102.091
8120.000000	102.015
8250.000000	101.824
8380.000000	101.449
8500.000000	100.847
8620.000000	99.941
8750.000000	98.846
8850.000000	97.954
9000.000000	97.088
9120.000000	96.855
9250.000000	96.620
9380.000000	95.909
9500.000000	94.627
9620.000000	93.283
9750.000000	91.840
9880.000000	90.653
10000.000000	89.897
10150.000000	89.342
10300.000000	88.682
10440.000000	87.984
10600.000000	87.029
10750.000000	86.319
10900.000000	85.758
11060.000000	84.555
11200.000000	83.571
11380.000000	83.225
11500.000000	83.806
11720.000000	85.885
11800.000000	86.739
12060.000000	88.827
12200.000000	89.978
12410.000000	91.681
12500.000000	92.245
12650.000000	92.696
12800.000000	92.306
13150.000000	87.814
13200.000000	86.946
13400.000000	84.473
13600.000000	83.165
13800.000000	81.782
14000.000000	81.675
14300.000000	84.348
14500.000000	85.780
14750.000000	86.291
15000.000000	85.272
15250.000000	83.625
15500.000000	82.272
15750.000000	80.087
16000.000000	77.867
16250.000000	76.298
16500.000000	76.106
16750.000000	79.142
17000.000000	82.105
17250.000000	82.840
17500.000000	80.398
17750.000000	76.744
18000.000000	74.333
18250.000000	75.121
18500.000000	78.275
18750.000000	81.298
19000.000000	82.832
19250.000000	83.280
19500.000000	84.816
19750.000000	86.346
