* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 529, R 530, R 531, R 532, R 533
* Dated: 21/08/2024 03:15:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 529, R 530, R 531, R 532, R 533
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.226
20.299999	72.169
20.600000	72.026
20.900000	71.889
21.200001	71.867
21.400000	71.954
21.799999	72.310
22.000000	72.526
22.400000	72.923
22.700001	73.126
23.000000	73.255
23.299999	73.346
23.600000	73.443
24.000000	73.625
24.299999	73.789
24.700001	73.999
25.000000	74.131
25.400000	74.284
25.799999	74.451
26.200001	74.649
26.500000	74.803
26.900000	74.979
27.200001	75.077
27.600000	75.171
28.000000	75.244
28.500000	75.336
29.000000	75.442
29.500000	75.589
30.000000	75.805
30.400000	75.996
30.700001	76.115
31.100000	76.215
31.500000	76.264
32.000000	76.333
32.500000	76.465
33.000000	76.618
33.500000	76.752
34.000000	76.925
34.500000	77.169
35.000000	77.367
35.500000	77.399
36.000000	77.381
36.500000	77.578
37.000000	77.978
37.500000	78.231
38.200001	77.983
38.700001	77.772
39.500000	78.392
40.000000	78.902
40.599998	79.014
41.200001	78.761
41.799999	78.675
42.500000	78.925
43.099998	79.100
43.700001	79.191
44.400002	79.418
45.000000	79.698
45.500000	79.881
46.200001	80.013
46.799999	80.072
47.500000	80.138
48.200001	80.243
48.700001	80.368
49.400002	80.585
50.000000	80.740
50.799999	80.832
51.500000	80.838
52.200001	80.872
53.000000	81.037
53.799999	81.224
54.500000	81.296
55.200001	81.383
56.000000	81.582
57.000000	81.673
58.000000	81.776
59.000000	82.133
60.000000	82.319
60.799999	82.392
61.500000	82.475
62.200001	82.572
63.000000	82.673
64.000000	82.804
65.000000	82.960
66.000000	83.003
67.000000	83.085
68.000000	83.232
69.000000	83.310
70.000000	83.446
71.000000	83.636
72.000000	83.824
73.000000	84.051
74.000000	84.202
75.000000	84.316
76.199997	84.454
77.500000	84.463
78.800003	84.570
80.000000	84.772
81.199997	84.961
82.500000	85.162
83.800003	85.367
85.000000	85.542
86.199997	85.614
87.500000	85.759
88.500000	85.929
90.000000	86.091
91.199997	86.297
92.500000	86.424
93.800003	86.585
95.000000	86.748
96.199997	86.841
97.500000	86.999
98.800003	87.164
100.000000	87.294
101.500000	87.470
103.000000	87.593
104.400002	87.735
106.000000	87.895
107.500000	88.025
109.000000	88.196
110.599998	88.343
112.000000	88.478
113.800003	88.650
115.000000	88.737
117.199997	88.949
118.000000	88.985
120.599998	89.232
122.000000	89.352
124.099998	89.522
125.000000	89.594
126.500000	89.689
128.000000	89.818
131.500000	90.051
132.000000	90.085
134.000000	90.219
136.000000	90.344
138.000000	90.435
140.000000	90.531
143.000000	90.666
145.000000	90.751
147.500000	90.818
150.000000	90.876
152.500000	90.973
155.000000	91.052
157.500000	91.137
160.000000	91.180
162.500000	91.246
165.000000	91.230
167.500000	91.301
170.000000	91.351
172.500000	91.394
175.000000	91.391
177.500000	91.445
180.000000	91.454
182.500000	91.478
185.000000	91.493
187.500000	91.502
190.000000	91.519
192.500000	91.538
195.000000	91.563
197.500000	91.578
200.000000	91.599
203.000000	91.632
206.000000	91.653
209.000000	91.676
212.000000	91.701
214.000000	91.705
218.000000	91.702
220.000000	91.711
224.000000	91.695
227.000000	91.679
230.000000	91.655
233.000000	91.630
236.000000	91.626
240.000000	91.669
243.000000	91.669
247.000000	91.684
250.000000	91.697
254.000000	91.689
258.000000	91.686
262.000000	91.696
265.000000	91.687
269.000000	91.680
272.000000	91.675
276.000000	91.661
280.000000	91.684
285.000000	91.676
290.000000	91.675
295.000000	91.700
300.000000	91.711
304.000000	91.745
307.000000	91.753
311.000000	91.739
315.000000	91.746
320.000000	91.752
325.000000	91.721
330.000000	91.743
335.000000	91.718
340.000000	91.755
345.000000	91.782
350.000000	91.795
355.000000	91.816
360.000000	91.815
365.000000	91.830
370.000000	91.841
375.000000	91.841
382.000000	91.848
387.000000	91.840
395.000000	91.852
400.000000	91.858
406.000000	91.828
412.000000	91.836
418.000000	91.917
425.000000	91.899
431.000000	91.953
437.000000	91.980
444.000000	92.000
450.000000	92.016
455.000000	92.038
462.000000	92.105
468.000000	92.089
475.000000	92.106
482.000000	92.173
487.000000	92.180
494.000000	92.211
500.000000	92.245
508.000000	92.266
515.000000	92.316
522.000000	92.323
530.000000	92.377
538.000000	92.440
545.000000	92.452
552.000000	92.455
560.000000	92.500
570.000000	92.583
580.000000	92.632
590.000000	92.678
600.000000	92.793
608.000000	92.806
615.000000	92.832
622.000000	92.893
630.000000	92.956
640.000000	93.021
650.000000	93.117
660.000000	93.154
670.000000	93.276
680.000000	93.346
690.000000	93.454
700.000000	93.537
710.000000	93.578
720.000000	93.676
730.000000	93.786
740.000000	93.908
750.000000	93.996
762.000000	94.037
775.000000	94.104
788.000000	94.298
800.000000	94.313
812.000000	94.271
825.000000	94.392
838.000000	94.468
850.000000	94.651
862.000000	94.780
875.000000	94.892
885.000000	94.710
900.000000	94.727
912.000000	94.720
925.000000	94.964
938.000000	94.837
950.000000	95.079
962.000000	95.222
975.000000	95.143
988.000000	94.920
1000.000000	95.085
1015.000000	95.164
1030.000000	95.409
1044.000000	95.519
1060.000000	95.550
1075.000000	95.511
1090.000000	95.469
1106.000000	95.603
1120.000000	95.718
1138.000000	95.736
1150.000000	95.912
1172.000000	95.920
1180.000000	96.068
1206.000000	96.050
1220.000000	96.412
1241.000000	96.280
1250.000000	96.322
1265.000000	96.757
1280.000000	96.847
1315.000000	97.127
1320.000000	97.044
1340.000000	96.924
1360.000000	96.642
1380.000000	96.815
1400.000000	96.399
1430.000000	96.675
1450.000000	96.456
1475.000000	96.336
1500.000000	96.651
1525.000000	96.414
1550.000000	96.111
1575.000000	95.875
1600.000000	95.557
1625.000000	95.440
1650.000000	95.908
1675.000000	95.587
1700.000000	95.252
1725.000000	95.277
1750.000000	95.599
1775.000000	95.657
1800.000000	95.858
1825.000000	95.984
1850.000000	95.865
1875.000000	95.976
1900.000000	96.269
1925.000000	96.187
1950.000000	96.406
1975.000000	96.891
2000.000000	96.817
2030.000000	96.323
2060.000000	96.756
2090.000000	97.414
2120.000000	97.524
2140.000000	97.024
2180.000000	97.409
2200.000000	97.662
2240.000000	97.829
2270.000000	98.850
2300.000000	98.800
2330.000000	99.156
2360.000000	98.924
2400.000000	99.008
2430.000000	99.313
2470.000000	99.667
2500.000000	99.965
2540.000000	99.959
2580.000000	100.607
2620.000000	100.088
2650.000000	99.562
2690.000000	99.088
2720.000000	98.020
2760.000000	96.806
2800.000000	96.098
2850.000000	95.379
2900.000000	95.119
2950.000000	94.004
3000.000000	93.277
3040.000000	92.775
3070.000000	91.812
3110.000000	90.560
3150.000000	90.358
3200.000000	88.912
3250.000000	88.533
3300.000000	87.234
3350.000000	87.547
3400.000000	87.879
3450.000000	89.175
3500.000000	89.717
3550.000000	90.690
3600.000000	91.788
3650.000000	92.268
3700.000000	92.575
3750.000000	92.722
3820.000000	93.757
3870.000000	94.604
3950.000000	95.554
4000.000000	96.294
4060.000000	96.901
4120.000000	97.146
4180.000000	97.594
4250.000000	98.702
4310.000000	98.625
4370.000000	98.792
4440.000000	98.943
4500.000000	99.643
4550.000000	99.636
4620.000000	99.172
4680.000000	98.620
4750.000000	97.481
4820.000000	96.549
4870.000000	96.332
4940.000000	95.417
5000.000000	94.867
5080.000000	93.354
5150.000000	92.807
5220.000000	92.765
5300.000000	91.782
5380.000000	91.062
5450.000000	91.441
5520.000000	91.921
5600.000000	92.323
5700.000000	92.831
5800.000000	93.036
5900.000000	92.408
6000.000000	91.402
6080.000000	90.459
6150.000000	89.538
6220.000000	88.698
6300.000000	87.580
6400.000000	87.057
6500.000000	86.583
6600.000000	86.833
6700.000000	87.162
6800.000000	86.953
6900.000000	87.151
7000.000000	87.101
7100.000000	87.296
7200.000000	88.015
7300.000000	89.014
7400.000000	89.967
7500.000000	90.775
7620.000000	91.563
7750.000000	92.296
7880.000000	93.317
8000.000000	94.162
8120.000000	93.776
8250.000000	93.021
8380.000000	91.947
8500.000000	90.583
8620.000000	89.564
8750.000000	88.974
8850.000000	88.664
9000.000000	88.838
9120.000000	88.678
9250.000000	87.538
9380.000000	86.337
9500.000000	85.142
9620.000000	83.872
9750.000000	82.840
9880.000000	81.053
10000.000000	79.378
10150.000000	77.832
10300.000000	76.821
10440.000000	76.571
10600.000000	76.554
10750.000000	77.146
10900.000000	77.580
11060.000000	77.843
11200.000000	78.353
11380.000000	79.769
11500.000000	81.506
11720.000000	83.047
11800.000000	83.197
12060.000000	83.191
12200.000000	83.283
12410.000000	83.473
12500.000000	83.490
12650.000000	82.600
12800.000000	80.371
13150.000000	69.111
13200.000000	68.699
13400.000000	70.789
13600.000000	70.169
13800.000000	67.341
14000.000000	65.093
14300.000000	59.598
14500.000000	59.250
14750.000000	61.904
15000.000000	63.445
15250.000000	64.780
15500.000000	65.928
15750.000000	66.360
16000.000000	66.613
16250.000000	66.754
16500.000000	67.373
16750.000000	68.123
17000.000000	69.058
17250.000000	70.639
17500.000000	71.952
17750.000000	69.976
18000.000000	68.624
18250.000000	67.345
18500.000000	67.047
18750.000000	65.889
19000.000000	68.244
19250.000000	70.794
19500.000000	72.955
19750.000000	72.126
20000.000000	69.059
