* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 262, R 263, R 264, R 265, R 266
* Dated: 4/08/2024 01:17:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 262, R 263, R 264, R 265, R 266
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.801
20.299999	78.923
20.600000	79.044
20.900000	79.200
21.200001	79.410
21.400000	79.575
21.799999	79.928
22.000000	80.094
22.400000	80.382
22.700001	80.556
23.000000	80.712
23.299999	80.871
23.600000	81.048
24.000000	81.310
24.299999	81.506
24.700001	81.737
25.000000	81.882
25.400000	82.054
25.799999	82.237
26.200001	82.452
26.500000	82.631
26.900000	82.864
27.200001	83.021
27.600000	83.200
28.000000	83.355
28.500000	83.547
29.000000	83.754
29.500000	83.960
30.000000	84.145
30.400000	84.280
30.700001	84.385
31.100000	84.544
31.500000	84.736
32.000000	85.012
32.500000	85.283
33.000000	85.491
33.500000	85.615
34.000000	85.695
34.500000	85.810
35.000000	86.002
35.500000	86.235
36.000000	86.428
36.500000	86.543
37.000000	86.619
37.500000	86.725
38.200001	86.952
38.700001	87.100
39.500000	87.234
40.000000	87.316
40.599998	87.483
41.200001	87.683
41.799999	87.842
42.500000	87.978
43.099998	88.105
43.700001	88.244
44.400002	88.381
45.000000	88.482
45.500000	88.573
46.200001	88.712
46.799999	88.818
47.500000	88.924
48.200001	89.037
48.700001	89.121
49.400002	89.217
50.000000	89.277
50.799999	89.361
51.500000	89.453
52.200001	89.547
53.000000	89.643
53.799999	89.745
54.500000	89.850
55.200001	89.956
56.000000	90.065
57.000000	90.208
58.000000	90.334
59.000000	90.449
60.000000	90.607
60.799999	90.696
61.500000	90.747
62.200001	90.810
63.000000	90.886
64.000000	90.990
65.000000	91.142
66.000000	91.259
67.000000	91.355
68.000000	91.462
69.000000	91.554
70.000000	91.659
71.000000	91.738
72.000000	91.815
73.000000	91.893
74.000000	91.950
75.000000	92.006
76.199997	92.057
77.500000	92.110
78.800003	92.162
80.000000	92.236
81.199997	92.272
82.500000	92.332
83.800003	92.373
85.000000	92.407
86.199997	92.431
87.500000	92.482
88.500000	92.513
90.000000	92.520
91.199997	92.557
92.500000	92.588
93.800003	92.628
95.000000	92.645
96.199997	92.661
97.500000	92.663
98.800003	92.691
100.000000	92.688
101.500000	92.711
103.000000	92.730
104.400002	92.762
106.000000	92.801
107.500000	92.826
109.000000	92.846
110.599998	92.883
112.000000	92.924
113.800003	92.974
115.000000	93.002
117.199997	93.067
118.000000	93.086
120.599998	93.135
122.000000	93.178
124.099998	93.197
125.000000	93.213
126.500000	93.217
128.000000	93.231
131.500000	93.280
132.000000	93.282
134.000000	93.336
136.000000	93.351
138.000000	93.392
140.000000	93.420
143.000000	93.451
145.000000	93.453
147.500000	93.497
150.000000	93.527
152.500000	93.563
155.000000	93.599
157.500000	93.630
160.000000	93.667
162.500000	93.693
165.000000	93.663
167.500000	93.739
170.000000	93.731
172.500000	93.760
175.000000	93.774
177.500000	93.789
180.000000	93.798
182.500000	93.812
185.000000	93.831
187.500000	93.851
190.000000	93.866
192.500000	93.889
195.000000	93.892
197.500000	93.909
200.000000	93.909
203.000000	93.932
206.000000	93.960
209.000000	93.956
212.000000	93.958
214.000000	93.972
218.000000	93.988
220.000000	93.980
224.000000	93.989
227.000000	93.980
230.000000	93.980
233.000000	93.987
236.000000	93.992
240.000000	94.029
243.000000	94.042
247.000000	94.062
250.000000	94.078
254.000000	94.121
258.000000	94.161
262.000000	94.188
265.000000	94.200
269.000000	94.207
272.000000	94.220
276.000000	94.217
280.000000	94.224
285.000000	94.233
290.000000	94.261
295.000000	94.324
300.000000	94.385
304.000000	94.422
307.000000	94.445
