* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 574, L 575, L 576, L 577, L 578
* Dated: 22-ago-2024 1:16:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 574, L 575, L 576, L 577, L 578
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.424
20.299999	69.569
20.600000	69.813
20.900000	70.133
21.200001	70.483
21.400000	70.706
21.799999	71.089
22.000000	71.243
22.400000	71.493
22.700001	71.657
23.000000	71.827
23.299999	72.016
23.600000	72.226
24.000000	72.532
24.299999	72.773
24.700001	73.105
25.000000	73.357
25.400000	73.680
25.799999	73.956
26.200001	74.165
26.500000	74.285
26.900000	74.435
27.200001	74.571
27.600000	74.815
28.000000	75.114
28.500000	75.488
29.000000	75.779
29.500000	75.993
30.000000	76.211
30.400000	76.429
30.700001	76.616
31.100000	76.874
31.500000	77.111
32.000000	77.353
32.500000	77.555
33.000000	77.761
33.500000	77.999
34.000000	78.265
34.500000	78.533
35.000000	78.785
35.500000	79.028
36.000000	79.279
36.500000	79.540
37.000000	79.795
37.500000	80.028
38.200001	80.322
38.700001	80.524
39.500000	80.858
40.000000	81.075
40.599998	81.346
41.200001	81.615
41.799999	81.866
42.500000	82.151
43.099998	82.407
43.700001	82.655
44.400002	82.919
45.000000	83.180
45.500000	83.444
46.200001	83.805
46.799999	84.027
47.500000	84.237
48.200001	84.520
48.700001	84.755
49.400002	85.036
50.000000	85.239
50.799999	85.550
51.500000	85.848
52.200001	86.100
53.000000	86.360
53.799999	86.652
54.500000	86.912
55.200001	87.163
56.000000	87.453
57.000000	87.799
58.000000	88.120
59.000000	88.461
60.000000	88.792
60.799999	89.045
61.500000	89.264
62.200001	89.479
63.000000	89.720
64.000000	90.014
65.000000	90.291
66.000000	90.558
67.000000	90.843
68.000000	91.119
69.000000	91.365
70.000000	91.620
71.000000	91.863
72.000000	92.082
73.000000	92.312
74.000000	92.529
75.000000	92.726
76.199997	92.971
77.500000	93.228
78.800003	93.448
80.000000	93.652
81.199997	93.847
82.500000	94.038
83.800003	94.224
85.000000	94.375
86.199997	94.517
87.500000	94.659
88.500000	94.761
90.000000	94.882
91.199997	94.985
92.500000	95.078
93.800003	95.159
95.000000	95.232
96.199997	95.293
97.500000	95.349
98.800003	95.385
100.000000	95.419
101.500000	95.456
103.000000	95.482
104.400002	95.495
106.000000	95.498
107.500000	95.496
109.000000	95.493
110.599998	95.465
112.000000	95.451
113.800003	95.410
115.000000	95.390
117.199997	95.340
118.000000	95.317
120.599998	95.243
122.000000	95.212
124.099998	95.141
125.000000	95.118
126.500000	95.071
128.000000	95.015
131.500000	94.912
132.000000	94.894
134.000000	94.825
136.000000	94.780
138.000000	94.712
140.000000	94.657
143.000000	94.566
145.000000	94.511
147.500000	94.441
150.000000	94.373
152.500000	94.304
155.000000	94.250
157.500000	94.198
160.000000	94.123
162.500000	94.058
165.000000	94.003
167.500000	93.980
170.000000	93.912
172.500000	93.838
175.000000	93.834
177.500000	93.774
180.000000	93.763
182.500000	93.720
185.000000	93.692
187.500000	93.673
190.000000	93.638
192.500000	93.610
195.000000	93.590
197.500000	93.557
200.000000	93.525
203.000000	93.503
206.000000	93.492
209.000000	93.464
212.000000	93.461
214.000000	93.450
218.000000	93.452
220.000000	93.442
224.000000	93.441
227.000000	93.426
230.000000	93.420
233.000000	93.421
236.000000	93.410
240.000000	93.392
243.000000	93.376
247.000000	93.356
250.000000	93.348
254.000000	93.316
258.000000	93.289
262.000000	93.271
265.000000	93.293
269.000000	93.309
272.000000	93.324
276.000000	93.332
280.000000	93.284
285.000000	93.258
290.000000	93.207
295.000000	93.187
300.000000	93.110
304.000000	93.050
307.000000	92.980
311.000000	92.889
315.000000	92.786
320.000000	92.741
325.000000	92.978
330.000000	93.461
335.000000	93.902
340.000000	94.141
345.000000	94.258
350.000000	94.295
355.000000	94.314
360.000000	94.306
365.000000	94.328
370.000000	94.330
375.000000	94.346
382.000000	94.373
387.000000	94.397
395.000000	94.445
400.000000	94.468
406.000000	94.500
412.000000	94.514
418.000000	94.562
425.000000	94.611
431.000000	94.661
437.000000	94.707
444.000000	94.764
450.000000	94.774
455.000000	94.828
462.000000	94.903
468.000000	94.935
475.000000	94.984
482.000000	95.085
487.000000	95.126
494.000000	95.204
500.000000	95.287
508.000000	95.360
515.000000	95.452
522.000000	95.534
530.000000	95.608
538.000000	95.765
545.000000	95.852
552.000000	95.949
560.000000	96.058
570.000000	96.233
580.000000	96.381
590.000000	96.549
600.000000	96.723
608.000000	96.860
615.000000	96.979
622.000000	97.106
630.000000	97.253
640.000000	97.396
650.000000	97.569
660.000000	97.739
670.000000	97.945
680.000000	98.092
690.000000	98.231
700.000000	98.399
710.000000	98.521
720.000000	98.622
730.000000	98.826
740.000000	98.953
750.000000	99.074
762.000000	99.193
775.000000	99.281
788.000000	99.438
800.000000	99.430
812.000000	99.466
825.000000	99.451
838.000000	99.378
850.000000	99.450
862.000000	99.518
875.000000	99.393
885.000000	99.118
900.000000	98.899
912.000000	98.834
925.000000	98.775
938.000000	98.639
950.000000	98.474
962.000000	98.418
975.000000	98.197
988.000000	97.842
1000.000000	97.736
1015.000000	97.488
1030.000000	97.365
1044.000000	97.130
1060.000000	96.831
1075.000000	96.597
1090.000000	96.446
1106.000000	96.256
1120.000000	96.010
1138.000000	95.727
1150.000000	95.690
1172.000000	95.436
1180.000000	95.411
1206.000000	95.156
1220.000000	95.063
1241.000000	94.811
1250.000000	94.821
1265.000000	94.872
1280.000000	94.726
1315.000000	94.596
1320.000000	94.500
1340.000000	94.319
1360.000000	94.209
1380.000000	94.238
1400.000000	94.321
1430.000000	94.177
1450.000000	94.237
1475.000000	94.363
1500.000000	94.396
1525.000000	94.549
1550.000000	94.626
1575.000000	94.653
1600.000000	94.713
1625.000000	94.772
1650.000000	94.991
1675.000000	95.199
1700.000000	95.430
1725.000000	95.567
1750.000000	96.091
1775.000000	96.400
1800.000000	96.843
1825.000000	97.451
1850.000000	97.655
1875.000000	98.050
1900.000000	98.592
1925.000000	99.005
1950.000000	99.541
1975.000000	100.285
2000.000000	100.820
2030.000000	101.250
2060.000000	102.267
2090.000000	102.546
2120.000000	103.808
2140.000000	104.091
2180.000000	104.830
2200.000000	105.386
2240.000000	106.189
2270.000000	106.632
2300.000000	107.105
2330.000000	107.864
2360.000000	108.385
2400.000000	109.211
2430.000000	109.486
2470.000000	110.060
2500.000000	110.352
2540.000000	110.120
2580.000000	110.881
2620.000000	110.896
2650.000000	111.029
2690.000000	111.349
2720.000000	111.362
2760.000000	111.282
2800.000000	111.424
2850.000000	111.555
2900.000000	111.442
2950.000000	111.480
3000.000000	111.699
3040.000000	111.677
3070.000000	111.740
3110.000000	111.608
3150.000000	111.557
3200.000000	111.466
3250.000000	111.312
3300.000000	111.029
3350.000000	110.804
3400.000000	110.459
3450.000000	109.863
3500.000000	109.496
3550.000000	109.368
3600.000000	109.249
3650.000000	109.203
3700.000000	109.022
3750.000000	108.863
3820.000000	108.616
3870.000000	108.440
3950.000000	108.205
4000.000000	108.036
4060.000000	107.845
4120.000000	107.541
4180.000000	107.010
4250.000000	106.224
4310.000000	105.733
4370.000000	105.741
4440.000000	106.138
4500.000000	106.601
4550.000000	106.912
4620.000000	107.200
4680.000000	107.125
4750.000000	106.537
4820.000000	105.736
4870.000000	105.071
4940.000000	104.180
5000.000000	103.488
5080.000000	102.599
5150.000000	102.057
5220.000000	101.621
5300.000000	101.457
5380.000000	101.159
5450.000000	100.665
5520.000000	100.162
5600.000000	99.661
5700.000000	98.676
5800.000000	97.272
5900.000000	96.035
6000.000000	95.442
6080.000000	95.786
6150.000000	96.202
6220.000000	96.329
6300.000000	96.324
6400.000000	96.446
6500.000000	96.674
6600.000000	96.600
6700.000000	95.700
6800.000000	93.916
6900.000000	91.619
7000.000000	88.842
7100.000000	86.314
7200.000000	85.989
7300.000000	87.162
7400.000000	88.400
7500.000000	89.690
7620.000000	91.057
7750.000000	92.717
7880.000000	94.725
8000.000000	96.662
8120.000000	97.843
8250.000000	97.575
8380.000000	96.545
8500.000000	95.579
8620.000000	94.641
8750.000000	93.651
8850.000000	92.928
9000.000000	91.605
9120.000000	90.222
9250.000000	88.990
9380.000000	88.623
9500.000000	88.125
9620.000000	87.639
9750.000000	88.243
9880.000000	90.283
10000.000000	92.522
10150.000000	94.431
10300.000000	94.937
10440.000000	94.831
10600.000000	94.374
10750.000000	94.198
10900.000000	94.477
11060.000000	94.161
11200.000000	93.816
11380.000000	93.548
11500.000000	93.110
11720.000000	91.404
11800.000000	90.780
12060.000000	89.428
12200.000000	88.916
12410.000000	88.210
12500.000000	87.903
12650.000000	87.830
12800.000000	88.467
13150.000000	91.111
13200.000000	91.568
13400.000000	92.777
13600.000000	92.005
13800.000000	89.475
14000.000000	88.217
14300.000000	85.875
14500.000000	84.147
14750.000000	84.342
15000.000000	85.182
15250.000000	86.431
15500.000000	86.148
15750.000000	86.490
16000.000000	86.949
16250.000000	86.930
16500.000000	86.219
16750.000000	86.556
17000.000000	86.955
17250.000000	87.094
17500.000000	86.602
17750.000000	82.994
18000.000000	77.424
18250.000000	73.886
18500.000000	76.967
18750.000000	79.565
19000.000000	80.582
19250.000000	81.099
19500.000000	81.991
19750.000000	83.766
20000.000000	84.630
