* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 569, R 570, R 571, R 572, R 573
* Dated: 22-ago-2024 1:12:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 569, R 570, R 571, R 572, R 573
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.577
20.299999	68.642
20.600000	68.817
20.900000	69.088
21.200001	69.395
21.400000	69.582
21.799999	69.878
22.000000	69.994
22.400000	70.214
22.700001	70.431
23.000000	70.710
23.299999	71.026
23.600000	71.329
24.000000	71.633
24.299999	71.773
24.700001	71.896
25.000000	72.010
25.400000	72.268
25.799999	72.639
26.200001	73.021
26.500000	73.256
26.900000	73.477
27.200001	73.594
27.600000	73.751
28.000000	73.963
28.500000	74.307
29.000000	74.653
29.500000	74.942
30.000000	75.209
30.400000	75.446
30.700001	75.642
31.100000	75.913
31.500000	76.166
32.000000	76.434
32.500000	76.667
33.000000	76.911
33.500000	77.188
34.000000	77.473
34.500000	77.737
35.000000	77.975
35.500000	78.207
36.000000	78.456
36.500000	78.715
37.000000	78.961
37.500000	79.176
38.200001	79.445
38.700001	79.652
39.500000	80.043
40.000000	80.298
40.599998	80.586
41.200001	80.858
41.799999	81.134
42.500000	81.461
43.099998	81.726
43.700001	81.977
44.400002	82.261
45.000000	82.496
45.500000	82.689
46.200001	82.985
46.799999	83.274
47.500000	83.611
48.200001	83.906
48.700001	84.105
49.400002	84.396
50.000000	84.648
50.799999	84.958
51.500000	85.218
52.200001	85.483
53.000000	85.787
53.799999	86.098
54.500000	86.363
55.200001	86.612
56.000000	86.896
57.000000	87.237
58.000000	87.545
59.000000	87.896
60.000000	88.227
60.799999	88.473
61.500000	88.696
62.200001	88.907
63.000000	89.140
64.000000	89.454
65.000000	89.739
66.000000	90.001
67.000000	90.287
68.000000	90.551
69.000000	90.796
70.000000	91.048
71.000000	91.287
72.000000	91.506
73.000000	91.694
74.000000	91.903
75.000000	92.100
76.199997	92.303
77.500000	92.544
78.800003	92.754
80.000000	92.925
81.199997	93.097
82.500000	93.258
83.800003	93.419
85.000000	93.543
86.199997	93.653
87.500000	93.769
88.500000	93.849
90.000000	93.948
91.199997	94.004
92.500000	94.073
93.800003	94.119
95.000000	94.165
96.199997	94.194
97.500000	94.225
98.800003	94.249
100.000000	94.256
101.500000	94.278
103.000000	94.271
104.400002	94.250
