* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 579, L 580, L 581, L 582
* Dated: 22-ago-2024 1:27:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 579, L 580, L 581, L 582
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	89.235
20.299999	89.430
20.600000	89.622
20.900000	89.816
21.200001	90.012
21.400000	90.144
21.799999	90.406
22.000000	90.535
22.400000	90.784
22.700001	90.965
23.000000	91.141
23.299999	91.317
23.600000	91.492
24.000000	91.721
24.299999	91.887
24.700001	92.094
25.000000	92.240
25.400000	92.428
25.799999	92.618
26.200001	92.817
26.500000	92.970
26.900000	93.172
27.200001	93.315
27.600000	93.491
28.000000	93.657
28.500000	93.864
29.000000	94.082
29.500000	94.301
30.000000	94.500
30.400000	94.644
30.700001	94.747
31.100000	94.885
31.500000	95.025
32.000000	95.195
32.500000	95.345
33.000000	95.475
33.500000	95.605
34.000000	95.756
34.500000	95.927
35.000000	96.105
35.500000	96.274
36.000000	96.433
36.500000	96.587
37.000000	96.737
37.500000	96.882
38.200001	97.071
38.700001	97.200
39.500000	97.406
40.000000	97.533
40.599998	97.681
41.200001	97.819
41.799999	97.950
42.500000	98.099
43.099998	98.224
43.700001	98.341
44.400002	98.462
45.000000	98.549
45.500000	98.609
46.200001	98.673
46.799999	98.700
47.500000	98.695
48.200001	98.663
48.700001	98.637
49.400002	98.625
50.000000	98.669
50.799999	98.800
51.500000	98.912
52.200001	98.974
53.000000	99.038
53.799999	99.152
54.500000	99.260
55.200001	99.347
56.000000	99.439
57.000000	99.561
58.000000	99.677
59.000000	99.784
60.000000	99.887
60.799999	99.971
61.500000	100.045
62.200001	100.123
63.000000	100.214
64.000000	100.314
65.000000	100.402
66.000000	100.484
67.000000	100.560
68.000000	100.629
69.000000	100.693
70.000000	100.757
71.000000	100.814
72.000000	100.866
73.000000	100.917
74.000000	100.965
75.000000	100.996
76.199997	101.003
77.500000	101.035
78.800003	101.103
80.000000	101.156
81.199997	101.199
82.500000	101.234
83.800003	101.272
85.000000	101.308
86.199997	101.334
87.500000	101.366
88.500000	101.378
90.000000	101.420
91.199997	101.439
92.500000	101.440
93.800003	101.447
95.000000	101.460
96.199997	101.467
97.500000	101.472
98.800003	101.477
100.000000	101.473
101.500000	101.480
103.000000	101.468
104.400002	101.466
106.000000	101.448
107.500000	101.433
109.000000	101.418
110.599998	101.407
112.000000	101.391
113.800003	101.367
115.000000	101.351
117.199997	101.319
118.000000	101.313
120.599998	101.273
122.000000	101.248
124.099998	101.212
125.000000	101.188
126.500000	101.156
128.000000	101.115
131.500000	101.026
132.000000	101.011
134.000000	100.952
136.000000	100.891
138.000000	100.831
140.000000	100.760
143.000000	100.656
145.000000	100.593
147.500000	100.467
150.000000	100.366
152.500000	100.279
