* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 583, R 584, R 585, R 586, R 587
* Dated: 22-ago-2024 1:30:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 583, R 584, R 585, R 586, R 587
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	88.518
20.299999	88.697
20.600000	88.877
20.900000	89.064
21.200001	89.264
21.400000	89.402
21.799999	89.683
22.000000	89.820
22.400000	90.078
22.700001	90.256
23.000000	90.423
23.299999	90.584
23.600000	90.745
24.000000	90.962
24.299999	91.126
24.700001	91.339
25.000000	91.493
25.400000	91.693
25.799999	91.891
26.200001	92.090
26.500000	92.237
26.900000	92.425
27.200001	92.558
27.600000	92.726
28.000000	92.889
28.500000	93.098
29.000000	93.317
29.500000	93.535
30.000000	93.744
30.400000	93.905
30.700001	94.026
31.100000	94.187
31.500000	94.346
32.000000	94.535
32.500000	94.711
33.000000	94.883
33.500000	95.056
34.000000	95.226
34.500000	95.385
35.000000	95.534
35.500000	95.681
36.000000	95.833
36.500000	95.987
37.000000	96.137
37.500000	96.278
38.200001	96.464
38.700001	96.598
39.500000	96.821
40.000000	96.960
40.599998	97.121
41.200001	97.273
41.799999	97.420
42.500000	97.580
43.099998	97.701
43.700001	97.806
44.400002	97.919
45.000000	98.007
45.500000	98.070
46.200001	98.137
46.799999	98.189
47.500000	98.262
48.200001	98.338
48.700001	98.385
49.400002	98.448
50.000000	98.511
50.799999	98.596
51.500000	98.669
52.200001	98.761
53.000000	98.891
53.799999	98.995
54.500000	99.062
55.200001	99.146
56.000000	99.266
57.000000	99.378
58.000000	99.453
59.000000	99.548
60.000000	99.650
60.799999	99.737
61.500000	99.818
62.200001	99.898
63.000000	99.984
64.000000	100.088
65.000000	100.185
66.000000	100.278
67.000000	100.362
68.000000	100.440
69.000000	100.517
70.000000	100.593
71.000000	100.668
72.000000	100.735
73.000000	100.799
74.000000	100.855
75.000000	100.889
76.199997	100.894
77.500000	100.940
78.800003	101.014
80.000000	101.074
81.199997	101.121
82.500000	101.167
83.800003	101.208
85.000000	101.240
86.199997	101.270
87.500000	101.299
88.500000	101.318
90.000000	101.341
91.199997	101.363
92.500000	101.373
93.800003	101.392
95.000000	101.397
96.199997	101.408
97.500000	101.413
98.800003	101.418
100.000000	101.423
101.500000	101.426
103.000000	101.426
104.400002	101.421
106.000000	101.423
107.500000	101.410
109.000000	101.396
110.599998	101.379
112.000000	101.357
113.800003	101.339
115.000000	101.316
117.199997	101.286
118.000000	101.273
120.599998	101.232
122.000000	101.199
124.099998	101.150
125.000000	101.126
126.500000	101.091
128.000000	101.049
131.500000	100.939
132.000000	100.923
134.000000	100.856
136.000000	100.777
138.000000	100.699
140.000000	100.602
143.000000	100.501
145.000000	100.434
147.500000	100.352
150.000000	100.265
152.500000	100.142
155.000000	100.054
157.500000	99.984
160.000000	99.922
162.500000	99.848
165.000000	99.765
167.500000	99.673
170.000000	99.594
172.500000	99.552
175.000000	99.474
177.500000	99.401
180.000000	99.336
182.500000	99.268
185.000000	99.182
187.500000	99.120
190.000000	99.035
192.500000	98.951
195.000000	98.874
197.500000	98.785
200.000000	98.694
203.000000	98.601
206.000000	98.495
209.000000	98.397
212.000000	98.293
214.000000	98.216
218.000000	98.074
220.000000	98.011
224.000000	97.869
227.000000	97.761
230.000000	97.677
233.000000	97.599
236.000000	97.518
240.000000	97.423
243.000000	97.362
247.000000	97.286
250.000000	97.240
254.000000	97.194
258.000000	97.212
262.000000	97.310
265.000000	97.468
269.000000	97.818
272.000000	98.159
276.000000	98.576
280.000000	98.884
285.000000	98.954
290.000000	98.787
295.000000	98.536
300.000000	98.302
304.000000	98.122
307.000000	97.989
311.000000	97.771
315.000000	97.624
320.000000	97.481
325.000000	97.362
330.000000	97.262
335.000000	97.162
340.000000	97.071
345.000000	96.979
350.000000	96.888
355.000000	96.772
360.000000	96.634
365.000000	96.569
370.000000	96.518
375.000000	96.464
382.000000	96.382
387.000000	96.317
395.000000	96.233
400.000000	96.145
406.000000	96.034
412.000000	95.948
418.000000	95.902
425.000000	95.818
431.000000	95.771
437.000000	95.692
444.000000	95.608
450.000000	95.533
455.000000	95.455
462.000000	95.366
468.000000	95.289
475.000000	95.221
482.000000	95.167
487.000000	95.110
494.000000	95.054
500.000000	94.998
508.000000	94.931
515.000000	94.887
522.000000	94.824
530.000000	94.759
538.000000	94.732
545.000000	94.693
552.000000	94.660
560.000000	94.604
570.000000	94.546
580.000000	94.489
590.000000	94.448
600.000000	94.455
608.000000	94.459
615.000000	94.481
622.000000	94.488
630.000000	94.519
640.000000	94.529
650.000000	94.595
660.000000	94.597
670.000000	94.628
680.000000	94.622
690.000000	94.632
700.000000	94.646
710.000000	94.631
720.000000	94.678
730.000000	94.704
740.000000	94.722
750.000000	94.749
762.000000	94.715
