* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 559, L 560, L 561, L 562, L 563
* Dated: 22-ago-2024 1:02:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 559, L 560, L 561, L 562, L 563
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	66.248
20.299999	66.493
20.600000	66.765
20.900000	67.061
21.200001	67.361
21.400000	67.547
21.799999	67.847
22.000000	67.951
22.400000	68.075
22.700001	68.126
23.000000	68.181
23.299999	68.272
23.600000	68.415
24.000000	68.665
24.299999	68.858
24.700001	69.070
25.000000	69.180
25.400000	69.276
25.799999	69.360
26.200001	69.483
26.500000	69.612
26.900000	69.811
27.200001	69.956
27.600000	70.116
28.000000	70.234
28.500000	70.366
29.000000	70.539
29.500000	70.744
30.000000	70.909
30.400000	70.985
30.700001	71.028
31.100000	71.106
31.500000	71.247
32.000000	71.491
32.500000	71.721
33.000000	71.874
33.500000	71.983
34.000000	72.121
34.500000	72.297
35.000000	72.446
35.500000	72.541
36.000000	72.645
36.500000	72.839
37.000000	73.100
37.500000	73.322
38.200001	73.463
38.700001	73.520
39.500000	73.741
40.000000	73.905
40.599998	74.008
41.200001	74.051
41.799999	74.166
42.500000	74.391
43.099998	74.517
43.700001	74.571
44.400002	74.692
45.000000	74.846
45.500000	74.932
46.200001	75.007
46.799999	75.160
47.500000	75.442
48.200001	75.633
48.700001	75.692
49.400002	75.792
50.000000	75.918
50.799999	76.052
51.500000	76.170
52.200001	76.343
53.000000	76.489
53.799999	76.527
54.500000	76.583
55.200001	76.725
56.000000	76.930
57.000000	77.045
58.000000	77.092
59.000000	77.330
60.000000	77.468
60.799999	77.553
61.500000	77.694
62.200001	77.805
63.000000	77.877
64.000000	77.987
65.000000	78.094
66.000000	78.228
67.000000	78.403
68.000000	78.528
69.000000	78.630
70.000000	78.745
71.000000	78.766
72.000000	78.893
73.000000	79.055
74.000000	79.152
75.000000	79.240
76.199997	79.320
77.500000	79.460
78.800003	79.556
80.000000	79.700
81.199997	79.786
82.500000	79.896
83.800003	80.014
85.000000	80.137
86.199997	80.266
87.500000	80.371
88.500000	80.443
90.000000	80.553
91.199997	80.682
92.500000	80.752
93.800003	80.808
95.000000	80.921
96.199997	81.026
97.500000	81.095
98.800003	81.202
100.000000	81.335
101.500000	81.360
103.000000	81.538
104.400002	81.542
106.000000	81.705
107.500000	81.738
109.000000	81.859
110.599998	81.970
112.000000	81.994
113.800003	82.146
115.000000	82.206
117.199997	82.273
