* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 592, L 595, L 596, L 597
* Dated: 22-ago-2024 1:41:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 592, L 595, L 596, L 597
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.575
20.299999	78.772
20.600000	78.952
20.900000	79.129
21.200001	79.320
21.400000	79.463
21.799999	79.788
22.000000	79.962
22.400000	80.312
22.700001	80.558
23.000000	80.784
23.299999	80.995
23.600000	81.200
24.000000	81.479
24.299999	81.695
24.700001	81.982
25.000000	82.187
25.400000	82.444
25.799999	82.688
26.200001	82.935
26.500000	83.129
26.900000	83.393
27.200001	83.589
27.600000	83.838
28.000000	84.070
28.500000	84.341
29.000000	84.606
29.500000	84.870
30.000000	85.129
30.400000	85.327
30.700001	85.470
31.100000	85.660
31.500000	85.860
32.000000	86.132
32.500000	86.427
33.000000	86.720
33.500000	86.989
34.000000	87.238
34.500000	87.488
35.000000	87.751
35.500000	88.019
36.000000	88.271
36.500000	88.504
37.000000	88.733
37.500000	88.968
38.200001	89.295
38.700001	89.514
39.500000	89.845
40.000000	90.056
40.599998	90.316
41.200001	90.571
41.799999	90.815
42.500000	91.093
43.099998	91.332
43.700001	91.568
44.400002	91.816
45.000000	91.989
45.500000	92.108
46.200001	92.246
46.799999	92.332
47.500000	92.418
48.200001	92.573
48.700001	92.747
49.400002	93.009
50.000000	93.192
50.799999	93.399
51.500000	93.600
52.200001	93.818
53.000000	94.068
53.799999	94.322
54.500000	94.535
55.200001	94.735
56.000000	94.967
57.000000	95.245
58.000000	95.490
59.000000	95.756
60.000000	95.998
60.799999	96.158
61.500000	96.301
62.200001	96.448
63.000000	96.608
64.000000	96.809
65.000000	97.008
66.000000	97.184
67.000000	97.358
68.000000	97.542
69.000000	97.712
70.000000	97.874
71.000000	98.040
72.000000	98.184
73.000000	98.318
74.000000	98.440
75.000000	98.554
76.199997	98.693
77.500000	98.830
78.800003	98.959
80.000000	99.074
81.199997	99.169
82.500000	99.288
83.800003	99.417
85.000000	99.524
86.199997	99.612
87.500000	99.709
88.500000	99.775
90.000000	99.857
91.199997	99.922
92.500000	100.007
93.800003	100.069
95.000000	100.117
96.199997	100.172
97.500000	100.213
98.800003	100.254
100.000000	100.302
101.500000	100.346
103.000000	100.399
104.400002	100.440
106.000000	100.479
107.500000	100.506
109.000000	100.529
110.599998	100.567
112.000000	100.585
113.800003	100.602
115.000000	100.613
117.199997	100.648
118.000000	100.652
120.599998	100.663
122.000000	100.671
124.099998	100.686
125.000000	100.689
126.500000	100.695
128.000000	100.692
131.500000	100.678
132.000000	100.673
134.000000	100.656
136.000000	100.652
138.000000	100.630
140.000000	100.608
143.000000	100.570
145.000000	100.558
147.500000	100.555
150.000000	100.539
152.500000	100.535
155.000000	100.538
