* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 588, R 589, R 590, R 591
* Dated: 22-ago-2024 1:41:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 588, R 589, R 590, R 591
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.794
20.299999	78.050
20.600000	78.289
20.900000	78.517
21.200001	78.744
21.400000	78.897
21.799999	79.201
22.000000	79.349
22.400000	79.629
22.700001	79.825
23.000000	80.017
23.299999	80.217
23.600000	80.434
24.000000	80.752
24.299999	80.997
24.700001	81.304
25.000000	81.504
25.400000	81.732
25.799999	81.944
26.200001	82.178
26.500000	82.380
26.900000	82.674
27.200001	82.896
27.600000	83.169
28.000000	83.409
28.500000	83.681
29.000000	83.961
29.500000	84.256
30.000000	84.538
30.400000	84.744
30.700001	84.893
31.100000	85.095
31.500000	85.313
32.000000	85.602
32.500000	85.889
33.000000	86.166
33.500000	86.442
34.000000	86.722
34.500000	86.990
35.000000	87.235
35.500000	87.464
36.000000	87.702
36.500000	87.956
37.000000	88.210
37.500000	88.446
38.200001	88.757
38.700001	88.978
39.500000	89.327
40.000000	89.539
40.599998	89.800
41.200001	90.070
41.799999	90.328
42.500000	90.597
43.099998	90.817
43.700001	91.047
44.400002	91.315
45.000000	91.527
45.500000	91.684
46.200001	91.870
46.799999	91.998
47.500000	92.123
48.200001	92.237
48.700001	92.326
49.400002	92.492
50.000000	92.690
50.799999	92.999
51.500000	93.252
52.200001	93.467
53.000000	93.696
53.799999	93.933
54.500000	94.138
55.200001	94.330
56.000000	94.551
57.000000	94.835
58.000000	95.062
59.000000	95.268
60.000000	95.513
60.799999	95.677
61.500000	95.796
62.200001	95.935
63.000000	96.111
64.000000	96.305
65.000000	96.488
66.000000	96.665
67.000000	96.827
68.000000	96.985
69.000000	97.121
70.000000	97.245
71.000000	97.387
72.000000	97.512
73.000000	97.628
74.000000	97.753
75.000000	97.843
76.199997	97.960
77.500000	98.068
78.800003	98.174
80.000000	98.268
81.199997	98.382
82.500000	98.474
83.800003	98.566
85.000000	98.634
86.199997	98.723
87.500000	98.772
88.500000	98.827
90.000000	98.874
91.199997	98.926
92.500000	98.974
93.800003	99.023
95.000000	99.065
96.199997	99.085
97.500000	99.109
98.800003	99.134
100.000000	99.167
101.500000	99.193
103.000000	99.221
104.400002	99.256
106.000000	99.258
107.500000	99.269
109.000000	99.280
110.599998	99.279
112.000000	99.286
113.800003	99.276
115.000000	99.265
117.199997	99.251
118.000000	99.238
120.599998	99.199
122.000000	99.177
124.099998	99.147
125.000000	99.135
126.500000	99.099
128.000000	99.072
131.500000	99.003
132.000000	98.994
134.000000	98.967
136.000000	98.922
138.000000	98.883
140.000000	98.849
143.000000	98.786
145.000000	98.753
147.500000	98.723
150.000000	98.683
152.500000	98.645
155.000000	98.613
157.500000	98.590
160.000000	98.576
162.500000	98.555
165.000000	98.545
167.500000	98.521
170.000000	98.518
172.500000	98.495
175.000000	98.483
177.500000	98.472
180.000000	98.473
182.500000	98.457
185.000000	98.445
187.500000	98.434
190.000000	98.424
192.500000	98.408
195.000000	98.400
197.500000	98.394
200.000000	98.381
203.000000	98.382
206.000000	98.388
209.000000	98.391
212.000000	98.383
214.000000	98.389
218.000000	98.384
220.000000	98.392
224.000000	98.410
227.000000	98.422
230.000000	98.446
233.000000	98.474
236.000000	98.514
240.000000	98.576
243.000000	98.636
247.000000	98.715
250.000000	98.787
254.000000	98.869
258.000000	98.911
262.000000	98.938
265.000000	98.929
269.000000	98.896
272.000000	98.866
276.000000	98.812
280.000000	98.760
285.000000	98.686
290.000000	98.622
295.000000	98.568
300.000000	98.510
304.000000	98.498
307.000000	98.471
311.000000	98.437
315.000000	98.400
320.000000	98.373
325.000000	98.256
330.000000	98.159
335.000000	98.098
340.000000	98.089
345.000000	98.070
350.000000	98.036
355.000000	98.014
360.000000	97.974
365.000000	97.938
370.000000	97.928
375.000000	97.903
382.000000	97.869
387.000000	97.829
395.000000	97.797
400.000000	97.755
406.000000	97.707
412.000000	97.647
418.000000	97.624
425.000000	97.573
431.000000	97.533
437.000000	97.491
444.000000	97.433
450.000000	97.377
455.000000	97.343
462.000000	97.297
468.000000	97.225
475.000000	97.182
482.000000	97.136
487.000000	97.101
494.000000	97.054
500.000000	97.011
508.000000	96.973
515.000000	96.939
522.000000	96.884
530.000000	96.808
538.000000	96.824
545.000000	96.793
552.000000	96.745
560.000000	96.701
570.000000	96.641
580.000000	96.565
590.000000	96.472
600.000000	96.440
608.000000	96.400
615.000000	96.369
622.000000	96.322
630.000000	96.298
640.000000	96.258
650.000000	96.280
660.000000	96.244
670.000000	96.241
680.000000	96.203
690.000000	96.211
700.000000	96.201
710.000000	96.181
720.000000	96.225
730.000000	96.265
740.000000	96.309
750.000000	96.308
762.000000	96.279
775.000000	96.275
788.000000	96.287
800.000000	96.207
812.000000	96.186
825.000000	96.113
838.000000	96.165
850.000000	96.273
862.000000	96.255
875.000000	96.175
885.000000	95.931
900.000000	95.524
912.000000	95.283
925.000000	95.377
938.000000	95.531
950.000000	95.540
962.000000	95.666
975.000000	95.594
988.000000	95.450
1000.000000	95.540
1015.000000	95.543
1030.000000	95.659
1044.000000	95.126
1060.000000	94.722
1075.000000	94.874
1090.000000	95.021
1106.000000	95.061
1120.000000	95.098
1138.000000	95.191
1150.000000	95.136
1172.000000	95.280
1180.000000	95.359
1206.000000	95.597
1220.000000	95.612
1241.000000	95.796
1250.000000	95.921
1265.000000	96.221
1280.000000	96.395
1315.000000	97.008
1320.000000	96.983
1340.000000	97.035
1360.000000	97.454
1380.000000	98.049
1400.000000	98.500
1430.000000	99.059
1450.000000	99.601
1475.000000	100.111
1500.000000	100.694
1525.000000	101.341
1550.000000	102.092
1575.000000	102.184
1600.000000	102.655
1625.000000	103.301
1650.000000	103.709
1675.000000	104.385
1700.000000	104.851
1725.000000	105.092
1750.000000	105.865
1775.000000	106.225
1800.000000	106.950
1825.000000	107.467
1850.000000	108.037
1875.000000	108.507
1900.000000	109.040
1925.000000	109.583
1950.000000	110.140
1975.000000	110.795
2000.000000	111.139
2030.000000	111.509
2060.000000	111.558
2090.000000	111.827
2120.000000	112.795
2140.000000	112.897
2180.000000	112.917
2200.000000	113.373
2240.000000	113.066
2270.000000	113.537
2300.000000	113.540
2330.000000	113.710
2360.000000	113.779
2400.000000	114.097
2430.000000	113.787
2470.000000	113.867
2500.000000	113.844
2540.000000	114.030
2580.000000	114.382
2620.000000	114.285
2650.000000	114.450
2690.000000	114.424
2720.000000	114.189
2760.000000	114.140
2800.000000	114.150
2850.000000	114.056
2900.000000	114.194
2950.000000	114.342
3000.000000	114.347
3040.000000	114.431
3070.000000	114.303
3110.000000	113.953
3150.000000	113.823
3200.000000	113.455
3250.000000	113.088
3300.000000	112.620
3350.000000	112.289
3400.000000	112.031
3450.000000	111.539
3500.000000	111.368
3550.000000	111.085
3600.000000	110.931
3650.000000	110.817
3700.000000	110.659
3750.000000	110.604
3820.000000	110.437
3870.000000	110.258
3950.000000	110.003
4000.000000	109.809
4060.000000	109.648
4120.000000	109.488
4180.000000	109.369
4250.000000	109.242
4310.000000	109.134
4370.000000	109.007
4440.000000	108.918
4500.000000	108.841
4550.000000	108.831
4620.000000	108.844
4680.000000	108.928
4750.000000	109.057
4820.000000	109.276
4870.000000	109.472
4940.000000	109.762
5000.000000	110.038
5080.000000	110.433
5150.000000	110.795
5220.000000	111.252
5300.000000	111.846
5380.000000	112.560
5450.000000	113.141
5520.000000	113.603
5600.000000	113.904
5700.000000	113.731
5800.000000	112.964
5900.000000	111.783
6000.000000	110.431
6080.000000	109.326
6150.000000	108.374
6220.000000	107.456
6300.000000	106.488
6400.000000	105.440
6500.000000	104.563
6600.000000	103.778
6700.000000	103.052
6800.000000	102.296
6900.000000	101.363
7000.000000	100.158
7100.000000	98.717
7200.000000	97.637
7300.000000	98.104
7400.000000	99.428
7500.000000	100.117
7620.000000	99.843
7750.000000	99.289
7880.000000	98.218
8000.000000	96.803
8120.000000	95.303
8250.000000	93.475
8380.000000	92.683
8500.000000	96.384
8620.000000	100.329
8750.000000	102.764
8850.000000	103.403
9000.000000	103.318
9120.000000	102.738
9250.000000	101.939
9380.000000	101.034
9500.000000	100.159
9620.000000	99.122
9750.000000	97.575
9880.000000	96.338
10000.000000	95.780
10150.000000	95.299
10300.000000	94.427
10440.000000	93.410
10600.000000	92.446
10750.000000	91.446
10900.000000	90.079
11060.000000	89.055
11200.000000	88.613
11380.000000	87.587
11500.000000	86.521
11720.000000	85.370
11800.000000	85.859
12060.000000	88.380
12200.000000	90.343
12410.000000	92.601
12500.000000	93.145
12650.000000	93.177
12800.000000	92.421
13150.000000	91.508
13200.000000	91.568
13400.000000	91.243
13600.000000	90.804
13800.000000	91.115
14000.000000	91.840
14300.000000	93.214
14500.000000	94.863
14750.000000	97.080
15000.000000	98.031
15250.000000	97.068
15500.000000	94.035
15750.000000	89.402
16000.000000	84.966
16250.000000	82.299
16500.000000	80.160
16750.000000	81.198
17000.000000	82.363
17250.000000	87.003
17500.000000	89.539
17750.000000	89.557
18000.000000	88.973
18250.000000	88.197
18500.000000	87.961
18750.000000	88.134
19000.000000	88.579
19250.000000	88.742
19500.000000	88.313
19750.000000	86.841
20000.000000	84.538
