* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 517, L 518, L 519, L 520, L 521
* Dated: 21/08/2024 03:11:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 517, L 518, L 519, L 520, L 521
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.495
20.299999	68.669
20.600000	68.860
20.900000	69.086
21.200001	69.351
21.400000	69.544
21.799999	69.942
22.000000	70.132
22.400000	70.471
22.700001	70.675
23.000000	70.840
23.299999	70.979
23.600000	71.111
24.000000	71.312
24.299999	71.497
24.700001	71.791
25.000000	72.034
25.400000	72.366
25.799999	72.689
26.200001	72.994
26.500000	73.213
26.900000	73.492
27.200001	73.691
27.600000	73.943
28.000000	74.178
28.500000	74.453
29.000000	74.724
29.500000	75.013
30.000000	75.342
30.400000	75.631
30.700001	75.850
31.100000	76.126
31.500000	76.371
32.000000	76.638
32.500000	76.894
33.000000	77.162
33.500000	77.430
34.000000	77.674
34.500000	77.907
35.000000	78.161
35.500000	78.441
36.000000	78.708
36.500000	78.935
37.000000	79.149
37.500000	79.391
38.200001	79.769
38.700001	80.012
39.500000	80.343
40.000000	80.568
40.599998	80.865
41.200001	81.143
41.799999	81.399
42.500000	81.714
43.099998	81.986
43.700001	82.229
44.400002	82.497
45.000000	82.747
45.500000	82.959
46.200001	83.230
46.799999	83.440
47.500000	83.683
48.200001	83.938
48.700001	84.124
49.400002	84.385
50.000000	84.601
50.799999	84.886
51.500000	85.138
52.200001	85.381
53.000000	85.639
53.799999	85.894
54.500000	86.101
55.200001	86.280
56.000000	86.496
57.000000	86.799
58.000000	87.036
59.000000	87.281
60.000000	87.558
60.799999	87.751
61.500000	87.916
62.200001	88.072
63.000000	88.237
64.000000	88.466
65.000000	88.697
66.000000	88.916
67.000000	89.142
68.000000	89.347
69.000000	89.522
70.000000	89.705
71.000000	89.887
72.000000	90.053
73.000000	90.224
74.000000	90.402
75.000000	90.574
76.199997	90.735
77.500000	90.897
78.800003	91.030
80.000000	91.196
81.199997	91.367
82.500000	91.541
83.800003	91.681
85.000000	91.802
86.199997	91.943
87.500000	92.038
88.500000	92.133
90.000000	92.240
91.199997	92.359
92.500000	92.429
93.800003	92.527
95.000000	92.596
96.199997	92.662
97.500000	92.731
98.800003	92.799
100.000000	92.854
101.500000	92.916
103.000000	92.963
104.400002	93.019
106.000000	93.059
107.500000	93.119
109.000000	93.167
110.599998	93.204
112.000000	93.234
113.800003	93.275
115.000000	93.310
117.199997	93.352
118.000000	93.358
120.599998	93.413
122.000000	93.446
124.099998	93.464
125.000000	93.479
126.500000	93.495
128.000000	93.531
131.500000	93.587
132.000000	93.592
134.000000	93.630
136.000000	93.626
138.000000	93.638
140.000000	93.651
143.000000	93.673
145.000000	93.678
147.500000	93.691
150.000000	93.700
152.500000	93.733
155.000000	93.712
157.500000	93.742
160.000000	93.724
162.500000	93.719
165.000000	93.694
167.500000	93.665
170.000000	93.642
172.500000	93.616
175.000000	93.597
177.500000	93.551
180.000000	93.533
182.500000	93.497
185.000000	93.464
187.500000	93.439
190.000000	93.404
192.500000	93.367
195.000000	93.334
197.500000	93.295
200.000000	93.270
203.000000	93.244
206.000000	93.215
209.000000	93.193
212.000000	93.166
214.000000	93.136
218.000000	93.107
220.000000	93.086
224.000000	93.044
227.000000	93.032
230.000000	92.997
233.000000	92.980
236.000000	92.971
240.000000	92.962
243.000000	92.961
247.000000	92.982
250.000000	93.012
254.000000	93.102
258.000000	93.276
262.000000	93.565
265.000000	93.864
269.000000	94.350
272.000000	94.690
276.000000	95.006
280.000000	95.112
285.000000	95.006
290.000000	94.847
295.000000	94.702
300.000000	94.579
304.000000	94.423
307.000000	94.306
311.000000	94.137
315.000000	93.998
320.000000	93.877
325.000000	93.777
330.000000	93.729
335.000000	93.650
340.000000	93.625
345.000000	93.593
350.000000	93.554
355.000000	93.535
360.000000	93.492
365.000000	93.497
370.000000	93.487
375.000000	93.501
382.000000	93.489
387.000000	93.491
395.000000	93.483
400.000000	93.475
406.000000	93.462
412.000000	93.474
418.000000	93.487
425.000000	93.516
431.000000	93.521
437.000000	93.535
444.000000	93.581
450.000000	93.583
455.000000	93.617
462.000000	93.639
468.000000	93.657
475.000000	93.690
482.000000	93.756
487.000000	93.796
494.000000	93.826
500.000000	93.860
508.000000	93.877
515.000000	93.873
522.000000	93.839
530.000000	93.816
538.000000	93.816
545.000000	93.811
552.000000	93.825
560.000000	93.841
570.000000	93.877
580.000000	93.864
590.000000	93.653
600.000000	93.205
608.000000	92.995
615.000000	93.051
622.000000	93.170
630.000000	93.330
640.000000	93.490
650.000000	93.609
660.000000	93.697
670.000000	93.777
680.000000	93.826
690.000000	93.893
700.000000	93.940
710.000000	93.972
720.000000	94.063
730.000000	94.080
740.000000	93.997
750.000000	93.892
762.000000	94.012
775.000000	94.165
788.000000	94.273
800.000000	94.283
812.000000	94.362
825.000000	94.405
838.000000	94.577
850.000000	94.698
862.000000	94.726
875.000000	94.728
885.000000	94.687
900.000000	94.819
912.000000	94.931
925.000000	95.037
938.000000	95.122
950.000000	95.250
962.000000	95.321
975.000000	95.306
988.000000	95.400
1000.000000	95.520
1015.000000	95.650
1030.000000	95.759
1044.000000	95.818
1060.000000	95.849
1075.000000	95.961
1090.000000	96.059
1106.000000	96.134
1120.000000	96.201
1138.000000	96.313
1150.000000	96.359
1172.000000	96.451
1180.000000	96.477
1206.000000	96.496
1220.000000	96.693
1241.000000	96.622
1250.000000	96.703
1265.000000	96.934
1280.000000	96.875
1315.000000	96.967
1320.000000	96.963
1340.000000	96.871
1360.000000	96.834
1380.000000	96.872
1400.000000	97.054
1430.000000	97.087
1450.000000	97.210
1475.000000	97.596
1500.000000	98.039
1525.000000	98.198
1550.000000	98.354
1575.000000	98.422
1600.000000	98.696
1625.000000	98.720
1650.000000	99.188
1675.000000	99.480
1700.000000	99.939
1725.000000	100.244
1750.000000	100.559
1775.000000	100.917
1800.000000	101.376
1825.000000	101.713
1850.000000	102.096
1875.000000	102.367
1900.000000	102.699
1925.000000	102.929
1950.000000	103.524
1975.000000	104.053
2000.000000	104.043
2030.000000	104.372
2060.000000	104.920
2090.000000	105.754
2120.000000	106.101
2140.000000	105.978
2180.000000	106.918
2200.000000	106.889
2240.000000	107.710
2270.000000	108.202
2300.000000	108.798
2330.000000	109.141
2360.000000	109.283
2400.000000	109.498
2430.000000	109.974
2470.000000	110.269
2500.000000	110.861
2540.000000	111.492
2580.000000	111.722
2620.000000	112.273
2650.000000	112.883
2690.000000	113.307
2720.000000	113.457
2760.000000	114.310
2800.000000	114.539
2850.000000	115.179
2900.000000	115.532
2950.000000	116.000
3000.000000	116.270
3040.000000	116.398
3070.000000	116.636
3110.000000	116.917
3150.000000	117.100
3200.000000	117.269
3250.000000	117.258
3300.000000	117.369
3350.000000	117.191
3400.000000	116.838
3450.000000	117.069
3500.000000	116.828
3550.000000	116.918
3600.000000	116.671
3650.000000	116.514
3700.000000	116.368
3750.000000	116.034
3820.000000	115.458
3870.000000	114.955
3950.000000	114.613
4000.000000	114.631
4060.000000	114.411
4120.000000	114.106
4180.000000	113.723
4250.000000	113.188
4310.000000	112.692
4370.000000	112.392
4440.000000	111.735
4500.000000	111.359
4550.000000	111.015
4620.000000	110.769
4680.000000	110.551
4750.000000	110.521
4820.000000	110.628
4870.000000	110.286
4940.000000	109.864
5000.000000	109.465
5080.000000	108.908
5150.000000	108.320
5220.000000	107.940
5300.000000	107.908
5380.000000	108.198
5450.000000	108.676
5520.000000	109.338
5600.000000	110.038
5700.000000	110.563
5800.000000	110.664
5900.000000	110.837
6000.000000	111.049
6080.000000	110.616
6150.000000	110.973
6220.000000	111.195
6300.000000	111.003
6400.000000	110.949
6500.000000	110.622
6600.000000	109.823
6700.000000	108.773
6800.000000	108.042
6900.000000	107.073
7000.000000	106.129
7100.000000	105.289
7200.000000	104.560
7300.000000	103.815
7400.000000	103.167
7500.000000	102.936
7620.000000	103.236
7750.000000	103.992
7880.000000	105.990
8000.000000	106.770
8120.000000	107.001
8250.000000	106.684
8380.000000	106.607
8500.000000	106.405
8620.000000	106.018
8750.000000	105.888
8850.000000	106.742
9000.000000	108.509
9120.000000	108.912
9250.000000	107.816
9380.000000	105.898
9500.000000	104.171
9620.000000	103.063
9750.000000	102.423
9880.000000	102.047
10000.000000	101.747
10150.000000	101.472
10300.000000	101.162
10440.000000	101.044
10600.000000	101.261
10750.000000	102.126
10900.000000	103.481
11060.000000	105.552
11200.000000	107.558
11380.000000	107.592
11500.000000	106.839
11720.000000	106.483
11800.000000	106.595
12060.000000	106.125
12200.000000	105.778
12410.000000	105.444
12500.000000	105.353
12650.000000	105.004
12800.000000	104.325
13150.000000	102.168
13200.000000	101.950
13400.000000	100.629
13600.000000	98.700
13800.000000	96.300
14000.000000	94.493
14300.000000	95.401
14500.000000	97.161
14750.000000	97.954
15000.000000	98.718
15250.000000	98.711
15500.000000	96.670
15750.000000	95.174
16000.000000	94.723
16250.000000	94.533
16500.000000	95.171
16750.000000	96.081
17000.000000	96.751
17250.000000	97.482
17500.000000	98.536
17750.000000	99.610
18000.000000	97.299
18250.000000	93.469
18500.000000	90.963
18750.000000	92.744
19000.000000	97.426
19250.000000	99.592
19500.000000	99.849
19750.000000	99.112
20000.000000	97.566
