* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 524, R 525, R 526, R 527, R 528
* Dated: 21/08/2024 03:12:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 524, R 525, R 526, R 527, R 528
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.560
20.299999	65.877
20.600000	66.225
20.900000	66.557
21.200001	66.832
21.400000	66.977
21.799999	67.188
22.000000	67.268
22.400000	67.409
22.700001	67.527
23.000000	67.667
23.299999	67.834
23.600000	68.028
24.000000	68.323
24.299999	68.565
24.700001	68.896
25.000000	69.135
25.400000	69.426
25.799999	69.675
26.200001	69.899
26.500000	70.073
26.900000	70.346
27.200001	70.593
27.600000	70.967
28.000000	71.345
28.500000	71.734
29.000000	71.983
29.500000	72.158
30.000000	72.398
30.400000	72.679
30.700001	72.916
31.100000	73.207
31.500000	73.418
32.000000	73.578
32.500000	73.732
33.000000	73.985
33.500000	74.315
34.000000	74.612
34.500000	74.831
35.000000	75.033
35.500000	75.293
36.000000	75.598
36.500000	75.876
37.000000	76.098
37.500000	76.311
38.200001	76.680
38.700001	76.962
39.500000	77.327
40.000000	77.535
40.599998	77.842
41.200001	78.181
41.799999	78.468
42.500000	78.714
43.099998	78.925
43.700001	79.187
44.400002	79.514
45.000000	79.762
45.500000	79.949
46.200001	80.215
46.799999	80.443
47.500000	80.686
48.200001	80.945
48.700001	81.162
49.400002	81.461
50.000000	81.669
50.799999	81.922
51.500000	82.175
52.200001	82.423
53.000000	82.677
53.799999	82.946
54.500000	83.181
55.200001	83.396
56.000000	83.646
57.000000	83.989
58.000000	84.337
59.000000	84.633
60.000000	84.886
60.799999	85.112
61.500000	85.325
62.200001	85.520
63.000000	85.726
64.000000	86.025
65.000000	86.317
66.000000	86.590
67.000000	86.888
68.000000	87.171
69.000000	87.441
70.000000	87.708
71.000000	87.963
72.000000	88.205
