* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 507, R 508, R 509, R 510, R 511, R 512
* Dated: 21/08/2024 03:09:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 507, R 508, R 509, R 510, R 511, R 512
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.619
20.299999	79.847
20.600000	80.042
20.900000	80.209
21.200001	80.358
21.400000	80.456
21.799999	80.668
22.000000	80.784
22.400000	81.033
22.700001	81.226
23.000000	81.416
23.299999	81.599
23.600000	81.776
24.000000	82.004
24.299999	82.171
24.700001	82.384
25.000000	82.534
25.400000	82.720
25.799999	82.898
26.200001	83.080
26.500000	83.223
26.900000	83.422
27.200001	83.571
27.600000	83.761
28.000000	83.937
28.500000	84.142
29.000000	84.343
29.500000	84.542
30.000000	84.737
30.400000	84.887
30.700001	84.997
31.100000	85.141
31.500000	85.282
32.000000	85.452
32.500000	85.611
33.000000	85.767
33.500000	85.934
34.000000	86.114
34.500000	86.292
35.000000	86.443
35.500000	86.561
36.000000	86.669
36.500000	86.796
37.000000	86.949
37.500000	87.110
38.200001	87.317
38.700001	87.454
39.500000	87.675
40.000000	87.802
40.599998	87.932
41.200001	88.055
41.799999	88.198
42.500000	88.376
43.099998	88.504
43.700001	88.609
44.400002	88.736
45.000000	88.859
45.500000	88.960
46.200001	89.091
46.799999	89.207
47.500000	89.349
48.200001	89.473
48.700001	89.548
49.400002	89.648
50.000000	89.735
50.799999	89.835
51.500000	89.907
52.200001	89.988
53.000000	90.098
53.799999	90.189
54.500000	90.241
55.200001	90.301
56.000000	90.405
57.000000	90.542
58.000000	90.663
59.000000	90.784
60.000000	90.914
60.799999	91.035
61.500000	91.135
62.200001	91.226
63.000000	91.319
64.000000	91.408
65.000000	91.518
66.000000	91.656
67.000000	91.775
68.000000	91.906
69.000000	92.016
70.000000	92.110
71.000000	92.217
72.000000	92.309
73.000000	92.399
74.000000	92.453
75.000000	92.483
76.199997	92.554
77.500000	92.640
78.800003	92.785
80.000000	92.874
81.199997	92.963
82.500000	93.060
83.800003	93.133
85.000000	93.208
86.199997	93.281
87.500000	93.334
88.500000	93.368
90.000000	93.417
91.199997	93.500
92.500000	93.525
93.800003	93.557
95.000000	93.582
96.199997	93.601
97.500000	93.633
98.800003	93.657
100.000000	93.668
101.500000	93.693
103.000000	93.708
104.400002	93.705
106.000000	93.748
107.500000	93.738
109.000000	93.770
110.599998	93.785
112.000000	93.787
113.800003	93.830
115.000000	93.831
117.199997	93.857
118.000000	93.877
120.599998	93.894
122.000000	93.913
124.099998	93.931
125.000000	93.946
126.500000	93.953
128.000000	93.964
131.500000	93.997
132.000000	93.999
134.000000	94.011
136.000000	94.037
138.000000	94.051
140.000000	94.072
143.000000	94.083
145.000000	94.088
147.500000	94.102
150.000000	94.124
152.500000	94.150
155.000000	94.158
157.500000	94.183
160.000000	94.197
162.500000	94.226
165.000000	94.217
167.500000	94.185
170.000000	94.231
