* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -12,0 dBFS, measurement signal peak level -9,1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:20:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0695 ms (-24 mm, -0,94 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,6 ppm
* Measurement: Zero d6 mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.597	96.9794
20.299999	84.679	96.3538
20.600000	84.777	95.8206
20.900000	84.892	95.3007
21.200001	85.020	94.7293
21.400000	85.108	94.3017
21.799999	85.286	93.3229
22.000000	85.372	92.7693
22.400000	85.530	91.5424
22.700001	85.630	90.5459
23.000000	85.709	89.5362
23.299999	85.769	88.5807
23.600000	85.818	87.7304
24.000000	85.882	86.7899
24.299999	85.945	86.1821
24.700001	86.053	85.3704
25.000000	86.144	84.6769
25.400000	86.257	83.6242
25.799999	86.346	82.5552
26.200001	86.416	81.6482
26.500000	86.474	81.1118
26.900000	86.575	80.5043
27.200001	86.671	80.0126
27.600000	86.808	79.1929
28.000000	86.926	78.2104
28.500000	87.026	77.0139
29.000000	87.105	76.0986
29.500000	87.208	75.3494
30.000000	87.328	74.4495
30.400000	87.406	73.5760
30.700001	87.443	72.9142
31.100000	87.473	72.1589
31.500000	87.503	71.5874
32.000000	87.569	70.9753
32.500000	87.659	70.2205
33.000000	87.734	69.2959
33.500000	87.782	68.4191
34.000000	87.828	67.7451
34.500000	87.901	67.1704
35.000000	87.998	66.5070
35.500000	88.090	65.7126
36.000000	88.164	64.9080
36.500000	88.228	64.1929
37.000000	88.294	63.5390
37.500000	88.359	62.8605
38.200001	88.422	61.8896
38.700001	88.443	61.3329
39.500000	88.497	60.7347
40.000000	88.556	60.2918
40.599998	88.615	59.5492
41.200001	88.637	58.8495
41.799999	88.668	58.4019
42.500000	88.768	57.8031
43.099998	88.853	56.8543
43.700001	88.870	55.8292
44.400002	88.844	55.1486
45.000000	88.860	54.9640
45.500000	88.909	54.7893
46.200001	88.989	54.3444
46.799999	89.046	53.8593
47.500000	89.094	53.1951
48.200001	89.101	52.5091
48.700001	89.091	52.1983
49.400002	89.126	51.9693
50.000000	89.206	51.4378
50.799999	89.244	50.2338
51.500000	89.232	49.7103
52.200001	89.316	49.3187
53.000000	89.365	48.2610
53.799999	89.335	48.3773
54.500000	89.515	48.6171
55.200001	89.604	47.3633
56.000000	89.415	47.4282
57.000000	89.649	47.8876
58.000000	89.047	45.3130
59.000000	88.821	54.5627
60.000000	90.390	51.9388
60.799999	90.144	44.3876
61.500000	89.483	44.0399
62.200001	89.564	45.6056
63.000000	89.765	43.5389
64.000000	89.596	42.4135
65.000000	89.734	42.1221
66.000000	89.758	41.5820
67.000000	89.872	41.4608
68.000000	89.859	41.0488
69.000000	89.909	41.3292
70.000000	89.951	40.6458
71.000000	89.919	40.3404
72.000000	89.964	39.7645
73.000000	89.932	39.0109
74.000000	89.931	38.8736
75.000000	89.989	38.5167
76.199997	90.012	38.1649
77.500000	90.067	37.9520
78.800003	90.075	37.4888
80.000000	90.066	37.4700
81.199997	90.111	37.1425
82.500000	90.106	36.7878
83.800003	90.151	36.4801
85.000000	90.173	35.8869
86.199997	90.147	35.6427
87.500000	90.208	35.4947
88.500000	90.233	35.0810
90.000000	90.236	34.6411
91.199997	90.226	34.6396
92.500000	90.273	34.5359
93.800003	90.289	34.2299
95.000000	90.291	33.8417
96.199997	90.272	33.6310
97.500000	90.291	33.3943
98.800003	90.327	33.2408
100.000000	90.366	32.7652
101.500000	90.359	32.6115
103.000000	90.349	32.5593
104.400002	90.425	32.5014
106.000000	90.373	31.9515
107.500000	90.395	31.9940
109.000000	90.436	31.6862
110.599998	90.453	31.4988
112.000000	90.471	31.3053
113.800003	90.448	31.2944
115.000000	90.505	31.2943
117.199997	90.507	31.0432
118.000000	90.542	30.3952
120.599998	90.534	30.3574
122.000000	90.481	30.4745
124.099998	90.507	29.9622
125.000000	90.513	30.2468
126.500000	90.556	30.2340
128.000000	90.598	29.7341
131.500000	90.615	29.3960
132.000000	90.608	29.3793
134.000000	90.606	29.3811
136.000000	90.617	29.4522
138.000000	90.623	29.4482
140.000000	90.622	29.1471
143.000000	90.654	28.7838
145.000000	90.669	28.8368
147.500000	90.682	28.7860
150.000000	90.707	28.7775
152.500000	90.709	28.5983
155.000000	90.674	28.4756
157.500000	90.706	28.5138
160.000000	90.742	28.5278
162.500000	90.735	28.4147
165.000000	90.711	28.3626
167.500000	90.771	28.3143
170.000000	90.812	28.3526
172.500000	90.733	28.6358
175.000000	90.755	28.4106
177.500000	90.813	28.2290
180.000000	90.804	28.1562
182.500000	90.856	28.4852
185.000000	90.816	28.0746
187.500000	90.855	28.3429
190.000000	90.855	28.1745
192.500000	90.896	28.1167
195.000000	90.874	28.5364
197.500000	90.911	28.2241
200.000000	90.880	28.3399
203.000000	90.922	28.2650
206.000000	90.926	28.3724
209.000000	90.961	28.2626
212.000000	90.939	28.7107
214.000000	91.022	28.0639
218.000000	90.997	28.5757
220.000000	90.963	28.3410
224.000000	91.016	28.6417
227.000000	91.023	28.7530
230.000000	91.044	28.4499
233.000000	91.058	28.7347
236.000000	90.981	29.2693
240.000000	91.058	29.1595
243.000000	91.086	28.9818
247.000000	91.076	29.1998
250.000000	91.072	29.2083
254.000000	91.088	29.5043
258.000000	91.144	29.3966
262.000000	91.135	29.7586
265.000000	91.176	29.8534
269.000000	91.155	29.6868
272.000000	91.111	29.8269
276.000000	91.153	30.1780
280.000000	91.127	30.5425
285.000000	91.154	30.7332
290.000000	91.216	31.3185
295.000000	91.262	31.0632
300.000000	91.325	31.6993
304.000000	91.294	31.7697
307.000000	91.270	32.3062
311.000000	91.368	31.8063
315.000000	91.368	32.1252
320.000000	91.376	32.4379
325.000000	91.419	32.6680
330.000000	91.456	32.6288
335.000000	91.477	32.8885
340.000000	91.482	33.0117
345.000000	91.548	33.4262
350.000000	91.541	33.6298
355.000000	91.580	33.8069
360.000000	91.571	33.9268
365.000000	91.622	34.3971
370.000000	91.637	34.6671
375.000000	91.678	34.7981
382.000000	91.690	35.0952
387.000000	91.735	35.2459
395.000000	91.757	35.4647
400.000000	91.796	35.9646
406.000000	91.803	36.4112
412.000000	91.863	36.4507
418.000000	91.868	36.9663
425.000000	91.907	36.9318
431.000000	91.898	37.4113
437.000000	91.997	37.5818
