* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -6,4 dBFS, measurement signal peak level -4,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:18:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0368 ms (-13 mm, -0,5 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,5 ppm
* Measurement: Zero d6 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.652	82.6618
20.299999	84.726	81.3110
20.600000	84.759	80.0875
20.900000	84.764	79.1282
21.200001	84.767	78.4990
21.400000	84.784	78.2245
21.799999	84.864	77.8444
22.000000	84.926	77.6404
22.400000	85.077	77.0362
22.700001	85.188	76.4027
23.000000	85.280	75.6987
23.299999	85.353	75.0356
23.600000	85.418	74.4722
24.000000	85.512	73.8725
24.299999	85.599	73.4455
24.700001	85.730	72.7581
25.000000	85.823	72.1043
25.400000	85.921	71.1021
25.799999	85.978	70.1236
26.200001	86.009	69.3308
26.500000	86.032	68.8781
26.900000	86.079	68.3870
27.200001	86.129	68.0118
27.600000	86.205	67.4098
28.000000	86.272	66.6856
28.500000	86.329	65.7547
29.000000	86.370	64.9861
29.500000	86.427	64.3830
30.000000	86.511	63.7498
30.400000	86.584	63.1165
30.700001	86.631	62.5812
31.100000	86.675	61.8836
31.500000	86.705	61.3071
32.000000	86.751	60.8052
32.500000	86.831	60.3921
33.000000	86.934	59.8319
33.500000	87.027	59.0642
34.000000	87.087	58.2307
34.500000	87.119	57.5128
35.000000	87.142	56.9752
35.500000	87.176	56.5563
36.000000	87.226	56.1440
36.500000	87.285	55.6606
37.000000	87.341	55.0970
37.500000	87.388	54.4993
38.200001	87.445	53.6937
38.700001	87.486	53.1506
39.500000	87.556	52.2912
40.000000	87.597	51.7445
40.599998	87.630	51.1200
41.200001	87.647	50.6870
41.799999	87.680	50.5275
42.500000	87.781	50.3195
43.099998	87.871	49.7268
43.700001	87.896	48.9844
44.400002	87.878	48.4991
45.000000	87.899	48.2905
45.500000	87.937	47.9161
46.200001	87.952	47.1254
46.799999	87.926	46.6255
47.500000	87.930	46.3957
48.200001	88.007	46.0638
48.700001	88.073	45.5597
49.400002	88.117	44.7206
50.000000	88.128	44.2712
50.799999	88.175	43.9235
51.500000	88.203	43.5441
52.200001	88.214	43.5088
53.000000	88.307	43.3206
53.799999	88.292	42.3466
54.500000	88.205	42.3761
55.200001	88.315	42.2123
