* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -7,7 dBFS, measurement signal peak level -7,0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:34:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,2516 ms (-86 mm, -3,4 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,7 ppm
* Measurement: Zero flaco mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.644	103.5004
20.299999	86.727	102.3259
20.600000	86.794	101.4018
20.900000	86.868	100.7397
21.200001	86.968	100.2481
21.400000	87.054	99.9227
21.799999	87.253	99.1415
22.000000	87.357	98.6414
22.400000	87.547	97.4300
22.700001	87.661	96.4326
23.000000	87.751	95.4656
23.299999	87.826	94.5835
23.600000	87.895	93.7892
24.000000	87.986	92.8248
24.299999	88.057	92.1280
24.700001	88.150	91.2121
25.000000	88.219	90.5474
25.400000	88.314	89.7075
25.799999	88.421	88.8873
26.200001	88.541	88.0060
26.500000	88.631	87.2745
26.900000	88.741	86.2325
27.200001	88.811	85.4620
27.600000	88.895	84.5314
28.000000	88.983	83.7308
28.500000	89.112	82.7806
29.000000	89.245	81.7072
29.500000	89.343	80.5602
30.000000	89.398	79.6156
30.400000	89.437	79.1260
30.700001	89.479	78.8763
31.100000	89.562	78.5396
31.500000	89.662	78.0411
32.000000	89.773	77.1159
32.500000	89.833	76.0456
33.000000	89.854	75.1209
33.500000	89.873	74.4272
34.000000	89.923	73.8081
34.500000	89.999	73.0699
35.000000	90.080	72.1741
35.500000	90.150	71.2158
36.000000	90.211	70.3105
36.500000	90.271	69.5276
37.000000	90.339	68.8737
37.500000	90.418	68.2878
38.200001	90.527	67.4696
38.700001	90.582	66.9484
39.500000	90.654	66.4161
40.000000	90.710	66.0999
40.599998	90.765	65.5201
41.200001	90.782	64.8557
41.799999	90.790	64.2294
42.500000	90.813	63.3022
43.099998	90.813	62.3732
43.700001	90.821	61.6744
44.400002	90.918	60.9500
45.000000	91.037	60.0318
45.500000	91.113	59.2708
46.200001	91.209	58.6262
46.799999	91.309	58.3209
47.500000	91.404	58.1041
48.200001	91.472	58.1030
48.700001	91.498	58.0818
49.400002	91.478	58.0691
50.000000	91.454	58.0873
50.799999	91.405	57.3038
51.500000	91.251	56.5220
52.200001	91.251	56.1578
53.000000	91.403	53.5866
53.799999	91.249	51.6132
54.500000	91.530	52.5049
55.200001	92.092	50.1775
56.000000	91.881	48.5055
57.000000	92.629	54.8111
58.000000	92.658	50.0118
59.000000	92.277	71.8591
60.000000	96.363	66.3041
60.799999	95.891	46.7605
61.500000	93.084	42.4169
62.200001	92.086	55.2440
63.000000	92.834	54.2693
64.000000	91.646	50.1401
65.000000	91.794	51.6473
66.000000	91.725	46.5548
67.000000	91.801	46.8996
68.000000	92.138	45.0180
69.000000	92.193	45.2758
70.000000	92.339	45.6930
71.000000	92.319	46.1605
72.000000	92.287	46.3358
73.000000	92.220	45.9805
74.000000	92.150	45.2484
75.000000	92.158	44.6993
76.199997	92.250	43.6508
77.500000	92.348	43.2766
78.800003	92.441	43.1341
80.000000	92.459	43.0956
81.199997	92.431	43.0789
82.500000	92.408	42.6877
83.800003	92.388	42.1470
85.000000	92.411	41.8069
86.199997	92.479	41.5269
87.500000	92.528	41.2333
88.500000	92.538	41.1956
90.000000	92.553	41.0732
91.199997	92.546	40.8947
92.500000	92.562	40.6437
93.800003	92.587	40.2757
95.000000	92.611	39.9706
96.199997	92.610	39.8195
97.500000	92.653	39.7313
98.800003	92.634	39.5112
100.000000	92.668	39.4026
101.500000	92.642	39.2759
103.000000	92.721	39.0205
104.400002	92.696	38.8385
106.000000	92.730	38.6588
107.500000	92.726	38.5361
109.000000	92.743	38.4505
110.599998	92.782	38.4168
112.000000	92.811	38.1600
113.800003	92.819	37.9874
115.000000	92.809	37.7676
117.199997	92.837	37.7194
118.000000	92.855	37.5432
120.599998	92.808	37.1371
122.000000	92.865	37.4969
124.099998	92.882	37.3205
125.000000	92.883	37.2901
126.500000	92.892	37.4156
128.000000	92.908	37.2914
131.500000	92.949	37.0905
132.000000	92.955	36.9979
134.000000	92.932	37.0522
136.000000	92.957	36.9178
138.000000	92.954	36.9681
