* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -10,5 dBFS, measurement signal peak level -7,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:37:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,1042 ms (-36 mm, -1,41 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,7 ppm
* Measurement: Zero flaco mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.392	108.9490
20.299999	83.510	108.0426
20.600000	83.632	107.2164
20.900000	83.763	106.4161
21.200001	83.901	105.5729
21.400000	83.991	104.9647
21.799999	84.156	103.6629
22.000000	84.227	103.0002
22.400000	84.345	101.7518
22.700001	84.422	100.9487
23.000000	84.505	100.2673
23.299999	84.605	99.6318
23.600000	84.721	98.9494
24.000000	84.886	97.8517
24.299999	84.997	96.8838
24.700001	85.111	95.5281
25.000000	85.172	94.5966
25.400000	85.243	93.5882
25.799999	85.333	92.8048
26.200001	85.457	92.0500
26.500000	85.562	91.3959
26.900000	85.695	90.3920
27.200001	85.779	89.6143
27.600000	85.872	88.6721
28.000000	85.960	87.9032
28.500000	86.089	87.0634
29.000000	86.227	86.1318
29.500000	86.337	85.1093
30.000000	86.409	84.2344
30.400000	86.463	83.7394
30.700001	86.516	83.4461
31.100000	86.607	83.0151
31.500000	86.709	82.4143
32.000000	86.817	81.4018
32.500000	86.882	80.3088
33.000000	86.922	79.3835
33.500000	86.979	78.6305
34.000000	87.067	77.8406
34.500000	87.165	76.8820
35.000000	87.249	75.8587
35.500000	87.325	74.9484
36.000000	87.414	74.1617
36.500000	87.515	73.3837
37.000000	87.609	72.5886
37.500000	87.684	71.8837
38.200001	87.781	71.1344
38.700001	87.851	70.6505
39.500000	87.935	69.8273
40.000000	87.968	69.3383
40.599998	88.003	68.7472
41.200001	88.041	68.0296
41.799999	88.074	67.1034
42.500000	88.086	65.8175
43.099998	88.075	64.8446
43.700001	88.098	64.1855
44.400002	88.208	63.4578
45.000000	88.320	62.6826
45.500000	88.401	62.1853
46.200001	88.534	61.8247
46.799999	88.657	61.5201
47.500000	88.750	61.2143
48.200001	88.804	61.0228
48.700001	88.803	60.7804
49.400002	88.725	60.6114
50.000000	88.690	60.6011
50.799999	88.651	59.4259
51.500000	88.481	58.5499
52.200001	88.579	58.3542
53.000000	88.843	54.9302
53.799999	88.569	52.9975
54.500000	88.948	55.2272
55.200001	89.651	52.2395
56.000000	89.120	50.2738
57.000000	90.039	59.1782
58.000000	89.614	49.6881
59.000000	88.585	85.9173
60.000000	94.349	75.0100
60.799999	93.789	49.8273
61.500000	90.354	42.9814
62.200001	89.210	58.9169
63.000000	90.293	56.0322
64.000000	88.814	50.6615
65.000000	89.255	53.0349
66.000000	89.209	46.6903
67.000000	89.307	48.0249
68.000000	89.675	45.8836
69.000000	89.659	46.6371
70.000000	89.817	47.0540
71.000000	89.759	47.4191
72.000000	89.726	47.3509
73.000000	89.652	46.8689
74.000000	89.633	45.9817
75.000000	89.649	45.1823
76.199997	89.754	44.3264
77.500000	89.865	43.9263
78.800003	89.937	43.7763
80.000000	89.924	43.7247
81.199997	89.912	43.5981
82.500000	89.858	42.9963
83.800003	89.892	42.5705
85.000000	89.940	41.8371
86.199997	89.997	41.4332
87.500000	90.011	41.0379
88.500000	90.007	41.2875
90.000000	90.096	41.1984
91.199997	90.118	40.6469
92.500000	90.084	40.1504
93.800003	90.135	40.0331
95.000000	90.142	39.4426
96.199997	90.143	39.5090
97.500000	90.198	39.2631
98.800003	90.204	38.7290
100.000000	90.176	38.7066
101.500000	90.253	38.2618
103.000000	90.222	38.1114
104.400002	90.268	37.8579
106.000000	90.268	37.8849
107.500000	90.307	37.4705
109.000000	90.328	37.4135
110.599998	90.319	37.0376
112.000000	90.368	37.0077
113.800003	90.375	36.7575
115.000000	90.380	36.4133
117.199997	90.406	36.1367
118.000000	90.401	36.3019
120.599998	90.431	35.1255
122.000000	90.451	35.9592
124.099998	90.447	35.6789
125.000000	90.468	35.6834
126.500000	90.491	35.2879
128.000000	90.483	35.3267
131.500000	90.550	34.9703
132.000000	90.562	34.9477
134.000000	90.544	34.8502
136.000000	90.534	34.6578
138.000000	90.534	34.3656
140.000000	90.611	34.2892
143.000000	90.657	34.1793
145.000000	90.597	34.6096
147.500000	90.595	34.3102
150.000000	90.634	33.6322
152.500000	90.710	33.9580
155.000000	90.743	33.8925
157.500000	90.744	33.6507
160.000000	90.703	33.5132
162.500000	90.754	33.3904
165.000000	90.786	33.2141
167.500000	90.742	33.2436
