* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -13,9 dBFS, measurement signal peak level -9,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:42:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0682 ms (-23 mm, -0,92 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,7 ppm
* Measurement: Zero gordo mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.884	84.9957
20.299999	85.159	84.2599
20.600000	85.413	83.0187
20.900000	85.603	81.4129
21.200001	85.706	79.7050
21.400000	85.726	78.6743
21.799999	85.680	77.1129
22.000000	85.636	76.6699
22.400000	85.563	76.4817
22.700001	85.565	76.7542
23.000000	85.631	77.0750
23.299999	85.747	77.1909
23.600000	85.882	76.9950
24.000000	86.045	76.2723
24.299999	86.132	75.5414
24.700001	86.202	74.5520
25.000000	86.236	73.8951
25.400000	86.277	73.1284
25.799999	86.322	72.3986
26.200001	86.364	71.6876
26.500000	86.395	71.2172
26.900000	86.450	70.7113
27.200001	86.515	70.3582
27.600000	86.635	69.7332
28.000000	86.757	68.7665
28.500000	86.835	67.3006
29.000000	86.829	66.3232
29.500000	86.864	66.2032
30.000000	87.058	66.0703
30.400000	87.265	65.1542
30.700001	87.374	63.9424
31.100000	87.390	62.1354
31.500000	87.266	60.8477
32.000000	87.070	60.7521
32.500000	87.052	61.7901
33.000000	87.232	62.3440
33.500000	87.431	61.8241
34.000000	87.534	60.9532
34.500000	87.599	60.3752
35.000000	87.699	59.8289
35.500000	87.790	58.8481
36.000000	87.785	57.7452
36.500000	87.715	57.2760
37.000000	87.728	57.4873
37.500000	87.885	57.3606
38.200001	88.079	55.3190
38.700001	88.002	53.4559
39.500000	87.711	52.8550
