* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -14,6 dBFS, measurement signal peak level -11,1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:39:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0670 ms (-23 mm, -0,91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,6 ppm
* Measurement: Zero gordo mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.414	94.8978
20.299999	86.561	95.0166
20.600000	86.780	94.9656
20.900000	87.047	94.4325
21.200001	87.308	93.2569
21.400000	87.447	92.1835
21.799999	87.612	89.6780
22.000000	87.633	88.4533
22.400000	87.581	86.4887
22.700001	87.513	85.6124
23.000000	87.479	85.1870
23.299999	87.507	84.9159
23.600000	87.587	84.5243
24.000000	87.727	83.5555
24.299999	87.811	82.5427
24.700001	87.869	81.1199
25.000000	87.885	80.2242
25.400000	87.912	79.3587
25.799999	87.985	78.6602
26.200001	88.097	77.8018
26.500000	88.176	76.9895
26.900000	88.245	75.8368
27.200001	88.269	75.1228
27.600000	88.298	74.5633
28.000000	88.381	74.3526
28.500000	88.591	73.9154
29.000000	88.821	72.6489
29.500000	88.930	70.8554
30.000000	88.897	69.5818
30.400000	88.862	69.3942
30.700001	88.894	69.6084
31.100000	89.039	69.7765
31.500000	89.245	69.2937
32.000000	89.441	67.7242
32.500000	89.478	65.9468
33.000000	89.428	64.8988
33.500000	89.434	64.5300
34.000000	89.537	63.9945
34.500000	89.634	62.8466
35.000000	89.635	61.5368
35.500000	89.564	60.7989
36.000000	89.523	60.8266
36.500000	89.582	61.1933
37.000000	89.729	61.3514
37.500000	89.911	61.0661
38.200001	90.132	59.9355
38.700001	90.212	58.8154
39.500000	90.186	57.4266
40.000000	90.157	57.1257
40.599998	90.198	56.8680
41.200001	90.272	55.9724
41.799999	90.261	54.5983
42.500000	90.138	53.4254
43.099998	90.061	53.0697
43.700001	90.060	52.9313
44.400002	90.154	52.8274
45.000000	90.321	52.4890
45.500000	90.456	51.7485
46.200001	90.502	50.7636
46.799999	90.494	51.1773
47.500000	90.716	52.2633
48.200001	91.025	51.6710
48.700001	91.088	50.4856
49.400002	90.945	49.3687
50.000000	90.768	49.3450
50.799999	90.658	49.8102
51.500000	90.695	49.1102
52.200001	90.601	47.1359
53.000000	90.404	46.3428
53.799999	90.692	45.3235
54.500000	90.798	42.0856
55.200001	90.665	42.1602
56.000000	91.407	43.4711
57.000000	91.490	38.5599
58.000000	91.872	51.5493
59.000000	94.849	43.6412
60.000000	93.397	24.6307
60.799999	90.731	33.7149
61.500000	91.579	44.2812
62.200001	92.027	40.5804
63.000000	91.132	39.9796
64.000000	91.251	44.0808
65.000000	91.200	40.9170
66.000000	90.957	42.5411
67.000000	91.597	43.0416
68.000000	91.985	38.8118
69.000000	91.657	36.2262
70.000000	91.420	37.1403
71.000000	91.350	37.9835
72.000000	91.401	38.2828
73.000000	91.382	37.3169
74.000000	91.347	36.6674
75.000000	91.336	35.7977
76.199997	91.405	35.6460
77.500000	91.535	34.7701
78.800003	91.500	34.6398
80.000000	91.544	35.0706
81.199997	91.544	34.4119
82.500000	91.505	34.3404
83.800003	91.529	33.5094
85.000000	91.539	33.4068
86.199997	91.629	33.1052
87.500000	91.650	32.7850
88.500000	91.632	32.7802
90.000000	91.665	32.7816
91.199997	91.662	32.0439
92.500000	91.631	31.4941
93.800003	91.624	31.0852
95.000000	91.681	31.0808
96.199997	91.760	30.7345
97.500000	91.755	30.4669
98.800003	91.766	30.5199
100.000000	91.745	30.2458
101.500000	91.759	30.1728
103.000000	91.741	29.7012
104.400002	91.792	29.6876
106.000000	91.839	29.6158
107.500000	91.869	29.0332
109.000000	91.794	28.9825
110.599998	91.845	29.0562
112.000000	91.854	28.3077
113.800003	91.926	27.7648
115.000000	91.901	28.4328
117.199997	91.890	29.8046
118.000000	92.185	30.0224
120.599998	92.125	30.6432
122.000000	91.963	27.2250
124.099998	91.974	27.3313
125.000000	91.893	27.1086
126.500000	91.949	27.2009
128.000000	91.989	26.9445
131.500000	91.931	26.8328
132.000000	91.939	27.0180
134.000000	91.976	26.5281
136.000000	91.979	26.5369
138.000000	91.999	26.7294
140.000000	92.014	26.2012
143.000000	92.001	25.7154
145.000000	92.015	26.2139
147.500000	92.010	26.7726
150.000000	92.038	25.8315
152.500000	92.376	24.9988
155.000000	92.155	26.1909
157.500000	92.032	25.7484
160.000000	92.115	25.3184
162.500000	92.150	25.0341
165.000000	92.246	25.7438
167.500000	92.124	25.3854
170.000000	92.097	24.2651
172.500000	92.359	22.9167
175.000000	92.221	25.1259
177.500000	92.255	24.6735
180.000000	92.101	25.4929
182.500000	92.190	24.9889
185.000000	92.189	24.9531
187.500000	92.246	24.8977
190.000000	92.182	24.9810
192.500000	92.223	24.3702
195.000000	92.203	24.7812
197.500000	92.259	24.5146
200.000000	92.249	24.6005
203.000000	92.284	24.6105
206.000000	92.197	23.7180
209.000000	92.270	24.2644
212.000000	92.265	24.4211
214.000000	92.317	24.0003
218.000000	92.368	24.1881
220.000000	92.329	24.1930
224.000000	92.358	24.4605
227.000000	92.343	24.2719
230.000000	92.374	24.1853
233.000000	92.347	24.7186
236.000000	92.443	22.8682
240.000000	92.184	23.5898
243.000000	92.391	24.4813
247.000000	92.332	24.5897
250.000000	92.401	24.3347
254.000000	92.407	24.8987
258.000000	92.250	24.8188
262.000000	92.265	24.4772
265.000000	92.294	24.7974
269.000000	92.422	25.6184
272.000000	92.346	25.9701
276.000000	92.370	26.2140
280.000000	92.380	25.5002
285.000000	92.475	25.9737
290.000000	92.438	26.8389
295.000000	92.705	26.2625
300.000000	92.484	25.8427
304.000000	92.536	26.5630
307.000000	92.579	26.9804
311.000000	92.646	26.6962
315.000000	92.670	26.9546
320.000000	92.644	27.1010
325.000000	92.662	27.0531
330.000000	92.705	27.3446
335.000000	92.747	27.2479
340.000000	92.731	27.3706
345.000000	92.747	27.4712
350.000000	92.732	27.8984
355.000000	92.667	26.3353
360.000000	92.754	27.9175
365.000000	92.779	28.2518
370.000000	92.786	28.5469
375.000000	92.840	29.0142
382.000000	92.859	28.8503
387.000000	92.858	29.4357
395.000000	92.970	29.5347
400.000000	92.915	30.1111
406.000000	92.985	29.9100
412.000000	93.013	29.8913
418.000000	93.032	30.1688
425.000000	93.020	30.5856
431.000000	93.103	30.5712
437.000000	93.047	30.9103
444.000000	93.087	30.8084
450.000000	93.122	31.3419
455.000000	93.184	31.2454
462.000000	93.146	31.6395
468.000000	93.218	31.6091
475.000000	93.216	31.5378
482.000000	93.295	32.2560
487.000000	93.288	32.1887
494.000000	93.309	32.7218
500.000000	93.280	32.9492
508.000000	93.332	33.0159
515.000000	93.363	33.1335
522.000000	93.406	33.3076
530.000000	93.418	33.6048
538.000000	93.460	34.2197
545.000000	93.467	34.1015
552.000000	93.527	34.1929
560.000000	93.500	34.5723
570.000000	93.563	35.2125
580.000000	93.541	35.4341
590.000000	93.577	35.7089
600.000000	93.644	35.9027
608.000000	93.644	36.0284
615.000000	93.711	36.7845
622.000000	93.761	36.5963
630.000000	93.768	37.3144
640.000000	93.798	37.2970
650.000000	93.864	38.0419
660.000000	93.843	37.8771
670.000000	93.899	38.7495
680.000000	93.915	38.8640
690.000000	93.887	38.9437
700.000000	93.954	39.5521
710.000000	93.935	40.1245
720.000000	94.011	40.0661
730.000000	94.072	40.5889
740.000000	94.096	41.4203
750.000000	94.122	41.4407
762.000000	94.123	42.1097
775.000000	94.209	42.5931
788.000000	94.262	42.9461
800.000000	94.257	43.4091
812.000000	94.296	43.6626
825.000000	94.293	44.3438
838.000000	94.321	45.1095
850.000000	94.367	45.4402
862.000000	94.407	45.8482
875.000000	94.412	46.7083
885.000000	94.457	47.0770
900.000000	94.456	48.1800
912.000000	94.504	48.7444
925.000000	94.550	49.4220
938.000000	94.609	50.4925
950.000000	94.628	51.1916
962.000000	94.702	52.1814
975.000000	94.771	53.4361
988.000000	94.866	54.4160
1000.000000	95.010	54.7103
1015.000000	95.079	56.2778
1030.000000	95.174	57.5047
1044.000000	95.317	58.4083
1060.000000	95.552	59.5797
1075.000000	95.736	60.5706
1090.000000	96.015	61.5832
1106.000000	96.253	61.7076
1120.000000	96.523	62.1381
1138.000000	96.810	62.1082
1150.000000	96.978	62.0667
1172.000000	97.264	61.5688
1180.000000	97.336	61.6131
1206.000000	97.582	61.0499
1220.000000	97.678	60.6398
1241.000000	97.844	60.2813
1250.000000	97.914	60.1400
1265.000000	98.005	59.7932
1280.000000	98.094	59.7495
1315.000000	98.235	59.3038
1320.000000	98.262	59.2572
1340.000000	98.341	59.2562
1360.000000	98.418	59.0551
1380.000000	98.484	59.1791
1400.000000	98.588	59.1630
1430.000000	98.691	59.3217
1450.000000	98.785	59.4788
1475.000000	98.879	59.5602
1500.000000	98.971	59.8566
1525.000000	99.092	60.1237
1550.000000	99.203	60.1560
1575.000000	99.301	60.4005
1600.000000	99.417	60.6732
1625.000000	99.521	60.8653
1650.000000	99.627	61.0865
1675.000000	99.758	61.5520
1700.000000	99.857	61.7283
1725.000000	99.993	61.9901
1750.000000	100.099	62.2253
1775.000000	100.226	62.4586
1800.000000	100.351	62.6934
1825.000000	100.481	62.9148
1850.000000	100.630	63.1139
1875.000000	100.768	63.3885
1900.000000	100.900	63.5844
1925.000000	101.037	63.7302
1950.000000	101.189	63.9005
1975.000000	101.316	64.0655
2000.000000	101.473	64.1903
2030.000000	101.648	64.3392
2060.000000	101.836	64.4785
2090.000000	102.042	64.5001
2120.000000	102.239	64.5477
2140.000000	102.380	64.4791
2180.000000	102.630	64.5137
2200.000000	102.782	64.2688
2240.000000	103.059	63.9868
2270.000000	103.290	63.7860
2300.000000	103.496	63.5140
2330.000000	103.709	63.1802
2360.000000	103.933	62.7292
2400.000000	104.228	62.0071
2430.000000	104.451	61.3769
2470.000000	104.745	60.3637
2500.000000	104.956	59.4050
2540.000000	105.238	58.0912
2580.000000	105.513	56.6275
2620.000000	105.766	54.8867
2650.000000	105.951	53.4720
2690.000000	106.174	51.5156
2720.000000	106.323	49.8309
2760.000000	106.500	47.6657
2800.000000	106.638	45.2171
2850.000000	106.763	42.0253
2900.000000	106.812	38.7897
2950.000000	106.808	35.5258
3000.000000	106.732	32.3590
3040.000000	106.638	29.8796
3070.000000	106.516	28.1864
3110.000000	106.346	25.9905
3150.000000	106.140	23.9958
3200.000000	105.849	21.7988
3250.000000	105.531	20.2708
3300.000000	105.284	18.9039
3350.000000	105.028	17.3237
3400.000000	104.718	15.9807
3450.000000	104.373	14.9107
3500.000000	104.029	14.2319
3550.000000	103.696	13.9196
3600.000000	103.372	13.7429
3650.000000	103.052	14.0992
3700.000000	102.807	14.6747
3750.000000	102.614	14.9895
