* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 486, L 487, L 488, L 489, L 490, L 491
* Dated: 16/08/2024 01:46:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 486, L 487, L 488, L 489, L 490, L 491
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.305
20.299999	68.475
20.600000	68.587
20.900000	68.669
21.200001	68.766
21.400000	68.863
21.799999	69.143
22.000000	69.313
22.400000	69.655
22.700001	69.865
23.000000	70.023
23.299999	70.140
23.600000	70.249
24.000000	70.432
24.299999	70.610
24.700001	70.879
25.000000	71.075
25.400000	71.302
25.799999	71.493
26.200001	71.670
26.500000	71.804
26.900000	71.993
27.200001	72.142
27.600000	72.359
28.000000	72.605
28.500000	72.944
29.000000	73.256
29.500000	73.473
30.000000	73.608
30.400000	73.721
30.700001	73.846
31.100000	74.082
31.500000	74.365
32.000000	74.698
32.500000	74.944
33.000000	75.111
33.500000	75.248
34.000000	75.400
34.500000	75.582
35.000000	75.792
35.500000	76.026
36.000000	76.278
36.500000	76.535
37.000000	76.773
37.500000	76.972
38.200001	77.181
38.700001	77.310
39.500000	77.550
40.000000	77.731
40.599998	77.979
41.200001	78.251
41.799999	78.495
42.500000	78.676
43.099998	78.804
43.700001	79.017
44.400002	79.337
45.000000	79.547
45.500000	79.674
46.200001	79.875
46.799999	80.084
47.500000	80.301
48.200001	80.509
48.700001	80.673
49.400002	80.882
50.000000	81.028
50.799999	81.263
51.500000	81.499
52.200001	81.696
53.000000	81.902
53.799999	82.103
54.500000	82.260
55.200001	82.448
56.000000	82.682
57.000000	82.899
58.000000	83.144
59.000000	83.368
60.000000	83.576
60.799999	83.809
61.500000	84.002
62.200001	84.164
63.000000	84.331
64.000000	84.557
65.000000	84.814
66.000000	84.995
67.000000	85.187
68.000000	85.412
69.000000	85.588
70.000000	85.792
71.000000	85.953
72.000000	86.149
73.000000	86.363
74.000000	86.524
75.000000	86.697
76.199997	86.919
77.500000	87.161
78.800003	87.387
80.000000	87.567
81.199997	87.761
82.500000	87.941
83.800003	88.162
85.000000	88.333
86.199997	88.486
87.500000	88.689
88.500000	88.828
90.000000	88.980
91.199997	89.160
92.500000	89.337
93.800003	89.516
95.000000	89.659
96.199997	89.805
97.500000	89.957
98.800003	90.116
100.000000	90.239
101.500000	90.404
103.000000	90.570
104.400002	90.716
106.000000	90.869
107.500000	91.020
109.000000	91.160
110.599998	91.305
112.000000	91.435
113.800003	91.600
115.000000	91.693
117.199997	91.876
118.000000	91.942
120.599998	92.127
122.000000	92.237
124.099998	92.389
125.000000	92.457
126.500000	92.549
128.000000	92.654
131.500000	92.878
132.000000	92.906
134.000000	93.033
136.000000	93.133
138.000000	93.245
140.000000	93.363
143.000000	93.515
145.000000	93.617
147.500000	93.725
150.000000	93.836
152.500000	93.955
155.000000	94.049
157.500000	94.158
160.000000	94.247
162.500000	94.316
165.000000	94.413
167.500000	94.472
170.000000	94.543
172.500000	94.604
175.000000	94.672
177.500000	94.704
180.000000	94.782
182.500000	94.852
185.000000	94.895
187.500000	94.943
190.000000	94.991
192.500000	95.048
195.000000	95.080
197.500000	95.133
200.000000	95.174
203.000000	95.233
206.000000	95.292
209.000000	95.355
212.000000	95.417
214.000000	95.447
218.000000	95.526
220.000000	95.555
224.000000	95.618
227.000000	95.670
230.000000	95.711
233.000000	95.745
236.000000	95.782
240.000000	95.844
243.000000	95.872
247.000000	95.915
250.000000	95.960
254.000000	95.991
258.000000	96.045
262.000000	96.068
265.000000	96.104
269.000000	96.126
272.000000	96.166
276.000000	96.207
280.000000	96.286
285.000000	96.468
290.000000	96.777
295.000000	96.764
300.000000	96.556
304.000000	96.463
307.000000	96.417
311.000000	96.372
315.000000	96.350
320.000000	96.316
325.000000	96.286
330.000000	96.275
335.000000	96.227
340.000000	96.189
345.000000	96.138
350.000000	96.098
355.000000	96.013
360.000000	95.933
365.000000	95.834
370.000000	95.736
375.000000	95.653
382.000000	95.646
387.000000	95.902
395.000000	96.776
400.000000	97.398
406.000000	97.968
412.000000	98.306
418.000000	98.491
425.000000	98.585
431.000000	98.630
437.000000	98.654
444.000000	98.666
450.000000	98.687
455.000000	98.683
462.000000	98.706
468.000000	98.720
475.000000	98.740
482.000000	98.766
487.000000	98.791
494.000000	98.809
500.000000	98.830
508.000000	98.864
515.000000	98.902
522.000000	98.935
530.000000	98.972
538.000000	99.015
545.000000	99.051
552.000000	99.092
560.000000	99.142
570.000000	99.199
580.000000	99.253
590.000000	99.307
600.000000	99.375
608.000000	99.418
615.000000	99.460
622.000000	99.496
630.000000	99.547
640.000000	99.595
650.000000	99.664
660.000000	99.708
670.000000	99.762
680.000000	99.812
690.000000	99.857
700.000000	99.902
710.000000	99.955
720.000000	100.000
730.000000	100.039
740.000000	100.094
750.000000	100.141
762.000000	100.191
775.000000	100.249
788.000000	100.311
800.000000	100.375
812.000000	100.421
825.000000	100.483
838.000000	100.533
850.000000	100.586
862.000000	100.638
875.000000	100.700
885.000000	100.737
900.000000	100.800
912.000000	100.849
925.000000	100.911
938.000000	100.957
950.000000	101.015
962.000000	101.062
975.000000	101.113
988.000000	101.174
1000.000000	101.234
1015.000000	101.297
1030.000000	101.367
1044.000000	101.437
1060.000000	101.519
1075.000000	101.593
1090.000000	101.679
1106.000000	101.776
1120.000000	101.867
1138.000000	101.987
1150.000000	102.072
1172.000000	102.235
1180.000000	102.296
1206.000000	102.498
1220.000000	102.614
1241.000000	102.793
1250.000000	102.870
1265.000000	103.009
1280.000000	103.159
1315.000000	103.501
1320.000000	103.548
1340.000000	103.745
1360.000000	103.945
1380.000000	104.147
1400.000000	104.330
1430.000000	104.627
1450.000000	104.822
1475.000000	105.039
1500.000000	105.228
1525.000000	105.407
1550.000000	105.559
1575.000000	105.666
1600.000000	105.759
1625.000000	105.835
1650.000000	105.859
1675.000000	105.895
1700.000000	105.880
1725.000000	105.797
1750.000000	105.809
1775.000000	105.746
1800.000000	105.634
1825.000000	105.582
1850.000000	105.487
1875.000000	105.376
1900.000000	105.303
1925.000000	105.167
1950.000000	105.010
1975.000000	104.885
2000.000000	104.727
2030.000000	104.506
2060.000000	104.325
2090.000000	104.045
2120.000000	103.820
2140.000000	103.657
2180.000000	103.338
2200.000000	103.195
2240.000000	102.895
2270.000000	102.648
2300.000000	102.401
2330.000000	102.255
2360.000000	102.043
2400.000000	101.652
2430.000000	100.289
2470.000000	99.543
2500.000000	100.263
2540.000000	100.519
2580.000000	100.576
2620.000000	100.609
2650.000000	100.586
2690.000000	100.587
2720.000000	100.609
2760.000000	100.613
2800.000000	100.653
2850.000000	100.665
2900.000000	100.727
2950.000000	100.824
3000.000000	100.866
3040.000000	100.944
3070.000000	100.989
3110.000000	101.061
3150.000000	101.103
3200.000000	101.117
3250.000000	101.145
3300.000000	101.141
3350.000000	101.124
3400.000000	101.121
3450.000000	101.098
3500.000000	101.048
3550.000000	101.022
3600.000000	100.954
3650.000000	100.929
3700.000000	100.853
3750.000000	100.805
3820.000000	100.699
3870.000000	100.678
3950.000000	100.726
4000.000000	100.827
4060.000000	100.879
4120.000000	100.902
4180.000000	100.986
4250.000000	101.091
4310.000000	101.223
4370.000000	101.298
4440.000000	101.392
4500.000000	101.543
4550.000000	101.745
4620.000000	102.070
4680.000000	102.386
4750.000000	102.813
4820.000000	103.235
4870.000000	103.597
4940.000000	104.125
5000.000000	104.530
5080.000000	105.064
5150.000000	105.460
5220.000000	105.726
5300.000000	105.885
5380.000000	105.798
5450.000000	105.542
5520.000000	105.132
5600.000000	104.467
5700.000000	103.437
5800.000000	102.271
5900.000000	101.028
6000.000000	99.855
6080.000000	98.941
6150.000000	98.178
6220.000000	97.485
6300.000000	96.944
6400.000000	96.263
6500.000000	95.526
6600.000000	95.061
6700.000000	94.624
6800.000000	94.192
6900.000000	93.624
7000.000000	92.881
7100.000000	92.018
7200.000000	91.549
7300.000000	91.352
7400.000000	91.213
7500.000000	91.135
7620.000000	90.926
7750.000000	90.769
7880.000000	90.553
8000.000000	90.344
8120.000000	90.137
8250.000000	89.848
8380.000000	89.592
8500.000000	89.421
8620.000000	89.305
8750.000000	89.327
8850.000000	89.403
9000.000000	89.677
9120.000000	90.105
9250.000000	90.680
9380.000000	91.535
9500.000000	92.400
9620.000000	93.330
9750.000000	94.201
9880.000000	92.898
10000.000000	86.316
10150.000000	88.115
10300.000000	89.181
10440.000000	89.437
10600.000000	89.566
10750.000000	89.950
10900.000000	90.405
11060.000000	90.991
11200.000000	91.692
11380.000000	93.074
11500.000000	93.568
11720.000000	93.030
11800.000000	92.541
12060.000000	91.325
12200.000000	90.962
12410.000000	90.699
12500.000000	90.639
12650.000000	90.658
12800.000000	90.775
13150.000000	90.900
13200.000000	90.916
13400.000000	90.937
13600.000000	91.040
13800.000000	91.174
14000.000000	90.910
14300.000000	88.537
14500.000000	85.424
14750.000000	81.525
15000.000000	79.650
15250.000000	78.786
15500.000000	78.555
15750.000000	78.476
16000.000000	78.808
16250.000000	78.994
16500.000000	78.825
16750.000000	78.318
17000.000000	78.222
17250.000000	78.738
17500.000000	79.656
17750.000000	79.987
18000.000000	80.302
18250.000000	80.492
18500.000000	80.608
18750.000000	80.762
19000.000000	81.100
19250.000000	81.627
19500.000000	82.284
19750.000000	81.819
20000.000000	80.584
