* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 481, R 482, R 484, R 485
* Dated: 16/08/2024 01:45:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 481, R 482, R 484, R 485
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.372
20.299999	65.210
20.600000	65.054
20.900000	65.046
21.200001	65.269
21.400000	65.528
21.799999	66.133
22.000000	66.410
22.400000	66.841
22.700001	67.058
23.000000	67.234
23.299999	67.420
23.600000	67.645
24.000000	67.984
24.299999	68.221
24.700001	68.470
25.000000	68.617
25.400000	68.815
25.799999	69.078
26.200001	69.400
26.500000	69.639
26.900000	69.902
27.200001	70.045
27.600000	70.191
28.000000	70.341
28.500000	70.593
29.000000	70.889
29.500000	71.157
30.000000	71.379
30.400000	71.567
30.700001	71.743
31.100000	72.034
31.500000	72.354
32.000000	72.694
32.500000	72.886
33.000000	72.959
33.500000	73.056
34.000000	73.305
34.500000	73.676
35.000000	74.032
35.500000	74.287
36.000000	74.465
36.500000	74.640
37.000000	74.844
37.500000	75.048
38.200001	75.267
38.700001	75.409
39.500000	75.757
40.000000	76.023
40.599998	76.275
41.200001	76.459
41.799999	76.707
42.500000	77.096
43.099998	77.336
43.700001	77.439
44.400002	77.599
45.000000	77.854
45.500000	78.073
46.200001	78.333
46.799999	78.567
47.500000	78.848
48.200001	79.063
48.700001	79.193
49.400002	79.388
50.000000	79.562
50.799999	79.820
51.500000	80.082
52.200001	80.319
53.000000	80.568
53.799999	80.842
54.500000	81.030
55.200001	81.170
56.000000	81.381
57.000000	81.728
58.000000	82.030
59.000000	82.265
60.000000	82.568
60.799999	82.756
61.500000	82.876
62.200001	83.077
63.000000	83.347
64.000000	83.553
65.000000	83.825
66.000000	84.136
67.000000	84.352
68.000000	84.572
69.000000	84.791
70.000000	85.039
71.000000	85.309
72.000000	85.504
73.000000	85.700
74.000000	85.939
75.000000	86.140
76.199997	86.393
77.500000	86.650
78.800003	86.917
80.000000	87.154
81.199997	87.398
82.500000	87.641
83.800003	87.881
85.000000	88.105
86.199997	88.310
87.500000	88.523
88.500000	88.691
90.000000	88.959
91.199997	89.119
92.500000	89.344
93.800003	89.563
95.000000	89.740
96.199997	89.894
97.500000	90.108
98.800003	90.277
100.000000	90.430
101.500000	90.640
103.000000	90.849
104.400002	91.004
106.000000	91.195
107.500000	91.367
109.000000	91.574
110.599998	91.732
112.000000	91.891
113.800003	92.059
115.000000	92.178
117.199997	92.371
118.000000	92.462
120.599998	92.700
122.000000	92.812
124.099998	92.990
125.000000	93.067
126.500000	93.168
128.000000	93.294
131.500000	93.535
132.000000	93.569
134.000000	93.702
136.000000	93.831
138.000000	93.930
140.000000	94.058
143.000000	94.215
145.000000	94.321
147.500000	94.434
150.000000	94.541
152.500000	94.648
155.000000	94.738
157.500000	94.823
160.000000	94.914
162.500000	94.921
165.000000	95.049
167.500000	95.098
170.000000	95.161
172.500000	95.225
175.000000	95.268
177.500000	95.317
180.000000	95.376
182.500000	95.399
185.000000	95.429
187.500000	95.474
190.000000	95.503
192.500000	95.533
195.000000	95.564
197.500000	95.595
200.000000	95.616
203.000000	95.657
206.000000	95.704
209.000000	95.732
212.000000	95.771
214.000000	95.790
218.000000	95.867
220.000000	95.885
224.000000	95.923
227.000000	95.951
230.000000	95.980
233.000000	96.015
236.000000	96.053
240.000000	96.092
243.000000	96.111
247.000000	96.159
250.000000	96.176
254.000000	96.210
258.000000	96.246
262.000000	96.281
265.000000	96.303
269.000000	96.346
272.000000	96.388
276.000000	96.450
280.000000	96.499
285.000000	96.536
290.000000	96.309
295.000000	95.437
300.000000	95.204
304.000000	95.440
307.000000	95.619
311.000000	95.775
315.000000	95.894
320.000000	96.003
325.000000	96.074
330.000000	96.127
335.000000	96.186
340.000000	96.232
345.000000	96.247
350.000000	96.282
355.000000	96.311
360.000000	96.309
365.000000	96.309
370.000000	96.280
375.000000	96.187
382.000000	95.855
387.000000	95.484
395.000000	95.142
400.000000	95.203
406.000000	95.414
412.000000	95.607
418.000000	95.782
425.000000	95.963
431.000000	96.082
437.000000	96.181
444.000000	96.294
450.000000	96.377
