* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 472, L 473, L 474, L 475
* Dated: 16/08/2024 01:44:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 472, L 473, L 474, L 475
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.974
20.299999	66.625
20.600000	67.120
20.900000	67.370
21.200001	67.350
21.400000	67.195
21.799999	66.659
22.000000	66.364
22.400000	65.936
22.700001	65.900
23.000000	66.081
23.299999	66.352
23.600000	66.584
24.000000	66.741
24.299999	66.782
24.700001	66.867
25.000000	67.019
25.400000	67.315
25.799999	67.568
26.200001	67.661
26.500000	67.632
26.900000	67.584
27.200001	67.629
27.600000	67.824
28.000000	68.058
28.500000	68.172
29.000000	68.086
29.500000	68.099
30.000000	68.410
30.400000	68.717
30.700001	68.861
31.100000	68.906
31.500000	68.949
32.000000	69.392
32.500000	70.221
33.000000	70.731
33.500000	70.397
34.000000	69.458
34.500000	69.377
35.000000	70.864
35.500000	72.366
36.000000	73.004
36.500000	72.877
37.000000	72.460
37.500000	72.132
38.200001	71.657
38.700001	71.209
39.500000	71.110
40.000000	71.461
40.599998	71.707
41.200001	71.623
41.799999	71.486
42.500000	71.591
43.099998	71.847
43.700001	72.077
44.400002	72.231
45.000000	72.351
45.500000	72.507
46.200001	72.737
46.799999	72.828
47.500000	72.859
48.200001	72.965
48.700001	73.076
49.400002	73.198
50.000000	73.281
50.799999	73.395
51.500000	73.463
52.200001	73.549
53.000000	73.761
53.799999	73.971
54.500000	74.124
55.200001	74.313
56.000000	74.418
57.000000	74.476
58.000000	74.861
59.000000	74.762
60.000000	74.609
60.799999	74.906
61.500000	75.080
62.200001	75.160
63.000000	75.276
64.000000	75.345
65.000000	75.458
66.000000	75.528
67.000000	75.598
68.000000	75.786
69.000000	75.893
70.000000	76.150
71.000000	76.376
72.000000	76.414
73.000000	76.490
74.000000	76.483
75.000000	76.591
76.199997	77.009
77.500000	76.581
78.800003	76.940
80.000000	77.151
81.199997	77.343
82.500000	77.448
83.800003	77.432
85.000000	77.410
86.199997	77.657
87.500000	77.721
88.500000	77.686
90.000000	77.922
91.199997	78.055
92.500000	78.215
93.800003	78.307
95.000000	78.457
96.199997	78.551
97.500000	78.669
98.800003	78.755
100.000000	78.849
101.500000	78.941
103.000000	79.138
104.400002	79.191
106.000000	79.255
107.500000	79.352
109.000000	79.460
110.599998	79.600
112.000000	79.654
113.800003	79.786
115.000000	79.888
117.199997	80.025
118.000000	80.058
120.599998	80.222
122.000000	80.372
124.099998	80.433
125.000000	80.579
126.500000	80.563
128.000000	80.744
131.500000	80.898
132.000000	80.930
134.000000	81.031
136.000000	81.125
138.000000	81.305
140.000000	81.411
143.000000	81.547
145.000000	81.692
147.500000	81.743
150.000000	81.912
152.500000	82.053
155.000000	82.154
157.500000	82.254
160.000000	82.308
162.500000	82.607
165.000000	82.251
167.500000	82.860
170.000000	82.867
172.500000	82.908
175.000000	82.928
177.500000	83.068
180.000000	83.205
182.500000	83.305
185.000000	83.386
187.500000	83.501
190.000000	83.543
192.500000	83.614
195.000000	83.734
197.500000	83.764
200.000000	83.867
203.000000	83.976
206.000000	84.113
209.000000	84.177
212.000000	84.257
214.000000	84.326
218.000000	84.518
220.000000	84.580
224.000000	84.676
227.000000	84.797
230.000000	84.877
233.000000	84.949
236.000000	85.029
240.000000	85.151
243.000000	85.225
247.000000	85.344
250.000000	85.435
254.000000	85.487
258.000000	85.611
262.000000	85.693
265.000000	85.758
269.000000	85.845
272.000000	85.914
276.000000	86.000
280.000000	86.106
285.000000	86.217
290.000000	86.363
295.000000	86.458
300.000000	86.530
304.000000	86.671
307.000000	86.698
311.000000	86.835
315.000000	86.907
320.000000	87.038
325.000000	87.201
330.000000	87.264
335.000000	87.376
340.000000	87.502
345.000000	87.637
350.000000	87.710
355.000000	87.830
360.000000	87.943
365.000000	88.057
370.000000	88.161
375.000000	88.258
382.000000	88.430
387.000000	88.517
395.000000	88.675
400.000000	88.787
406.000000	88.913
412.000000	89.052
418.000000	89.183
425.000000	89.347
431.000000	89.482
437.000000	89.627
444.000000	89.762
450.000000	89.789
455.000000	89.770
462.000000	89.762
468.000000	89.792
475.000000	89.878
482.000000	89.997
487.000000	90.061
494.000000	90.179
500.000000	90.269
508.000000	90.395
515.000000	90.499
522.000000	90.601
530.000000	90.722
538.000000	90.818
545.000000	90.912
552.000000	91.016
560.000000	91.123
570.000000	91.231
580.000000	91.353
590.000000	91.465
600.000000	91.562
608.000000	91.647
615.000000	91.720
622.000000	91.815
630.000000	91.899
640.000000	92.004
650.000000	92.117
660.000000	92.263
670.000000	92.380
680.000000	92.502
690.000000	92.610
700.000000	92.718
710.000000	92.822
720.000000	92.910
730.000000	93.013
740.000000	93.131
750.000000	93.244
762.000000	93.343
775.000000	93.482
788.000000	93.611
800.000000	93.737
812.000000	93.855
825.000000	93.973
838.000000	94.093
850.000000	94.198
862.000000	94.319
875.000000	94.433
885.000000	94.517
900.000000	94.672
912.000000	94.778
925.000000	94.882
938.000000	94.984
950.000000	95.097
962.000000	95.209
975.000000	95.306
988.000000	95.408
1000.000000	95.505
1015.000000	95.649
1030.000000	95.773
1044.000000	95.906
1060.000000	96.049
1075.000000	96.162
1090.000000	96.314
1106.000000	96.448
1120.000000	96.563
1138.000000	96.738
1150.000000	96.856
1172.000000	97.064
1180.000000	97.149
1206.000000	97.416
1220.000000	97.560
1241.000000	97.764
1250.000000	97.859
1265.000000	98.047
1280.000000	98.216
1315.000000	98.645
1320.000000	98.704
1340.000000	98.947
1360.000000	99.194
1380.000000	99.448
1400.000000	99.695
1430.000000	100.080
1450.000000	100.361
1475.000000	100.686
1500.000000	101.012
1525.000000	101.350
1550.000000	101.701
1575.000000	101.995
1600.000000	102.319
1625.000000	102.665
1650.000000	102.952
1675.000000	103.255
1700.000000	103.556
1725.000000	103.811
1750.000000	104.092
1775.000000	104.386
1800.000000	104.585
1825.000000	104.821
1850.000000	105.042
1875.000000	105.223
1900.000000	105.423
1925.000000	105.611
1950.000000	105.731
1975.000000	105.897
2000.000000	105.993
2030.000000	106.096
2060.000000	106.193
2090.000000	106.226
2120.000000	106.258
2140.000000	106.254
2180.000000	106.245
2200.000000	106.220
2240.000000	106.165
2270.000000	106.097
2300.000000	106.007
2330.000000	105.894
2360.000000	105.797
2400.000000	105.637
2430.000000	105.509
2470.000000	105.344
2500.000000	105.227
2540.000000	105.046
2580.000000	104.871
2620.000000	104.686
2650.000000	104.546
2690.000000	104.356
2720.000000	104.225
2760.000000	104.031
2800.000000	103.846
2850.000000	103.603
2900.000000	103.364
2950.000000	103.129
3000.000000	102.896
3040.000000	102.712
3070.000000	102.571
3110.000000	102.383
3150.000000	102.198
3200.000000	101.924
3250.000000	101.646
3300.000000	101.388
3350.000000	101.289
3400.000000	101.361
3450.000000	101.265
3500.000000	101.200
3550.000000	101.048
3600.000000	100.867
3650.000000	100.713
3700.000000	100.567
3750.000000	100.457
3820.000000	100.306
3870.000000	100.245
3950.000000	100.126
4000.000000	100.097
4060.000000	100.109
4120.000000	100.101
4180.000000	100.133
4250.000000	100.215
4310.000000	100.299
4370.000000	100.413
4440.000000	100.557
4500.000000	100.706
4550.000000	100.877
4620.000000	101.122
4680.000000	101.337
4750.000000	101.696
4820.000000	102.005
4870.000000	102.316
4940.000000	102.794
5000.000000	103.103
5080.000000	103.629
5150.000000	104.046
5220.000000	104.433
5300.000000	104.857
5380.000000	105.093
5450.000000	105.223
5520.000000	105.211
5600.000000	105.028
5700.000000	104.557
5800.000000	103.892
5900.000000	103.118
6000.000000	102.375
6080.000000	101.833
6150.000000	101.393
6220.000000	100.926
6300.000000	100.645
6400.000000	100.208
6500.000000	99.909
6600.000000	99.650
6700.000000	99.439
6800.000000	99.184
6900.000000	98.995
7000.000000	98.842
7100.000000	98.606
7200.000000	98.469
7300.000000	98.293
7400.000000	98.092
7500.000000	97.874
7620.000000	97.607
7750.000000	97.366
7880.000000	97.089
8000.000000	96.910
8120.000000	96.695
8250.000000	96.556
8380.000000	96.469
8500.000000	96.468
8620.000000	96.525
8750.000000	96.644
8850.000000	96.759
9000.000000	96.877
9120.000000	97.035
9250.000000	97.373
9380.000000	98.063
9500.000000	98.721
9620.000000	99.339
9750.000000	99.668
9880.000000	99.656
10000.000000	99.322
10150.000000	98.423
10300.000000	96.943
10440.000000	94.970
10600.000000	92.107
10750.000000	90.635
10900.000000	92.604
11060.000000	93.863
11200.000000	93.771
11380.000000	93.324
11500.000000	93.135
11720.000000	93.007
11800.000000	93.000
12060.000000	93.466
12200.000000	93.824
12410.000000	94.462
12500.000000	94.769
12650.000000	95.356
12800.000000	96.118
13150.000000	98.278
13200.000000	98.567
13400.000000	98.952
13600.000000	98.009
13800.000000	96.033
14000.000000	93.411
14300.000000	89.645
14500.000000	87.535
14750.000000	85.349
15000.000000	83.474
15250.000000	81.952
15500.000000	80.656
15750.000000	80.088
16000.000000	79.820
16250.000000	79.283
16500.000000	78.760
16750.000000	78.169
17000.000000	77.515
17250.000000	77.792
17500.000000	78.821
17750.000000	79.217
18000.000000	79.477
18250.000000	79.908
18500.000000	79.599
18750.000000	78.830
19000.000000	78.074
19250.000000	77.172
19500.000000	75.590
19750.000000	73.913
20000.000000	71.689
