* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 476, R 477, R 478, R 479, R 480
* Dated: 16/08/2024 01:44:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 476, R 477, R 478, R 479, R 480
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	64.392
20.299999	64.686
20.600000	64.849
20.900000	64.841
21.200001	64.677
21.400000	64.520
21.799999	64.285
22.000000	64.291
22.400000	64.606
22.700001	65.016
23.000000	65.430
23.299999	65.747
23.600000	65.928
24.000000	66.010
24.299999	66.044
24.700001	66.179
25.000000	66.368
25.400000	66.669
25.799999	66.910
26.200001	67.044
26.500000	67.104
26.900000	67.200
27.200001	67.308
27.600000	67.472
28.000000	67.593
28.500000	67.629
29.000000	67.650
29.500000	67.839
30.000000	68.200
30.400000	68.486
30.700001	68.637
31.100000	68.728
31.500000	68.730
32.000000	68.723
32.500000	68.808
33.000000	68.985
33.500000	69.195
34.000000	69.395
34.500000	69.568
35.000000	69.684
35.500000	69.732
36.000000	69.782
36.500000	69.938
37.000000	70.172
37.500000	70.329
38.200001	70.313
38.700001	70.330
39.500000	70.759
40.000000	71.108
40.599998	71.346
41.200001	71.359
41.799999	71.365
42.500000	71.601
43.099998	71.906
43.700001	72.319
44.400002	72.677
45.000000	72.429
45.500000	72.881
46.200001	75.898
46.799999	78.066
47.500000	78.395
48.200001	76.812
48.700001	75.830
49.400002	75.858
50.000000	75.453
50.799999	73.632
51.500000	73.109
52.200001	73.505
53.000000	73.456
53.799999	73.540
54.500000	73.812
55.200001	73.910
56.000000	74.006
57.000000	74.198
58.000000	74.306
59.000000	74.494
60.000000	74.627
60.799999	74.667
61.500000	74.685
62.200001	74.784
63.000000	74.934
64.000000	75.037
65.000000	75.255
66.000000	75.353
67.000000	75.365
68.000000	75.580
69.000000	75.686
70.000000	75.842
71.000000	75.873
72.000000	75.927
73.000000	76.184
74.000000	76.147
75.000000	76.264
76.199997	76.489
77.500000	76.524
78.800003	76.714
80.000000	76.792
81.199997	76.990
82.500000	77.192
83.800003	77.233
85.000000	77.334
86.199997	77.423
87.500000	77.537
88.500000	77.631
90.000000	77.769
91.199997	77.759
92.500000	77.938
93.800003	78.090
95.000000	78.234
96.199997	78.289
97.500000	78.347
98.800003	78.476
100.000000	78.524
101.500000	78.708
103.000000	78.727
104.400002	78.851
106.000000	78.972
107.500000	79.121
109.000000	79.159
110.599998	79.329
112.000000	79.333
113.800003	79.542
115.000000	79.647
117.199997	79.700
118.000000	79.789
120.599998	79.971
122.000000	80.051
124.099998	80.263
125.000000	80.250
126.500000	80.313
128.000000	80.400
131.500000	80.630
132.000000	80.656
134.000000	80.753
136.000000	80.888
138.000000	81.027
140.000000	81.087
143.000000	81.275
145.000000	81.316
147.500000	81.449
150.000000	81.576
152.500000	81.722
155.000000	81.807
157.500000	81.916
160.000000	82.112
162.500000	82.375
165.000000	82.074
167.500000	82.423
170.000000	82.488
172.500000	82.535
175.000000	82.639
177.500000	82.687
180.000000	82.835
182.500000	82.959
185.000000	83.039
187.500000	83.101
190.000000	83.204
192.500000	83.280
195.000000	83.315
197.500000	83.409
200.000000	83.514
203.000000	83.644
206.000000	83.752
209.000000	83.869
212.000000	84.050
214.000000	84.041
218.000000	84.170
220.000000	84.237
224.000000	84.340
227.000000	84.440
230.000000	84.522
233.000000	84.623
236.000000	84.703
240.000000	84.821
243.000000	84.898
247.000000	85.010
250.000000	85.124
254.000000	85.207
258.000000	85.295
262.000000	85.384
265.000000	85.414
269.000000	85.530
272.000000	85.571
276.000000	85.701
280.000000	85.775
285.000000	85.888
290.000000	85.956
295.000000	86.088
300.000000	86.174
304.000000	86.289
307.000000	86.354
311.000000	86.429
315.000000	86.512
320.000000	86.631
325.000000	86.749
330.000000	86.886
335.000000	86.958
340.000000	87.120
345.000000	87.206
350.000000	87.339
355.000000	87.423
360.000000	87.549
365.000000	87.661
370.000000	87.754
375.000000	87.911
382.000000	88.059
387.000000	88.155
395.000000	88.324
400.000000	88.422
406.000000	88.525
412.000000	88.545
418.000000	88.467
425.000000	88.106
431.000000	87.697
437.000000	87.466
444.000000	87.595
450.000000	87.814
455.000000	88.081
462.000000	88.306
468.000000	88.510
475.000000	88.684
482.000000	88.875
487.000000	88.997
494.000000	89.154
500.000000	89.269
508.000000	89.423
515.000000	89.527
522.000000	89.628
530.000000	89.774
538.000000	89.872
545.000000	90.007
552.000000	90.048
560.000000	90.139
570.000000	90.249
580.000000	90.347
590.000000	90.511
600.000000	90.709
608.000000	90.846
615.000000	90.959
622.000000	91.088
630.000000	91.227
640.000000	91.381
650.000000	91.547
660.000000	91.643
670.000000	91.756
680.000000	91.858
690.000000	91.989
700.000000	92.092
710.000000	92.211
720.000000	92.299
730.000000	92.399
740.000000	92.504
750.000000	92.603
762.000000	92.719
775.000000	92.860
788.000000	92.970
800.000000	93.104
812.000000	93.191
825.000000	93.333
838.000000	93.446
850.000000	93.573
862.000000	93.668
875.000000	93.787
885.000000	93.892
900.000000	94.010
912.000000	94.144
925.000000	94.235
938.000000	94.358
950.000000	94.467
962.000000	94.570
975.000000	94.693
988.000000	94.787
1000.000000	94.901
1015.000000	95.028
1030.000000	95.163
1044.000000	95.290
1060.000000	95.446
1075.000000	95.565
1090.000000	95.699
1106.000000	95.866
1120.000000	95.984
1138.000000	96.171
1150.000000	96.287
1172.000000	96.509
1180.000000	96.587
1206.000000	96.879
1220.000000	97.025
1241.000000	97.245
1250.000000	97.340
1265.000000	97.535
1280.000000	97.722
1315.000000	98.161
1320.000000	98.224
1340.000000	98.475
1360.000000	98.739
1380.000000	99.012
1400.000000	99.258
1430.000000	99.663
1450.000000	99.945
1475.000000	100.293
1500.000000	100.635
1525.000000	100.975
1550.000000	101.338
1575.000000	101.638
1600.000000	101.968
1625.000000	102.313
1650.000000	102.607
1675.000000	102.906
1700.000000	103.202
1725.000000	103.450
1750.000000	103.729
1775.000000	104.017
1800.000000	104.197
1825.000000	104.409
1850.000000	104.604
1875.000000	104.781
1900.000000	104.941
1925.000000	105.094
1950.000000	105.180
1975.000000	105.316
2000.000000	105.374
2030.000000	105.434
2060.000000	105.497
2090.000000	105.487
2120.000000	105.484
2140.000000	105.463
2180.000000	105.406
2200.000000	105.362
2240.000000	105.270
2270.000000	105.180
2300.000000	105.061
2330.000000	104.923
2360.000000	104.807
2400.000000	104.614
2430.000000	104.457
2470.000000	104.257
2500.000000	104.120
2540.000000	103.906
2580.000000	103.694
2620.000000	103.483
2650.000000	103.326
2690.000000	103.106
2720.000000	102.952
2760.000000	102.738
2800.000000	102.523
2850.000000	102.257
2900.000000	101.988
2950.000000	101.732
3000.000000	101.473
3040.000000	101.256
3070.000000	101.098
3110.000000	100.879
3150.000000	100.643
3200.000000	100.304
3250.000000	99.909
3300.000000	99.463
3350.000000	99.183
3400.000000	99.644
3450.000000	100.311
3500.000000	100.300
3550.000000	100.107
3600.000000	99.902
3650.000000	99.738
3700.000000	99.585
3750.000000	99.467
3820.000000	99.314
3870.000000	99.246
3950.000000	99.147
4000.000000	99.117
4060.000000	99.131
4120.000000	99.128
4180.000000	99.201
4250.000000	99.270
4310.000000	99.378
4370.000000	99.484
4440.000000	99.646
4500.000000	99.798
4550.000000	99.970
4620.000000	100.227
4680.000000	100.444
4750.000000	100.808
4820.000000	101.112
4870.000000	101.418
4940.000000	101.883
5000.000000	102.166
5080.000000	102.659
5150.000000	103.040
5220.000000	103.381
5300.000000	103.764
5380.000000	103.977
5450.000000	104.105
5520.000000	104.170
5600.000000	104.186
5700.000000	104.031
5800.000000	103.701
5900.000000	103.297
6000.000000	102.859
6080.000000	102.507
6150.000000	102.211
6220.000000	101.829
6300.000000	101.640
6400.000000	101.232
6500.000000	100.935
6600.000000	100.638
6700.000000	100.348
6800.000000	100.006
6900.000000	99.690
7000.000000	99.411
7100.000000	99.072
7200.000000	98.813
7300.000000	98.530
7400.000000	98.227
7500.000000	97.931
7620.000000	97.562
7750.000000	97.214
7880.000000	96.855
8000.000000	96.566
8120.000000	96.264
8250.000000	96.018
8380.000000	95.815
8500.000000	95.726
8620.000000	95.743
8750.000000	95.887
8850.000000	96.064
9000.000000	96.419
9120.000000	96.821
9250.000000	97.369
9380.000000	98.003
9500.000000	98.508
9620.000000	99.077
9750.000000	99.466
9880.000000	99.647
10000.000000	99.550
10150.000000	99.039
10300.000000	97.992
10440.000000	96.773
10600.000000	95.654
10750.000000	94.883
10900.000000	93.995
11060.000000	92.904
11200.000000	91.923
11380.000000	91.777
11500.000000	92.704
11720.000000	93.350
11800.000000	93.260
12060.000000	93.035
12200.000000	93.118
12410.000000	93.730
12500.000000	94.129
12650.000000	94.910
12800.000000	95.774
13150.000000	97.185
13200.000000	97.383
13400.000000	97.691
13600.000000	96.946
13800.000000	95.713
14000.000000	93.904
14300.000000	90.222
14500.000000	87.668
14750.000000	85.520
15000.000000	84.717
15250.000000	84.073
15500.000000	83.001
15750.000000	81.998
16000.000000	81.414
16250.000000	81.148
16500.000000	81.045
16750.000000	81.013
17000.000000	81.063
17250.000000	81.214
17500.000000	81.109
17750.000000	80.527
18000.000000	79.682
18250.000000	78.980
18500.000000	79.247
18750.000000	80.707
19000.000000	80.272
19250.000000	79.077
19500.000000	77.647
19750.000000	75.565
20000.000000	73.420
