* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 451, L 453, L 454, L 455, L 456
* Dated: 16/08/2024 01:39:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 451, L 453, L 454, L 455, L 456
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	74.094
20.299999	74.301
20.600000	74.554
20.900000	74.816
21.200001	75.034
21.400000	75.134
21.799999	75.215
22.000000	75.209
22.400000	75.167
22.700001	75.180
23.000000	75.269
23.299999	75.429
23.600000	75.623
24.000000	75.856
24.299999	75.976
24.700001	76.071
25.000000	76.129
25.400000	76.240
25.799999	76.414
26.200001	76.618
26.500000	76.758
26.900000	76.896
27.200001	76.964
27.600000	77.035
28.000000	77.129
28.500000	77.323
29.000000	77.578
29.500000	77.814
30.000000	77.977
30.400000	78.066
30.700001	78.130
31.100000	78.236
31.500000	78.371
32.000000	78.558
32.500000	78.734
33.000000	78.893
33.500000	79.045
34.000000	79.176
34.500000	79.265
35.000000	79.327
35.500000	79.415
36.000000	79.563
36.500000	79.746
37.000000	79.908
37.500000	80.023
38.200001	80.164
38.700001	80.311
39.500000	80.625
40.000000	80.800
40.599998	80.940
41.200001	81.047
41.799999	81.190
42.500000	81.392
43.099998	81.528
43.700001	81.638
44.400002	81.814
45.000000	81.984
45.500000	82.091
46.200001	82.204
46.799999	82.332
47.500000	82.510
48.200001	82.628
48.700001	82.671
49.400002	82.752
50.000000	82.873
50.799999	83.071
51.500000	83.243
52.200001	83.391
53.000000	83.507
53.799999	83.621
54.500000	83.770
55.200001	83.920
56.000000	84.041
57.000000	84.171
58.000000	84.338
59.000000	84.543
60.000000	84.673
60.799999	84.767
61.500000	84.895
62.200001	85.000
63.000000	85.121
64.000000	85.382
65.000000	85.476
66.000000	85.533
67.000000	85.776
68.000000	85.894
69.000000	86.043
70.000000	86.226
71.000000	86.309
72.000000	86.438
73.000000	86.559
74.000000	86.676
75.000000	86.779
76.199997	86.905
77.500000	87.070
78.800003	87.229
80.000000	87.357
81.199997	87.483
82.500000	87.680
83.800003	87.793
85.000000	87.948
86.199997	88.047
87.500000	88.177
88.500000	88.255
90.000000	88.430
91.199997	88.508
92.500000	88.619
93.800003	88.718
95.000000	88.815
96.199997	88.933
97.500000	89.028
98.800003	89.125
100.000000	89.229
101.500000	89.344
103.000000	89.438
104.400002	89.559
106.000000	89.671
107.500000	89.767
109.000000	89.891
110.599998	89.989
112.000000	90.097
113.800003	90.193
115.000000	90.272
117.199997	90.403
118.000000	90.457
120.599998	90.591
122.000000	90.670
124.099998	90.765
125.000000	90.818
126.500000	90.888
128.000000	90.968
131.500000	91.134
132.000000	91.162
134.000000	91.255
136.000000	91.351
138.000000	91.428
140.000000	91.494
143.000000	91.613
145.000000	91.700
147.500000	91.772
150.000000	91.868
152.500000	91.947
155.000000	91.992
157.500000	92.073
160.000000	92.171
162.500000	92.192
165.000000	92.215
167.500000	92.318
170.000000	92.346
172.500000	92.383
175.000000	92.422
177.500000	92.484
180.000000	92.487
182.500000	92.492
185.000000	92.522
187.500000	92.568
190.000000	92.592
192.500000	92.609
195.000000	92.633
197.500000	92.652
200.000000	92.671
203.000000	92.703
206.000000	92.736
209.000000	92.781
212.000000	92.827
214.000000	92.858
218.000000	92.906
220.000000	92.924
224.000000	92.968
227.000000	93.002
230.000000	93.031
233.000000	93.052
236.000000	93.087
240.000000	93.116
243.000000	93.152
247.000000	93.182
250.000000	93.206
254.000000	93.232
258.000000	93.239
262.000000	93.273
265.000000	93.285
269.000000	93.284
272.000000	93.307
276.000000	93.319
280.000000	93.346
285.000000	93.358
290.000000	93.397
295.000000	93.420
300.000000	93.454
304.000000	93.490
307.000000	93.485
311.000000	93.517
315.000000	93.533
320.000000	93.561
325.000000	93.582
330.000000	93.617
335.000000	93.640
340.000000	93.659
345.000000	93.691
350.000000	93.682
355.000000	93.697
360.000000	93.726
365.000000	93.756
370.000000	93.755
375.000000	93.774
382.000000	93.792
387.000000	93.796
395.000000	93.799
400.000000	93.793
406.000000	93.793
412.000000	93.780
418.000000	93.774
425.000000	93.744
431.000000	93.751
437.000000	93.754
444.000000	93.767
450.000000	93.776
455.000000	93.785
462.000000	93.824
468.000000	93.833
475.000000	93.857
482.000000	93.873
487.000000	93.876
494.000000	93.900
500.000000	93.911
508.000000	93.916
515.000000	93.928
522.000000	93.935
530.000000	93.949
538.000000	93.959
545.000000	93.970
552.000000	93.989
560.000000	93.993
570.000000	94.011
580.000000	94.015
590.000000	94.040
600.000000	94.047
608.000000	94.058
615.000000	94.057
622.000000	94.078
630.000000	94.059
640.000000	94.074
650.000000	94.069
660.000000	94.063
670.000000	94.057
680.000000	94.043
690.000000	94.033
700.000000	94.025
710.000000	94.032
720.000000	94.015
730.000000	94.037
740.000000	94.026
750.000000	94.034
762.000000	94.032
775.000000	94.051
788.000000	94.065
800.000000	94.084
812.000000	94.085
825.000000	94.096
838.000000	94.102
850.000000	94.133
862.000000	94.143
875.000000	94.143
885.000000	94.161
900.000000	94.181
912.000000	94.189
925.000000	94.194
938.000000	94.212
950.000000	94.232
962.000000	94.245
975.000000	94.290
988.000000	94.308
1000.000000	94.330
1015.000000	94.350
1030.000000	94.390
1044.000000	94.422
1060.000000	94.468
1075.000000	94.507
1090.000000	94.556
1106.000000	94.608
1120.000000	94.649
1138.000000	94.736
1150.000000	94.773
1172.000000	94.896
1180.000000	94.934
1206.000000	95.074
1220.000000	95.155
1241.000000	95.308
1250.000000	95.381
1265.000000	95.477
1280.000000	95.607
1315.000000	95.938
1320.000000	95.974
1340.000000	96.194
1360.000000	96.395
1380.000000	96.633
1400.000000	96.892
1430.000000	97.260
1450.000000	97.537
1475.000000	97.897
1500.000000	98.269
1525.000000	98.685
1550.000000	99.094
1575.000000	99.514
1600.000000	99.936
1625.000000	100.367
1650.000000	100.818
1675.000000	101.216
1700.000000	101.680
1725.000000	102.152
1750.000000	102.526
1775.000000	102.982
1800.000000	103.402
1825.000000	103.786
1850.000000	104.193
1875.000000	104.590
1900.000000	104.934
1925.000000	105.335
1950.000000	105.689
1975.000000	106.029
2000.000000	106.361
2030.000000	106.751
2060.000000	107.075
2090.000000	107.427
2120.000000	107.726
2140.000000	107.914
2180.000000	108.230
2200.000000	108.367
2240.000000	108.587
2270.000000	108.732
2300.000000	108.859
2330.000000	108.906
2360.000000	108.945
2400.000000	108.923
2430.000000	108.882
2470.000000	108.766
2500.000000	108.644
2540.000000	108.490
2580.000000	108.290
2620.000000	108.071
2650.000000	107.888
2690.000000	107.657
2720.000000	107.441
2760.000000	107.192
2800.000000	106.928
2850.000000	106.639
2900.000000	106.330
2950.000000	106.071
3000.000000	105.800
3040.000000	105.602
3070.000000	105.455
3110.000000	105.274
3150.000000	105.091
3200.000000	104.851
3250.000000	104.641
3300.000000	104.441
3350.000000	104.261
3400.000000	104.109
3450.000000	103.976
3500.000000	103.847
3550.000000	103.766
3600.000000	103.677
3650.000000	103.641
3700.000000	103.579
3750.000000	103.560
3820.000000	103.530
3870.000000	103.590
3950.000000	103.634
4000.000000	103.691
4060.000000	103.785
4120.000000	103.899
4180.000000	104.078
4250.000000	104.300
4310.000000	104.446
4370.000000	104.652
4440.000000	104.925
4500.000000	105.115
4550.000000	105.321
4620.000000	105.561
4680.000000	105.734
4750.000000	105.982
4820.000000	106.070
4870.000000	106.184
4940.000000	106.248
5000.000000	106.151
5080.000000	105.902
5150.000000	105.613
5220.000000	105.111
5300.000000	104.566
5380.000000	103.790
