* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 458, R 459, R 461, R 462
* Dated: 16/08/2024 01:41:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 458, R 459, R 461, R 462
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.102
20.299999	68.520
20.600000	68.834
20.900000	69.016
21.200001	69.089
21.400000	69.104
21.799999	69.129
22.000000	69.166
22.400000	69.299
22.700001	69.431
23.000000	69.568
23.299999	69.702
23.600000	69.838
24.000000	70.050
24.299999	70.235
24.700001	70.488
25.000000	70.653
25.400000	70.817
25.799999	70.941
26.200001	71.089
26.500000	71.246
26.900000	71.501
27.200001	71.691
27.600000	71.886
28.000000	71.993
28.500000	72.070
29.000000	72.224
29.500000	72.500
30.000000	72.808
30.400000	73.017
30.700001	73.147
31.100000	73.296
31.500000	73.431
32.000000	73.575
32.500000	73.693
33.000000	73.838
33.500000	74.063
34.000000	74.334
34.500000	74.576
35.000000	74.772
35.500000	74.968
36.000000	75.177
36.500000	75.335
37.000000	75.398
37.500000	75.438
38.200001	75.704
38.700001	76.028
39.500000	76.371
40.000000	76.416
40.599998	76.510
41.200001	76.780
41.799999	77.075
42.500000	77.236
43.099998	77.313
43.700001	77.508
44.400002	77.796
45.000000	77.932
45.500000	77.993
46.200001	78.161
46.799999	78.391
47.500000	78.599
48.200001	78.721
48.700001	78.830
49.400002	79.037
50.000000	79.206
50.799999	79.407
51.500000	79.602
52.200001	79.806
53.000000	80.008
53.799999	80.167
54.500000	80.294
55.200001	80.425
56.000000	80.579
57.000000	80.823
58.000000	81.062
59.000000	81.226
60.000000	81.467
60.799999	81.586
61.500000	81.654
62.200001	81.851
63.000000	82.080
64.000000	82.046
65.000000	82.251
66.000000	82.676
67.000000	82.802
68.000000	82.936
69.000000	83.104
70.000000	83.301
71.000000	83.462
72.000000	83.592
73.000000	83.785
74.000000	83.905
75.000000	84.048
76.199997	84.293
77.500000	84.462
78.800003	84.653
80.000000	84.767
81.199997	84.954
82.500000	85.136
83.800003	85.342
85.000000	85.444
86.199997	85.647
87.500000	85.781
88.500000	85.905
90.000000	85.982
91.199997	86.157
92.500000	86.427
93.800003	86.517
95.000000	86.603
96.199997	86.754
97.500000	86.911
98.800003	87.076
100.000000	87.228
101.500000	87.293
103.000000	87.475
104.400002	87.642
106.000000	87.759
107.500000	87.900
109.000000	88.031
110.599998	88.156
112.000000	88.269
113.800003	88.379
115.000000	88.491
117.199997	88.633
118.000000	88.710
120.599998	88.930
122.000000	89.020
124.099998	89.148
125.000000	89.214
126.500000	89.318
128.000000	89.418
131.500000	89.657
132.000000	89.675
134.000000	89.797
136.000000	89.906
138.000000	90.019
140.000000	90.128
143.000000	90.273
145.000000	90.381
147.500000	90.475
150.000000	90.589
152.500000	90.714
155.000000	90.823
157.500000	90.911
160.000000	91.015
162.500000	91.075
165.000000	91.112
167.500000	91.247
170.000000	91.237
172.500000	91.311
175.000000	91.371
177.500000	91.409
180.000000	91.470
182.500000	91.531
185.000000	91.576
187.500000	91.579
190.000000	91.626
192.500000	91.667
195.000000	91.684
197.500000	91.711
200.000000	91.728
203.000000	91.767
206.000000	91.820
209.000000	91.842
212.000000	91.907
214.000000	91.898
218.000000	91.976
220.000000	91.969
224.000000	92.027
227.000000	92.047
230.000000	92.080
233.000000	92.098
236.000000	92.129
240.000000	92.166
243.000000	92.178
247.000000	92.210
250.000000	92.248
254.000000	92.257
258.000000	92.261
262.000000	92.298
265.000000	92.288
269.000000	92.326
272.000000	92.346
276.000000	92.366
280.000000	92.373
285.000000	92.431
290.000000	92.454
295.000000	92.485
300.000000	92.486
304.000000	92.524
307.000000	92.530
311.000000	92.528
315.000000	92.538
320.000000	92.574
325.000000	92.603
330.000000	92.601
335.000000	92.628
340.000000	92.628
345.000000	92.674
350.000000	92.683
355.000000	92.690
360.000000	92.674
365.000000	92.706
370.000000	92.711
375.000000	92.706
382.000000	92.726
387.000000	92.749
395.000000	92.758
400.000000	92.764
406.000000	92.806
412.000000	92.825
418.000000	92.862
425.000000	92.931
431.000000	92.992
437.000000	93.056
444.000000	93.111
450.000000	93.170
455.000000	93.184
462.000000	93.234
468.000000	93.268
475.000000	93.295
482.000000	93.302
487.000000	93.322
494.000000	93.365
500.000000	93.365
508.000000	93.378
515.000000	93.385
522.000000	93.399
530.000000	93.407
538.000000	93.432
545.000000	93.451
552.000000	93.468
560.000000	93.469
570.000000	93.491
580.000000	93.520
590.000000	93.546
600.000000	93.585
608.000000	93.594
615.000000	93.607
622.000000	93.614
630.000000	93.632
640.000000	93.630
650.000000	93.670
660.000000	93.697
670.000000	93.700
680.000000	93.720
690.000000	93.731
700.000000	93.737
710.000000	93.763
720.000000	93.746
730.000000	93.790
740.000000	93.778
750.000000	93.808
762.000000	93.834
775.000000	93.863
788.000000	93.905
800.000000	93.926
812.000000	93.967
825.000000	93.975
838.000000	94.016
850.000000	94.026
862.000000	94.061
875.000000	94.073
885.000000	94.096
900.000000	94.131
912.000000	94.164
925.000000	94.199
938.000000	94.217
950.000000	94.261
962.000000	94.291
975.000000	94.319
988.000000	94.357
1000.000000	94.376
1015.000000	94.412
1030.000000	94.459
1044.000000	94.488
1060.000000	94.542
1075.000000	94.601
1090.000000	94.647
1106.000000	94.693
1120.000000	94.745
1138.000000	94.833
1150.000000	94.876
1172.000000	94.979
1180.000000	95.010
1206.000000	95.139
1220.000000	95.212
