* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 468, L 469, L 470
* Dated: 16/08/2024 01:48:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 468, L 469, L 470
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	66.147
20.299999	66.330
20.600000	66.745
20.900000	67.276
21.200001	67.779
21.400000	68.046
21.799999	68.389
22.000000	68.477
22.400000	68.567
22.700001	68.652
23.000000	68.803
23.299999	69.019
23.600000	69.260
24.000000	69.530
24.299999	69.665
24.700001	69.789
25.000000	69.900
25.400000	70.142
25.799999	70.478
26.200001	70.806
26.500000	70.985
26.900000	71.121
27.200001	71.174
27.600000	71.261
28.000000	71.429
28.500000	71.729
29.000000	71.993
29.500000	72.159
30.000000	72.311
30.400000	72.494
30.700001	72.673
31.100000	72.937
31.500000	73.187
32.000000	73.453
32.500000	73.682
33.000000	73.899
33.500000	74.101
34.000000	74.291
34.500000	74.504
35.000000	74.767
35.500000	75.064
36.000000	75.338
36.500000	75.543
37.000000	75.676
37.500000	75.778
38.200001	76.009
38.700001	76.284
39.500000	76.724
40.000000	76.870
40.599998	76.973
41.200001	77.175
41.799999	77.481
42.500000	77.740
43.099998	77.843
43.700001	77.983
44.400002	78.241
45.000000	78.456
45.500000	78.636
46.200001	78.931
46.799999	79.144
47.500000	79.275
48.200001	79.431
48.700001	79.616
49.400002	79.861
50.000000	80.007
50.799999	80.230
51.500000	80.458
52.200001	80.626
53.000000	80.816
53.799999	81.048
54.500000	81.208
55.200001	81.360
56.000000	81.592
57.000000	81.873
58.000000	82.063
59.000000	82.248
60.000000	82.559
60.799999	82.766
61.500000	82.880
62.200001	83.008
63.000000	83.150
64.000000	83.328
65.000000	83.595
66.000000	83.745
67.000000	83.941
68.000000	84.160
69.000000	84.328
70.000000	84.573
71.000000	84.714
72.000000	84.881
73.000000	85.056
74.000000	85.204
75.000000	85.438
76.199997	85.599
77.500000	85.766
78.800003	85.941
80.000000	86.133
81.199997	86.328
82.500000	86.474
83.800003	86.673
85.000000	86.790
86.199997	87.002
87.500000	87.109
88.500000	87.234
90.000000	87.393
91.199997	87.520
92.500000	87.697
93.800003	87.834
95.000000	87.964
96.199997	88.067
