* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 463, R 464, R 465, R 466, R 467
* Dated: 16/08/2024 01:48:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 463, R 464, R 465, R 466, R 467
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.053
20.299999	68.242
20.600000	68.251
20.900000	68.114
21.200001	67.931
21.400000	67.859
21.799999	67.999
22.000000	68.223
22.400000	68.854
22.700001	69.321
23.000000	69.676
23.299999	69.887
23.600000	69.974
24.000000	70.011
24.299999	70.083
24.700001	70.331
25.000000	70.619
25.400000	71.046
25.799999	71.414
26.200001	71.670
26.500000	71.801
26.900000	71.942
27.200001	72.056
27.600000	72.243
28.000000	72.468
28.500000	72.756
29.000000	72.999
29.500000	73.191
30.000000	73.374
30.400000	73.540
30.700001	73.682
31.100000	73.885
31.500000	74.091
32.000000	74.333
32.500000	74.546
33.000000	74.714
33.500000	74.837
34.000000	74.957
34.500000	75.147
35.000000	75.431
35.500000	75.743
36.000000	75.991
36.500000	76.154
37.000000	76.291
37.500000	76.458
38.200001	76.710
38.700001	76.849
39.500000	77.046
40.000000	77.224
40.599998	77.480
41.200001	77.720
41.799999	77.929
42.500000	78.155
43.099998	78.326
43.700001	78.469
44.400002	78.633
45.000000	78.799
45.500000	78.953
46.200001	79.167
46.799999	79.325
47.500000	79.472
48.200001	79.617
48.700001	79.741
49.400002	79.933
50.000000	80.091
50.799999	80.297
51.500000	80.477
52.200001	80.649
53.000000	80.833
53.799999	80.998
54.500000	81.119
55.200001	81.238
56.000000	81.394
57.000000	81.598
58.000000	81.786
59.000000	81.960
60.000000	82.168
60.799999	82.300
61.500000	82.373
62.200001	82.463
63.000000	82.616
64.000000	82.833
65.000000	83.006
66.000000	83.105
67.000000	83.238
68.000000	83.395
69.000000	83.507
70.000000	83.633
71.000000	83.750
72.000000	83.886
73.000000	83.999
74.000000	84.126
75.000000	84.227
76.199997	84.321
77.500000	84.484
78.800003	84.591
80.000000	84.724
81.199997	84.823
82.500000	84.943
83.800003	85.026
85.000000	85.106
86.199997	85.256
87.500000	85.301
88.500000	85.414
90.000000	85.512
91.199997	85.594
92.500000	85.696
93.800003	85.785
95.000000	85.847
96.199997	85.907
97.500000	86.013
98.800003	86.078
100.000000	86.168
101.500000	86.249
103.000000	86.342
104.400002	86.399
106.000000	86.473
107.500000	86.577
109.000000	86.650
110.599998	86.753
112.000000	86.768
113.800003	86.884
115.000000	86.920
117.199997	87.002
118.000000	87.056
120.599998	87.166
122.000000	87.230
124.099998	87.299
125.000000	87.356
126.500000	87.395
128.000000	87.474
131.500000	87.594
132.000000	87.621
134.000000	87.704
136.000000	87.782
138.000000	87.837
140.000000	87.902
143.000000	88.017
145.000000	88.105
147.500000	88.169
150.000000	88.269
152.500000	88.345
155.000000	88.395
157.500000	88.481
160.000000	88.632
162.500000	88.648
165.000000	88.723
167.500000	88.764
170.000000	88.826
172.500000	88.900
175.000000	88.961
177.500000	89.004
180.000000	89.039
182.500000	89.114
185.000000	89.163
187.500000	89.210
190.000000	89.267
192.500000	89.320
195.000000	89.366
197.500000	89.402
200.000000	89.456
203.000000	89.509
206.000000	89.588
209.000000	89.656
212.000000	89.746
214.000000	89.796
218.000000	89.876
220.000000	89.914
224.000000	90.031
227.000000	90.083
230.000000	90.145
233.000000	90.215
236.000000	90.270
240.000000	90.386
243.000000	90.431
247.000000	90.516
250.000000	90.586
254.000000	90.650
258.000000	90.713
262.000000	90.772
265.000000	90.816
269.000000	90.881
272.000000	90.950
276.000000	90.990
280.000000	91.070
285.000000	91.152
290.000000	91.205
295.000000	91.301
300.000000	91.367
304.000000	91.452
307.000000	91.506
311.000000	91.572
315.000000	91.624
320.000000	91.739
325.000000	91.797
330.000000	91.896
335.000000	91.994
340.000000	92.078
345.000000	92.190
350.000000	92.280
355.000000	92.366
360.000000	92.473
365.000000	92.566
370.000000	92.693
375.000000	92.812
382.000000	93.018
387.000000	93.193
395.000000	93.530
400.000000	93.704
406.000000	93.754
412.000000	93.613
418.000000	93.476
425.000000	93.408
431.000000	93.423
437.000000	93.446
444.000000	93.517
450.000000	93.576
455.000000	93.625
462.000000	93.699
468.000000	93.768
475.000000	93.847
482.000000	93.925
