* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 444, L 445, L 446, L 448, L 449, L 450
* Dated: 16/08/2024 01:50:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 444, L 445, L 446, L 448, L 449, L 450
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	61.411
20.299999	61.754
20.600000	62.067
20.900000	62.316
21.200001	62.500
21.400000	62.596
21.799999	62.763
22.000000	62.840
22.400000	62.969
22.700001	63.017
23.000000	63.005
23.299999	62.943
23.600000	62.876
24.000000	62.895
24.299999	63.050
24.700001	63.423
25.000000	63.734
25.400000	64.060
25.799999	64.215
26.200001	64.253
26.500000	64.288
26.900000	64.444
27.200001	64.660
27.600000	65.017
28.000000	65.368
28.500000	65.732
29.000000	66.036
29.500000	66.286
30.000000	66.422
30.400000	66.441
30.700001	66.446
31.100000	66.532
31.500000	66.785
32.000000	67.261
32.500000	67.670
33.000000	67.818
33.500000	67.761
34.000000	67.763
34.500000	68.016
35.000000	68.398
35.500000	68.668
36.000000	68.755
36.500000	68.800
37.000000	68.981
37.500000	69.295
38.200001	69.682
38.700001	69.828
39.500000	70.004
40.000000	70.167
40.599998	70.401
41.200001	70.643
41.799999	70.889
42.500000	71.133
43.099998	71.271
43.700001	71.390
44.400002	71.588
45.000000	71.785
45.500000	71.942
46.200001	72.193
46.799999	72.487
47.500000	72.837
48.200001	73.051
48.700001	73.132
49.400002	73.274
50.000000	73.455
50.799999	73.711
51.500000	73.922
52.200001	74.106
53.000000	74.285
53.799999	74.507
54.500000	74.695
55.200001	74.808
56.000000	74.968
57.000000	75.328
58.000000	75.629
59.000000	75.850
60.000000	76.010
60.799999	76.172
61.500000	76.323
62.200001	76.472
63.000000	76.705
64.000000	76.925
65.000000	77.127
66.000000	77.443
67.000000	77.572
68.000000	77.865
69.000000	78.065
70.000000	78.171
71.000000	78.463
72.000000	78.660
73.000000	78.876
74.000000	79.026
75.000000	79.138
76.199997	79.447
77.500000	79.718
78.800003	79.925
80.000000	80.165
81.199997	80.380
82.500000	80.574
83.800003	80.791
85.000000	81.003
86.199997	81.219
87.500000	81.474
88.500000	81.632
90.000000	81.946
91.199997	82.034
92.500000	82.244
93.800003	82.430
95.000000	82.626
96.199997	82.789
97.500000	82.972
98.800003	83.162
100.000000	83.335
101.500000	83.516
103.000000	83.745
104.400002	83.933
106.000000	84.145
107.500000	84.333
109.000000	84.547
110.599998	84.755
112.000000	84.923
113.800003	85.152
115.000000	85.268
117.199997	85.564
118.000000	85.641
120.599998	85.931
122.000000	86.105
124.099998	86.345
125.000000	86.435
126.500000	86.611
128.000000	86.761
131.500000	87.142
132.000000	87.190
134.000000	87.370
136.000000	87.583
138.000000	87.777
140.000000	87.950
143.000000	88.221
145.000000	88.413
147.500000	88.622
150.000000	88.857
152.500000	89.052
155.000000	89.266
157.500000	89.460
160.000000	89.676
162.500000	89.843
165.000000	90.016
167.500000	90.165
170.000000	90.333
172.500000	90.505
175.000000	90.662
177.500000	90.885
180.000000	90.988
182.500000	91.103
185.000000	91.235
187.500000	91.375
190.000000	91.502
192.500000	91.613
195.000000	91.740
197.500000	91.844
200.000000	91.962
203.000000	92.097
206.000000	92.255
209.000000	92.368
212.000000	92.500
214.000000	92.575
218.000000	92.747
220.000000	92.821
224.000000	92.994
227.000000	93.106
230.000000	93.214
233.000000	93.319
236.000000	93.427
240.000000	93.577
243.000000	93.691
247.000000	93.821
250.000000	93.917
254.000000	94.045
258.000000	94.154
262.000000	94.275
265.000000	94.358
269.000000	94.477
272.000000	94.556
276.000000	94.647
280.000000	94.752
285.000000	94.871
290.000000	95.005
295.000000	95.108
300.000000	95.222
304.000000	95.296
307.000000	95.346
311.000000	95.429
315.000000	95.508
320.000000	95.595
325.000000	95.675
330.000000	95.768
335.000000	95.862
340.000000	95.935
345.000000	96.012
350.000000	96.079
355.000000	96.144
360.000000	96.221
365.000000	96.281
370.000000	96.341
375.000000	96.410
382.000000	96.486
387.000000	96.551
395.000000	96.633
400.000000	96.685
406.000000	96.762
412.000000	96.807
418.000000	96.868
425.000000	96.928
431.000000	96.992
437.000000	97.034
444.000000	97.102
450.000000	97.145
455.000000	97.184
462.000000	97.248
468.000000	97.291
475.000000	97.346
482.000000	97.395
487.000000	97.441
494.000000	97.482
500.000000	97.521
508.000000	97.520
515.000000	97.518
522.000000	97.525
530.000000	97.554
538.000000	97.623
545.000000	97.687
552.000000	97.734
560.000000	97.805
570.000000	97.880
580.000000	97.954
