* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 436, R 437, R 438, R 439, R 440, R 441, R 442
* Dated: 16/08/2024 01:50:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 436, R 437, R 438, R 439, R 440, R 441, R 442
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	61.296
20.299999	61.797
20.600000	62.257
20.900000	62.608
21.200001	62.807
21.400000	62.852
21.799999	62.807
22.000000	62.768
22.400000	62.771
22.700001	62.890
23.000000	63.073
23.299999	63.249
23.600000	63.362
24.000000	63.408
24.299999	63.421
24.700001	63.493
25.000000	63.599
25.400000	63.751
25.799999	63.853
26.200001	63.923
26.500000	64.005
26.900000	64.187
27.200001	64.355
27.600000	64.554
28.000000	64.689
28.500000	64.850
29.000000	65.178
29.500000	65.688
30.000000	66.171
30.400000	66.408
30.700001	66.475
31.100000	66.451
31.500000	66.399
32.000000	66.471
32.500000	66.740
33.000000	67.058
33.500000	67.326
34.000000	67.603
34.500000	67.937
35.000000	68.222
35.500000	68.341
36.000000	68.370
36.500000	68.505
37.000000	68.773
37.500000	68.984
38.200001	69.013
38.700001	69.060
39.500000	69.484
40.000000	69.714
40.599998	69.798
41.200001	69.921
41.799999	70.230
42.500000	70.516
43.099998	70.549
43.700001	70.631
44.400002	71.020
45.000000	71.391
45.500000	71.575
46.200001	71.700
46.799999	71.896
47.500000	72.320
48.200001	72.677
48.700001	72.754
49.400002	72.716
50.000000	72.772
50.799999	73.050
51.500000	73.297
52.200001	73.480
53.000000	73.685
53.799999	73.896
54.500000	74.043
55.200001	74.175
56.000000	74.442
57.000000	74.764
58.000000	74.810
59.000000	75.276
60.000000	75.660
60.799999	75.670
61.500000	75.698
62.200001	75.820
63.000000	76.055
64.000000	76.329
65.000000	76.591
66.000000	76.870
67.000000	77.063
68.000000	77.270
69.000000	77.476
70.000000	77.651
71.000000	77.810
72.000000	78.039
73.000000	78.256
74.000000	78.485
75.000000	78.681
76.199997	78.883
77.500000	79.192
78.800003	79.360
80.000000	79.646
81.199997	79.811
82.500000	80.047
83.800003	80.269
85.000000	80.538
86.199997	80.735
87.500000	80.915
88.500000	81.100
90.000000	81.297
91.199997	81.574
92.500000	81.742
93.800003	81.952
95.000000	82.177
96.199997	82.281
97.500000	82.532
98.800003	82.748
100.000000	82.935
101.500000	83.120
103.000000	83.354
104.400002	83.563
106.000000	83.798
107.500000	83.994
109.000000	84.198
110.599998	84.418
112.000000	84.621
113.800003	84.872
115.000000	85.001
117.199997	85.280
118.000000	85.626
120.599998	85.619
122.000000	85.975
124.099998	86.147
125.000000	86.244
126.500000	86.436
128.000000	86.612
131.500000	87.048
132.000000	87.110
134.000000	87.311
136.000000	87.532
138.000000	87.792
140.000000	87.986
143.000000	88.295
145.000000	88.478
147.500000	88.758
150.000000	89.014
152.500000	89.231
155.000000	89.457
157.500000	89.725
160.000000	89.938
162.500000	90.159
165.000000	90.337
167.500000	90.589
170.000000	90.768
172.500000	90.955
175.000000	91.173
177.500000	91.419
180.000000	91.556
182.500000	91.731
185.000000	91.880
187.500000	92.058
190.000000	92.219
192.500000	92.383
195.000000	92.524
197.500000	92.683
200.000000	92.828
203.000000	92.999
206.000000	93.167
209.000000	93.341
212.000000	93.500
214.000000	93.590
218.000000	93.806
220.000000	93.917
224.000000	94.099
227.000000	94.232
230.000000	94.363
233.000000	94.489
236.000000	94.610
240.000000	94.763
243.000000	94.897
247.000000	95.065
250.000000	95.178
254.000000	95.318
258.000000	95.456
262.000000	95.577
265.000000	95.681
269.000000	95.804
272.000000	95.890
276.000000	96.019
280.000000	96.141
285.000000	96.279
290.000000	96.416
295.000000	96.551
300.000000	96.673
304.000000	96.763
307.000000	96.843
311.000000	96.935
315.000000	97.018
320.000000	97.125
325.000000	97.223
330.000000	97.318
335.000000	97.407
340.000000	97.485
345.000000	97.564
350.000000	97.635
355.000000	97.683
360.000000	97.772
365.000000	97.841
370.000000	97.897
375.000000	97.961
382.000000	98.042
387.000000	98.085
395.000000	98.168
400.000000	98.213
406.000000	98.269
412.000000	98.317
418.000000	98.361
425.000000	98.424
431.000000	98.474
437.000000	98.516
444.000000	98.561
450.000000	98.607
455.000000	98.629
462.000000	98.679
468.000000	98.711
475.000000	98.743
482.000000	98.796
487.000000	98.821
494.000000	98.862
500.000000	98.887
508.000000	98.930
515.000000	98.956
522.000000	98.992
530.000000	99.035
538.000000	99.073
545.000000	99.108
552.000000	99.136
560.000000	99.175
570.000000	99.208
580.000000	99.255
590.000000	99.296
