* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 409, L 410, L 411, L 412, L 413
* Dated: 14/08/2024 01:31:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 409, L 410, L 411, L 412, L 413
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	67.420
20.299999	67.496
20.600000	67.561
20.900000	67.655
21.200001	67.806
21.400000	67.943
21.799999	68.268
22.000000	68.437
22.400000	68.754
22.700001	68.956
23.000000	69.128
23.299999	69.282
23.600000	69.433
24.000000	69.649
24.299999	69.825
24.700001	70.072
25.000000	70.256
25.400000	70.483
25.799999	70.676
26.200001	70.838
26.500000	70.954
26.900000	71.129
27.200001	71.289
27.600000	71.534
28.000000	71.781
28.500000	72.028
29.000000	72.195
29.500000	72.349
30.000000	72.573
30.400000	72.800
30.700001	72.971
31.100000	73.168
31.500000	73.315
32.000000	73.461
32.500000	73.620
33.000000	73.820
33.500000	74.049
34.000000	74.299
34.500000	74.575
35.000000	74.869
35.500000	75.158
36.000000	75.420
36.500000	75.653
37.000000	75.859
37.500000	76.034
38.200001	76.240
38.700001	76.395
39.500000	76.708
40.000000	76.910
40.599998	77.102
41.200001	77.255
41.799999	77.425
42.500000	77.668
43.099998	77.872
43.700001	78.062
44.400002	78.295
45.000000	78.499
45.500000	78.642
46.200001	78.791
46.799999	78.921
47.500000	79.135
48.200001	79.392
48.700001	79.563
49.400002	79.759
50.000000	79.897
50.799999	80.072
51.500000	80.237
52.200001	80.405
53.000000	80.595
53.799999	80.783
54.500000	80.933
55.200001	81.067
56.000000	81.257
57.000000	81.531
58.000000	81.705
59.000000	81.891
60.000000	82.027
60.799999	82.104
61.500000	82.270
62.200001	82.411
63.000000	82.432
64.000000	82.590
65.000000	82.838
66.000000	82.914
67.000000	83.082
68.000000	83.211
69.000000	83.364
70.000000	83.552
71.000000	83.621
72.000000	83.755
73.000000	83.915
74.000000	83.922
75.000000	83.964
76.199997	84.147
77.500000	84.224
78.800003	84.306
80.000000	84.419
81.199997	84.517
82.500000	84.593
83.800003	84.677
85.000000	84.736
86.199997	84.819
87.500000	84.859
88.500000	84.925
90.000000	85.009
91.199997	85.070
92.500000	85.133
93.800003	85.185
95.000000	85.213
96.199997	85.260
97.500000	85.328
98.800003	85.338
100.000000	85.413
101.500000	85.447
103.000000	85.514
104.400002	85.506
106.000000	85.560
107.500000	85.603
109.000000	85.606
110.599998	85.686
112.000000	85.665
113.800003	85.701
115.000000	85.742
117.199997	85.735
118.000000	85.775
120.599998	85.845
122.000000	85.877
124.099998	85.895
125.000000	85.891
126.500000	85.915
128.000000	85.973
131.500000	85.970
132.000000	85.983
134.000000	86.034
136.000000	86.069
138.000000	86.082
140.000000	86.127
143.000000	86.171
145.000000	86.162
147.500000	86.186
150.000000	86.203
152.500000	86.258
155.000000	86.283
157.500000	86.289
160.000000	86.269
162.500000	86.272
165.000000	86.303
167.500000	86.332
170.000000	86.375
172.500000	86.342
175.000000	86.385
177.500000	86.397
180.000000	86.408
182.500000	86.413
185.000000	86.423
187.500000	86.456
190.000000	86.459
192.500000	86.477
195.000000	86.485
197.500000	86.513
200.000000	86.505
203.000000	86.509
206.000000	86.531
209.000000	86.567
212.000000	86.610
214.000000	86.601
218.000000	86.647
220.000000	86.709
224.000000	86.686
227.000000	86.718
230.000000	86.746
233.000000	86.756
236.000000	86.809
240.000000	86.828
243.000000	86.863
247.000000	86.882
250.000000	86.925
254.000000	86.947
258.000000	86.965
262.000000	86.956
265.000000	86.962
269.000000	87.002
272.000000	87.018
276.000000	87.034
280.000000	87.074
285.000000	87.188
290.000000	87.484
295.000000	87.746
300.000000	87.756
304.000000	87.734
307.000000	87.690
311.000000	87.664
315.000000	87.644
320.000000	87.665
325.000000	87.689
330.000000	87.704
335.000000	87.687
340.000000	87.725
345.000000	87.789
350.000000	87.869
355.000000	88.009
360.000000	88.194
365.000000	88.436
370.000000	88.598
375.000000	88.722
382.000000	88.866
387.000000	88.917
395.000000	89.006
400.000000	89.067
406.000000	89.146
412.000000	89.193
418.000000	89.247
425.000000	89.316
431.000000	89.382
437.000000	89.440
444.000000	89.516
450.000000	89.585
455.000000	89.622
462.000000	89.724
468.000000	89.780
475.000000	89.840
482.000000	89.915
487.000000	89.977
494.000000	90.043
500.000000	90.099
508.000000	90.184
515.000000	90.249
522.000000	90.343
530.000000	90.429
538.000000	90.515
545.000000	90.582
552.000000	90.650
560.000000	90.749
570.000000	90.851
580.000000	90.964
590.000000	91.056
600.000000	91.170
608.000000	91.253
615.000000	91.336
622.000000	91.399
630.000000	91.489
640.000000	91.599
650.000000	91.731
660.000000	91.814
670.000000	91.916
680.000000	92.010
690.000000	92.117
700.000000	92.231
710.000000	92.349
720.000000	92.436
730.000000	92.556
740.000000	92.667
750.000000	92.779
762.000000	92.907
775.000000	93.063
788.000000	93.195
800.000000	93.318
812.000000	93.448
825.000000	93.606
838.000000	93.727
850.000000	93.848
862.000000	93.962
875.000000	94.106
885.000000	94.226
900.000000	94.384
912.000000	94.484
925.000000	94.635
938.000000	94.765
950.000000	94.895
962.000000	95.013
975.000000	95.164
988.000000	95.308
1000.000000	95.421
1015.000000	95.598
1030.000000	95.742
1044.000000	95.882
1060.000000	96.058
1075.000000	96.218
1090.000000	96.417
1106.000000	96.569
1120.000000	96.758
1138.000000	96.956
1150.000000	97.088
1172.000000	97.380
1180.000000	97.459
1206.000000	97.797
1220.000000	97.948
1241.000000	98.235
1250.000000	98.355
1265.000000	98.547
1280.000000	98.783
1315.000000	99.285
1320.000000	99.362
1340.000000	99.630
1360.000000	99.927
1380.000000	100.253
1400.000000	100.564
1430.000000	101.046
1450.000000	101.372
1475.000000	101.765
1500.000000	102.191
1525.000000	102.611
1550.000000	103.038
1575.000000	103.471
1600.000000	103.919
1625.000000	104.382
1650.000000	104.771
1675.000000	105.235
1700.000000	105.685
1725.000000	106.093
1750.000000	106.480
1775.000000	106.868
1800.000000	107.283
1825.000000	107.593
1850.000000	107.996
1875.000000	108.364
1900.000000	108.728
1925.000000	109.068
1950.000000	109.419
1975.000000	109.588
2000.000000	109.955
2030.000000	110.275
2060.000000	110.567
2090.000000	110.809
2120.000000	111.046
2140.000000	111.220
2180.000000	111.529
2200.000000	111.676
2240.000000	111.834
2270.000000	111.906
2300.000000	111.965
2330.000000	111.994
2360.000000	111.952
2400.000000	111.844
2430.000000	111.557
2470.000000	111.223
2500.000000	111.077
2540.000000	111.368
2580.000000	111.264
2620.000000	111.055
2650.000000	110.867
2690.000000	110.608
2720.000000	110.424
2760.000000	110.162
2800.000000	109.892
2850.000000	109.562
2900.000000	109.221
2950.000000	108.914
3000.000000	108.603
3040.000000	108.369
3070.000000	108.204
3110.000000	107.982
3150.000000	107.767
3200.000000	107.485
3250.000000	107.212
3300.000000	106.969
3350.000000	106.732
3400.000000	106.521
3450.000000	106.340
3500.000000	106.156
3550.000000	106.020
3600.000000	105.891
3650.000000	105.785
3700.000000	105.675
3750.000000	105.610
3820.000000	105.505
3870.000000	105.486
3950.000000	105.451
4000.000000	105.457
4060.000000	105.504
4120.000000	105.646
4180.000000	105.728
4250.000000	105.873
4310.000000	106.031
4370.000000	106.235
4440.000000	106.405
4500.000000	106.639
4550.000000	106.839
4620.000000	107.282
4680.000000	107.715
4750.000000	108.138
4820.000000	108.614
4870.000000	109.041
4940.000000	109.321
5000.000000	109.796
5080.000000	109.907
5150.000000	110.106
5220.000000	110.029
5300.000000	109.643
5380.000000	109.031
5450.000000	108.484
5520.000000	107.762
5600.000000	106.846
5700.000000	105.650
5800.000000	104.473
5900.000000	103.252
6000.000000	102.238
6080.000000	101.485
6150.000000	100.950
6220.000000	100.427
6300.000000	99.924
6400.000000	99.290
6500.000000	98.757
