* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 414, R 415, R 416, R 417
* Dated: 14/08/2024 01:31:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 414, R 415, R 416, R 417
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.699
20.299999	69.646
20.600000	69.395
20.900000	69.106
21.200001	68.972
21.400000	69.044
21.799999	69.496
22.000000	69.790
22.400000	70.324
22.700001	70.575
23.000000	70.696
23.299999	70.740
23.600000	70.786
24.000000	70.961
24.299999	71.188
24.700001	71.537
25.000000	71.761
25.400000	71.953
25.799999	72.052
26.200001	72.149
26.500000	72.273
26.900000	72.518
27.200001	72.735
27.600000	73.013
28.000000	73.245
28.500000	73.483
29.000000	73.724
29.500000	74.006
30.000000	74.326
30.400000	74.588
30.700001	74.772
31.100000	74.980
31.500000	75.123
32.000000	75.221
32.500000	75.306
33.000000	75.476
33.500000	75.730
34.000000	75.972
34.500000	76.138
35.000000	76.266
35.500000	76.431
36.000000	76.651
36.500000	76.881
37.000000	77.087
37.500000	77.282
38.200001	77.558
38.700001	77.736
39.500000	77.968
40.000000	78.125
40.599998	78.347
41.200001	78.563
41.799999	78.755
42.500000	78.983
43.099998	79.190
43.700001	79.376
44.400002	79.566
45.000000	79.757
45.500000	79.948
46.200001	80.197
46.799999	80.335
47.500000	80.462
48.200001	80.673
48.700001	80.861
49.400002	81.071
50.000000	81.188
50.799999	81.357
51.500000	81.520
52.200001	81.642
53.000000	81.789
53.799999	81.997
54.500000	82.160
55.200001	82.280
56.000000	82.438
57.000000	82.687
58.000000	82.867
59.000000	83.008
60.000000	83.193
60.799999	83.353
61.500000	83.495
62.200001	83.621
63.000000	83.727
64.000000	83.821
65.000000	83.955
66.000000	84.136
67.000000	84.254
68.000000	84.399
69.000000	84.516
70.000000	84.618
71.000000	84.743
72.000000	84.835
73.000000	84.963
74.000000	85.056
75.000000	85.157
76.199997	85.267
77.500000	85.450
78.800003	85.486
80.000000	85.627
81.199997	85.675
82.500000	85.800
83.800003	85.877
85.000000	85.977
86.199997	85.998
87.500000	86.160
88.500000	86.199
90.000000	86.270
91.199997	86.358
92.500000	86.426
93.800003	86.492
95.000000	86.523
96.199997	86.608
97.500000	86.625
98.800003	86.674
100.000000	86.729
101.500000	86.780
103.000000	86.813
104.400002	86.900
106.000000	86.942
107.500000	86.999
109.000000	87.045
110.599998	87.083
112.000000	87.125
113.800003	87.185
115.000000	87.201
117.199997	87.249
118.000000	87.268
120.599998	87.320
122.000000	87.356
124.099998	87.402
125.000000	87.433
126.500000	87.464
128.000000	87.475
131.500000	87.537
132.000000	87.540
134.000000	87.585
136.000000	87.665
138.000000	87.659
140.000000	87.735
143.000000	87.749
145.000000	87.772
147.500000	87.827
150.000000	87.848
152.500000	87.878
155.000000	87.925
157.500000	87.969
160.000000	88.033
162.500000	88.001
165.000000	88.008
167.500000	88.042
170.000000	88.067
172.500000	88.066
175.000000	88.116
177.500000	88.106
180.000000	88.129
182.500000	88.150
185.000000	88.182
187.500000	88.174
190.000000	88.187
192.500000	88.229
195.000000	88.248
197.500000	88.277
200.000000	88.280
203.000000	88.308
206.000000	88.359
209.000000	88.384
212.000000	88.414
214.000000	88.451
218.000000	88.526
220.000000	88.516
224.000000	88.550
227.000000	88.580
230.000000	88.633
233.000000	88.661
236.000000	88.685
240.000000	88.725
243.000000	88.760
247.000000	88.797
250.000000	88.815
254.000000	88.842
258.000000	88.874
262.000000	88.843
265.000000	88.873
269.000000	88.901
272.000000	88.917
276.000000	88.940
280.000000	88.974
285.000000	89.013
290.000000	89.207
295.000000	89.345
300.000000	89.345
304.000000	89.330
307.000000	89.309
311.000000	89.283
315.000000	89.295
320.000000	89.322
325.000000	89.330
330.000000	89.356
335.000000	89.377
340.000000	89.376
345.000000	89.424
350.000000	89.429
355.000000	89.402
360.000000	89.379
365.000000	89.335
370.000000	89.326
375.000000	89.380
382.000000	89.560
387.000000	89.760
395.000000	90.105
400.000000	90.239
406.000000	90.431
412.000000	90.550
418.000000	90.689
425.000000	90.802
431.000000	90.903
437.000000	90.986
444.000000	91.088
450.000000	91.179
455.000000	91.228
462.000000	91.314
468.000000	91.374
475.000000	91.457
482.000000	91.564
487.000000	91.614
494.000000	91.689
500.000000	91.763
508.000000	91.838
515.000000	91.927
522.000000	92.004
530.000000	92.113
538.000000	92.161
545.000000	92.262
552.000000	92.339
560.000000	92.435
570.000000	92.532
580.000000	92.640
590.000000	92.750
600.000000	92.855
608.000000	92.950
615.000000	93.030
622.000000	93.111
630.000000	93.200
640.000000	93.295
650.000000	93.385
660.000000	93.544
670.000000	93.632
680.000000	93.733
690.000000	93.837
700.000000	93.933
710.000000	94.046
720.000000	94.156
730.000000	94.254
740.000000	94.367
750.000000	94.464
762.000000	94.618
775.000000	94.747
788.000000	94.893
800.000000	95.032
812.000000	95.148
825.000000	95.287
838.000000	95.440
