* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 492, L 493, L 494, L 495, L 496
* Dated: 16/08/2024 01:52:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 492, L 493, L 494, L 495, L 496
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.557
20.299999	68.903
20.600000	69.095
20.900000	69.136
21.200001	69.078
21.400000	69.031
21.799999	69.051
22.000000	69.159
22.400000	69.550
22.700001	69.911
23.000000	70.241
23.299999	70.491
23.600000	70.652
24.000000	70.779
24.299999	70.871
24.700001	71.062
25.000000	71.269
25.400000	71.598
25.799999	71.919
26.200001	72.192
26.500000	72.363
26.900000	72.569
27.200001	72.725
27.600000	72.951
28.000000	73.192
28.500000	73.474
29.000000	73.699
29.500000	73.883
30.000000	74.091
30.400000	74.304
30.700001	74.484
31.100000	74.726
31.500000	74.941
32.000000	75.172
32.500000	75.404
33.000000	75.681
33.500000	75.986
34.000000	76.262
34.500000	76.476
35.000000	76.647
35.500000	76.821
36.000000	77.024
36.500000	77.255
37.000000	77.494
37.500000	77.727
38.200001	78.040
38.700001	78.256
39.500000	78.597
40.000000	78.805
40.599998	79.053
41.200001	79.293
41.799999	79.523
42.500000	79.782
43.099998	80.003
43.700001	80.225
44.400002	80.489
45.000000	80.724
45.500000	80.921
46.200001	81.179
46.799999	81.377
47.500000	81.600
48.200001	81.827
48.700001	81.983
49.400002	82.193
50.000000	82.390
50.799999	82.687
51.500000	82.920
52.200001	83.115
53.000000	83.366
53.799999	83.646
54.500000	83.839
55.200001	84.005
56.000000	84.231
57.000000	84.520
58.000000	84.785
59.000000	85.060
60.000000	85.315
60.799999	85.538
61.500000	85.720
62.200001	85.875
63.000000	86.067
64.000000	86.317
65.000000	86.527
66.000000	86.760
67.000000	86.979
68.000000	87.195
69.000000	87.411
70.000000	87.595
71.000000	87.783
72.000000	87.986
73.000000	88.161
74.000000	88.351
75.000000	88.533
76.199997	88.700
77.500000	88.934
78.800003	89.121
80.000000	89.314
81.199997	89.487
82.500000	89.658
83.800003	89.822
85.000000	89.982
86.199997	90.135
87.500000	90.285
88.500000	90.391
90.000000	90.570
91.199997	90.680
92.500000	90.800
93.800003	90.920
95.000000	91.031
96.199997	91.126
97.500000	91.237
98.800003	91.328
100.000000	91.425
101.500000	91.533
103.000000	91.620
104.400002	91.710
106.000000	91.795
107.500000	91.881
109.000000	91.956
110.599998	92.047
112.000000	92.111
113.800003	92.189
115.000000	92.240
117.199997	92.325
118.000000	92.356
120.599998	92.437
122.000000	92.483
124.099998	92.549
125.000000	92.561
126.500000	92.606
128.000000	92.654
131.500000	92.742
132.000000	92.742
134.000000	92.771
136.000000	92.800
138.000000	92.849
140.000000	92.872
143.000000	92.926
145.000000	92.926
147.500000	92.970
150.000000	92.982
152.500000	93.022
155.000000	93.045
157.500000	93.052
160.000000	93.077
162.500000	93.095
165.000000	93.009
167.500000	93.054
170.000000	93.082
172.500000	93.075
175.000000	93.062
177.500000	93.058
180.000000	93.087
182.500000	93.059
185.000000	93.056
187.500000	93.039
190.000000	93.041
192.500000	93.041
195.000000	93.029
197.500000	93.023
200.000000	93.019
203.000000	93.037
206.000000	93.059
209.000000	93.047
212.000000	93.043
214.000000	93.058
218.000000	93.068
220.000000	93.063
224.000000	93.081
227.000000	93.097
230.000000	93.086
233.000000	93.093
236.000000	93.102
240.000000	93.104
243.000000	93.102
247.000000	93.116
250.000000	93.092
254.000000	93.104
258.000000	93.096
262.000000	93.087
265.000000	93.082
269.000000	93.060
272.000000	93.054
276.000000	93.040
280.000000	93.093
285.000000	93.246
290.000000	93.322
295.000000	93.306
300.000000	93.256
304.000000	93.202
307.000000	93.182
311.000000	93.136
315.000000	93.087
320.000000	93.047
325.000000	92.999
330.000000	93.000
335.000000	93.040
340.000000	93.207
345.000000	93.440
350.000000	93.654
355.000000	93.808
360.000000	93.906
365.000000	93.961
370.000000	93.999
375.000000	94.021
382.000000	94.059
387.000000	94.070
395.000000	94.130
400.000000	94.148
406.000000	94.199
412.000000	94.233
418.000000	94.275
425.000000	94.318
431.000000	94.358
437.000000	94.406
444.000000	94.461
450.000000	94.501
455.000000	94.527
462.000000	94.595
468.000000	94.635
475.000000	94.691
482.000000	94.762
487.000000	94.804
494.000000	94.867
500.000000	94.915
508.000000	94.980
515.000000	95.055
522.000000	95.119
530.000000	95.186
538.000000	95.255
545.000000	95.325
552.000000	95.387
560.000000	95.462
570.000000	95.556
580.000000	95.655
590.000000	95.747
600.000000	95.840
608.000000	95.935
615.000000	96.002
622.000000	96.058
630.000000	96.141
640.000000	96.227
