* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 497, R 499, R 500, R 501
* Dated: 16/08/2024 01:52:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 497, R 499, R 500, R 501
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	66.369
20.299999	66.681
20.600000	66.891
20.900000	67.022
21.200001	67.139
21.400000	67.254
21.799999	67.626
22.000000	67.871
22.400000	68.379
22.700001	68.658
23.000000	68.782
23.299999	68.744
23.600000	68.596
24.000000	68.414
24.299999	68.438
24.700001	68.752
25.000000	69.096
25.400000	69.508
25.799999	69.757
26.200001	69.900
26.500000	70.028
26.900000	70.304
27.200001	70.569
27.600000	70.886
28.000000	71.071
28.500000	71.164
29.000000	71.383
29.500000	71.849
30.000000	72.273
30.400000	72.392
30.700001	72.369
31.100000	72.364
31.500000	72.630
32.000000	73.366
32.500000	74.109
33.000000	74.475
33.500000	74.475
34.000000	74.387
34.500000	74.457
35.000000	74.686
35.500000	74.955
36.000000	75.207
36.500000	75.435
37.000000	75.611
37.500000	75.731
38.200001	75.917
38.700001	76.121
39.500000	76.516
40.000000	76.811
40.599998	77.199
41.200001	77.456
41.799999	77.484
42.500000	77.485
43.099998	77.719
43.700001	78.061
44.400002	78.373
45.000000	78.547
45.500000	78.579
46.200001	78.413
46.799999	78.435
47.500000	79.156
48.200001	80.011
48.700001	80.269
49.400002	80.225
50.000000	80.206
50.799999	80.416
51.500000	80.614
52.200001	80.805
53.000000	81.032
53.799999	81.220
54.500000	81.444
55.200001	81.731
56.000000	82.026
57.000000	82.281
58.000000	82.419
59.000000	82.651
60.000000	83.007
60.799999	83.159
61.500000	83.209
62.200001	83.317
63.000000	83.595
64.000000	84.096
65.000000	84.323
66.000000	84.152
67.000000	84.465
68.000000	84.706
69.000000	84.694
70.000000	84.829
71.000000	84.979
72.000000	85.238
73.000000	85.481
74.000000	85.782
75.000000	86.086
76.199997	86.551
77.500000	86.278
78.800003	86.197
80.000000	86.713
81.199997	86.613
82.500000	86.805
83.800003	86.959
85.000000	87.129
86.199997	87.282
87.500000	87.406
88.500000	87.505
90.000000	87.559
91.199997	87.734
92.500000	87.841
93.800003	87.981
95.000000	88.083
96.199997	88.196
97.500000	88.288
98.800003	88.383
100.000000	88.457
101.500000	88.571
103.000000	88.677
104.400002	88.770
106.000000	88.878
107.500000	88.927
109.000000	89.030
110.599998	89.104
112.000000	89.184
113.800003	89.266
115.000000	89.322
117.199997	89.413
118.000000	89.401
120.599998	89.536
122.000000	89.614
124.099998	89.678
125.000000	89.746
126.500000	89.773
128.000000	89.809
131.500000	89.919
132.000000	89.943
134.000000	90.005
136.000000	90.073
138.000000	90.092
140.000000	90.163
143.000000	90.237
145.000000	90.315
147.500000	90.367
150.000000	90.402
152.500000	90.451
155.000000	90.507
157.500000	90.566
160.000000	90.615
162.500000	90.590
165.000000	90.630
167.500000	90.705
170.000000	90.736
172.500000	90.757
175.000000	90.784
177.500000	90.846
180.000000	90.838
182.500000	90.856
185.000000	90.903
187.500000	90.897
190.000000	90.930
192.500000	90.964
195.000000	90.993
197.500000	91.006
200.000000	91.017
203.000000	91.068
206.000000	91.108
209.000000	91.119
212.000000	91.156
214.000000	91.177
218.000000	91.242
220.000000	91.264
224.000000	91.324
227.000000	91.331
230.000000	91.377
233.000000	91.410
