* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 426, L 427, L 428, L 429, L 430, L 432, RMS Average 1
* Dated: 14/08/2024 01:24:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 426, L 427, L 428, L 429, L 430, L 432, RMS Average 1
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	61.776
20.299999	61.886
20.600000	62.042
20.900000	62.251
21.200001	62.600
21.400000	62.958
21.799999	63.909
22.000000	64.427
22.400000	65.366
22.700001	65.869
23.000000	66.178
23.299999	66.328
23.600000	66.391
24.000000	66.480
24.299999	66.600
24.700001	66.800
25.000000	66.922
25.400000	67.014
25.799999	67.102
26.200001	67.291
26.500000	67.493
26.900000	67.734
27.200001	67.831
27.600000	67.883
28.000000	68.029
28.500000	68.582
29.000000	69.272
29.500000	69.592
30.000000	69.406
30.400000	69.153
30.700001	69.126
31.100000	69.419
31.500000	69.899
32.000000	70.369
32.500000	70.638
33.000000	70.986
33.500000	71.484
34.000000	71.826
34.500000	71.795
35.000000	71.586
35.500000	71.637
36.000000	72.040
36.500000	72.464
37.000000	72.711
37.500000	72.903
38.200001	73.338
38.700001	73.630
39.500000	73.703
40.000000	73.640
40.599998	73.787
41.200001	74.221
41.799999	74.697
42.500000	75.029
43.099998	75.107
43.700001	75.117
44.400002	75.267
45.000000	75.576
45.500000	75.861
46.200001	76.161
46.799999	76.383
47.500000	76.708
48.200001	76.959
48.700001	77.050
49.400002	77.210
50.000000	77.379
50.799999	77.421
51.500000	77.529
52.200001	78.029
53.000000	78.521
53.799999	78.573
54.500000	78.659
55.200001	78.926
56.000000	79.155
57.000000	79.182
58.000000	79.500
59.000000	80.065
60.000000	80.106
60.799999	80.318
61.500000	80.578
62.200001	80.612
63.000000	80.769
64.000000	81.212
65.000000	81.319
66.000000	81.505
67.000000	81.798
68.000000	82.186
69.000000	82.394
70.000000	82.738
71.000000	82.852
72.000000	82.933
73.000000	83.314
74.000000	83.380
75.000000	83.571
76.199997	83.934
77.500000	84.037
78.800003	84.342
80.000000	84.730
81.199997	84.880
82.500000	85.039
83.800003	85.375
85.000000	85.347
86.199997	85.563
87.500000	85.842
88.500000	85.938
90.000000	86.145
91.199997	86.381
92.500000	86.518
93.800003	86.685
95.000000	86.762
96.199997	87.061
97.500000	87.199
98.800003	87.301
100.000000	87.485
101.500000	87.731
103.000000	87.855
104.400002	88.021
106.000000	88.153
107.500000	88.337
109.000000	88.524
110.599998	88.723
112.000000	88.850
113.800003	89.004
115.000000	89.086
117.199997	89.261
118.000000	89.371
120.599998	89.553
122.000000	89.662
124.099998	89.844
125.000000	89.918
126.500000	89.894
128.000000	90.049
131.500000	90.223
132.000000	90.298
134.000000	90.394
136.000000	90.502
138.000000	90.685
140.000000	90.689
143.000000	90.918
145.000000	91.006
147.500000	91.045
150.000000	91.201
152.500000	91.282
155.000000	91.328
157.500000	91.438
160.000000	91.484
162.500000	91.502
165.000000	91.619
167.500000	91.595
170.000000	91.555
172.500000	91.687
175.000000	91.704
177.500000	91.749
180.000000	91.731
182.500000	91.715
185.000000	91.765
187.500000	91.800
190.000000	91.740
192.500000	91.753
195.000000	91.776
197.500000	91.775
200.000000	91.823
203.000000	91.808
206.000000	91.801
209.000000	91.834
212.000000	91.860
214.000000	91.832
218.000000	91.819
220.000000	91.812
224.000000	91.789
227.000000	91.814
230.000000	91.799
233.000000	91.818
236.000000	91.833
240.000000	91.845
243.000000	91.796
247.000000	91.864
250.000000	91.826
254.000000	91.801
258.000000	91.801
262.000000	91.804
265.000000	91.811
269.000000	91.805
272.000000	91.822
276.000000	91.811
280.000000	91.800
285.000000	91.821
290.000000	91.760
295.000000	91.796
300.000000	91.818
304.000000	91.814
307.000000	91.839
311.000000	91.817
315.000000	91.810
320.000000	91.818
325.000000	91.917
330.000000	91.884
335.000000	91.872
340.000000	91.906
345.000000	91.966
350.000000	91.947
355.000000	92.027
360.000000	91.945
365.000000	92.027
370.000000	92.048
375.000000	92.084
382.000000	92.152
387.000000	92.146
395.000000	92.218
400.000000	92.168
406.000000	92.284
412.000000	92.291
418.000000	92.360
425.000000	92.390
431.000000	92.393
437.000000	92.434
444.000000	92.462
450.000000	92.543
455.000000	92.562
462.000000	92.595
468.000000	92.616
475.000000	92.620
482.000000	92.678
487.000000	92.686
494.000000	92.711
500.000000	92.739
508.000000	92.773
515.000000	92.786
522.000000	92.829
530.000000	92.934
538.000000	92.965
545.000000	92.969
552.000000	92.988
560.000000	93.042
570.000000	93.138
580.000000	93.135
590.000000	93.204
600.000000	93.263
608.000000	93.336
615.000000	93.334
622.000000	93.362
630.000000	93.403
640.000000	93.524
650.000000	93.533
660.000000	93.599
670.000000	93.593
680.000000	93.682
690.000000	93.714
700.000000	93.815
710.000000	93.849
720.000000	93.858
730.000000	93.930
740.000000	93.977
750.000000	94.038
762.000000	94.081
775.000000	94.165
788.000000	94.238
800.000000	94.293
812.000000	94.357
825.000000	94.380
838.000000	94.464
850.000000	94.528
862.000000	94.582
875.000000	94.648
885.000000	94.711
900.000000	94.740
912.000000	94.810
925.000000	94.883
938.000000	94.971
950.000000	95.007
962.000000	95.058
975.000000	95.138
988.000000	95.212
1000.000000	95.261
1015.000000	95.359
1030.000000	95.430
1044.000000	95.474
1060.000000	95.574
