* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 418, R 420, R 421, R 422, R 423, R 424, R 425
* Dated: 14/08/2024 01:24:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 418, R 420, R 421, R 422, R 423, R 424, R 425
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.782
20.299999	69.102
20.600000	69.376
20.900000	69.466
21.200001	69.336
21.400000	69.123
21.799999	68.471
22.000000	68.114
22.400000	67.593
22.700001	67.552
23.000000	67.772
23.299999	68.095
23.600000	68.377
24.000000	68.619
24.299999	68.752
24.700001	68.971
25.000000	69.213
25.400000	69.642
25.799999	70.147
26.200001	70.654
26.500000	70.985
26.900000	71.300
27.200001	71.428
27.600000	71.495
28.000000	71.550
28.500000	71.776
29.000000	72.149
29.500000	72.428
30.000000	72.459
30.400000	72.381
30.700001	72.363
31.100000	72.490
31.500000	72.784
32.000000	73.214
32.500000	73.537
33.000000	73.738
33.500000	73.927
34.000000	74.202
34.500000	74.562
35.000000	74.928
35.500000	75.223
36.000000	75.412
36.500000	75.511
37.000000	75.581
37.500000	75.678
38.200001	75.906
38.700001	76.158
39.500000	76.661
40.000000	76.905
40.599998	77.048
41.200001	77.165
41.799999	77.421
42.500000	77.773
43.099998	77.902
43.700001	77.955
44.400002	78.307
45.000000	78.808
45.500000	79.117
46.200001	79.252
46.799999	79.272
47.500000	79.409
48.200001	79.633
48.700001	79.818
49.400002	80.139
50.000000	80.403
50.799999	80.552
51.500000	80.585
52.200001	80.831
53.000000	81.282
53.799999	81.491
54.500000	81.602
55.200001	81.859
56.000000	82.059
57.000000	82.205
58.000000	82.695
59.000000	82.806
60.000000	82.906
60.799999	83.242
61.500000	83.487
62.200001	83.639
63.000000	83.768
64.000000	83.960
65.000000	84.124
66.000000	84.324
67.000000	84.669
68.000000	84.848
69.000000	85.063
70.000000	85.337
71.000000	85.481
72.000000	85.663
73.000000	85.858
74.000000	86.029
75.000000	86.213
76.199997	86.461
77.500000	86.676
78.800003	86.829
80.000000	87.122
81.199997	87.281
82.500000	87.502
83.800003	87.683
85.000000	87.838
86.199997	88.025
87.500000	88.214
88.500000	88.352
90.000000	88.540
91.199997	88.679
92.500000	88.849
93.800003	88.973
95.000000	89.110
96.199997	89.313
97.500000	89.412
98.800003	89.573
100.000000	89.686
101.500000	89.816
103.000000	89.977
104.400002	90.077
106.000000	90.219
107.500000	90.390
109.000000	90.485
110.599998	90.633
112.000000	90.760
113.800003	90.886
115.000000	90.971
117.199997	91.127
118.000000	91.172
120.599998	91.303
122.000000	91.376
124.099998	91.508
125.000000	91.569
126.500000	91.657
128.000000	91.740
131.500000	91.878
132.000000	91.894
134.000000	92.002
136.000000	92.111
138.000000	92.160
140.000000	92.215
143.000000	92.302
145.000000	92.363
147.500000	92.438
150.000000	92.470
152.500000	92.543
155.000000	92.625
157.500000	92.646
160.000000	92.688
162.500000	92.697
165.000000	92.705
167.500000	92.753
170.000000	92.761
172.500000	92.749
175.000000	92.754
177.500000	92.736
180.000000	92.757
182.500000	92.731
185.000000	92.736
187.500000	92.718
190.000000	92.700
192.500000	92.676
195.000000	92.680
197.500000	92.646
200.000000	92.617
203.000000	92.603
206.000000	92.603
209.000000	92.551
212.000000	92.544
214.000000	92.536
218.000000	92.491
220.000000	92.488
224.000000	92.447
227.000000	92.439
230.000000	92.438
233.000000	92.421
236.000000	92.374
240.000000	92.365
243.000000	92.352
247.000000	92.340
250.000000	92.316
254.000000	92.293
258.000000	92.227
262.000000	92.231
265.000000	92.219
269.000000	92.188
272.000000	92.142
276.000000	92.128
280.000000	92.121
285.000000	92.060
290.000000	92.041
295.000000	92.035
300.000000	91.958
304.000000	91.982
307.000000	91.946
311.000000	91.924
315.000000	91.926
320.000000	91.900
325.000000	91.847
330.000000	91.812
335.000000	91.849
340.000000	91.784
345.000000	91.754
350.000000	91.763
355.000000	91.731
360.000000	91.677
365.000000	91.704
370.000000	91.727
375.000000	91.835
382.000000	92.011
387.000000	92.184
395.000000	92.335
400.000000	92.352
406.000000	92.280
412.000000	92.230
418.000000	92.170
425.000000	92.145
431.000000	92.254
437.000000	92.498
444.000000	92.746
450.000000	92.951
455.000000	93.083
462.000000	93.168
468.000000	93.227
475.000000	93.310
482.000000	93.282
487.000000	93.331
494.000000	93.339
500.000000	93.340
508.000000	93.352
515.000000	93.372
522.000000	93.347
530.000000	93.394
538.000000	93.429
545.000000	93.414
552.000000	93.426
560.000000	93.461
570.000000	93.510
580.000000	93.535
590.000000	93.575
600.000000	93.575
608.000000	93.626
615.000000	93.652
622.000000	93.671
630.000000	93.728
640.000000	93.785
