* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,7 dBFS, measurement signal peak level -10,9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 14/09/2024 12:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0306 ms (-11 mm, -0,41 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,8 ppm
* Measurement: 712 V10 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.683	73.5535
20.299999	98.684	72.7777
20.600000	98.707	72.2665
20.900000	98.769	71.8953
21.200001	98.876	71.4608
21.400000	98.962	71.0413
21.799999	99.135	69.8701
22.000000	99.207	69.1527
22.400000	99.302	67.6416
22.700001	99.336	66.6218
23.000000	99.357	65.8130
23.299999	99.387	65.1900
23.600000	99.436	64.6573
24.000000	99.532	63.9080
24.299999	99.611	63.2280
24.700001	99.702	62.1873
25.000000	99.751	61.3953
25.400000	99.798	60.4375
25.799999	99.843	59.6193
26.200001	99.895	58.8615
26.500000	99.937	58.2814
26.900000	99.987	57.4871
27.200001	100.018	56.9115
27.600000	100.056	56.2191
28.000000	100.101	55.5992
28.500000	100.176	54.7895
29.000000	100.250	53.8234
29.500000	100.298	52.7946
30.000000	100.325	51.9002
30.400000	100.351	51.3096
30.700001	100.380	50.8925
31.100000	100.428	50.2979
31.500000	100.475	49.6410
32.000000	100.522	48.8029
32.500000	100.563	48.0351
33.000000	100.608	47.3175
33.500000	100.656	46.5778
34.000000	100.696	45.8312
34.500000	100.727	45.1626
35.000000	100.767	44.5764
35.500000	100.820	43.9574
36.000000	100.873	43.2099
36.500000	100.906	42.3715
37.000000	100.912	41.5703
37.500000	100.902	40.8973
38.200001	100.885	40.1940
38.700001	100.885	39.8308
39.500000	100.930	39.3256
40.000000	100.981	38.8803
40.599998	101.035	38.1261
41.200001	101.050	37.3640
41.799999	101.058	36.8622
42.500000	101.123	36.3236
43.099998	101.177	35.4350
43.700001	101.143	34.5537
44.400002	101.084	34.4510
45.000000	101.178	34.6041
45.500000	101.303	33.9347
46.200001	101.297	32.2014
46.799999	101.125	31.7142
47.500000	101.098	32.5341
48.200001	101.285	32.2487
48.700001	101.337	31.1473
49.400002	101.237	30.0876
50.000000	101.194	30.0178
50.799999	101.271	29.4590
51.500000	101.278	28.4100
52.200001	101.239	27.7565
53.000000	101.261	27.3761
53.799999	101.344	26.7358
54.500000	101.378	25.9248
55.200001	101.359	25.6534
56.000000	101.467	25.8892
57.000000	101.554	24.8266
58.000000	101.500	26.5844
59.000000	102.197	26.3315
60.000000	102.056	20.8550
60.799999	101.466	21.4220
61.500000	101.504	23.3630
62.200001	101.635	22.5319
63.000000	101.450	21.5465
64.000000	101.396	22.0912
65.000000	101.438	21.1995
66.000000	101.411	20.6664
67.000000	101.432	20.1001
68.000000	101.447	19.7494
69.000000	101.476	19.3466
70.000000	101.492	19.0473
71.000000	101.496	18.5140
72.000000	101.450	18.2226
73.000000	101.457	17.9551
74.000000	101.443	17.4565
75.000000	101.441	17.1199
76.199997	101.451	16.5791
77.500000	101.453	16.1439
78.800003	101.456	15.7969
80.000000	101.475	15.4573
81.199997	101.442	14.7845
82.500000	101.389	14.9145
83.800003	101.484	14.2511
85.000000	101.407	13.6465
86.199997	101.435	13.5767
87.500000	101.418	13.1295
88.500000	101.432	12.9944
90.000000	101.388	12.5264
91.199997	101.401	12.1929
92.500000	101.294	11.8325
93.800003	101.374	12.0066
95.000000	101.381	11.1330
96.199997	101.362	10.8531
97.500000	101.349	10.5563
98.800003	101.358	10.2828
100.000000	101.339	10.0941
101.500000	101.350	9.8112
103.000000	101.334	9.4821
104.400002	101.324	9.2703
106.000000	101.312	8.9990
107.500000	101.317	8.5848
109.000000	101.283	8.2953
110.599998	101.275	8.0044
112.000000	101.287	7.7191
113.800003	101.242	7.4875
115.000000	101.231	7.3322
117.199997	101.207	6.6888
118.000000	101.121	6.7009
120.599998	101.139	6.3237
122.000000	101.167	6.2610
124.099998	101.172	5.9336
125.000000	101.172	5.6991
126.500000	101.146	5.5911
128.000000	101.136	5.3505
131.500000	101.096	4.8340
132.000000	101.095	4.7408
134.000000	101.089	4.5874
136.000000	101.054	4.2372
138.000000	101.024	4.0649
140.000000	101.040	3.7626
143.000000	101.001	3.5316
145.000000	100.991	3.1632
147.500000	100.954	2.8707
150.000000	100.918	2.7029
152.500000	100.905	2.6927
155.000000	100.862	2.3843
157.500000	100.821	2.0616
160.000000	100.802	1.8898
162.500000	100.772	1.6556
165.000000	100.732	1.5429
167.500000	100.763	1.0811
170.000000	100.705	1.4518
172.500000	100.664	1.3328
175.000000	100.627	1.3952
177.500000	100.605	1.2739
180.000000	100.603	1.1349
182.500000	100.554	1.4410
185.000000	100.525	1.1121
187.500000	100.576	0.6619
190.000000	100.618	0.7211
192.500000	100.569	0.5555
195.000000	100.528	0.4695
197.500000	100.510	0.0619
200.000000	100.515	0.1211
203.000000	100.460	0.0338
206.000000	100.438	-0.1016
209.000000	100.412	-0.1596
212.000000	100.452	-0.2339
214.000000	100.385	-0.2493
218.000000	100.363	-0.5116
220.000000	100.341	-0.5914
224.000000	100.302	-0.7353
227.000000	100.263	-0.9014
230.000000	100.269	-0.7644
233.000000	100.211	-1.0630
236.000000	100.136	-1.2233
240.000000	100.183	-1.1049
243.000000	100.150	-1.1053
247.000000	100.106	-1.3909
250.000000	100.095	-1.3968
254.000000	100.041	-1.4610
258.000000	100.004	-1.5481
262.000000	99.975	-1.4268
265.000000	99.972	-1.5558
269.000000	99.930	-1.3682
272.000000	99.916	-1.6597
276.000000	99.865	-1.4866
280.000000	99.821	-1.6226
285.000000	99.908	-1.3805
290.000000	99.758	-1.2754
295.000000	99.750	-1.4600
300.000000	99.673	-1.2521
304.000000	99.652	-1.2714
307.000000	99.651	-1.2986
311.000000	99.623	-1.3160
315.000000	99.617	-1.2825
320.000000	99.585	-0.9216
325.000000	99.548	-1.1872
330.000000	99.508	-0.9257
335.000000	99.510	-0.8792
340.000000	99.459	-0.9908
345.000000	99.435	-1.0160
350.000000	99.390	-0.7893
355.000000	99.401	-0.7842
360.000000	99.328	-0.6055
365.000000	99.308	-0.6719
370.000000	99.285	-0.5869
