* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -12,0 dBFS, measurement signal peak level -10,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 29/09/2024 09:21:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0326 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 20,2 ppm
* Measurement: V14
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.690	80.3484
20.299999	90.712	78.1164
20.600000	90.624	76.3038
20.900000	90.471	75.2993
21.200001	90.336	75.2973
21.400000	90.309	75.6951
21.799999	90.436	76.7338
22.000000	90.578	77.0138
22.400000	90.921	76.5699
22.700001	91.140	75.4801
23.000000	91.274	74.1339
23.299999	91.332	72.9204
23.600000	91.351	72.0374
24.000000	91.381	71.3882
24.299999	91.439	71.0684
24.700001	91.555	70.5249
25.000000	91.642	69.9545
25.400000	91.729	69.1152
25.799999	91.796	68.4010
26.200001	91.872	67.8155
26.500000	91.941	67.3509
26.900000	92.031	66.6131
27.200001	92.084	66.0257
27.600000	92.137	65.3516
28.000000	92.200	64.8604
28.500000	92.322	64.2013
29.000000	92.435	63.1686
29.500000	92.467	62.1583
30.000000	92.476	61.8784
30.400000	92.566	62.0445
30.700001	92.700	62.0107
31.100000	92.903	61.3717
31.500000	93.050	60.2030
32.000000	93.121	58.8619
32.500000	93.205	58.1699
33.000000	93.418	57.1169
33.500000	93.607	54.5351
34.000000	93.498	51.0884
34.500000	93.046	49.0597
35.000000	92.565	50.1024
35.500000	92.489	52.8463
36.000000	92.764	54.1877
36.500000	93.008	53.6307
37.000000	93.081	52.9161
37.500000	93.154	52.9466
38.200001	93.448	52.3613
38.700001	93.581	50.6346
39.500000	93.401	48.6624
40.000000	93.306	49.0489
40.599998	93.427	49.5770
41.200001	93.594	48.7167
41.799999	93.606	47.4391
42.500000	93.550	46.8825
43.099998	93.600	46.6911
43.700001	93.681	46.0561
44.400002	93.720	45.1393
45.000000	93.738	44.6507
45.500000	93.777	44.3873
46.200001	93.869	43.9745
46.799999	93.962	43.4121
47.500000	94.029	42.4030
48.200001	93.978	41.4907
48.700001	93.907	41.3736
49.400002	93.902	41.7445
50.000000	93.984	41.5654
50.799999	94.003	40.5462
51.500000	93.957	40.0612
52.200001	93.985	39.6352
53.000000	94.012	38.8569
53.799999	94.103	38.4588
54.500000	94.240	37.4230
55.200001	94.206	36.5616
56.000000	94.282	37.5519
57.000000	94.558	36.5011
58.000000	94.264	39.3210
59.000000	95.470	42.3524
60.000000	95.746	33.3411
60.799999	94.722	31.8475
61.500000	94.499	35.3963
62.200001	94.686	35.1711
63.000000	94.428	33.8230
64.000000	94.330	34.7679
65.000000	94.357	33.4976
66.000000	94.367	33.3807
67.000000	94.500	32.1136
68.000000	94.451	31.7179
69.000000	94.560	31.6938
70.000000	94.577	31.1302
71.000000	94.554	31.1341
72.000000	94.587	31.0249
73.000000	94.590	30.4543
74.000000	94.564	30.1659
75.000000	94.591	29.8142
76.199997	94.617	29.4482
77.500000	94.631	28.8617
78.800003	94.674	29.0854
80.000000	94.723	28.0995
81.199997	94.682	28.0984
82.500000	94.760	26.9671
83.800003	94.628	26.7352
85.000000	94.728	26.8432
86.199997	94.736	26.4224
87.500000	94.806	26.5862
88.500000	94.842	26.0223
90.000000	94.789	25.7235
91.199997	94.772	25.4741
92.500000	94.770	25.3507
93.800003	94.797	25.0258
95.000000	94.816	24.6614
96.199997	94.830	24.4752
97.500000	94.863	24.0435
98.800003	94.836	23.8533
100.000000	94.850	23.7439
101.500000	94.860	23.5776
103.000000	94.882	23.3815
104.400002	94.904	22.8412
106.000000	94.863	22.8802
107.500000	94.910	22.6160
109.000000	94.913	22.3870
110.599998	94.896	22.4957
112.000000	94.942	22.1971
113.800003	94.888	21.9226
115.000000	94.902	21.5233
117.199997	94.923	21.2257
118.000000	94.907	20.7523
120.599998	95.000	20.4166
122.000000	94.958	20.8698
124.099998	94.938	20.8613
125.000000	94.994	21.0021
126.500000	94.959	20.2660
128.000000	94.952	20.4510
131.500000	94.959	19.8016
132.000000	94.967	19.8853
134.000000	95.013	19.5663
136.000000	95.018	19.5609
138.000000	94.983	19.1885
140.000000	95.003	18.8735
143.000000	95.039	18.6920
145.000000	94.999	18.6620
147.500000	95.006	18.4227
150.000000	95.012	18.3568
152.500000	95.032	18.2345
155.000000	95.028	18.2114
157.500000	95.012	17.9319
160.000000	95.043	17.6840
162.500000	95.011	17.5400
165.000000	95.045	17.2590
167.500000	95.066	17.4069
170.000000	95.037	17.3113
172.500000	95.016	17.0674
175.000000	95.022	17.1287
177.500000	95.063	16.8751
180.000000	95.043	16.4326
182.500000	95.056	16.4031
185.000000	95.035	16.5913
187.500000	95.030	16.4531
190.000000	95.047	16.1113
192.500000	95.032	16.1930
195.000000	95.036	16.2781
197.500000	95.058	16.2570
200.000000	95.026	15.9180
203.000000	95.012	15.8177
206.000000	95.054	15.9158
209.000000	95.041	16.0336
212.000000	95.003	15.9896
214.000000	94.999	16.0699
218.000000	94.951	15.4315
220.000000	94.906	15.6638
224.000000	94.843	15.5704
227.000000	94.903	15.8801
230.000000	94.866	15.9812
233.000000	94.912	16.2756
236.000000	94.912	16.8179
240.000000	94.912	16.3743
243.000000	94.964	16.3081
247.000000	94.989	16.4311
250.000000	94.949	16.4037
254.000000	95.002	16.2591
258.000000	94.993	16.2579
262.000000	94.983	16.4053
265.000000	94.999	16.4839
269.000000	94.992	16.2205
272.000000	95.017	16.3431
276.000000	94.980	16.1857
280.000000	95.023	16.1710
285.000000	94.962	16.5388
290.000000	94.983	16.6599
295.000000	94.985	16.3820
300.000000	94.928	16.8013
304.000000	94.983	16.3875
307.000000	94.977	16.3234
311.000000	94.966	16.3857
315.000000	94.944	16.1797
320.000000	94.945	16.4816
325.000000	94.960	16.4857
330.000000	94.935	16.5989
335.000000	94.906	16.7548
340.000000	94.906	16.9390
345.000000	94.916	17.0177
350.000000	94.890	17.1259
355.000000	94.906	16.9592
360.000000	94.889	17.0589
365.000000	94.888	17.1266
370.000000	94.855	17.3027
375.000000	94.879	17.3254
382.000000	94.841	17.3365
387.000000	94.826	17.4583
395.000000	94.800	17.7169
400.000000	94.743	17.9207
406.000000	94.750	18.2117
412.000000	94.711	18.3151
418.000000	94.716	18.7874
425.000000	94.721	19.0198
431.000000	94.701	19.3740
437.000000	94.687	19.3654
444.000000	94.652	19.7058
450.000000	94.644	19.9005
455.000000	94.642	20.2556
462.000000	94.610	20.3303
468.000000	94.596	20.8088
475.000000	94.561	20.9297
482.000000	94.567	21.4065
487.000000	94.588	21.3539
494.000000	94.534	21.6703
500.000000	94.530	21.9839
508.000000	94.509	22.5997
515.000000	94.505	23.0756
522.000000	94.462	23.2603
530.000000	94.471	23.8706
538.000000	94.481	24.2858
545.000000	94.427	24.8311
552.000000	94.450	25.2485
560.000000	94.441	25.7631
570.000000	94.425	26.4811
580.000000	94.429	27.1302
590.000000	94.434	27.9241
600.000000	94.423	28.7272
608.000000	94.417	29.3708
615.000000	94.447	29.9478
622.000000	94.441	30.4756
630.000000	94.461	30.7910
640.000000	94.509	31.9220
650.000000	94.514	32.5445
660.000000	94.571	33.1728
670.000000	94.607	34.2061
680.000000	94.627	35.0429
690.000000	94.701	35.8222
700.000000	94.754	36.6831
710.000000	94.821	37.2641
720.000000	94.872	38.0599
730.000000	94.947	38.6706
740.000000	94.984	39.2685
750.000000	95.071	39.9285
762.000000	95.151	40.5486
775.000000	95.270	41.6452
788.000000	95.330	42.3860
800.000000	95.417	42.9737
812.000000	95.508	43.6195
825.000000	95.602	44.3560
838.000000	95.711	44.8037
850.000000	95.809	45.6291
862.000000	95.889	45.9612
875.000000	95.980	46.7963
885.000000	96.044	47.1487
900.000000	96.161	48.0080
912.000000	96.226	48.6385
925.000000	96.286	49.6783
938.000000	96.410	50.1032
950.000000	96.516	50.9534
962.000000	96.622	51.8912
975.000000	96.730	52.7580
988.000000	96.869	53.6260
1000.000000	97.003	54.5181
1015.000000	97.191	55.3048
1030.000000	97.429	56.2255
1044.000000	97.643	56.9754
1060.000000	97.879	57.6698
1075.000000	98.142	58.2546
1090.000000	98.416	58.5598
1106.000000	98.700	58.6071
1120.000000	98.963	58.4589
1138.000000	99.252	57.8847
1150.000000	99.425	57.6807
1172.000000	99.712	56.7815
1180.000000	99.813	56.3490
1206.000000	100.057	55.3884
1220.000000	100.167	54.6962
1241.000000	100.310	53.9540
1250.000000	100.353	53.6033
1265.000000	100.453	53.1372
1280.000000	100.543	52.6505
1315.000000	100.671	51.8079
1320.000000	100.692	51.8170
1340.000000	100.776	51.2243
1360.000000	100.845	51.0307
1380.000000	100.917	50.8544
1400.000000	100.979	50.5226
1430.000000	101.075	50.3276
1450.000000	101.134	50.0486
1475.000000	101.216	50.2473
1500.000000	101.310	50.0256
1525.000000	101.391	49.9841
1550.000000	101.498	50.0297
1575.000000	101.588	49.9848
1600.000000	101.665	50.0690
1625.000000	101.773	50.1189
1650.000000	101.892	50.3585
1675.000000	101.981	50.3558
1700.000000	102.120	50.5205
1725.000000	102.219	50.6719
1750.000000	102.349	50.7383
1775.000000	102.458	50.7939
1800.000000	102.598	51.0051
1825.000000	102.737	51.0318
1850.000000	102.871	51.0435
1875.000000	103.021	51.1558
1900.000000	103.171	51.1374
1925.000000	103.324	51.1513
1950.000000	103.498	51.0522
1975.000000	103.656	51.0405
2000.000000	103.807	50.9119
2030.000000	104.026	50.8026
2060.000000	104.238	50.4413
2090.000000	104.453	50.1003
2120.000000	104.674	49.7585
2140.000000	104.830	49.4587
2180.000000	105.135	48.7297
2200.000000	105.293	48.3636
2240.000000	105.637	47.2987
2270.000000	105.868	46.4553
2300.000000	106.100	45.5816
2330.000000	106.300	44.5001
2360.000000	106.522	43.2910
2400.000000	106.789	41.5516
2430.000000	106.972	40.1349
2470.000000	107.197	38.1190
2500.000000	107.358	36.4343
2540.000000	107.515	34.0453
2580.000000	107.655	31.5213
2620.000000	107.732	28.9977
2650.000000	107.769	27.0244
2690.000000	107.776	24.4395
2720.000000	107.747	22.5721
2760.000000	107.674	20.0348
